year,month,rank_ME,rank_Resid11_6,nstocks,ret_vw
1967,12,2,1,138,6.5007
1967,12,2,2,214,7.3878
1967,12,2,3,211,6.2960
1967,12,2,4,210,6.5615
1967,12,2,5,165,8.1063
1967,12,3,1,227,2.2092
1967,12,3,2,336,2.6969
1967,12,3,3,359,2.4441
1967,12,3,4,341,3.0377
1967,12,3,5,240,2.8211
1968,1,1,1,253,4.5107
1968,1,1,2,367,4.9044
1968,1,1,3,406,3.3341
1968,1,1,4,431,3.1222
1968,1,1,5,336,4.0664
1968,1,2,1,150,-1.4424
1968,1,2,2,207,0.1883
1968,1,2,3,221,-0.4150
1968,1,2,4,216,1.0149
1968,1,2,5,173,-0.5368
1968,1,3,1,240,-7.2984
1968,1,3,2,348,-4.4735
1968,1,3,3,357,-2.6737
1968,1,3,4,336,-3.1367
1968,1,3,5,241,-3.1410
1968,2,1,1,244,-6.7040
1968,2,1,2,348,-6.7344
1968,2,1,3,395,-5.1673
1968,2,1,4,422,-6.1395
1968,2,1,5,340,-8.3913
1968,2,2,1,149,-7.0653
1968,2,2,2,208,-4.0440
1968,2,2,3,220,-3.4469
1968,2,2,4,211,-3.7404
1968,2,2,5,167,-5.7801
1968,2,3,1,242,-4.1155
1968,2,3,2,350,-2.8560
1968,2,3,3,366,-2.7121
1968,2,3,4,336,-2.9395
1968,2,3,5,230,-2.3805
1968,3,1,1,258,-1.4536
1968,3,1,2,326,-1.5621
1968,3,1,3,390,-1.5841
1968,3,1,4,422,-1.2237
1968,3,1,5,353,-0.7982
1968,3,2,1,158,-1.8178
1968,3,2,2,203,-0.7155
1968,3,2,3,225,-1.7481
1968,3,2,4,210,-2.2661
1968,3,2,5,159,0.1360
1968,3,3,1,239,1.2438
1968,3,3,2,335,-0.0576
1968,3,3,3,353,0.3945
1968,3,3,4,327,0.4001
1968,3,3,5,213,1.9055
1968,4,1,1,232,14.7481
1968,4,1,2,316,14.9151
1968,4,1,3,382,16.3859
1968,4,1,4,436,15.0590
1968,4,1,5,356,17.6097
1968,4,2,1,154,14.0703
1968,4,2,2,201,13.3872
1968,4,2,3,229,12.5042
1968,4,2,4,215,11.9375
1968,4,2,5,164,15.9587
1968,4,3,1,242,10.4856
1968,4,3,2,330,7.2383
1968,4,3,3,345,7.2814
1968,4,3,4,320,9.1436
1968,4,3,5,215,9.1152
1968,5,1,1,220,10.2452
1968,5,1,2,320,11.0956
1968,5,1,3,366,11.4025
1968,5,1,4,438,13.7802
1968,5,1,5,355,12.7311
1968,5,2,1,149,7.2341
1968,5,2,2,191,7.2336
1968,5,2,3,223,6.4791
1968,5,2,4,203,5.9336
1968,5,2,5,165,7.6575
1968,5,3,1,246,2.8483
1968,5,3,2,314,1.9583
1968,5,3,3,338,1.4371
1968,5,3,4,296,2.0054
1968,5,3,5,205,1.5192
1968,6,1,1,221,0.1806
1968,6,1,2,318,1.2046
1968,6,1,3,360,1.2807
1968,6,1,4,448,0.6361
1968,6,1,5,360,-0.4627
1968,6,2,1,151,-1.4803
1968,6,2,2,193,0.9173
1968,6,2,3,229,1.2542
1968,6,2,4,215,1.5370
1968,6,2,5,167,0.6099
1968,6,3,1,246,-1.3966
1968,6,3,2,321,1.9538
1968,6,3,3,342,2.8309
1968,6,3,4,287,1.6111
1968,6,3,5,201,0.4526
1968,7,1,1,231,-4.4801
1968,7,1,2,316,-3.3551
1968,7,1,3,352,-3.1355
1968,7,1,4,427,-3.0428
1968,7,1,5,351,-1.8778
1968,7,2,1,153,-6.1216
1968,7,2,2,202,-4.5491
1968,7,2,3,211,-3.2497
1968,7,2,4,208,-2.0011
1968,7,2,5,157,-1.4904
1968,7,3,1,237,-5.4153
1968,7,3,2,310,-2.2770
1968,7,3,3,331,-1.1283
1968,7,3,4,283,-0.9661
1968,7,3,5,196,-0.9814
1968,8,1,1,237,3.0622
1968,8,1,2,326,4.0785
1968,8,1,3,358,3.3661
1968,8,1,4,419,4.8692
1968,8,1,5,349,5.8960
1968,8,2,1,152,2.7974
1968,8,2,2,196,3.7958
1968,8,2,3,210,3.7885
1968,8,2,4,204,3.2156
1968,8,2,5,160,5.4720
1968,8,3,1,224,1.7545
1968,8,3,2,309,1.7606
1968,8,3,3,332,1.3015
1968,8,3,4,298,1.0061
1968,8,3,5,202,1.4929
1968,9,1,1,240,7.8845
1968,9,1,2,322,6.2108
1968,9,1,3,369,6.8131
1968,9,1,4,411,7.6819
1968,9,1,5,341,7.3962
1968,9,2,1,146,7.7292
1968,9,2,2,184,6.0991
1968,9,2,3,204,5.4073
1968,9,2,4,201,5.1537
1968,9,2,5,162,8.2391
1968,9,3,1,227,4.7100
1968,9,3,2,314,3.7623
1968,9,3,3,328,3.9766
1968,9,3,4,295,3.6318
1968,9,3,5,200,3.6643
1968,10,1,1,242,-0.9324
1968,10,1,2,330,0.9372
1968,10,1,3,369,-0.0989
1968,10,1,4,418,0.6503
1968,10,1,5,341,0.1843
1968,10,2,1,146,-0.3126
1968,10,2,2,194,1.8425
1968,10,2,3,197,2.6290
1968,10,2,4,197,1.2957
1968,10,2,5,160,1.1014
1968,10,3,1,224,0.9582
1968,10,3,2,312,1.5557
1968,10,3,3,331,1.6056
1968,10,3,4,296,0.2490
1968,10,3,5,210,0.6106
1968,11,1,1,253,7.1793
1968,11,1,2,323,7.2740
1968,11,1,3,371,6.2388
1968,11,1,4,418,7.4227
1968,11,1,5,319,8.0837
1968,11,2,1,150,8.1597
1968,11,2,2,192,8.9860
1968,11,2,3,195,7.9426
1968,11,2,4,191,7.3820
1968,11,2,5,154,7.4081
1968,11,3,1,221,7.2133
1968,11,3,2,318,5.5632
1968,11,3,3,341,4.8752
1968,11,3,4,294,5.4204
1968,11,3,5,221,4.8855
1968,12,1,1,248,2.5289
1968,12,1,2,315,4.1010
1968,12,1,3,371,3.3683
1968,12,1,4,399,3.7891
1968,12,1,5,319,0.5990
1968,12,2,1,147,-0.7390
1968,12,2,2,189,-0.4783
1968,12,2,3,198,-0.9011
1968,12,2,4,192,-0.7595
1968,12,2,5,152,-2.0629
1968,12,3,1,224,-3.4597
1968,12,3,2,320,-3.4244
1968,12,3,3,331,-2.9550
1968,12,3,4,301,-4.2032
1968,12,3,5,220,-4.9444
1969,1,1,1,272,-0.4561
1969,1,1,2,339,-1.4663
1969,1,1,3,367,-0.5621
1969,1,1,4,387,-0.3760
1969,1,1,5,316,0.0835
1969,1,2,1,151,-1.9736
1969,1,2,2,193,-0.6091
1969,1,2,3,196,0.1011
1969,1,2,4,188,-0.9453
1969,1,2,5,161,-1.1191
1969,1,3,1,234,-0.8568
1969,1,3,2,313,-1.0615
1969,1,3,3,334,-1.0659
1969,1,3,4,307,-0.5759
1969,1,3,5,210,-0.3689
1969,2,1,1,290,-11.4011
1969,2,1,2,354,-9.9156
1969,2,1,3,373,-10.0658
1969,2,1,4,401,-10.5360
1969,2,1,5,308,-9.3353
1969,2,2,1,155,-9.9475
1969,2,2,2,204,-8.5080
1969,2,2,3,207,-7.3627
1969,2,2,4,199,-6.5732
1969,2,2,5,168,-7.6216
1969,2,3,1,247,-6.0963
1969,2,3,2,324,-4.4896
1969,2,3,3,356,-4.8486
1969,2,3,4,324,-4.2852
1969,2,3,5,226,-4.0346
1969,3,1,1,301,0.7443
1969,3,1,2,365,1.9247
1969,3,1,3,368,1.5884
1969,3,1,4,386,2.0129
1969,3,1,5,300,4.4447
1969,3,2,1,157,0.7027
1969,3,2,2,204,1.0758
1969,3,2,3,215,2.7226
1969,3,2,4,204,2.1823
1969,3,2,5,169,3.9695
1969,3,3,1,253,3.0304
1969,3,3,2,332,3.6761
1969,3,3,3,377,2.7306
1969,3,3,4,338,3.3686
1969,3,3,5,236,3.6340
1969,4,1,1,308,-1.1529
1969,4,1,2,361,-1.0994
1969,4,1,3,362,0.0954
1969,4,1,4,377,-0.9039
1969,4,1,5,302,-0.4096
1969,4,2,1,160,0.1278
1969,4,2,2,208,0.5214
1969,4,2,3,221,1.4619
1969,4,2,4,214,0.3719
1969,4,2,5,173,1.9148
