year,month,rank_ME,rank_R11_6,nstocks,ret_vw
1967,12,2,1,150,5.1999
1967,12,2,2,195,5.8929
1967,12,2,3,218,6.6435
1967,12,2,4,225,6.0361
1967,12,2,5,223,9.3391
1967,12,3,1,249,2.6342
1967,12,3,2,337,2.2445
1967,12,3,3,351,2.6863
1967,12,3,4,285,2.6872
1967,12,3,5,207,3.7797
1968,1,1,1,294,6.2125
1968,1,1,2,336,5.3702
1968,1,1,3,415,4.0069
1968,1,1,4,448,4.3543
1968,1,1,5,495,1.9017
1968,1,2,1,142,1.8525
1968,1,2,2,201,1.5872
1968,1,2,3,214,0.8742
1968,1,2,4,216,-0.7371
1968,1,2,5,232,-3.7819
1968,1,3,1,248,-1.0858
1968,1,3,2,317,-3.1318
1968,1,3,3,320,-5.5973
1968,1,3,4,275,-7.2836
1968,1,3,5,193,-8.2000
1968,2,1,1,246,-5.2199
1968,2,1,2,320,-3.1636
1968,2,1,3,407,-4.3914
1968,2,1,4,446,-6.2111
1968,2,1,5,503,-9.2230
1968,2,2,1,134,-2.0263
1968,2,2,2,192,-2.4115
1968,2,2,3,213,-3.5806
1968,2,2,4,211,-5.3689
1968,2,2,5,229,-9.1177
1968,2,3,1,249,-2.4911
1968,2,3,2,307,-2.0765
1968,2,3,3,307,-3.0981
1968,2,3,4,263,-3.3858
1968,2,3,5,185,-6.3580
1968,3,1,1,234,-2.0896
1968,3,1,2,319,-1.5584
1968,3,1,3,403,-1.0883
1968,3,1,4,452,-1.7807
1968,3,1,5,534,-0.8120
1968,3,2,1,135,-2.7281
1968,3,2,2,190,-2.3521
1968,3,2,3,208,-0.4429
1968,3,2,4,214,-1.1213
1968,3,2,5,230,-0.3711
1968,3,3,1,265,-1.3124
1968,3,3,2,309,0.2564
1968,3,3,3,309,0.9231
1968,3,3,4,250,3.1132
1968,3,3,5,183,4.6559
1968,4,1,1,212,12.6215
1968,4,1,2,287,11.8050
1968,4,1,3,399,13.2253
1968,4,1,4,461,15.1530
1968,4,1,5,547,19.0963
1968,4,2,1,136,8.7758
1968,4,2,2,195,10.5322
1968,4,2,3,214,13.5689
1968,4,2,4,231,13.8633
1968,4,2,5,232,18.4726
1968,4,3,1,278,5.4851
1968,4,3,2,326,8.1765
1968,4,3,3,322,9.2265
1968,4,3,4,248,11.0611
1968,4,3,5,174,14.8668
1968,5,1,1,217,8.8778
1968,5,1,2,276,8.2943
1968,5,1,3,400,8.6192
1968,5,1,4,432,11.0775
1968,5,1,5,544,15.5651
1968,5,2,1,138,6.4848
1968,5,2,2,192,5.0739
1968,5,2,3,216,5.1278
1968,5,2,4,226,6.7115
1968,5,2,5,228,8.7025
1968,5,3,1,271,0.8735
1968,5,3,2,329,1.1721
