year,month,rank_ME,rank_Abr_12,nstocks,ret_vw
1972,12,1,4,353,-1.8834
1972,12,1,5,524,-1.5333
1972,12,2,1,274,-1.2421
1972,12,2,2,246,-0.5488
1972,12,2,3,236,-1.5459
1972,12,2,4,244,-1.6165
1972,12,2,5,288,-1.7039
1972,12,3,1,318,0.2803
1972,12,3,2,384,1.1140
1972,12,3,3,393,2.0133
1972,12,3,4,409,2.0313
1972,12,3,5,343,2.3918
1973,1,1,1,568,-3.4324
1973,1,1,2,400,-3.1321
1973,1,1,3,349,-3.7279
1973,1,1,4,355,-4.2283
1973,1,1,5,531,-4.5822
1973,1,2,1,269,-6.0167
1973,1,2,2,241,-6.2672
1973,1,2,3,235,-6.1399
1973,1,2,4,244,-5.5415
1973,1,2,5,290,-7.0605
1973,1,3,1,310,-1.1226
1973,1,3,2,379,-2.3228
1973,1,3,3,387,-0.8994
1973,1,3,4,401,-1.9836
1973,1,3,5,332,-4.1731
1973,2,1,1,561,-8.3946
1973,2,1,2,395,-7.0822
1973,2,1,3,336,-8.3070
1973,2,1,4,353,-7.6516
1973,2,1,5,529,-8.2780
1973,2,2,1,263,-8.5206
1973,2,2,2,237,-8.3101
1973,2,2,3,232,-7.7206
1973,2,2,4,241,-8.5934
1973,2,2,5,291,-8.9876
1973,2,3,1,303,-4.3439
1973,2,3,2,376,-4.3067
1973,2,3,3,382,-2.9240
1973,2,3,4,398,-3.7457
1973,2,3,5,317,-4.8593
1973,3,1,1,584,-3.4774
1973,3,1,2,422,-2.0433
1973,3,1,3,351,-0.7471
1973,3,1,4,375,-1.9241
1973,3,1,5,546,-2.1346
1973,3,2,1,282,-3.5337
1973,3,2,2,244,-2.9255
1973,3,2,3,250,-3.4904
1973,3,2,4,250,-2.9183
1973,3,2,5,307,-2.5504
1973,3,3,1,319,-1.5030
1973,3,3,2,392,-0.2357
1973,3,3,3,400,-0.2676
1973,3,3,4,412,0.4465
1973,3,3,5,340,-0.6288
1973,4,1,1,597,-7.2891
1973,4,1,2,418,-6.6427
1973,4,1,3,349,-6.5010
1973,4,1,4,377,-5.9216
1973,4,1,5,553,-7.9896
1973,4,2,1,278,-8.8602
1973,4,2,2,242,-7.0759
1973,4,2,3,250,-6.4361
1973,4,2,4,236,-5.7580
1973,4,2,5,306,-6.5434
1973,4,3,1,304,-5.6531
1973,4,3,2,378,-4.1471
1973,4,3,3,384,-4.3778
1973,4,3,4,401,-4.2546
1973,4,3,5,317,-5.4723
1973,5,1,1,608,-10.1275
1973,5,1,2,451,-9.1254
1973,5,1,3,378,-7.9139
1973,5,1,4,413,-9.0434
1973,5,1,5,576,-9.5830
1973,5,2,1,301,-8.9467
1973,5,2,2,264,-8.0962
1973,5,2,3,260,-8.1338
1973,5,2,4,261,-7.6980
1973,5,2,5,314,-9.6814
1973,5,3,1,325,-3.0729
1973,5,3,2,383,-1.6621
1973,5,3,3,409,-1.0460
1973,5,3,4,414,-1.1917
1973,5,3,5,345,-2.3223
1973,6,1,1,652,-3.9394
1973,6,1,2,479,-3.7417
1973,6,1,3,397,-3.0214
1973,6,1,4,436,-2.9233
1973,6,1,5,611,-3.7156
1973,6,2,1,307,-3.9009
1973,6,2,2,271,-3.6148
1973,6,2,3,263,-4.0799
1973,6,2,4,265,-4.4763
1973,6,2,5,318,-3.5080
1973,6,3,1,331,-2.9291
1973,6,3,2,395,-0.3587
1973,6,3,3,420,-0.9747
1973,6,3,4,416,-0.5301
1973,6,3,5,351,-1.5394
1973,7,1,1,647,13.6884
1973,7,1,2,466,13.3438
1973,7,1,3,387,11.3813
1973,7,1,4,430,12.7716
1973,7,1,5,609,15.8517
1973,7,2,1,297,14.8915
1973,7,2,2,259,11.9315
1973,7,2,3,248,12.6632
1973,7,2,4,256,11.2885
1973,7,2,5,304,13.1265
1973,7,3,1,306,7.8564
1973,7,3,2,376,4.6222
1973,7,3,3,397,4.6633
1973,7,3,4,391,5.0636
1973,7,3,5,326,6.7052
1973,8,1,1,661,-7.4483
1973,8,1,2,496,-6.4340
1973,8,1,3,410,-5.5202
1973,8,1,4,455,-5.7209
1973,8,1,5,647,-5.3766
1973,8,2,1,308,-5.0281
1973,8,2,2,266,-3.1009
1973,8,2,3,250,-2.2605
1973,8,2,4,272,-2.9377
1973,8,2,5,325,-3.2114
1973,8,3,1,331,-3.7369
1973,8,3,2,395,-3.3353
1973,8,3,3,432,-3.3294
1973,8,3,4,418,-3.5468
1973,8,3,5,355,-2.4010
1973,9,1,1,684,9.6047
1973,9,1,2,521,9.2189
1973,9,1,3,448,8.8874
1973,9,1,4,479,8.3816
1973,9,1,5,665,9.6035
1973,9,2,1,322,11.9995
1973,9,2,2,269,11.5271
1973,9,2,3,259,11.4887
1973,9,2,4,287,10.7087
1973,9,2,5,333,12.1558
1973,9,3,1,335,4.5299
1973,9,3,2,414,3.3454
1973,9,3,3,442,5.1754
1973,9,3,4,423,6.8193
1973,9,3,5,353,4.5313
1973,10,1,1,684,1.0354
1973,10,1,2,505,0.5497
1973,10,1,3,454,-0.1766
1973,10,1,4,482,0.6336
1973,10,1,5,661,0.5125
1973,10,2,1,308,-0.7594
1973,10,2,2,261,0.9092
1973,10,2,3,252,1.9608
1973,10,2,4,284,0.1813
1973,10,2,5,317,-0.2890
1973,10,3,1,323,-1.5390
1973,10,3,2,392,0.3884
1973,10,3,3,416,0.3499
1973,10,3,4,393,0.7130
1973,10,3,5,340,0.3300
1973,11,1,1,712,-20.9072
1973,11,1,2,531,-19.4804
1973,11,1,3,491,-19.0655
1973,11,1,4,509,-19.3126
1973,11,1,5,693,-21.1967
1973,11,2,1,315,-20.5474
1973,11,2,2,275,-18.8914
1973,11,2,3,274,-18.6245
1973,11,2,4,300,-18.3718
1973,11,2,5,337,-20.9651
1973,11,3,1,340,-13.5393
1973,11,3,2,431,-12.0373
1973,11,3,3,444,-11.1069
1973,11,3,4,419,-10.9680
1973,11,3,5,352,-13.0594
1973,12,1,1,729,-5.1836
1973,12,1,2,564,-3.6990
1973,12,1,3,507,-4.0053
1973,12,1,4,538,-3.9533
1973,12,1,5,713,-3.6202
1973,12,2,1,325,-2.2849
1973,12,2,2,285,-2.3919
1973,12,2,3,287,-0.5025
1973,12,2,4,312,0.5379
1973,12,2,5,345,-0.1708
1973,12,3,1,344,-2.1938
1973,12,3,2,444,-0.1815
1973,12,3,3,456,1.9582
1973,12,3,4,435,3.2958
1973,12,3,5,370,1.1921
1974,1,1,1,737,17.7175
1974,1,1,2,575,17.7693
1974,1,1,3,515,17.3680
1974,1,1,4,540,16.1246
1974,1,1,5,717,16.8748
1974,1,2,1,320,9.9912
1974,1,2,2,285,10.8094
1974,1,2,3,281,9.7841
1974,1,2,4,313,9.2785
1974,1,2,5,346,12.7156
1974,1,3,1,333,0.7809
1974,1,3,2,431,-0.1841
1974,1,3,3,448,-1.0453
1974,1,3,4,431,-1.1273
1974,1,3,5,367,-1.3809
1974,2,1,1,726,-1.7304
1974,2,1,2,565,-0.0422
1974,2,1,3,517,-1.2179
1974,2,1,4,538,-1.3455
1974,2,1,5,698,-1.2364
1974,2,2,1,325,0.7251
1974,2,2,2,287,1.3499
1974,2,2,3,280,0.6365
1974,2,2,4,321,1.1679
1974,2,2,5,349,1.5952
1974,2,3,1,335,1.6953
1974,2,3,2,441,-0.3165
1974,2,3,3,476,-0.3161
1974,2,3,4,442,0.7120
1974,2,3,5,375,-0.1616
1974,3,1,1,753,0.7543
1974,3,1,2,594,1.7022
1974,3,1,3,544,1.2901
1974,3,1,4,569,1.8131
1974,3,1,5,709,1.0232
1974,3,2,1,331,-1.5781
1974,3,2,2,307,0.1196
1974,3,2,3,304,-0.1025
1974,3,2,4,339,-0.4440
1974,3,2,5,360,-0.6442
1974,3,3,1,361,-2.8607
1974,3,3,2,474,-2.1323
1974,3,3,3,515,-1.3247
1974,3,3,4,479,-2.0498
1974,3,3,5,398,-2.4660
1974,4,1,1,734,-6.5887
1974,4,1,2,600,-5.3269
1974,4,1,3,545,-4.6745
1974,4,1,4,550,-5.0769
1974,4,1,5,728,-5.3126
1974,4,2,1,330,-6.6532
1974,4,2,2,308,-5.0647
1974,4,2,3,297,-4.0543
1974,4,2,4,338,-5.0629
1974,4,2,5,351,-3.9853
1974,4,3,1,339,-4.5530
1974,4,3,2,468,-3.6238
1974,4,3,3,502,-3.2273
1974,4,3,4,463,-3.3903
1974,4,3,5,382,-4.0755
1974,5,1,1,755,-7.9758
1974,5,1,2,596,-7.4383
1974,5,1,3,569,-7.4169
1974,5,1,4,574,-6.6197
1974,5,1,5,744,-7.5695
1974,5,2,1,341,-8.4884
1974,5,2,2,329,-6.9053
1974,5,2,3,327,-6.8335
1974,5,2,4,365,-7.2504
1974,5,2,5,371,-7.3120
1974,5,3,1,375,-4.0890
1974,5,3,2,495,-2.3951
1974,5,3,3,538,-2.2675
1974,5,3,4,495,-2.6410
1974,5,3,5,416,-4.0320
1974,6,1,1,769,-3.8451
1974,6,1,2,613,-1.9569
1974,6,1,3,586,-2.2205
1974,6,1,4,591,-1.2031
1974,6,1,5,753,-2.2696
1974,6,2,1,349,-2.6899
1974,6,2,2,336,-1.0413
1974,6,2,3,344,-1.8340
1974,6,2,4,376,-1.2500
1974,6,2,5,380,-1.2424
1974,6,3,1,384,-2.8965
1974,6,3,2,503,-0.9504
1974,6,3,3,543,-1.3029
1974,6,3,4,512,-0.9567
1974,6,3,5,431,-2.3257
1974,7,1,1,752,-5.3803
1974,7,1,2,578,-4.9653
1974,7,1,3,552,-3.4958
1974,7,1,4,568,-3.4292
1974,7,1,5,721,-3.4771
1974,7,2,1,333,-5.0375
1974,7,2,2,305,-4.1540
1974,7,2,3,329,-3.0198
