year,month,rank_ME,rank_SUE_6,nstocks,ret_vw
1967,1,1,1,12,20.9959
1967,1,1,2,9,24.4315
1967,1,1,3,5,24.1331
1967,1,1,4,4,14.7514
1967,1,1,5,1,46.7949
1967,1,2,1,26,19.6490
1967,1,2,2,15,13.9829
1967,1,2,3,24,18.9955
1967,1,2,4,12,13.3853
1967,1,2,5,11,19.4577
1967,1,3,1,67,10.7497
1967,1,3,2,79,8.9125
1967,1,3,3,75,6.3062
1967,1,3,4,89,6.1485
1967,1,3,5,93,7.0102
1967,2,1,1,16,2.2629
1967,2,1,2,15,0.3404
1967,2,1,3,10,5.6690
1967,2,1,4,8,4.1331
1967,2,1,5,3,3.1946
1967,2,2,1,40,-0.4002
1967,2,2,2,30,1.7643
1967,2,2,3,35,1.1330
1967,2,2,4,19,1.0406
1967,2,2,5,18,-0.5217
1967,2,3,1,107,-1.4161
1967,2,3,2,125,0.2868
1967,2,3,3,127,0.9694
1967,2,3,4,150,0.8274
1967,2,3,5,134,1.9453
1967,3,1,1,16,5.1072
1967,3,1,2,15,4.8932
1967,3,1,3,11,8.9286
1967,3,1,4,9,9.1822
1967,3,1,5,3,5.5675
1967,3,2,1,44,6.8941
1967,3,2,2,30,3.5772
1967,3,2,3,38,5.9024
1967,3,2,4,22,6.9954
1967,3,2,5,19,8.6825
1967,3,3,1,115,5.2732
1967,3,3,2,134,4.3370
1967,3,3,3,136,3.7881
1967,3,3,4,156,4.1489
1967,3,3,5,139,3.8922
1967,4,1,1,19,3.2598
1967,4,1,2,15,6.5944
1967,4,1,3,12,5.1839
1967,4,1,4,9,5.1893
1967,4,1,5,3,5.2301
1967,4,2,1,47,1.9076
1967,4,2,2,33,3.1028
1967,4,2,3,40,3.6467
1967,4,2,4,24,5.0269
1967,4,2,5,21,6.2443
1967,4,3,1,116,7.4432
1967,4,3,2,136,2.0687
1967,4,3,3,140,3.5725
1967,4,3,4,159,6.0489
1967,4,3,5,142,3.0713
1967,5,1,1,23,2.5605
1967,5,1,2,18,3.0548
1967,5,1,3,15,-2.8651
1967,5,1,4,11,-0.6697
1967,5,1,5,5,7.1864
1967,5,2,1,58,-3.6016
1967,5,2,2,47,-2.0222
1967,5,2,3,51,-1.8135
1967,5,2,4,34,-2.4528
1967,5,2,5,28,-2.3269
1967,5,3,1,151,-6.3168
1967,5,3,2,184,-3.8708
1967,5,3,3,185,-3.1527
1967,5,3,4,205,-5.1605
1967,5,3,5,180,-4.9230
1967,6,1,1,23,9.9571
1967,6,1,2,18,7.4533
1967,6,1,3,16,9.9598
1967,6,1,4,14,7.2176
1967,6,1,5,5,4.8480
1967,6,2,1,62,7.7789
1967,6,2,2,50,2.8214
1967,6,2,3,54,6.6397
1967,6,2,4,37,5.1340
1967,6,2,5,29,6.6893
1967,6,3,1,154,0.1109
1967,6,3,2,190,1.3766
1967,6,3,3,189,1.3860
1967,6,3,4,212,2.5848
1967,6,3,5,185,2.5465
1967,7,1,1,21,7.6733
1967,7,1,2,15,6.7467
1967,7,1,3,15,11.8185
1967,7,1,4,14,6.5171
1967,7,1,5,4,5.5069
1967,7,2,1,58,9.1261
1967,7,2,2,43,7.2897
1967,7,2,3,44,6.8330
1967,7,2,4,34,9.3241
1967,7,2,5,23,8.2908
1967,7,3,1,124,7.3672
1967,7,3,2,156,6.6284
1967,7,3,3,158,3.9361
1967,7,3,4,165,3.6901
1967,7,3,5,153,2.7530
1967,8,1,1,25,3.0861
1967,8,1,2,21,2.7480
1967,8,1,3,20,-0.5283
1967,8,1,4,17,0.9755
1967,8,1,5,5,-1.7109
1967,8,2,1,67,0.9399
1967,8,2,2,51,2.6884
1967,8,2,3,55,0.4544
1967,8,2,4,40,0.2276
1967,8,2,5,23,-1.2503
1967,8,3,1,139,0.2890
1967,8,3,2,187,-0.6387
1967,8,3,3,186,-0.7448
1967,8,3,4,203,-1.2838
1967,8,3,5,179,-1.3140
1967,9,1,1,26,6.1996
1967,9,1,2,20,5.8605
1967,9,1,3,21,2.8966
1967,9,1,4,18,8.0320
1967,9,1,5,4,16.9352
1967,9,2,1,68,3.2455
1967,9,2,2,55,1.9729
1967,9,2,3,51,4.1426
1967,9,2,4,46,4.7091
1967,9,2,5,26,4.2256
1967,9,3,1,140,4.0157
1967,9,3,2,188,3.2798
1967,9,3,3,191,2.9044
1967,9,3,4,205,1.9530
1967,9,3,5,179,4.1335
1967,10,1,1,21,-2.7276
1967,10,1,2,19,-6.3862
1967,10,1,3,16,-3.5868
1967,10,1,4,12,-1.5318
1967,10,1,5,4,1.5790
1967,10,2,1,60,-3.9981
1967,10,2,2,47,-5.4151
1967,10,2,3,41,-1.5582
1967,10,2,4,49,-5.9443
1967,10,2,5,22,-2.6524
1967,10,3,1,114,-5.7355
1967,10,3,2,149,-5.0024
1967,10,3,3,151,-3.5335
1967,10,3,4,159,-2.7405
1967,10,3,5,154,0.8042
1967,11,1,1,23,3.5542
1967,11,1,2,24,5.0555
1967,11,1,3,20,-0.2563
1967,11,1,4,14,9.3040
1967,11,1,5,5,-4.3028
1967,11,2,1,63,-1.6278
1967,11,2,2,63,-0.7532
1967,11,2,3,48,1.7935
1967,11,2,4,55,-1.8295
1967,11,2,5,29,-0.2886
1967,11,3,1,145,-1.4208
1967,11,3,2,182,0.1632
1967,11,3,3,187,0.5400
1967,11,3,4,196,1.1820
1967,11,3,5,182,1.9799
1967,12,1,1,21,6.8797
1967,12,1,2,24,12.3743
1967,12,1,3,20,7.0466
1967,12,1,4,15,5.7498
1967,12,1,5,5,7.9681
1967,12,2,1,59,3.4816
1967,12,2,2,66,5.0137
1967,12,2,3,50,3.7489
1967,12,2,4,56,4.9216
1967,12,2,5,30,5.5598
1967,12,3,1,146,2.7852
1967,12,3,2,185,1.8369
1967,12,3,3,187,2.8866
1967,12,3,4,199,3.3471
1967,12,3,5,180,2.6204
1968,1,1,1,19,1.0805
1968,1,1,2,22,2.0442
1968,1,1,3,17,-0.2202
1968,1,1,4,13,-0.7728
1968,1,1,5,3,1.3273
1968,1,2,1,48,0.2462
1968,1,2,2,59,1.3146
1968,1,2,3,49,1.5320
1968,1,2,4,47,-0.6917
1968,1,2,5,23,1.3809
1968,1,3,1,122,-3.6438
1968,1,3,2,145,-4.7502
1968,1,3,3,143,-4.6616
1968,1,3,4,163,-3.7668
1968,1,3,5,141,-5.3855
1968,2,1,1,19,-2.2265
1968,2,1,2,26,-5.8685
1968,2,1,3,18,-5.6593
1968,2,1,4,17,-5.6290
1968,2,1,5,9,-4.3576
1968,2,2,1,59,-2.7261
1968,2,2,2,72,-3.8946
1968,2,2,3,62,-5.8012
1968,2,2,4,59,-5.5272
1968,2,2,5,26,-0.5383
1968,2,3,1,163,-2.9236
1968,2,3,2,169,-2.4726
1968,2,3,3,181,-2.6097
1968,2,3,4,192,-4.0622
1968,2,3,5,173,-2.7752
1968,3,1,1,21,-4.0210
1968,3,1,2,25,-1.0793
1968,3,1,3,17,2.2763
1968,3,1,4,17,2.5057
1968,3,1,5,9,3.4080
1968,3,2,1,57,1.1209
1968,3,2,2,72,0.2240
1968,3,2,3,63,-0.0943
1968,3,2,4,54,-2.9706
1968,3,2,5,27,1.6413
1968,3,3,1,165,-1.0114
1968,3,3,2,168,-0.2986
1968,3,3,3,184,1.4049
1968,3,3,4,193,0.2880
1968,3,3,5,174,1.5550
1968,4,1,1,17,18.5385
1968,4,1,2,22,15.5473
1968,4,1,3,17,13.4976
1968,4,1,4,15,11.0368
1968,4,1,5,9,13.2268
1968,4,2,1,50,11.7538
1968,4,2,2,66,12.7093
1968,4,2,3,53,15.4771
1968,4,2,4,44,11.6705
1968,4,2,5,25,11.7395
1968,4,3,1,147,9.5805
1968,4,3,2,134,10.4653
1968,4,3,3,156,9.0168
1968,4,3,4,162,7.8041
1968,4,3,5,155,8.1806
1968,5,1,1,20,5.2010
1968,5,1,2,25,5.8433
1968,5,1,3,18,10.2765
1968,5,1,4,15,9.5604
1968,5,1,5,12,7.0732
1968,5,2,1,63,4.0301
1968,5,2,2,77,5.1473
1968,5,2,3,64,7.2611
1968,5,2,4,62,6.5443
1968,5,2,5,31,5.4880
1968,5,3,1,166,1.4293
1968,5,3,2,179,0.0764
1968,5,3,3,189,0.6316
1968,5,3,4,194,1.4686
1968,5,3,5,190,2.2464
1968,6,1,1,22,-1.3131
1968,6,1,2,23,2.9476
1968,6,1,3,18,2.5950
1968,6,1,4,17,1.4209
1968,6,1,5,13,2.4802
1968,6,2,1,62,-1.0901
1968,6,2,2,79,0.9752
1968,6,2,3,63,1.0648
1968,6,2,4,59,2.3108
1968,6,2,5,32,4.2791
1968,6,3,1,166,0.3447
1968,6,3,2,176,0.9853
1968,6,3,3,195,1.1965
1968,6,3,4,195,1.2421
1968,6,3,5,194,0.6223
1968,7,1,1,19,-0.4776
1968,7,1,2,18,-3.1492
1968,7,1,3,13,-1.5564
1968,7,1,4,16,-3.5830
1968,7,1,5,12,0.2100
1968,7,2,1,53,-4.5744
1968,7,2,2,68,-3.1666
1968,7,2,3,56,-2.7753
1968,7,2,4,56,-1.5025
1968,7,2,5,25,-0.6887
1968,7,3,1,129,-3.7664
1968,7,3,2,143,-2.7818
1968,7,3,3,155,-4.1817
1968,7,3,4,152,-2.3590
1968,7,3,5,156,-0.4605
1968,8,1,1,22,2.2284
1968,8,1,2,20,5.0671
1968,8,1,3,16,4.9184
1968,8,1,4,19,3.8785
1968,8,1,5,14,4.1900
1968,8,2,1,58,2.2979
1968,8,2,2,72,4.2352
1968,8,2,3,64,5.5191
1968,8,2,4,61,4.3188
1968,8,2,5,40,3.4110
1968,8,3,1,155,2.4597
1968,8,3,2,186,1.8261
1968,8,3,3,193,1.6297
1968,8,3,4,192,1.4499
1968,8,3,5,173,0.8815
1968,9,1,1,23,4.7339
1968,9,1,2,21,2.4057
1968,9,1,3,17,3.5180
1968,9,1,4,20,5.4602
1968,9,1,5,13,5.5140
1968,9,2,1,56,6.1765
1968,9,2,2,71,6.5436
1968,9,2,3,63,5.7760
1968,9,2,4,63,6.9668
1968,9,2,5,40,6.3872
1968,9,3,1,159,6.6812
1968,9,3,2,185,5.6409
1968,9,3,3,192,4.3699
1968,9,3,4,195,3.9388
1968,9,3,5,176,2.4467
1968,10,1,1,22,2.4516
1968,10,1,2,18,3.9265
1968,10,1,3,14,-1.3032
1968,10,1,4,15,-2.5304
1968,10,1,5,10,3.2492
1968,10,2,1,49,1.8205
1968,10,2,2,53,1.0127
1968,10,2,3,51,0.5125
1968,10,2,4,47,1.2885
1968,10,2,5,39,-0.4554
1968,10,3,1,129,2.1314
1968,10,3,2,153,1.4011
1968,10,3,3,144,1.9551
1968,10,3,4,157,0.6549
1968,10,3,5,150,-0.3912
1968,11,1,1,34,3.2170
1968,11,1,2,25,6.8760
1968,11,1,3,19,4.6244
1968,11,1,4,25,9.3491
1968,11,1,5,27,6.5443
1968,11,2,1,57,8.2361
1968,11,2,2,66,7.5586
1968,11,2,3,64,5.8129
1968,11,2,4,65,6.5852
1968,11,2,5,54,6.4886
1968,11,3,1,163,6.2898
1968,11,3,2,193,6.6263
1968,11,3,3,187,2.8027
1968,11,3,4,190,4.7959
1968,11,3,5,179,6.0016
1968,12,1,1,35,-2.8077
1968,12,1,2,30,-1.8769
1968,12,1,3,21,1.2362
1968,12,1,4,29,-1.7637
1968,12,1,5,29,-0.6425
1968,12,2,1,57,-1.3768
1968,12,2,2,67,-2.4287
1968,12,2,3,61,-2.6996
1968,12,2,4,68,-3.2623
1968,12,2,5,58,-1.9589
1968,12,3,1,165,-2.2347
1968,12,3,2,196,-3.1846
1968,12,3,3,192,-3.9810
1968,12,3,4,189,-4.3686
1968,12,3,5,182,-4.7261
1969,1,1,1,32,-1.6007
1969,1,1,2,28,-3.3306
1969,1,1,3,23,-5.4386
1969,1,1,4,32,-0.8775
1969,1,1,5,29,1.9135
1969,1,2,1,49,-0.0007
1969,1,2,2,51,-0.1570
1969,1,2,3,52,-0.0230
1969,1,2,4,56,0.3930
1969,1,2,5,56,-1.0878
1969,1,3,1,136,-1.0845
1969,1,3,2,160,-0.6971
1969,1,3,3,142,-0.3876
1969,1,3,4,150,-0.2704
1969,1,3,5,145,-1.3263
1969,2,1,1,50,-11.1736
1969,2,1,2,51,-8.3016
1969,2,1,3,36,-8.5956
1969,2,1,4,51,-8.2915
1969,2,1,5,41,-8.9487
1969,2,2,1,66,-8.3166
1969,2,2,2,77,-6.7471
1969,2,2,3,69,-7.0991
1969,2,2,4,79,-7.1669
1969,2,2,5,69,-6.6821
1969,2,3,1,169,-6.1261
1969,2,3,2,200,-5.5442
1969,2,3,3,195,-3.7650
1969,2,3,4,184,-4.3753
1969,2,3,5,173,-3.2076
1969,3,1,1,60,0.6701
1969,3,1,2,56,1.4258
1969,3,1,3,40,1.2404
1969,3,1,4,53,2.7869
1969,3,1,5,45,2.4873
1969,3,2,1,70,-0.0046
1969,3,2,2,81,1.4034
1969,3,2,3,73,3.8928
1969,3,2,4,81,2.4565
1969,3,2,5,71,2.6063
1969,3,3,1,168,0.9501
1969,3,3,2,200,2.0487
1969,3,3,3,196,3.5434
1969,3,3,4,185,2.0640
1969,3,3,5,173,6.3974
1969,4,1,1,66,-1.0345
1969,4,1,2,62,2.4635
1969,4,1,3,41,-0.8800
1969,4,1,4,49,-1.0678
1969,4,1,5,46,1.1925
1969,4,2,1,65,-0.8122
1969,4,2,2,73,-0.1397
1969,4,2,3,65,1.9178
1969,4,2,4,76,0.2379
1969,4,2,5,58,0.5898
1969,4,3,1,142,2.7401
1969,4,3,2,158,2.6737
1969,4,3,3,173,2.0211
1969,4,3,4,154,2.1351
