year,month,rank_ME,rank_NEI_1,nstocks,ret_vw
1969,12,1,2,137,-7.0685
1969,12,1,3,117,-7.5552
1969,12,1,4,70,-7.0063
1969,12,1,5,35,-7.1187
1969,12,2,1,110,-6.9527
1969,12,2,2,54,-6.6760
1969,12,2,3,66,-4.3737
1969,12,2,4,54,-5.2622
1969,12,2,5,51,-3.7695
1969,12,3,1,138,-2.8797
1969,12,3,2,81,-2.3633
1969,12,3,3,105,-3.5494
1969,12,3,4,115,-1.1691
1969,12,3,5,97,1.1902
1970,1,1,1,273,-0.6607
1970,1,1,2,131,-0.5415
1970,1,1,3,115,-2.9749
1970,1,1,4,69,-3.8980
1970,1,1,5,33,-8.1285
1970,1,2,1,109,-5.7661
1970,1,2,2,56,-4.0964
1970,1,2,3,65,-5.0372
1970,1,2,4,55,-7.1486
1970,1,2,5,50,-7.7656
1970,1,3,1,142,-8.9894
1970,1,3,2,75,-8.5444
1970,1,3,3,102,-5.1658
1970,1,3,4,117,-6.2521
1970,1,3,5,96,-8.8394
1970,2,1,1,296,2.9534
1970,2,1,2,86,2.7692
1970,2,1,3,116,4.4235
1970,2,1,4,73,1.1214
1970,2,1,5,32,3.5838
1970,2,2,1,121,2.7842
1970,2,2,2,56,4.8708
1970,2,2,3,63,2.9778
1970,2,2,4,42,7.2142
1970,2,2,5,55,5.3132
1970,2,3,1,139,6.6636
1970,2,3,2,78,7.0739
1970,2,3,3,117,7.0846
1970,2,3,4,108,4.8989
1970,2,3,5,92,4.2848
1970,3,1,1,301,-2.9230
1970,3,1,2,82,-2.2932
1970,3,1,3,115,-4.4154
1970,3,1,4,75,-2.8165
1970,3,1,5,35,-3.3370
1970,3,2,1,127,-1.2147
1970,3,2,2,57,-0.1960
1970,3,2,3,62,-0.6921
1970,3,2,4,41,-3.7650
1970,3,2,5,53,-1.6951
1970,3,3,1,141,0.9072
1970,3,3,2,78,2.3999
1970,3,3,3,116,0.4263
1970,3,3,4,105,-0.3936
1970,3,3,5,95,-1.9273
1970,4,1,1,313,-17.3176
1970,4,1,2,85,-18.4585
1970,4,1,3,110,-18.3846
1970,4,1,4,77,-18.4735
1970,4,1,5,34,-19.2212
1970,4,2,1,120,-14.9465
1970,4,2,2,61,-13.6395
1970,4,2,3,63,-15.0668
1970,4,2,4,40,-14.0643
1970,4,2,5,53,-15.9754
1970,4,3,1,141,-8.2470
1970,4,3,2,84,-9.3170
1970,4,3,3,111,-10.2131
1970,4,3,4,106,-9.2266
1970,4,3,5,95,-10.0892
1970,5,1,1,358,-9.0425
1970,5,1,2,120,-9.1315
1970,5,1,3,94,-10.3366
1970,5,1,4,69,-9.3792
1970,5,1,5,29,-9.6393
1970,5,2,1,155,-10.2457
1970,5,2,2,50,-9.4338
1970,5,2,3,67,-9.5220
1970,5,2,4,32,-10.5828
1970,5,2,5,49,-10.1976
1970,5,3,1,173,-4.2552
1970,5,3,2,75,-6.5741
1970,5,3,3,104,-6.4639
1970,5,3,4,103,-6.2890
1970,5,3,5,95,-7.2238
1970,6,1,1,356,-10.3532
1970,6,1,2,121,-10.2386
1970,6,1,3,92,-6.4848
1970,6,1,4,60,-8.9622
1970,6,1,5,33,-9.6544
1970,6,2,1,153,-9.3262
1970,6,2,2,50,-6.8000
1970,6,2,3,61,-7.5815
1970,6,2,4,44,-8.3014
1970,6,2,5,44,-3.7549
1970,6,3,1,176,-5.3806
1970,6,3,2,72,-4.1078
1970,6,3,3,109,-5.6439
1970,6,3,4,93,-5.9203
1970,6,3,5,96,-2.9105
1970,7,1,1,365,5.3182
1970,7,1,2,121,4.0188
1970,7,1,3,86,4.4411
1970,7,1,4,61,2.4668
1970,7,1,5,30,7.1488
1970,7,2,1,148,7.5843
1970,7,2,2,47,6.2598
1970,7,2,3,65,8.0502
1970,7,2,4,44,7.5620
1970,7,2,5,43,10.6939
1970,7,3,1,177,8.6394
1970,7,3,2,70,8.4754
1970,7,3,3,110,6.0101
1970,7,3,4,94,8.8486
1970,7,3,5,98,4.6675
1970,8,1,1,364,6.2472
1970,8,1,2,105,5.0731
1970,8,1,3,79,8.3368
1970,8,1,4,63,4.7781
1970,8,1,5,27,8.9389
1970,8,2,1,154,9.9629
1970,8,2,2,57,5.8819
1970,8,2,3,51,6.3945
1970,8,2,4,41,3.5521
1970,8,2,5,38,5.5380
1970,8,3,1,198,7.0204
1970,8,3,2,63,4.9923
1970,8,3,3,71,3.8455
1970,8,3,4,76,2.9891
1970,8,3,5,113,3.0540
1970,9,1,1,381,16.5336
1970,9,1,2,111,13.3504
1970,9,1,3,72,12.0369
1970,9,1,4,61,14.0104
1970,9,1,5,24,10.0165
1970,9,2,1,159,12.2780
1970,9,2,2,52,10.2845
1970,9,2,3,53,13.3481
1970,9,2,4,41,9.3951
1970,9,2,5,40,10.2839
1970,9,3,1,204,2.7533
1970,9,3,2,69,5.6557
1970,9,3,3,69,4.6469
1970,9,3,4,77,0.6619
1970,9,3,5,107,5.6191
1970,10,1,1,389,-9.6576
1970,10,1,2,108,-3.3062
1970,10,1,3,76,-5.9800
1970,10,1,4,58,-4.8575
1970,10,1,5,27,-2.1372
1970,10,2,1,156,-8.0979
1970,10,2,2,50,-1.5811
1970,10,2,3,55,-2.7509
1970,10,2,4,39,-5.1084
1970,10,2,5,37,-2.5649
1970,10,3,1,208,-1.4771
1970,10,3,2,70,0.7219
1970,10,3,3,72,-2.2590
1970,10,3,4,76,-2.2821
1970,10,3,5,108,0.1171
1970,11,1,1,459,-1.5037
1970,11,1,2,103,-0.2607
1970,11,1,3,70,-0.5076
1970,11,1,4,47,-2.1554
1970,11,1,5,23,0.2543
1970,11,2,1,190,2.6556
1970,11,2,2,42,2.4862
1970,11,2,3,57,4.6830
1970,11,2,4,37,0.2225
1970,11,2,5,36,4.0875
1970,11,3,1,243,5.1835
1970,11,3,2,63,7.2958
1970,11,3,3,80,4.2002
1970,11,3,4,73,6.3367
1970,11,3,5,103,5.2247
1970,12,1,1,464,9.5120
1970,12,1,2,101,12.4648
1970,12,1,3,72,8.5196
1970,12,1,4,46,5.7404
1970,12,1,5,21,10.4249
1970,12,2,1,187,10.3434
1970,12,2,2,40,8.4874
1970,12,2,3,58,8.6686
1970,12,2,4,37,7.4137
1970,12,2,5,38,8.7188
1970,12,3,1,240,7.0942
1970,12,3,2,62,5.2788
1970,12,3,3,85,5.1665
1970,12,3,4,74,5.7357
1970,12,3,5,101,4.3395
1971,1,1,1,464,16.7425
1971,1,1,2,101,15.6623
1971,1,1,3,71,16.1512
1971,1,1,4,47,11.5257
1971,1,1,5,22,10.9325
1971,1,2,1,189,10.5376
1971,1,2,2,40,8.7802
1971,1,2,3,56,10.0430
1971,1,2,4,36,10.6775
1971,1,2,5,35,6.6627
1971,1,3,1,238,4.8604
1971,1,3,2,61,4.8507
1971,1,3,3,84,2.9261
1971,1,3,4,74,5.7896
1971,1,3,5,105,3.9105
1971,2,1,1,440,5.2374
1971,2,1,2,116,8.8243
1971,2,1,3,86,7.2498
1971,2,1,4,39,5.1622
1971,2,1,5,20,3.1893
1971,2,2,1,172,2.2709
1971,2,2,2,58,5.6114
1971,2,2,3,56,3.7310
1971,2,2,4,33,4.8955
1971,2,2,5,35,1.8510
1971,2,3,1,262,0.1287
1971,2,3,2,68,2.3051
1971,2,3,3,78,4.0868
1971,2,3,4,52,2.1603
1971,2,3,5,104,1.0202
1971,3,1,1,433,6.1501
1971,3,1,2,121,6.9871
1971,3,1,3,86,8.3541
1971,3,1,4,35,6.2792
1971,3,1,5,22,6.9645
1971,3,2,1,179,5.3303
1971,3,2,2,62,8.6746
1971,3,2,3,55,7.6489
1971,3,2,4,33,7.2328
1971,3,2,5,34,5.2953
1971,3,3,1,261,2.7037
1971,3,3,2,66,4.3684
1971,3,3,3,81,4.8525
1971,3,3,4,54,5.9801
1971,3,3,5,104,5.2268
1971,4,1,1,423,2.5139
1971,4,1,2,121,4.7429
1971,4,1,3,88,0.5300
1971,4,1,4,39,2.8295
1971,4,1,5,22,-1.9190
1971,4,2,1,190,3.2450
1971,4,2,2,61,4.0622
1971,4,2,3,48,3.8684
1971,4,2,4,30,4.2658
1971,4,2,5,36,2.2270
1971,4,3,1,258,5.1741
1971,4,3,2,63,3.1390
1971,4,3,3,87,3.1578
1971,4,3,4,56,1.2505
1971,4,3,5,100,2.6166
1971,5,1,1,457,-7.7450
1971,5,1,2,120,-4.7610
1971,5,1,3,95,-3.5605
1971,5,1,4,40,-5.0130
1971,5,1,5,20,-5.3647
1971,5,2,1,198,-5.4302
1971,5,2,2,52,-2.6127
1971,5,2,3,55,-3.0385
1971,5,2,4,38,-3.1786
1971,5,2,5,30,-5.1636
1971,5,3,1,287,-2.9603
1971,5,3,2,58,-4.2916
1971,5,3,3,77,-3.2282
1971,5,3,4,62,-5.6001
1971,5,3,5,91,-2.6261
1971,6,1,1,457,-3.1978
1971,6,1,2,115,-1.7981
1971,6,1,3,96,-1.4905
1971,6,1,4,41,-2.4854
1971,6,1,5,20,2.0471
1971,6,2,1,192,-2.4831
1971,6,2,2,51,-1.2489
1971,6,2,3,59,0.6571
1971,6,2,4,39,2.1345
1971,6,2,5,27,0.5168
1971,6,3,1,282,-1.2135
1971,6,3,2,64,0.0221
1971,6,3,3,77,0.8586
1971,6,3,4,64,0.2068
1971,6,3,5,91,4.4125
1971,7,1,1,457,-6.5594
1971,7,1,2,117,-6.4651
1971,7,1,3,101,-5.8128
1971,7,1,4,41,-5.8178
1971,7,1,5,18,-4.5247
1971,7,2,1,186,-4.4097
1971,7,2,2,48,-3.3827
1971,7,2,3,58,-5.1409
1971,7,2,4,41,-5.0875
1971,7,2,5,28,-3.4453
1971,7,3,1,280,-4.9625
1971,7,3,2,66,-3.4328
1971,7,3,3,75,-2.7698
1971,7,3,4,67,-5.1539
1971,7,3,5,89,-3.1953
1971,8,1,1,403,2.9167
1971,8,1,2,162,6.9755
1971,8,1,3,110,5.2922
1971,8,1,4,49,5.5168
1971,8,1,5,15,5.2632
1971,8,2,1,163,4.4564
1971,8,2,2,69,6.3809
1971,8,2,3,60,4.6624
1971,8,2,4,36,4.6176
1971,8,2,5,26,1.6035
1971,8,3,1,227,5.2849
1971,8,3,2,114,7.1429
1971,8,3,3,77,1.2177
1971,8,3,4,60,4.0641
1971,8,3,5,87,2.7820
1971,9,1,1,396,-1.9817
1971,9,1,2,170,-0.3846
1971,9,1,3,122,2.7357
1971,9,1,4,49,-1.0698
1971,9,1,5,14,3.2371
1971,9,2,1,161,-2.4072
1971,9,2,2,73,0.5427
1971,9,2,3,55,-2.0031
1971,9,2,4,35,2.6521
1971,9,2,5,31,0.8433
1971,9,3,1,223,-1.0356
1971,9,3,2,116,-0.8749
1971,9,3,3,81,-0.7352
1971,9,3,4,62,0.2043
1971,9,3,5,86,-0.0079
1971,10,1,1,396,-6.8515
1971,10,1,2,173,-5.2640
1971,10,1,3,125,-6.3406
1971,10,1,4,50,-6.8667
1971,10,1,5,15,-4.9081
1971,10,2,1,164,-7.4203
1971,10,2,2,71,-5.6602
1971,10,2,3,57,-5.4893
1971,10,2,4,32,-3.1497
1971,10,2,5,29,-3.4164
1971,10,3,1,215,-5.4041
1971,10,3,2,118,-5.8974
1971,10,3,3,82,-2.8575
1971,10,3,4,62,-2.6456
1971,10,3,5,94,-1.4490
1971,11,1,1,347,-5.1565
1971,11,1,2,176,-4.2446
1971,11,1,3,189,-4.0692
1971,11,1,4,65,-3.6186
1971,11,1,5,16,-3.3590
1971,11,2,1,128,-3.6297
1971,11,2,2,70,-1.7565
1971,11,2,3,90,-1.8220
1971,11,2,4,51,0.4192
1971,11,2,5,24,-4.4092
1971,11,3,1,167,-1.3303
1971,11,3,2,109,-0.6546
1971,11,3,3,134,0.0661
1971,11,3,4,82,0.8625
1971,11,3,5,98,1.3548
1971,12,1,1,338,12.6010
1971,12,1,2,169,13.5502
1971,12,1,3,194,13.4725
