year,month,rank_ME,rank_RE_6,nstocks,ret_vw
1976,7,1,1,24,0.8147
1976,7,1,2,18,1.9508
1976,7,1,3,8,-1.9943
1976,7,1,4,4,-2.0302
1976,7,1,5,12,2.2277
1976,7,2,1,45,0.0375
1976,7,2,2,39,0.3504
1976,7,2,3,29,-2.1876
1976,7,2,4,17,1.0035
1976,7,2,5,47,-0.6374
1976,7,3,1,91,-0.8573
1976,7,3,2,88,-1.6253
1976,7,3,3,124,-1.0091
1976,7,3,4,111,-0.7117
1976,7,3,5,78,-1.0201
1976,8,1,1,28,-3.8425
1976,8,1,2,20,-2.6762
1976,8,1,3,12,0.9328
1976,8,1,4,6,-0.9481
1976,8,1,5,13,1.5074
1976,8,2,1,56,-2.4784
1976,8,2,2,48,-1.4180
1976,8,2,3,35,-3.7523
1976,8,2,4,30,-2.1543
1976,8,2,5,60,-3.3320
1976,8,3,1,106,-0.9930
1976,8,3,2,118,0.4631
1976,8,3,3,158,-0.3590
1976,8,3,4,147,0.8780
1976,8,3,5,94,-0.4628
1976,9,1,1,29,1.6032
1976,9,1,2,27,1.6829
1976,9,1,3,12,3.4223
1976,9,1,4,7,1.2316
1976,9,1,5,16,2.0352
1976,9,2,1,60,2.7542
1976,9,2,2,55,3.9072
1976,9,2,3,43,4.9514
1976,9,2,4,36,3.2583
1976,9,2,5,67,3.0431
1976,9,3,1,116,3.4353
1976,9,3,2,147,2.1734
1976,9,3,3,176,1.8325
1976,9,3,4,170,2.5103
1976,9,3,5,103,5.0922
1976,10,1,1,33,-4.1169
1976,10,1,2,28,-3.6061
1976,10,1,3,16,-3.6071
1976,10,1,4,8,-3.2887
1976,10,1,5,22,-6.5693
1976,10,2,1,63,-3.5203
1976,10,2,2,64,-3.5957
1976,10,2,3,49,-3.7730
1976,10,2,4,45,-3.9303
1976,10,2,5,72,-2.1668
1976,10,3,1,133,-3.2222
1976,10,3,2,178,-3.0606
1976,10,3,3,210,-2.2744
1976,10,3,4,196,-1.7431
1976,10,3,5,115,-1.6041
1976,11,1,1,39,3.3764
1976,11,1,2,34,2.7922
1976,11,1,3,16,-0.0212
1976,11,1,4,11,6.0997
1976,11,1,5,25,5.9495
1976,11,2,1,71,2.8826
1976,11,2,2,77,2.6632
1976,11,2,3,61,4.9694
1976,11,2,4,54,4.6046
1976,11,2,5,80,5.7212
1976,11,3,1,146,2.1956
1976,11,3,2,195,-2.8143
1976,11,3,3,231,0.1761
1976,11,3,4,227,1.1127
1976,11,3,5,125,1.6434
1976,12,1,1,39,16.1528
1976,12,1,2,36,15.1193
1976,12,1,3,23,12.2231
1976,12,1,4,14,7.7343
1976,12,1,5,30,10.0047
1976,12,2,1,79,9.8575
