year,month,rank_ME,rank_dEF_12,nstocks,ret_vw
1977,2,1,3,17,0.2519
1977,2,1,4,20,-3.1051
1977,2,1,5,65,-2.6593
1977,2,2,1,168,-1.7856
1977,2,2,2,104,-1.3568
1977,2,2,3,78,-1.8428
1977,2,2,4,109,-1.5194
1977,2,2,5,170,-1.4890
1977,2,3,1,312,-2.4947
1977,2,3,2,367,-1.6927
1977,2,3,3,367,-1.1935
1977,2,3,4,365,-1.4933
1977,2,3,5,322,-2.9578
1977,3,1,1,84,0.7977
1977,3,1,2,19,3.8019
1977,3,1,3,16,1.7460
1977,3,1,4,15,1.2941
1977,3,1,5,65,0.9721
1977,3,2,1,169,0.4130
1977,3,2,2,101,0.8058
1977,3,2,3,78,0.3186
1977,3,2,4,111,0.9391
1977,3,2,5,173,0.1889
1977,3,3,1,308,-0.8862
1977,3,3,2,362,-2.3479
1977,3,3,3,361,-1.1773
1977,3,3,4,362,-1.2581
1977,3,3,5,323,-1.1932
1977,4,1,1,85,0.5695
1977,4,1,2,19,-0.8868
1977,4,1,3,16,-0.0335
1977,4,1,4,15,-0.9304
1977,4,1,5,65,1.3004
1977,4,2,1,171,0.9741
1977,4,2,2,104,2.0523
1977,4,2,3,83,1.0322
1977,4,2,4,105,0.9080
1977,4,2,5,173,1.3680
1977,4,3,1,306,0.7048
1977,4,3,2,370,-0.7497
1977,4,3,3,363,-1.0774
1977,4,3,4,361,0.5039
1977,4,3,5,334,2.6023
1977,5,1,1,84,-0.3155
1977,5,1,2,21,1.0742
1977,5,1,3,17,4.6004
1977,5,1,4,16,2.4982
1977,5,1,5,62,-0.2943
1977,5,2,1,173,0.0544
1977,5,2,2,109,-1.2839
1977,5,2,3,82,-0.7148
1977,5,2,4,102,-0.7915
1977,5,2,5,176,-0.5322
1977,5,3,1,306,-2.3481
1977,5,3,2,371,-2.4611
1977,5,3,3,372,-1.2852
1977,5,3,4,367,-1.2004
1977,5,3,5,338,-0.8479
1977,6,1,1,83,7.6712
1977,6,1,2,23,6.2903
1977,6,1,3,18,13.2010
1977,6,1,4,15,11.1527
1977,6,1,5,64,8.1550
1977,6,2,1,168,6.7655
1977,6,2,2,111,7.2130
1977,6,2,3,82,7.2563
1977,6,2,4,102,6.8780
1977,6,2,5,177,8.1755
1977,6,3,1,296,3.3176
1977,6,3,2,372,4.1657
1977,6,3,3,374,5.0740
1977,6,3,4,361,5.1027
1977,6,3,5,342,4.5221
1977,7,1,1,81,0.2067
1977,7,1,2,25,0.7727
1977,7,1,3,19,2.2898
1977,7,1,4,19,-0.2217
1977,7,1,5,72,0.2178
1977,7,2,1,173,-1.5746
1977,7,2,2,117,-1.2313
1977,7,2,3,81,-1.1381
1977,7,2,4,107,-0.3693
1977,7,2,5,189,-0.7332
1977,7,3,1,297,-3.5398
1977,7,3,2,376,-2.1861
1977,7,3,3,385,-1.3558
1977,7,3,4,373,-1.1250
1977,7,3,5,353,-2.6030
1977,8,1,1,84,1.3402
1977,8,1,2,25,0.2492
1977,8,1,3,16,1.1137
1977,8,1,4,21,0.3274
1977,8,1,5,73,-0.1120
1977,8,2,1,170,-0.6307
1977,8,2,2,116,-0.1683
1977,8,2,3,82,-0.4617
1977,8,2,4,100,0.4186
1977,8,2,5,190,0.0679
1977,8,3,1,291,-2.2797
1977,8,3,2,371,-1.0250
1977,8,3,3,380,-0.8037
1977,8,3,4,366,-0.8734
1977,8,3,5,346,-1.9108
1977,9,1,1,86,-0.9971
1977,9,1,2,24,1.4570
1977,9,1,3,15,2.6537
1977,9,1,4,22,1.9236
1977,9,1,5,77,1.3420
1977,9,2,1,165,-0.0296
1977,9,2,2,120,1.5686
1977,9,2,3,82,1.4177
1977,9,2,4,96,4.2619
1977,9,2,5,189,4.0709
1977,9,3,1,290,-1.6776
1977,9,3,2,376,-0.4843
1977,9,3,3,381,-0.0685
1977,9,3,4,382,0.3755
1977,9,3,5,353,-0.2069
1977,10,1,1,86,-1.8017
1977,10,1,2,25,-3.0271
1977,10,1,3,14,-3.1201
1977,10,1,4,22,-1.4808
1977,10,1,5,73,-1.9443
1977,10,2,1,167,-2.7799
1977,10,2,2,120,-1.5616
1977,10,2,3,72,-2.5857
1977,10,2,4,100,-1.3004
1977,10,2,5,197,-3.2640
1977,10,3,1,289,-4.4015
1977,10,3,2,379,-4.9568
1977,10,3,3,382,-3.8333
1977,10,3,4,386,-4.1160
1977,10,3,5,354,-3.7991
1977,11,1,1,88,10.6500
1977,11,1,2,23,12.3339
1977,11,1,3,13,7.2056
1977,11,1,4,21,8.2056
1977,11,1,5,79,10.4779
1977,11,2,1,174,8.2068
1977,11,2,2,121,8.3533
1977,11,2,3,70,8.7333
1977,11,2,4,105,7.4902
1977,11,2,5,194,8.5012
1977,11,3,1,284,4.0195
1977,11,3,2,378,3.3578
1977,11,3,3,380,3.3789
1977,11,3,4,390,3.8992
1977,11,3,5,345,5.2644
1977,12,1,1,97,3.1256
1977,12,1,2,25,2.7649
1977,12,1,3,15,0.3628
1977,12,1,4,23,5.3637
1977,12,1,5,84,2.9821
1977,12,2,1,181,0.1548
1977,12,2,2,126,0.9497
1977,12,2,3,82,2.4203
1977,12,2,4,112,1.8618
1977,12,2,5,203,2.2829
1977,12,3,1,283,0.3814
1977,12,3,2,385,0.3461
1977,12,3,3,384,0.5541
1977,12,3,4,401,0.7570
1977,12,3,5,361,0.4885
1978,1,1,1,98,-3.6861
1978,1,1,2,22,-5.1896
1978,1,1,3,13,-5.3796
1978,1,1,4,21,-5.9274
1978,1,1,5,88,-4.3818
1978,1,2,1,179,-3.5497
1978,1,2,2,130,-4.4807
1978,1,2,3,82,-5.8284
1978,1,2,4,113,-6.0274
1978,1,2,5,200,-6.2410
1978,1,3,1,287,-5.4346
1978,1,3,2,391,-6.0429
1978,1,3,3,380,-5.7706
1978,1,3,4,405,-6.2683
1978,1,3,5,354,-6.4340
1978,2,1,1,100,2.7835
1978,2,1,2,21,-1.0045
1978,2,1,3,14,-1.5383
1978,2,1,4,19,2.7254
1978,2,1,5,90,2.5822
1978,2,2,1,178,-0.2107
1978,2,2,2,125,0.2162
1978,2,2,3,84,0.9589
1978,2,2,4,111,1.5847
1978,2,2,5,200,2.6722
1978,2,3,1,296,-3.5700
1978,2,3,2,390,-3.1679
1978,2,3,3,379,-1.3454
1978,2,3,4,409,-0.9254
1978,2,3,5,356,-0.9916
1978,3,1,1,104,7.0023
1978,3,1,2,22,7.3785
1978,3,1,3,13,0.3124
1978,3,1,4,20,5.9791
1978,3,1,5,92,7.7844
1978,3,2,1,179,6.4234
1978,3,2,2,126,5.9481
1978,3,2,3,83,6.7582
1978,3,2,4,113,8.1047
1978,3,2,5,205,7.5584
1978,3,3,1,294,4.0441
1978,3,3,2,393,2.2816
1978,3,3,3,383,1.8763
1978,3,3,4,407,2.2596
1978,3,3,5,354,4.1221
1978,4,1,1,109,8.7992
1978,4,1,2,24,11.5471
1978,4,1,3,17,12.6828
1978,4,1,4,22,11.6042
1978,4,1,5,99,10.6022
1978,4,2,1,189,8.0524
1978,4,2,2,137,10.0604
1978,4,2,3,86,10.9914
1978,4,2,4,124,10.6542
1978,4,2,5,217,11.1398
1978,4,3,1,308,7.9858
1978,4,3,2,397,9.0558
1978,4,3,3,390,9.1331
1978,4,3,4,412,8.9806
1978,4,3,5,353,10.4845
1978,5,1,1,112,10.0365
1978,5,1,2,26,7.4649
1978,5,1,3,16,1.3226
1978,5,1,4,20,7.7849
1978,5,1,5,102,8.3941
1978,5,2,1,190,7.7337
1978,5,2,2,144,5.3080
1978,5,2,3,89,6.2590
1978,5,2,4,125,5.7362
1978,5,2,5,219,7.1472
