year,month,rank_ME,rank_ILR_1,nstocks,ret_vw
1967,1,1,1,226,17.9445
1967,1,1,2,245,20.4465
1967,1,1,3,205,21.2213
1967,1,1,4,203,19.3788
1967,1,1,5,54,14.8750
1967,1,2,1,81,14.8602
1967,1,2,2,103,14.6813
1967,1,2,3,101,14.7438
1967,1,2,4,109,15.2710
1967,1,2,5,21,18.0330
1967,1,3,1,130,11.4292
1967,1,3,2,149,9.7375
1967,1,3,3,213,11.7260
1967,1,3,4,104,11.3208
1967,1,3,5,18,6.3291
1967,2,1,1,144,4.0028
1967,2,1,2,77,6.0251
1967,2,1,3,306,4.9603
1967,2,1,4,246,7.4473
1967,2,1,5,164,5.5794
1967,2,2,1,73,5.3285
1967,2,2,2,40,4.5056
1967,2,2,3,121,2.7449
1967,2,2,4,127,3.2081
1967,2,2,5,53,1.9448
1967,2,3,1,210,1.9740
1967,2,3,2,91,3.0171
1967,2,3,3,141,1.5068
1967,2,3,4,115,0.1199
1967,2,3,5,58,2.0731
1967,3,1,1,136,7.2667
1967,3,1,2,238,6.8876
1967,3,1,3,245,12.4574
1967,3,1,4,200,7.2072
1967,3,1,5,113,8.8985
1967,3,2,1,109,5.7381
1967,3,2,2,101,5.8412
1967,3,2,3,94,8.0831
1967,3,2,4,83,7.7013
1967,3,2,5,36,10.1511
1967,3,3,1,174,2.2294
1967,3,3,2,190,3.5732
1967,3,3,3,122,6.6027
1967,3,3,4,93,5.1696
1967,3,3,5,36,7.4337
1967,4,1,1,201,2.5726
1967,4,1,2,253,3.8147
1967,4,1,3,227,7.2142
1967,4,1,4,58,3.2811
1967,4,1,5,189,5.0189
1967,4,2,1,84,2.8100
1967,4,2,2,89,5.2356
1967,4,2,3,110,2.8521
1967,4,2,4,36,3.8792
1967,4,2,5,108,3.8962
1967,4,3,1,134,7.9195
1967,4,3,2,173,3.6577
1967,4,3,3,143,5.1732
1967,4,3,4,88,3.6902
1967,4,3,5,74,9.6621
1967,5,1,1,117,1.7372
1967,5,1,2,180,1.5159
1967,5,1,3,275,1.4086
1967,5,1,4,161,-2.3328
1967,5,1,5,190,0.1084
1967,5,2,1,67,0.4295
1967,5,2,2,84,-3.0839
1967,5,2,3,133,-1.5538
1967,5,2,4,77,-2.4065
1967,5,2,5,70,-2.5406
1967,5,3,1,162,-0.9320
1967,5,3,2,143,-2.5074
1967,5,3,3,140,-3.8584
1967,5,3,4,103,-3.5453
1967,5,3,5,67,-4.4390
1967,6,1,1,213,12.1888
1967,6,1,2,206,7.7186
1967,6,1,3,214,10.8881
1967,6,1,4,173,9.3514
1967,6,1,5,110,12.2331
1967,6,2,1,88,6.1885
1967,6,2,2,107,7.1147
1967,6,2,3,119,10.2254
1967,6,2,4,92,7.8653
1967,6,2,5,32,9.8214
1967,6,3,1,93,3.8993
1967,6,3,2,228,1.8653
1967,6,3,3,176,2.1560
1967,6,3,4,84,3.5398
1967,6,3,5,28,6.2717
1967,7,1,1,136,6.8963
1967,7,1,2,197,9.7096
1967,7,1,3,345,8.7286
1967,7,1,4,123,8.2161
1967,7,1,5,105,10.7881
1967,7,2,1,101,5.2985
1967,7,2,2,106,10.1271
1967,7,2,3,156,10.6568
1967,7,2,4,50,4.5458
1967,7,2,5,37,6.6590
1967,7,3,1,198,4.5064
1967,7,3,2,170,5.8508
1967,7,3,3,131,5.7801
1967,7,3,4,76,4.4464
1967,7,3,5,34,2.6607
1967,8,1,1,70,2.0056
1967,8,1,2,95,-0.2900
1967,8,1,3,340,0.5609
1967,8,1,4,311,-0.4977
1967,8,1,5,87,0.8046
1967,8,2,1,50,2.8380
1967,8,2,2,43,-0.7811
1967,8,2,3,148,-1.2471
1967,8,2,4,163,-0.1923
1967,8,2,5,44,-2.5545
1967,8,3,1,125,0.8693
1967,8,3,2,80,-1.7731
1967,8,3,3,173,1.0938
1967,8,3,4,176,-0.3045
1967,8,3,5,53,-4.2725
1967,9,1,1,44,3.6484
1967,9,1,2,151,6.1208
1967,9,1,3,219,11.2000
1967,9,1,4,281,7.1215
1967,9,1,5,212,9.3249
1967,9,2,1,25,5.6531
1967,9,2,2,96,4.6240
1967,9,2,3,107,8.3595
1967,9,2,4,125,4.5414
1967,9,2,5,96,6.8958
1967,9,3,1,25,2.9009
1967,9,3,2,218,1.3481
1967,9,3,3,172,4.7481
1967,9,3,4,124,3.3595
1967,9,3,5,67,5.7669
1967,10,1,1,120,-5.8963
1967,10,1,2,236,-1.8681
1967,10,1,3,276,-1.8570
1967,10,1,4,159,-1.7245
1967,10,1,5,121,-1.0968
1967,10,2,1,95,-2.7155
1967,10,2,2,116,-5.8989
1967,10,2,3,101,-2.1435
1967,10,2,4,89,-0.9713
1967,10,2,5,49,-1.6910
1967,10,3,1,176,-5.7858
1967,10,3,2,144,-3.9260
1967,10,3,3,148,-2.1968
1967,10,3,4,97,0.2104
1967,10,3,5,39,2.4564
1967,11,1,1,165,0.8824
1967,11,1,2,216,-0.5568
1967,11,1,3,150,-0.2791
1967,11,1,4,266,1.1770
1967,11,1,5,115,-0.0532
1967,11,2,1,111,-0.4198
1967,11,2,2,130,1.7802
1967,11,2,3,70,0.9584
1967,11,2,4,92,1.6521
1967,11,2,5,45,-0.7457
1967,11,3,1,132,1.2732
1967,11,3,2,230,-1.5147
