year,month,rank_ME,rank_ILR_12,nstocks,ret_vw
1967,12,2,1,436,6.1689
1967,12,2,2,461,6.0108
1967,12,2,3,495,7.2236
1967,12,2,4,474,6.7708
1967,12,2,5,341,9.9876
1967,12,3,1,587,3.0942
1967,12,3,2,596,3.0773
1967,12,3,3,627,3.2875
1967,12,3,4,515,2.8392
1967,12,3,5,368,4.1888
1968,1,1,1,825,2.4166
1968,1,1,2,829,2.2675
1968,1,1,3,928,2.7857
1968,1,1,4,887,2.1871
1968,1,1,5,656,2.7311
1968,1,2,1,425,0.8095
1968,1,2,2,436,-1.3539
1968,1,2,3,511,-1.5235
1968,1,2,4,469,-1.9068
1968,1,2,5,355,-1.4213
1968,1,3,1,548,-3.8073
1968,1,3,2,570,-3.8748
1968,1,3,3,619,-4.0512
1968,1,3,4,497,-5.0808
1968,1,3,5,381,-5.3175
1968,2,1,1,775,-5.8199
1968,2,1,2,842,-6.0936
1968,2,1,3,926,-7.4115
1968,2,1,4,916,-6.5365
1968,2,1,5,631,-5.9107
1968,2,2,1,413,-4.7321
1968,2,2,2,443,-4.8284
1968,2,2,3,504,-5.5458
1968,2,2,4,489,-5.1730
1968,2,2,5,345,-5.6299
1968,2,3,1,487,-3.5467
1968,2,3,2,579,-3.0422
1968,2,3,3,618,-4.1635
1968,2,3,4,602,-4.5392
1968,2,3,5,369,-4.9539
1968,3,1,1,798,-1.4871
1968,3,1,2,906,-1.5557
1968,3,1,3,925,-1.9377
1968,3,1,4,922,-1.6616
1968,3,1,5,634,-1.7242
1968,3,2,1,425,-1.6185
1968,3,2,2,474,-1.0822
1968,3,2,3,503,-0.9951
1968,3,2,4,496,-0.8864
1968,3,2,5,346,-1.3049
1968,3,3,1,494,1.1919
1968,3,3,2,610,1.2202
1968,3,3,3,611,1.4773
1968,3,3,4,616,1.9580
1968,3,3,5,372,1.2595
1968,4,1,1,707,15.4087
1968,4,1,2,911,14.3185
1968,4,1,3,933,16.4997
1968,4,1,4,924,15.2747
1968,4,1,5,630,16.6665
1968,4,2,1,407,13.4272
1968,4,2,2,485,12.3119
1968,4,2,3,505,14.9772
1968,4,2,4,501,14.2566
1968,4,2,5,326,16.1993
1968,4,3,1,465,10.2996
1968,4,3,2,609,9.2277
1968,4,3,3,607,10.9029
1968,4,3,4,614,10.6050
1968,4,3,5,367,11.5266
1968,5,1,1,735,11.8754
1968,5,1,2,899,11.6467
1968,5,1,3,938,12.6821
1968,5,1,4,955,12.4161
1968,5,1,5,621,14.5163
1968,5,2,1,423,5.7070
1968,5,2,2,470,6.6279
1968,5,2,3,505,6.9374
1968,5,2,4,518,7.3388
1968,5,2,5,321,6.3225
1968,5,3,1,509,3.1043
1968,5,3,2,605,3.2550
1968,5,3,3,604,3.0483
1968,5,3,4,616,3.4544
1968,5,3,5,364,4.6832
1968,6,1,1,674,1.2338
1968,6,1,2,897,0.4445
1968,6,1,3,906,1.1165
1968,6,1,4,965,0.4723
1968,6,1,5,622,0.4229
1968,6,2,1,400,0.7303
1968,6,2,2,470,-0.3745
1968,6,2,3,481,-0.1568
1968,6,2,4,517,-0.3062
1968,6,2,5,332,0.5092
1968,6,3,1,491,0.5306
1968,6,3,2,611,0.6518
1968,6,3,3,576,-0.0236
1968,6,3,4,618,-0.0547
1968,6,3,5,376,0.0001
1968,7,1,1,662,-3.1487
1968,7,1,2,886,-4.0475
1968,7,1,3,887,-4.2800
1968,7,1,4,952,-3.7222
1968,7,1,5,607,-3.2475
1968,7,2,1,391,-3.8732
1968,7,2,2,477,-4.3030
1968,7,2,3,474,-4.1575
1968,7,2,4,513,-3.6206
1968,7,2,5,330,-3.5370
1968,7,3,1,477,-4.8689
1968,7,3,2,611,-4.0921
1968,7,3,3,568,-3.9598
1968,7,3,4,616,-4.5192
1968,7,3,5,363,-5.3142
1968,8,1,1,660,3.3501
1968,8,1,2,879,3.7988
1968,8,1,3,922,4.6523
1968,8,1,4,917,3.9608
1968,8,1,5,621,4.4921
1968,8,2,1,389,2.8839
