year,month,rank_ME,rank_R6_12,nstocks,ret_vw
1967,1,1,1,407,24.4863
1967,1,1,2,195,19.7096
1967,1,1,3,125,17.9784
1967,1,1,4,94,12.9823
1967,1,1,5,71,14.4918
1967,1,2,1,94,21.8867
1967,1,2,2,80,16.2665
1967,1,2,3,77,15.6680
1967,1,2,4,73,12.0465
1967,1,2,5,72,12.0669
1967,1,3,1,68,13.2751
1967,1,3,2,93,13.5993
1967,1,3,3,122,7.2832
1967,1,3,4,153,5.9651
1967,1,3,5,170,5.8726
1967,2,1,1,503,4.2910
1967,2,1,2,282,4.5885
1967,2,1,3,200,5.5033
1967,2,1,4,159,6.0105
1967,2,1,5,117,7.8683
1967,2,2,1,133,1.1790
1967,2,2,2,132,2.0318
1967,2,2,3,124,2.4128
1967,2,2,4,107,2.1753
1967,2,2,5,94,4.1868
1967,2,3,1,89,1.0737
1967,2,3,2,149,-1.0460
1967,2,3,3,200,-0.0697
1967,2,3,4,241,1.2215
1967,2,3,5,224,2.0922
1967,3,1,1,557,5.3946
1967,3,1,2,378,6.9174
1967,3,1,3,295,7.5732
1967,3,1,4,232,8.2837
1967,3,1,5,193,8.8658
1967,3,2,1,158,5.9944
1967,3,2,2,182,5.9039
1967,3,2,3,169,4.6947
1967,3,2,4,149,7.0140
1967,3,2,5,136,7.4831
1967,3,3,1,129,3.7549
1967,3,3,2,216,5.4848
1967,3,3,3,277,4.3104
1967,3,3,4,321,3.5595
1967,3,3,5,262,4.7533
1967,4,1,1,590,3.3456
1967,4,1,2,444,3.6438
1967,4,1,3,383,4.2386
1967,4,1,4,335,6.0010
1967,4,1,5,298,7.3323
1967,4,2,1,178,2.7023
1967,4,2,2,212,2.8676
1967,4,2,3,201,2.8892
1967,4,2,4,190,4.6979
1967,4,2,5,166,4.1025
1967,4,3,1,160,6.3981
1967,4,3,2,272,6.0854
1967,4,3,3,348,2.0022
1967,4,3,4,357,2.9693
1967,4,3,5,285,5.9995
1967,5,1,1,619,-0.4060
1967,5,1,2,497,0.9746
1967,5,1,3,445,0.1669
1967,5,1,4,409,-0.2300
1967,5,1,5,355,-0.9101
1967,5,2,1,203,-1.9649
1967,5,2,2,234,-1.4075
1967,5,2,3,220,-1.6266
1967,5,2,4,225,-1.2033
1967,5,2,5,195,-1.5324
1967,5,3,1,210,-5.4485
1967,5,3,2,326,-4.9881
1967,5,3,3,387,-3.5414
1967,5,3,4,393,-3.8649
1967,5,3,5,310,-3.7355
1967,6,1,1,622,8.5150
1967,6,1,2,533,8.1329
1967,6,1,3,510,8.8026
1967,6,1,4,469,11.7018
1967,6,1,5,408,17.6321
1967,6,2,1,218,4.6643
1967,6,2,2,250,6.3267
1967,6,2,3,260,5.6568
1967,6,2,4,251,6.8786
1967,6,2,5,218,10.6449
1967,6,3,1,269,1.0354
1967,6,3,2,367,1.2118
1967,6,3,3,423,1.2336
1967,6,3,4,427,2.8995
1967,6,3,5,319,4.5821
1967,7,1,1,632,9.8963
1967,7,1,2,564,9.7842
1967,7,1,3,554,9.4111
1967,7,1,4,526,10.2392
1967,7,1,5,469,6.9174
1967,7,2,1,228,7.6307
1967,7,2,2,265,7.7121
1967,7,2,3,278,7.6635
1967,7,2,4,282,7.3636
1967,7,2,5,256,7.2048
1967,7,3,1,299,5.7539
1967,7,3,2,387,5.4719
1967,7,3,3,463,3.8786
1967,7,3,4,445,3.7562
1967,7,3,5,339,5.2854
1967,8,1,1,639,1.1738
1967,8,1,2,581,0.7787
1967,8,1,3,582,1.0730
1967,8,1,4,584,0.5952
1967,8,1,5,532,-0.7827
1967,8,2,1,240,-0.1349
1967,8,2,2,281,0.7791
1967,8,2,3,298,0.2588
1967,8,2,4,302,-0.2921
1967,8,2,5,274,-1.2755
1967,8,3,1,318,-0.4487
1967,8,3,2,418,-0.3757
1967,8,3,3,483,-0.5926
1967,8,3,4,460,-0.9868
1967,8,3,5,350,-1.1633
1967,9,1,1,653,8.0004
1967,9,1,2,605,6.6369
1967,9,1,3,612,7.8281
1967,9,1,4,622,8.6677
1967,9,1,5,575,9.6026
1967,9,2,1,248,3.5614
1967,9,2,2,294,4.0803
1967,9,2,3,312,3.9982
1967,9,2,4,320,4.5125
