year,month,rank_ME,rank_P52W_6,nstocks,ret_vw
1967,12,2,1,203,7.7430
1967,12,2,2,231,7.4236
1967,12,2,3,271,6.1810
1967,12,2,4,272,6.3662
1967,12,2,5,330,7.1469
1967,12,3,1,230,2.6647
1967,12,3,2,356,3.1912
1967,12,3,3,389,2.8341
1967,12,3,4,381,2.6305
1967,12,3,5,398,2.4497
1968,1,1,1,550,3.6366
1968,1,1,2,530,4.2499
1968,1,1,3,523,5.0284
1968,1,1,4,458,3.4519
1968,1,1,5,506,2.4345
1968,1,2,1,198,-1.6237
1968,1,2,2,232,0.4937
1968,1,2,3,265,0.1123
1968,1,2,4,278,0.0242
1968,1,2,5,330,-1.5552
1968,1,3,1,221,-4.5112
1968,1,3,2,347,-2.4389
1968,1,3,3,379,-2.9926
1968,1,3,4,383,-4.3164
1968,1,3,5,399,-5.8448
1968,2,1,1,526,-7.9840
1968,2,1,2,536,-6.8524
1968,2,1,3,538,-6.3305
1968,2,1,4,467,-5.2856
1968,2,1,5,517,-5.7469
1968,2,2,1,213,-6.6244
1968,2,2,2,246,-4.5029
1968,2,2,3,257,-4.9075
1968,2,2,4,281,-4.9089
1968,2,2,5,303,-4.7439
1968,2,3,1,237,-4.0827
1968,2,3,2,350,-3.0571
1968,2,3,3,390,-3.0201
1968,2,3,4,371,-2.5975
1968,2,3,5,361,-2.7639
1968,3,1,1,514,-2.0244
1968,3,1,2,552,-1.5383
1968,3,1,3,536,-1.7776
1968,3,1,4,471,-0.8000
1968,3,1,5,500,-0.2147
1968,3,2,1,207,-1.8761
1968,3,2,2,239,-2.2407
1968,3,2,3,251,-0.8182
1968,3,2,4,273,-0.8727
1968,3,2,5,298,-0.8066
1968,3,3,1,230,0.0104
1968,3,3,2,351,-0.2519
1968,3,3,3,385,-0.1918
1968,3,3,4,377,1.1356
1968,3,3,5,352,1.8848
1968,4,1,1,527,15.3433
1968,4,1,2,542,14.6824
1968,4,1,3,512,14.6563
1968,4,1,4,469,16.3593
1968,4,1,5,441,17.8338
1968,4,2,1,199,14.9675
1968,4,2,2,233,12.4570
1968,4,2,3,244,12.8028
1968,4,2,4,266,13.7933
1968,4,2,5,271,14.2218
1968,4,3,1,217,11.1364
1968,4,3,2,352,7.6443
1968,4,3,3,370,7.5419
1968,4,3,4,361,9.1351
1968,4,3,5,327,8.9935
1968,5,1,1,521,11.6902
1968,5,1,2,515,12.7886
1968,5,1,3,477,11.8492
1968,5,1,4,456,10.8533
1968,5,1,5,445,13.1180
1968,5,2,1,197,8.4272
1968,5,2,2,235,6.4420
1968,5,2,3,247,5.2308
1968,5,2,4,264,6.3982
1968,5,2,5,274,7.0605
1968,5,3,1,203,2.1733
1968,5,3,2,338,0.5330
1968,5,3,3,372,1.4554
1968,5,3,4,356,2.5543
1968,5,3,5,336,2.3478
1968,6,1,1,479,-0.6415
1968,6,1,2,518,1.8912
1968,6,1,3,481,2.3218
1968,6,1,4,460,0.8005
1968,6,1,5,500,0.5873
1968,6,2,1,192,-2.1104
1968,6,2,2,228,0.8519
1968,6,2,3,250,1.6764
1968,6,2,4,257,1.3346
1968,6,2,5,272,0.5624
1968,6,3,1,197,-1.1231
1968,6,3,2,327,1.7872
1968,6,3,3,365,2.3815
1968,6,3,4,351,1.1217
1968,6,3,5,333,0.2250
1968,7,1,1,452,-5.5482
1968,7,1,2,536,-3.3151
1968,7,1,3,482,-2.1579
1968,7,1,4,438,-2.6772
1968,7,1,5,456,-2.5017
1968,7,2,1,175,-6.3772
1968,7,2,2,237,-3.6816
1968,7,2,3,274,-2.9673
1968,7,2,4,245,-2.7064
1968,7,2,5,258,-2.3053
1968,7,3,1,194,-4.9129
1968,7,3,2,314,-2.7402
1968,7,3,3,362,-1.9461
1968,7,3,4,347,-1.6287
1968,7,3,5,332,-0.6918
1968,8,1,1,480,2.6284
1968,8,1,2,560,4.6252
1968,8,1,3,498,5.0058
1968,8,1,4,420,5.4507
1968,8,1,5,416,6.1488
1968,8,2,1,170,1.4993
1968,8,2,2,254,3.3734
1968,8,2,3,286,3.8621
1968,8,2,4,229,3.9034
1968,8,2,5,253,4.5360
1968,8,3,1,182,0.6199
1968,8,3,2,313,1.6754
1968,8,3,3,370,1.6457
1968,8,3,4,366,1.0946
1968,8,3,5,347,1.6823
1968,9,1,1,485,6.4857
1968,9,1,2,580,7.7939
1968,9,1,3,508,6.4405
1968,9,1,4,428,7.0530
1968,9,1,5,442,6.7398
1968,9,2,1,171,7.3170
1968,9,2,2,256,6.7599
1968,9,2,3,284,6.1942
1968,9,2,4,246,6.2214
1968,9,2,5,260,6.2275
1968,9,3,1,181,6.7180
1968,9,3,2,320,5.4147
1968,9,3,3,379,3.7136
1968,9,3,4,377,3.0301
1968,9,3,5,354,3.1998
1968,10,1,1,464,-0.4713
1968,10,1,2,560,-0.3524
1968,10,1,3,507,0.4953
1968,10,1,4,425,1.4269
1968,10,1,5,468,0.8846
1968,10,2,1,167,-1.1811
1968,10,2,2,247,1.2765
1968,10,2,3,285,2.1797
1968,10,2,4,247,1.3497
1968,10,2,5,293,1.3534
1968,10,3,1,186,1.9324
1968,10,3,2,313,1.2667
1968,10,3,3,375,0.7531
1968,10,3,4,374,0.7344
1968,10,3,5,382,0.5606
1968,11,1,1,484,7.3523
1968,11,1,2,582,6.7196
1968,11,1,3,497,7.2096
1968,11,1,4,412,7.1068
1968,11,1,5,438,7.8754
1968,11,2,1,173,9.4014
1968,11,2,2,248,8.5178
1968,11,2,3,288,7.6726
1968,11,2,4,243,7.2325
1968,11,2,5,283,7.3127
1968,11,3,1,188,8.1801
1968,11,3,2,315,6.9235
1968,11,3,3,383,4.8327
1968,11,3,4,386,5.2981
1968,11,3,5,397,5.4326
1968,12,1,1,503,2.5565
1968,12,1,2,577,4.5948
1968,12,1,3,474,1.7567
1968,12,1,4,390,2.1187
1968,12,1,5,375,0.2671
1968,12,2,1,174,-2.4298
1968,12,2,2,237,-0.8398
1968,12,2,3,267,0.1310
1968,12,2,4,247,-0.6501
1968,12,2,5,276,-1.5987
1968,12,3,1,182,-4.4133
1968,12,3,2,302,-3.8407
1968,12,3,3,379,-3.9088
1968,12,3,4,382,-3.6561
1968,12,3,5,395,-3.6331
1969,1,1,1,507,0.4234
1969,1,1,2,565,-0.4543
1969,1,1,3,464,-0.6647
1969,1,1,4,386,-1.5592
1969,1,1,5,392,-1.7625
1969,1,2,1,180,-1.2343
1969,1,2,2,241,-0.7069
1969,1,2,3,257,-1.0558
1969,1,2,4,245,-0.7008
1969,1,2,5,285,-1.2371
1969,1,3,1,181,-1.8264
1969,1,3,2,317,-0.6951
1969,1,3,3,388,-1.0520
1969,1,3,4,395,-0.4936
1969,1,3,5,392,-0.4660
1969,2,1,1,522,-11.8573
1969,2,1,2,558,-9.8082
1969,2,1,3,448,-9.3232
1969,2,1,4,400,-8.5011
1969,2,1,5,413,-9.3380
1969,2,2,1,187,-10.0062
1969,2,2,2,247,-9.0454
1969,2,2,3,249,-7.6276
1969,2,2,4,253,-7.4007
1969,2,2,5,287,-7.7789
1969,2,3,1,184,-6.6595
1969,2,3,2,334,-4.4684
1969,2,3,3,399,-4.1241
1969,2,3,4,406,-4.7890
1969,2,3,5,405,-5.1386
1969,3,1,1,568,0.5081
1969,3,1,2,564,2.0069
1969,3,1,3,448,2.2840
1969,3,1,4,384,3.6618
1969,3,1,5,391,3.4431
1969,3,2,1,195,0.6430
1969,3,2,2,259,1.3487
1969,3,2,3,242,2.5191
1969,3,2,4,253,3.2475
1969,3,2,5,279,3.2438
1969,3,3,1,178,1.4376
1969,3,3,2,316,3.3656
1969,3,3,3,397,3.4701
1969,3,3,4,403,3.4447
1969,3,3,5,414,3.6285
1969,4,1,1,578,-1.4312
1969,4,1,2,543,-1.2163
1969,4,1,3,420,-0.2819
1969,4,1,4,362,0.2616
1969,4,1,5,355,0.9611
