year,month,rank_ME,rank_PTA,nstocks,ret_vw
1967,12,2,1,51,9.1601
1967,12,2,2,46,3.9481
1967,12,2,3,37,8.9033
1967,12,2,4,46,6.1807
1967,12,2,5,42,6.7584
1967,12,3,1,75,4.3317
1967,12,3,2,84,3.9001
1967,12,3,3,91,1.8551
1967,12,3,4,93,0.8915
1967,12,3,5,78,2.2286
1968,1,1,1,101,4.9530
1968,1,1,2,49,2.1994
1968,1,1,3,68,2.3902
1968,1,1,4,64,3.4414
1968,1,1,5,102,0.3835
1968,1,2,1,51,1.2647
1968,1,2,2,46,0.1525
1968,1,2,3,37,-0.2238
1968,1,2,4,46,-2.2462
1968,1,2,5,42,-0.8146
1968,1,3,1,75,-4.0792
1968,1,3,2,84,-3.3513
1968,1,3,3,91,-2.5667
1968,1,3,4,93,-8.1385
1968,1,3,5,78,-6.6591
1968,2,1,1,101,-6.5135
1968,2,1,2,49,-6.1607
1968,2,1,3,68,-3.8422
1968,2,1,4,64,-4.6055
1968,2,1,5,102,-7.7380
1968,2,2,1,50,-6.4768
1968,2,2,2,45,-4.4196
1968,2,2,3,37,-4.0264
1968,2,2,4,46,-4.3531
1968,2,2,5,42,-3.7481
1968,2,3,1,75,-2.6775
1968,2,3,2,84,-1.8747
1968,2,3,3,91,-3.5355
1968,2,3,4,93,-3.6140
1968,2,3,5,77,-3.6120
1968,3,1,1,102,-2.0834
1968,3,1,2,49,-1.8496
1968,3,1,3,68,1.0965
1968,3,1,4,64,-1.0399
1968,3,1,5,102,-1.0811
1968,3,2,1,50,-2.0217
1968,3,2,2,45,-1.5841
1968,3,2,3,37,-1.9773
1968,3,2,4,46,-1.2785
1968,3,2,5,42,0.8520
1968,3,3,1,75,1.2181
1968,3,3,2,84,0.8879
1968,3,3,3,91,0.1208
1968,3,3,4,93,0.5751
1968,3,3,5,77,3.5038
1968,4,1,1,102,17.3687
1968,4,1,2,49,16.8737
1968,4,1,3,68,16.8967
1968,4,1,4,64,18.6669
1968,4,1,5,102,16.2820
1968,4,2,1,50,15.3302
1968,4,2,2,45,12.0650
1968,4,2,3,37,12.7641
1968,4,2,4,46,14.0730
1968,4,2,5,42,14.7801
1968,4,3,1,75,8.1025
1968,4,3,2,84,7.9335
1968,4,3,3,91,7.2359
1968,4,3,4,93,11.9220
