year,month,rank_ME,rank_DAC,nstocks,ret_vw
1967,12,2,1,54,9.4092
1967,12,2,2,39,5.8406
1967,12,2,3,30,4.3822
1967,12,2,4,36,4.7027
1967,12,2,5,35,7.7065
1967,12,3,1,60,2.5118
1967,12,3,2,88,1.8634
1967,12,3,3,90,4.9662
1967,12,3,4,75,2.8657
1967,12,3,5,80,0.3850
1968,1,1,1,95,2.6961
1968,1,1,2,43,5.9869
1968,1,1,3,41,4.3679
1968,1,1,4,52,1.8070
1968,1,1,5,74,0.5138
1968,1,2,1,54,-2.7276
1968,1,2,2,39,1.8687
1968,1,2,3,30,0.5346
1968,1,2,4,36,2.6050
1968,1,2,5,35,-3.3035
1968,1,3,1,60,-6.6918
1968,1,3,2,88,-4.3969
1968,1,3,3,90,-3.8375
1968,1,3,4,75,-2.7762
1968,1,3,5,80,-7.3658
1968,2,1,1,95,-6.4629
1968,2,1,2,43,-6.0257
1968,2,1,3,41,-6.2180
1968,2,1,4,52,-3.8309
1968,2,1,5,74,-5.9646
1968,2,2,1,54,-5.4759
1968,2,2,2,38,-4.5895
1968,2,2,3,30,-4.1644
1968,2,2,4,36,-1.8292
1968,2,2,5,35,-3.8830
1968,2,3,1,59,-2.8169
1968,2,3,2,88,-2.6665
1968,2,3,3,90,-3.3118
1968,2,3,4,75,-3.2859
1968,2,3,5,80,-4.8098
1968,3,1,1,95,-0.9457
1968,3,1,2,43,-1.0060
1968,3,1,3,42,-1.0082
1968,3,1,4,52,0.4305
1968,3,1,5,74,-1.4235
1968,3,2,1,54,-2.6902
1968,3,2,2,38,-1.4339
1968,3,2,3,30,-1.7319
1968,3,2,4,36,-1.0503
1968,3,2,5,35,-1.7884
1968,3,3,1,59,4.4170
1968,3,3,2,88,0.2780
1968,3,3,3,90,-1.1710
1968,3,3,4,75,0.6638
1968,3,3,5,80,1.4180
1968,4,1,1,95,18.2875
1968,4,1,2,43,17.7343
1968,4,1,3,42,19.7486
1968,4,1,4,52,11.2780
1968,4,1,5,74,19.2448
1968,4,2,1,54,15.3364
1968,4,2,2,38,14.1038
1968,4,2,3,30,10.3182
1968,4,2,4,36,10.0135
1968,4,2,5,35,17.3639
1968,4,3,1,59,10.4754
1968,4,3,2,88,7.9865
1968,4,3,3,90,8.6375
1968,4,3,4,75,7.6558
1968,4,3,5,80,13.7659
1968,5,1,1,95,13.7700
1968,5,1,2,43,11.2680
1968,5,1,3,42,7.0560
1968,5,1,4,52,9.0041
1968,5,1,5,74,10.0659
1968,5,2,1,54,10.2063
1968,5,2,2,38,6.9138
1968,5,2,3,30,5.6418
1968,5,2,4,35,3.8777
1968,5,2,5,35,7.7430
1968,5,3,1,59,4.2230
1968,5,3,2,88,0.3677
1968,5,3,3,90,2.5831
1968,5,3,4,75,0.2411
1968,5,3,5,80,2.2944
1968,6,1,1,95,0.8015
1968,6,1,2,43,0.3491
1968,6,1,3,42,0.8941
1968,6,1,4,52,1.8477
1968,6,1,5,74,-1.1929
1968,6,2,1,54,-1.6168
1968,6,2,2,38,1.2987
1968,6,2,3,30,1.3161
1968,6,2,4,35,1.5823
1968,6,2,5,35,-1.3035
1968,6,3,1,59,-1.1559
1968,6,3,2,88,1.3874
1968,6,3,3,90,0.5305
1968,6,3,4,75,1.9013
1968,6,3,5,80,-1.1767
1968,7,1,1,128,-4.3616
1968,7,1,2,86,-1.8263
1968,7,1,3,60,-0.7168
1968,7,1,4,70,-5.9064
1968,7,1,5,99,-3.3314
1968,7,2,1,55,-3.6708
1968,7,2,2,33,-0.6404
1968,7,2,3,35,-1.8699
1968,7,2,4,51,-3.1095
1968,7,2,5,52,-7.1826
1968,7,3,1,68,-3.9020
1968,7,3,2,88,-3.0179
1968,7,3,3,95,1.4781
1968,7,3,4,75,-1.3534
1968,7,3,5,81,-7.3027
1968,8,1,1,128,3.1660
1968,8,1,2,86,6.3699
1968,8,1,3,60,8.0016
1968,8,1,4,70,3.8016
1968,8,1,5,99,2.7384
1968,8,2,1,55,5.3992
1968,8,2,2,33,6.8486
1968,8,2,3,35,4.6078
1968,8,2,4,51,4.4743
1968,8,2,5,52,2.6733
1968,8,3,1,68,0.9329
1968,8,3,2,88,2.5916
1968,8,3,3,94,1.4799
1968,8,3,4,75,2.4004
1968,8,3,5,81,1.3507
1968,9,1,1,128,8.5043
1968,9,1,2,86,6.0134
1968,9,1,3,60,8.1933
