year,month,rank_ME,rank_dPIA,nstocks,ret_vw
1967,12,2,1,65,6.0370
1967,12,2,2,43,5.6781
1967,12,2,3,37,5.2902
1967,12,2,4,33,6.9527
1967,12,2,5,66,7.8431
1967,12,3,1,47,4.7853
1967,12,3,2,98,2.1101
1967,12,3,3,99,3.5258
1967,12,3,4,102,2.3743
1967,12,3,5,94,2.2713
1968,1,1,1,138,2.2657
1968,1,1,2,67,3.7672
1968,1,1,3,62,3.1833
1968,1,1,4,67,2.3454
1968,1,1,5,67,2.3856
1968,1,2,1,65,3.1729
1968,1,2,2,43,0.1079
1968,1,2,3,37,-1.2992
1968,1,2,4,33,-2.3870
1968,1,2,5,66,-4.1446
1968,1,3,1,47,-0.7204
1968,1,3,2,98,-0.9060
1968,1,3,3,99,-6.0850
1968,1,3,4,102,-6.3058
1968,1,3,5,94,-7.6185
1968,2,1,1,138,-6.2220
1968,2,1,2,67,-5.7069
1968,2,1,3,62,-7.1420
1968,2,1,4,66,-7.6064
1968,2,1,5,67,-3.7229
1968,2,2,1,63,-3.4025
1968,2,2,2,43,-6.0576
1968,2,2,3,37,-0.7396
1968,2,2,4,33,-5.8064
1968,2,2,5,66,-7.1252
1968,2,3,1,47,-3.3587
1968,2,3,2,98,-2.1874
1968,2,3,3,99,-3.5046
1968,2,3,4,102,-3.3176
1968,2,3,5,93,-3.8357
1968,3,1,1,139,-1.5055
1968,3,1,2,67,0.9118
1968,3,1,3,62,-0.4063
1968,3,1,4,66,-0.3088
1968,3,1,5,67,-2.7390
1968,3,2,1,63,-0.2843
1968,3,2,2,43,-1.5264
1968,3,2,3,37,-1.7288
1968,3,2,4,33,-1.9578
1968,3,2,5,66,-1.5064
1968,3,3,1,47,0.6861
1968,3,3,2,98,0.6300
1968,3,3,3,99,0.4757
1968,3,3,4,102,1.4697
1968,3,3,5,93,2.5006
1968,4,1,1,138,17.5628
1968,4,1,2,67,13.1689
1968,4,1,3,62,18.2672
1968,4,1,4,66,18.2770
1968,4,1,5,67,18.2223
1968,4,2,1,63,13.7394
1968,4,2,2,43,11.5072
1968,4,2,3,37,12.3744
1968,4,2,4,33,14.1282
1968,4,2,5,66,16.4279
1968,4,3,1,47,8.8921
1968,4,3,2,98,6.4764
1968,4,3,3,99,8.9274
1968,4,3,4,102,11.3892
1968,4,3,5,93,11.0890
1968,5,1,1,138,13.2470
1968,5,1,2,67,8.9355
1968,5,1,3,62,9.1183
1968,5,1,4,66,10.0181
1968,5,1,5,67,13.1543
1968,5,2,1,63,6.9776
1968,5,2,2,43,6.8091
1968,5,2,3,36,7.1302
1968,5,2,4,33,7.9557
1968,5,2,5,66,8.9753
1968,5,3,1,47,3.1093
1968,5,3,2,98,-0.0153
1968,5,3,3,99,3.1996
1968,5,3,4,101,0.3273
1968,5,3,5,93,4.0463
1968,6,1,1,138,-0.8670
1968,6,1,2,67,2.3270
1968,6,1,3,62,1.4298
1968,6,1,4,66,0.9657
1968,6,1,5,67,-0.5879
1968,6,2,1,63,2.0035
1968,6,2,2,43,-1.0755
1968,6,2,3,36,0.5786
1968,6,2,4,33,-0.0142
1968,6,2,5,66,-1.6007
1968,6,3,1,47,1.4738
1968,6,3,2,98,1.2969
1968,6,3,3,99,1.4480
1968,6,3,4,101,0.2018
1968,6,3,5,93,-1.3365
1968,7,1,1,228,-1.8096
1968,7,1,2,101,-3.3521
1968,7,1,3,80,-3.8883
1968,7,1,4,88,-4.9906
1968,7,1,5,90,-4.5502
1968,7,2,1,58,-2.6504
1968,7,2,2,55,-1.2420
1968,7,2,3,45,-3.4781
1968,7,2,4,61,-6.0912
1968,7,2,5,58,-7.4664
1968,7,3,1,47,-2.7367
1968,7,3,2,96,-2.6643
1968,7,3,3,106,0.4938
1968,7,3,4,93,-2.6161
1968,7,3,5,104,-5.5770
1968,8,1,1,227,5.8572
1968,8,1,2,101,5.6315
1968,8,1,3,80,5.8594
1968,8,1,4,88,2.4053
1968,8,1,5,90,2.1391
1968,8,2,1,58,5.6692
1968,8,2,2,54,5.1979
1968,8,2,3,45,2.7678
1968,8,2,4,61,4.5754
1968,8,2,5,58,3.8658
1968,8,3,1,46,1.7403
1968,8,3,2,96,1.4651
1968,8,3,3,106,1.6593
1968,8,3,4,93,0.7208
1968,8,3,5,104,2.7124
1968,9,1,1,227,7.9575
1968,9,1,2,101,6.9397
1968,9,1,3,80,5.9055
1968,9,1,4,88,8.9472
1968,9,1,5,90,7.0076
1968,9,2,1,58,6.1379
1968,9,2,2,54,7.6309
1968,9,2,3,44,7.7434
1968,9,2,4,61,7.7481
1968,9,2,5,58,6.5639
1968,9,3,1,46,6.1073
1968,9,3,2,96,6.4232
1968,9,3,3,106,3.4048
1968,9,3,4,93,3.3448
1968,9,3,5,104,3.5995
1968,10,1,1,225,0.6696
1968,10,1,2,101,0.6834
1968,10,1,3,80,1.5759
1968,10,1,4,88,0.0391
1968,10,1,5,90,-0.8494
1968,10,2,1,58,0.3821
1968,10,2,2,54,1.6085
1968,10,2,3,44,0.0460
1968,10,2,4,61,0.7174
1968,10,2,5,58,1.5928
1968,10,3,1,46,1.9159
1968,10,3,2,95,1.2667
1968,10,3,3,106,3.0211
1968,10,3,4,93,-1.9296
1968,10,3,5,104,-0.4880
1968,11,1,1,224,7.2098
1968,11,1,2,101,8.1566
1968,11,1,3,80,6.8660
1968,11,1,4,88,5.5271
1968,11,1,5,90,6.8642
1968,11,2,1,58,8.5342
1968,11,2,2,54,8.3390
1968,11,2,3,45,6.9962
1968,11,2,4,61,7.4483
1968,11,2,5,58,9.5022
1968,11,3,1,46,4.8245
1968,11,3,2,95,2.9907
1968,11,3,3,106,5.3692
