year,month,rank_ME,rank_PDA,nstocks,ret_vw
1967,12,2,1,58,8.4583
1967,12,2,2,35,8.1847
1967,12,2,3,27,3.5978
1967,12,2,4,37,3.7977
1967,12,2,5,37,8.0351
1967,12,3,1,50,2.3992
1967,12,3,2,96,2.0317
1967,12,3,3,96,4.1822
1967,12,3,4,79,2.3176
1967,12,3,5,72,1.5090
1968,1,1,1,106,4.1567
1968,1,1,2,34,-0.0024
1968,1,1,3,35,5.5249
1968,1,1,4,44,0.5735
1968,1,1,5,86,1.8163
1968,1,2,1,58,-0.7868
1968,1,2,2,35,-1.5285
1968,1,2,3,27,-0.0649
1968,1,2,4,37,1.2401
1968,1,2,5,37,-1.0668
1968,1,3,1,50,-5.6398
1968,1,3,2,96,-4.6324
1968,1,3,3,96,-5.1202
1968,1,3,4,79,-2.4248
1968,1,3,5,72,-7.9324
1968,2,1,1,106,-6.6071
1968,2,1,2,34,-4.5029
1968,2,1,3,35,-7.4468
1968,2,1,4,44,-2.0255
1968,2,1,5,86,-6.7285
1968,2,2,1,58,-4.6044
1968,2,2,2,34,-6.3797
1968,2,2,3,27,-3.8424
1968,2,2,4,37,-2.4011
1968,2,2,5,37,-3.2710
1968,2,3,1,50,-2.6854
1968,2,3,2,95,-2.7503
1968,2,3,3,96,-3.4274
1968,2,3,4,79,-3.3503
1968,2,3,5,72,-4.3398
1968,3,1,1,106,-0.9061
1968,3,1,2,34,-1.0622
1968,3,1,3,36,-1.0031
1968,3,1,4,44,0.0940
1968,3,1,5,86,-1.2371
1968,3,2,1,58,-2.0607
1968,3,2,2,34,-2.2744
1968,3,2,3,27,-1.8490
1968,3,2,4,37,-3.3114
1968,3,2,5,37,0.2761
1968,3,3,1,50,3.5258
1968,3,3,2,95,0.8387
1968,3,3,3,96,-0.4422
1968,3,3,4,79,1.0346
1968,3,3,5,72,1.1308
1968,4,1,1,106,18.2273
1968,4,1,2,34,18.1736
1968,4,1,3,36,18.2489
1968,4,1,4,44,13.1741
1968,4,1,5,86,18.7908
1968,4,2,1,58,15.0160
1968,4,2,2,34,15.5323
1968,4,2,3,27,9.6116
1968,4,2,4,37,9.6657
1968,4,2,5,37,16.1423
1968,4,3,1,50,10.3922
1968,4,3,2,95,7.7649
1968,4,3,3,96,9.7263
1968,4,3,4,79,7.7325
1968,4,3,5,72,13.2546
1968,5,1,1,106,12.6771
1968,5,1,2,34,12.2323
1968,5,1,3,36,7.5121
1968,5,1,4,44,7.9686
1968,5,1,5,86,10.8081
1968,5,2,1,58,9.6076
1968,5,2,2,34,8.1275
1968,5,2,3,27,5.6547
1968,5,2,4,36,2.8969
1968,5,2,5,37,7.7846
1968,5,3,1,50,3.4801
1968,5,3,2,95,0.8857
1968,5,3,3,96,2.6125
1968,5,3,4,79,0.1923
1968,5,3,5,72,2.7298
1968,6,1,1,106,0.7266
1968,6,1,2,34,-0.1020
1968,6,1,3,36,1.9993
1968,6,1,4,44,-0.0153
1968,6,1,5,86,-0.3443
1968,6,2,1,58,-0.2434
1968,6,2,2,34,-1.1606
1968,6,2,3,27,0.9637
1968,6,2,4,36,0.9884
1968,6,2,5,37,-0.1664
1968,6,3,1,50,-0.4209
1968,6,3,2,95,0.8148
1968,6,3,3,96,0.5960
1968,6,3,4,79,1.6543
1968,6,3,5,72,-1.2924
1968,7,1,1,146,-3.4990
1968,7,1,2,73,-2.3890
1968,7,1,3,53,-3.2213
1968,7,1,4,59,-3.9408
1968,7,1,5,112,-3.7552
1968,7,2,1,45,-2.8257
1968,7,2,2,43,-2.4492
1968,7,2,3,36,-2.0598
1968,7,2,4,51,-3.5332
1968,7,2,5,51,-6.6005
1968,7,3,1,59,-3.9091
