year,month,rank_ME,rank_IAq_1,nstocks,ret_vw
1973,12,1,1,50,-8.2051
1973,12,1,2,21,-1.3060
1973,12,1,3,12,-9.3331
1973,12,1,4,23,-7.3021
1973,12,1,5,38,-6.1920
1973,12,2,1,22,-3.0466
1973,12,2,2,15,0.5512
1973,12,2,3,11,-0.3634
1973,12,2,4,8,-2.3205
1973,12,2,5,16,-1.4044
1973,12,3,1,11,1.1543
1973,12,3,2,21,4.1212
1973,12,3,3,29,2.4226
1973,12,3,4,33,-0.0224
1973,12,3,5,29,1.4747
1974,1,1,1,52,25.3386
1974,1,1,2,20,12.1556
1974,1,1,3,10,17.8905
1974,1,1,4,25,11.9011
1974,1,1,5,35,19.9753
1974,1,2,1,20,12.5684
1974,1,2,2,15,8.7344
1974,1,2,3,10,13.1926
1974,1,2,4,9,10.4546
1974,1,2,5,21,8.2589
1974,1,3,1,14,8.4713
1974,1,3,2,22,3.3906
1974,1,3,3,34,2.2740
1974,1,3,4,31,3.2869
1974,1,3,5,30,-0.5081
1974,2,1,1,35,-3.8674
1974,2,1,2,13,-1.2648
1974,2,1,3,9,-0.7819
1974,2,1,4,22,0.0351
1974,2,1,5,43,-5.0266
1974,2,2,1,14,1.9271
1974,2,2,2,15,-1.6938
1974,2,2,3,10,1.2532
1974,2,2,4,14,-0.7520
1974,2,2,5,12,-7.0535
1974,2,3,1,18,1.7148
1974,2,3,2,26,0.2837
1974,2,3,3,27,0.0808
1974,2,3,4,25,-0.4333
1974,2,3,5,28,-0.2330
1974,3,1,1,39,-0.0922
1974,3,1,2,12,-6.8026
1974,3,1,3,11,-1.9416
1974,3,1,4,21,3.4830
1974,3,1,5,48,3.3129
1974,3,2,1,16,-3.7735
1974,3,2,2,9,-1.2436
1974,3,2,3,10,-1.4033
1974,3,2,4,12,-1.9031
1974,3,2,5,15,-5.9000
1974,3,3,1,16,-3.5782
1974,3,3,2,31,-1.5583
1974,3,3,3,29,-2.0913
1974,3,3,4,26,-3.7279
1974,3,3,5,27,-2.1845
1974,4,1,1,44,-3.9272
1974,4,1,2,16,-4.8087
1974,4,1,3,15,-9.7101
1974,4,1,4,22,-4.9265
1974,4,1,5,44,-6.0901
1974,4,2,1,18,-5.9567
1974,4,2,2,8,-7.8944
1974,4,2,3,10,-6.4687
1974,4,2,4,13,-7.4835
1974,4,2,5,14,-9.2745
1974,4,3,1,13,-8.7364
1974,4,3,2,29,-8.0295
1974,4,3,3,27,-12.5358
1974,4,3,4,25,-9.3782
1974,4,3,5,26,-4.4828
1974,5,1,1,178,-7.3386
1974,5,1,2,93,-5.4438
1974,5,1,3,62,-6.3550
1974,5,1,4,80,-8.8589
1974,5,1,5,126,-7.8422
1974,5,2,1,63,-8.0423
1974,5,2,2,66,-7.8459
1974,5,2,3,44,-7.6821
1974,5,2,4,67,-7.4184
1974,5,2,5,100,-8.5385
1974,5,3,1,79,-5.0139
1974,5,3,2,88,-6.0620
1974,5,3,3,128,-3.5684
1974,5,3,4,124,-3.0609
1974,5,3,5,130,-0.4362
1974,6,1,1,179,-2.4946
1974,6,1,2,94,-4.9132
1974,6,1,3,69,-0.0628
1974,6,1,4,85,-2.7440
1974,6,1,5,127,-3.3656
1974,6,2,1,65,0.7805
1974,6,2,2,69,-1.3923
1974,6,2,3,49,-1.5526
1974,6,2,4,67,-4.1602
1974,6,2,5,101,-4.0778
1974,6,3,1,80,-2.5481
1974,6,3,2,90,-0.7845
1974,6,3,3,127,-0.7452
1974,6,3,4,126,-1.8442
1974,6,3,5,135,-3.5142
1974,7,1,1,179,-3.9598
1974,7,1,2,92,-1.8253
1974,7,1,3,67,-2.4281
1974,7,1,4,78,-2.5542
1974,7,1,5,135,-4.9205
1974,7,2,1,65,-3.2021
1974,7,2,2,67,-1.7603
1974,7,2,3,50,-3.2524
1974,7,2,4,73,-5.2978
1974,7,2,5,99,-4.8307
1974,7,3,1,82,-2.9898
1974,7,3,2,93,-4.9987
1974,7,3,3,127,-8.5726
1974,7,3,4,126,-6.9607
1974,7,3,5,129,-10.4965
1974,8,1,1,53,-8.6587
1974,8,1,2,17,-9.3232
1974,8,1,3,15,-6.1255
1974,8,1,4,25,-9.0653
1974,8,1,5,35,-8.0190
1974,8,2,1,20,-8.7982
1974,8,2,2,15,-7.4880
1974,8,2,3,15,-7.6389
1974,8,2,4,21,-4.6147
1974,8,2,5,34,-7.5231
1974,8,3,1,13,-7.0936
1974,8,3,2,30,-11.0506
1974,8,3,3,27,-13.8717
1974,8,3,4,34,-9.0205
1974,8,3,5,30,-10.9905
1974,9,1,1,52,-6.2578
1974,9,1,2,17,-3.6712
1974,9,1,3,10,-6.4781
1974,9,1,4,21,-7.0712
1974,9,1,5,36,-10.3826
1974,9,2,1,17,-5.1264
1974,9,2,2,13,-2.0953
1974,9,2,3,12,-7.4183
1974,9,2,4,19,-6.5127
1974,9,2,5,32,-14.7434
1974,9,3,1,11,-6.3948
1974,9,3,2,28,-2.0656
1974,9,3,3,31,-3.7072
1974,9,3,4,29,-4.6216
1974,9,3,5,26,-6.7863
1974,10,1,1,48,6.4599
1974,10,1,2,15,4.2883
1974,10,1,3,9,-1.7992
1974,10,1,4,21,2.2255
1974,10,1,5,42,10.5935
1974,10,2,1,18,3.2003
1974,10,2,2,14,5.9483
1974,10,2,3,11,13.3626
1974,10,2,4,17,5.7301
1974,10,2,5,27,5.0502
1974,10,3,1,10,18.4094
1974,10,3,2,28,12.4668
1974,10,3,3,34,12.2648
1974,10,3,4,27,13.2962
1974,10,3,5,28,24.2135
1974,11,1,1,64,-7.0404
1974,11,1,2,29,-7.4356
1974,11,1,3,17,-5.8530
1974,11,1,4,25,-2.0674
1974,11,1,5,61,-8.3134
1974,11,2,1,21,-6.2388
1974,11,2,2,22,-1.2731
1974,11,2,3,20,-6.6942
1974,11,2,4,16,-5.8623
1974,11,2,5,30,-5.3846
1974,11,3,1,14,0.3895
1974,11,3,2,32,-2.1979
1974,11,3,3,35,-2.1869
1974,11,3,4,37,-1.9395
1974,11,3,5,36,-0.2403
1974,12,1,1,59,-11.5615
1974,12,1,2,27,-8.1594
1974,12,1,3,23,-4.7021
1974,12,1,4,28,-4.7021
1974,12,1,5,57,-14.0518
1974,12,2,1,24,-7.1843
1974,12,2,2,26,-4.9978
1974,12,2,3,16,-2.4442
1974,12,2,4,19,-1.7764
1974,12,2,5,29,-6.1549
1974,12,3,1,16,-3.3172
1974,12,3,2,29,-0.1465
1974,12,3,3,39,-1.2704
1974,12,3,4,41,-4.7666
1974,12,3,5,32,-8.9024
1975,1,1,1,60,40.6002
1975,1,1,2,28,33.6152
1975,1,1,3,25,31.9902
1975,1,1,4,24,27.1931
1975,1,1,5,57,29.9335
1975,1,2,1,23,34.3937
1975,1,2,2,27,26.9039
1975,1,2,3,17,24.8903
1975,1,2,4,13,20.6516
1975,1,2,5,36,25.9652
1975,1,3,1,17,21.2969
1975,1,3,2,33,15.8317
1975,1,3,3,40,18.4050
1975,1,3,4,44,21.7969
1975,1,3,5,33,19.8376
1975,2,1,1,54,2.6535
1975,2,1,2,25,5.1180
1975,2,1,3,18,3.0351
1975,2,1,4,17,2.1049
1975,2,1,5,47,2.9833
1975,2,2,1,28,-1.6536
1975,2,2,2,19,1.6685
1975,2,2,3,12,2.7937
1975,2,2,4,16,-0.1045
1975,2,2,5,28,5.3980
1975,2,3,1,22,5.5660
1975,2,3,2,37,3.5922
1975,2,3,3,37,-0.3672
1975,2,3,4,36,4.8796
1975,2,3,5,28,4.4784
1975,3,1,1,74,8.6753
1975,3,1,2,25,6.0542
1975,3,1,3,18,7.9851
1975,3,1,4,11,15.2513
1975,3,1,5,43,9.4512
1975,3,2,1,21,0.9871
1975,3,2,2,22,1.7429
1975,3,2,3,10,5.2131
1975,3,2,4,16,-0.2390
1975,3,2,5,29,7.9530
1975,3,3,1,20,3.1702
1975,3,3,2,35,2.5312
1975,3,3,3,41,2.9669
1975,3,3,4,39,-1.2737
1975,3,3,5,31,4.1039
1975,4,1,1,81,1.6238
1975,4,1,2,28,-0.8463
1975,4,1,3,16,-1.3232
1975,4,1,4,14,7.1525
1975,4,1,5,44,14.6626
1975,4,2,1,23,1.2973
1975,4,2,2,19,0.2519
1975,4,2,3,10,-0.0481
1975,4,2,4,14,0.5897
1975,4,2,5,26,1.4173
1975,4,3,1,14,3.7247
1975,4,3,2,34,-1.2598
1975,4,3,3,40,3.7288
1975,4,3,4,40,1.1506
1975,4,3,5,28,9.4178
1975,5,1,1,234,7.0781
1975,5,1,2,111,7.5383
1975,5,1,3,63,7.3959
1975,5,1,4,63,4.5676
1975,5,1,5,96,7.1052
1975,5,2,1,82,8.8682
1975,5,2,2,74,3.8634
1975,5,2,3,52,4.9533
1975,5,2,4,63,8.2103
1975,5,2,5,86,11.4842
1975,5,3,1,53,5.1757
1975,5,3,2,105,5.1747
1975,5,3,3,130,4.4479
1975,5,3,4,129,5.2564
1975,5,3,5,137,6.3892
1975,6,1,1,238,11.0067
1975,6,1,2,115,7.2024
1975,6,1,3,70,6.6821
1975,6,1,4,66,9.7924
1975,6,1,5,89,5.7624
1975,6,2,1,81,6.1454
1975,6,2,2,80,7.9488
1975,6,2,3,52,7.9174
1975,6,2,4,62,5.0420
1975,6,2,5,93,7.2172
1975,6,3,1,59,8.9384
1975,6,3,2,98,4.8446
1975,6,3,3,133,4.6166
1975,6,3,4,130,5.6785
1975,6,3,5,141,4.4083
1975,7,1,1,231,-1.8987
1975,7,1,2,114,-0.7322
1975,7,1,3,69,-3.2376
1975,7,1,4,73,-1.0679
1975,7,1,5,93,-0.9550
1975,7,2,1,85,-3.6328
1975,7,2,2,78,-2.6186
1975,7,2,3,54,-2.4145
1975,7,2,4,67,-3.6683
1975,7,2,5,90,-4.9210
1975,7,3,1,54,-0.5452
1975,7,3,2,98,-7.0818
1975,7,3,3,134,-8.1154
1975,7,3,4,129,-6.9282
1975,7,3,5,139,-6.1973
1975,8,1,1,72,-7.3008
1975,8,1,2,38,-6.8033
1975,8,1,3,13,-4.7156
1975,8,1,4,17,-0.7297
1975,8,1,5,31,-5.6507
1975,8,2,1,29,-3.8231
1975,8,2,2,25,-3.3338
1975,8,2,3,20,-3.9455
1975,8,2,4,9,-4.9193
1975,8,2,5,30,-2.3120
1975,8,3,1,15,-5.7262
1975,8,3,2,25,-0.3798
1975,8,3,3,28,1.5629
1975,8,3,4,34,-0.1465
1975,8,3,5,35,-2.7347
1975,9,1,1,72,-3.1007
1975,9,1,2,35,-2.6045
1975,9,1,3,8,0.0435
1975,9,1,4,13,-0.4565
1975,9,1,5,29,-3.1893
1975,9,2,1,25,-6.0285
1975,9,2,2,27,-1.4662
1975,9,2,3,11,-0.3799
1975,9,2,4,11,-0.2328
1975,9,2,5,25,-4.5642
1975,9,3,1,13,-5.3566
1975,9,3,2,23,-2.6888
1975,9,3,3,28,-2.1039
1975,9,3,4,29,-1.7736
1975,9,3,5,34,-4.0888
1975,10,1,1,76,0.7650
1975,10,1,2,33,0.9591
1975,10,1,3,8,4.4003
1975,10,1,4,15,2.2352
1975,10,1,5,22,0.1459
1975,10,2,1,27,-0.5041
1975,10,2,2,26,3.3670
1975,10,2,3,12,1.4461
1975,10,2,4,11,1.6620
1975,10,2,5,27,2.7107
1975,10,3,1,9,-0.0092
1975,10,3,2,30,9.8801
1975,10,3,3,25,7.4850
1975,10,3,4,28,9.2933
1975,10,3,5,32,5.5463
1975,11,1,1,86,3.6812
1975,11,1,2,47,2.8544
1975,11,1,3,30,-0.1117
1975,11,1,4,17,5.5729
1975,11,1,5,34,2.7489
1975,11,2,1,35,5.9428
1975,11,2,2,31,2.6203
1975,11,2,3,15,1.1869
1975,11,2,4,12,3.0013
1975,11,2,5,29,0.8650
1975,11,3,1,17,1.6262
1975,11,3,2,23,4.3251
1975,11,3,3,37,3.9957
1975,11,3,4,34,3.7367
1975,11,3,5,47,3.4352
1975,12,1,1,77,0.2877
1975,12,1,2,48,-4.9174
1975,12,1,3,30,-1.1236
1975,12,1,4,17,-3.2016
1975,12,1,5,39,-2.5962
1975,12,2,1,33,-0.9428
1975,12,2,2,32,1.0856
1975,12,2,3,19,-0.9625
1975,12,2,4,16,-1.0173
1975,12,2,5,28,-4.9190
1975,12,3,1,21,3.8593
1975,12,3,2,22,0.3192
1975,12,3,3,36,-0.0233
1975,12,3,4,34,0.7603
1975,12,3,5,45,-1.3291
1976,1,1,1,71,29.6352
1976,1,1,2,44,23.7961
1976,1,1,3,31,16.7720
1976,1,1,4,15,23.3958
1976,1,1,5,35,20.9285
1976,1,2,1,33,23.2555
1976,1,2,2,31,17.3640
1976,1,2,3,21,12.5846
1976,1,2,4,18,17.3491
1976,1,2,5,28,13.0835
1976,1,3,1,23,11.6235
1976,1,3,2,24,11.4736
1976,1,3,3,34,10.9137
1976,1,3,4,35,7.3762
1976,1,3,5,49,7.4997
1976,2,1,1,65,15.9806
1976,2,1,2,40,11.6284
1976,2,1,3,29,4.0638
1976,2,1,4,16,12.5993
1976,2,1,5,33,11.1274
1976,2,2,1,27,6.9380
1976,2,2,2,36,4.2441
1976,2,2,3,15,4.2932
1976,2,2,4,24,3.7292
1976,2,2,5,23,9.8722
1976,2,3,1,15,1.1974
1976,2,3,2,34,1.4734
1976,2,3,3,34,0.1153
1976,2,3,4,36,-3.9241
