year,month,rank_ME,rank_NXF,nstocks,ret_vw
1973,6,1,1,87,-5.0233
1973,6,1,2,94,-4.2493
1973,6,1,3,128,-3.3530
1973,6,1,4,106,-4.8568
1973,6,1,5,123,-3.5528
1973,6,2,1,48,-3.6641
1973,6,2,2,56,-3.9701
1973,6,2,3,49,-3.3361
1973,6,2,4,55,-3.6313
1973,6,2,5,66,-4.2097
1973,6,3,1,88,0.0039
1973,6,3,2,89,-0.4705
1973,6,3,3,85,-1.5784
1973,6,3,4,88,-0.3500
1973,6,3,5,77,-2.1498
1973,7,1,1,125,12.5192
1973,7,1,2,117,14.3790
1973,7,1,3,153,14.2581
1973,7,1,4,158,18.4462
1973,7,1,5,197,18.7651
1973,7,2,1,58,11.4341
1973,7,2,2,60,8.9350
1973,7,2,3,69,12.0501
1973,7,2,4,71,14.1645
1973,7,2,5,77,17.7369
1973,7,3,1,101,4.8770
1973,7,3,2,103,5.2991
1973,7,3,3,97,3.9699
1973,7,3,4,97,5.4396
1973,7,3,5,82,10.3916
1973,8,1,1,124,-4.4528
1973,8,1,2,115,-7.3967
1973,8,1,3,153,-5.5873
1973,8,1,4,158,-6.5671
1973,8,1,5,195,-7.8817
1973,8,2,1,58,-4.2672
1973,8,2,2,60,-3.2596
1973,8,2,3,69,-3.5984
1973,8,2,4,71,-1.5437
1973,8,2,5,77,-5.8484
1973,8,3,1,101,-3.6253
1973,8,3,2,103,-1.9523
1973,8,3,3,97,-4.4043
1973,8,3,4,97,-2.3878
1973,8,3,5,82,-2.3207
1973,9,1,1,124,8.0453
1973,9,1,2,116,7.3354
1973,9,1,3,153,9.7294
1973,9,1,4,158,9.0673
1973,9,1,5,195,11.5748
1973,9,2,1,58,10.8946
1973,9,2,2,60,11.1988
1973,9,2,3,69,12.5015
1973,9,2,4,71,13.5202
1973,9,2,5,77,10.5412
1973,9,3,1,101,3.5544
1973,9,3,2,103,7.0553
1973,9,3,3,97,-0.0229
1973,9,3,4,97,9.1347
1973,9,3,5,81,7.6743
1973,10,1,1,124,-0.9145
1973,10,1,2,117,2.2470
1973,10,1,3,153,1.3653
1973,10,1,4,158,0.3217
1973,10,1,5,196,-1.2528
1973,10,2,1,58,0.2263
1973,10,2,2,60,1.3525
1973,10,2,3,69,0.9377
1973,10,2,4,71,1.3057
1973,10,2,5,77,-2.7770
1973,10,3,1,101,-0.8625
1973,10,3,2,103,0.5032
1973,10,3,3,97,2.0799
1973,10,3,4,97,-0.7042
1973,10,3,5,81,-0.7322
1973,11,1,1,123,-17.7689
1973,11,1,2,117,-17.1593
1973,11,1,3,153,-20.7266
1973,11,1,4,158,-21.2160
1973,11,1,5,195,-23.1939
1973,11,2,1,58,-19.6868
1973,11,2,2,60,-18.0114
1973,11,2,3,69,-18.5170
1973,11,2,4,71,-23.0691
1973,11,2,5,77,-23.5344
1973,11,3,1,101,-12.1553
1973,11,3,2,103,-13.6599
1973,11,3,3,97,-10.1642
1973,11,3,4,97,-10.2397
1973,11,3,5,81,-14.1996
1973,12,1,1,123,-4.8677
1973,12,1,2,117,-4.2059
1973,12,1,3,153,-1.7977
1973,12,1,4,158,-4.8552
1973,12,1,5,195,-5.5389
1973,12,2,1,58,-2.5547
1973,12,2,2,60,-4.9268
1973,12,2,3,69,0.0372
1973,12,2,4,71,-0.1413
1973,12,2,5,77,-0.4275
1973,12,3,1,101,-1.1093
1973,12,3,2,103,4.4067
1973,12,3,3,97,-1.6672
