year,month,rank_ME,rank_dLTI,nstocks,ret_vw
1967,12,2,1,31,5.9721
1967,12,2,2,35,6.5277
1967,12,2,3,8,11.8714
1967,12,2,4,26,8.0124
1967,12,2,5,31,7.7115
1967,12,3,1,52,1.8817
1967,12,3,2,53,1.7778
1967,12,3,3,56,3.1000
1967,12,3,4,58,5.2637
1967,12,3,5,43,0.6069
1968,1,1,1,35,-1.1958
1968,1,1,2,61,4.0645
1968,1,1,3,5,2.3112
1968,1,1,4,27,-1.1906
1968,1,1,5,34,0.2287
1968,1,2,1,31,0.3935
1968,1,2,2,35,0.3900
1968,1,2,3,8,-2.8653
1968,1,2,4,26,3.0118
1968,1,2,5,31,-3.6800
1968,1,3,1,52,-6.2374
1968,1,3,2,53,-2.0966
1968,1,3,3,56,-5.3511
1968,1,3,4,58,-3.4226
1968,1,3,5,43,-6.1501
1968,2,1,1,35,-3.4791
1968,2,1,2,61,-4.8591
1968,2,1,3,5,-3.4444
1968,2,1,4,27,-5.6297
1968,2,1,5,34,-7.0720
1968,2,2,1,31,-6.6537
1968,2,2,2,35,-3.1071
1968,2,2,3,8,0.6850
1968,2,2,4,26,-4.4095
1968,2,2,5,31,-4.3587
1968,2,3,1,51,-4.4924
1968,2,3,2,53,-2.4090
1968,2,3,3,56,-1.3989
1968,2,3,4,58,-4.6689
1968,2,3,5,43,-2.8961
1968,3,1,1,35,-1.3079
1968,3,1,2,61,-4.1276
1968,3,1,3,5,-0.4715
1968,3,1,4,27,-0.3272
1968,3,1,5,35,-1.2881
1968,3,2,1,31,-1.8230
1968,3,2,2,35,-1.5814
1968,3,2,3,8,0.7789
1968,3,2,4,26,-0.2177
1968,3,2,5,31,-5.6934
1968,3,3,1,51,2.8765
1968,3,3,2,53,0.4607
1968,3,3,3,56,0.6484
1968,3,3,4,58,-0.8967
1968,3,3,5,43,0.7950
1968,4,1,1,35,15.9280
1968,4,1,2,61,15.2470
1968,4,1,3,5,18.3562
1968,4,1,4,27,18.3771
1968,4,1,5,35,17.3429
1968,4,2,1,31,14.0727
1968,4,2,2,35,13.2109
1968,4,2,3,8,9.3962
1968,4,2,4,26,14.0814
1968,4,2,5,31,15.9073
1968,4,3,1,51,9.5906
1968,4,3,2,53,5.7793
1968,4,3,3,56,9.2552
1968,4,3,4,58,6.8825
1968,4,3,5,43,12.6470
1968,5,1,1,35,10.9530
1968,5,1,2,61,9.5086
1968,5,1,3,5,7.0879
1968,5,1,4,27,9.8017
1968,5,1,5,35,11.6221
1968,5,2,1,31,9.3990
1968,5,2,2,34,7.9944
1968,5,2,3,8,6.8551
1968,5,2,4,26,4.6159
1968,5,2,5,31,7.2146
1968,5,3,1,51,2.8246
1968,5,3,2,53,-0.8839
1968,5,3,3,56,0.8076
1968,5,3,4,58,2.8107
1968,5,3,5,43,0.8373
1968,6,1,1,35,0.9317
1968,6,1,2,61,-0.2727
1968,6,1,3,5,3.6018
1968,6,1,4,27,2.3426
1968,6,1,5,35,0.3185
1968,6,2,1,31,-0.5887
1968,6,2,2,34,0.4406
1968,6,2,3,8,4.3592
1968,6,2,4,26,0.3444
1968,6,2,5,31,0.0269
1968,6,3,1,51,-0.8164
1968,6,3,2,53,1.7866
1968,6,3,3,56,0.7551
1968,6,3,4,58,2.2939
1968,6,3,5,43,0.6325
1968,7,1,1,67,-4.6598
1968,7,1,2,78,-2.5643
1968,7,1,3,3,-6.7994
1968,7,1,4,39,-1.4883
1968,7,1,5,70,-3.3277
1968,7,2,1,31,-5.8397
1968,7,2,2,54,-2.7697
1968,7,2,3,8,-1.2893
1968,7,2,4,26,-3.5004
1968,7,2,5,31,-4.9066
1968,7,3,1,50,-2.7505
1968,7,3,2,69,0.4198
1968,7,3,3,43,0.0366
1968,7,3,4,53,-2.1688
1968,7,3,5,56,-3.7634
1968,8,1,1,67,4.1677
1968,8,1,2,78,4.3481
1968,8,1,3,3,17.4846
1968,8,1,4,39,1.1205
1968,8,1,5,70,3.5158
1968,8,2,1,31,5.0731
1968,8,2,2,54,3.3334
1968,8,2,3,7,5.6529
1968,8,2,4,26,5.6901
1968,8,2,5,31,3.6225
1968,8,3,1,50,1.6456
1968,8,3,2,69,1.3062
1968,8,3,3,43,1.5543
1968,8,3,4,53,2.8806
1968,8,3,5,55,1.6287
1968,9,1,1,67,9.5592
1968,9,1,2,78,6.5100
1968,9,1,3,3,15.7979
1968,9,1,4,39,6.7550
1968,9,1,5,70,8.5242
1968,9,2,1,31,6.4672
1968,9,2,2,54,6.7538
1968,9,2,3,7,7.2010
1968,9,2,4,26,6.4415
1968,9,2,5,31,5.3545
1968,9,3,1,50,6.8124
1968,9,3,2,69,3.6396
1968,9,3,3,43,4.3445
1968,9,3,4,53,5.2360
1968,9,3,5,55,4.2839
1968,10,1,1,67,-1.2999
1968,10,1,2,77,2.6278
1968,10,1,3,3,1.1154
1968,10,1,4,39,-0.8133
1968,10,1,5,70,0.4199
1968,10,2,1,31,-0.2766
1968,10,2,2,54,2.0690
1968,10,2,3,7,4.3077
1968,10,2,4,26,-1.8515
1968,10,2,5,31,0.3912
1968,10,3,1,50,1.6696
1968,10,3,2,69,2.3815
1968,10,3,3,43,3.8099
1968,10,3,4,53,1.7219
1968,10,3,5,55,-0.3852
1968,11,1,1,67,8.6382
1968,11,1,2,77,6.9669
1968,11,1,3,3,8.1902
1968,11,1,4,39,5.3594
1968,11,1,5,69,7.6344
1968,11,2,1,31,8.4274
1968,11,2,2,54,6.7355
1968,11,2,3,7,6.0779
1968,11,2,4,26,11.0458
1968,11,2,5,31,10.4942
1968,11,3,1,50,4.0582
1968,11,3,2,69,2.2559
1968,11,3,3,43,4.7510
1968,11,3,4,53,5.5282
1968,11,3,5,55,5.9576
1968,12,1,1,67,1.5054
1968,12,1,2,78,2.1240
1968,12,1,3,3,0.4770
1968,12,1,4,39,0.7715
1968,12,1,5,69,4.1935
1968,12,2,1,31,-3.1724
1968,12,2,2,54,-0.5018
1968,12,2,3,7,0.2526
1968,12,2,4,26,-1.0639
1968,12,2,5,31,0.9770
1968,12,3,1,50,-2.2753
1968,12,3,2,69,-3.1430
1968,12,3,3,43,-5.7937
1968,12,3,4,53,-3.5566
1968,12,3,5,55,-4.1504
1969,1,1,1,67,-1.6924
1969,1,1,2,78,-0.8269
1969,1,1,3,3,-3.7479
1969,1,1,4,39,0.2440
1969,1,1,5,69,-1.5907
1969,1,2,1,31,-2.6930
1969,1,2,2,54,0.8460
1969,1,2,3,7,-2.3081
1969,1,2,4,26,-1.8237
1969,1,2,5,31,-1.8316
1969,1,3,1,50,-1.1952
1969,1,3,2,69,0.4198
1969,1,3,3,43,-0.4761
1969,1,3,4,53,-1.2375
1969,1,3,5,55,-1.4800
1969,2,1,1,66,-9.3821
1969,2,1,2,78,-9.9461
1969,2,1,3,3,-8.4721
1969,2,1,4,38,-10.4379
1969,2,1,5,69,-10.5386
1969,2,2,1,31,-7.9385
1969,2,2,2,54,-9.0188
1969,2,2,3,7,-5.2129
1969,2,2,4,26,-8.2922
1969,2,2,5,31,-9.2137
1969,2,3,1,50,-6.4568
1969,2,3,2,69,-3.6958
1969,2,3,3,43,-3.5253
1969,2,3,4,53,-4.6433
1969,2,3,5,55,-5.7052
1969,3,1,1,66,2.4307
1969,3,1,2,78,2.4589
1969,3,1,3,3,4.3000
1969,3,1,4,38,0.3700
1969,3,1,5,69,3.2429
1969,3,2,1,31,0.1230
1969,3,2,2,54,4.8029
1969,3,2,3,7,1.1019
1969,3,2,4,26,3.4742
1969,3,2,5,31,3.6045
1969,3,3,1,50,2.0721
1969,3,3,2,69,3.6508
1969,3,3,3,43,2.1030
1969,3,3,4,53,5.0412
1969,3,3,5,55,2.3622
1969,4,1,1,65,-1.9319
1969,4,1,2,78,1.0576
1969,4,1,3,3,-5.8392
1969,4,1,4,38,-0.0606
1969,4,1,5,68,0.5833
1969,4,2,1,30,3.4605
1969,4,2,2,54,3.4794
1969,4,2,3,7,3.7440
1969,4,2,4,26,0.0874
1969,4,2,5,31,1.1626
1969,4,3,1,49,1.6459
1969,4,3,2,69,0.6237
1969,4,3,3,43,3.7591
1969,4,3,4,53,1.6131
1969,4,3,5,55,2.4842
1969,5,1,1,65,1.3102
1969,5,1,2,78,-0.5676
1969,5,1,3,3,2.0150
1969,5,1,4,38,1.1967
1969,5,1,5,68,2.1510
1969,5,2,1,30,0.5498
1969,5,2,2,54,1.3668
1969,5,2,3,7,0.3964
1969,5,2,4,26,-1.5273
1969,5,2,5,31,1.0793
1969,5,3,1,49,-0.4751
1969,5,3,2,69,1.7288
1969,5,3,3,43,0.1775
1969,5,3,4,52,1.6963
1969,5,3,5,55,-0.9179
1969,6,1,1,66,-13.0055
1969,6,1,2,78,-13.8719
1969,6,1,3,3,-13.9100
1969,6,1,4,38,-13.1017
1969,6,1,5,68,-13.7430
1969,6,2,1,31,-8.8445
1969,6,2,2,54,-9.8256
1969,6,2,3,7,-13.3170
1969,6,2,4,26,-10.0284
1969,6,2,5,31,-14.6897
1969,6,3,1,49,-7.1385
1969,6,3,2,69,-6.7009
1969,6,3,3,43,-5.7294
1969,6,3,4,52,-7.3420
1969,6,3,5,55,-8.6001
1969,7,1,1,77,-12.3166
1969,7,1,2,73,-11.8383
1969,7,1,3,17,-9.1566
1969,7,1,4,57,-9.1344
1969,7,1,5,58,-11.4739
1969,7,2,1,31,-7.6770
1969,7,2,2,35,-9.1790
1969,7,2,3,19,-9.4581
1969,7,2,4,29,-10.7531
1969,7,2,5,42,-11.4238
1969,7,3,1,52,-7.3280
1969,7,3,2,72,-6.3357
1969,7,3,3,54,-6.3663
1969,7,3,4,56,-6.3784
1969,7,3,5,55,-5.4466
1969,8,1,1,77,3.7174
1969,8,1,2,73,6.0422
1969,8,1,3,17,3.6326
1969,8,1,4,57,2.3129
1969,8,1,5,58,1.9180
1969,8,2,1,31,4.4074
1969,8,2,2,35,6.7625
1969,8,2,3,19,7.1352
1969,8,2,4,29,8.2448
1969,8,2,5,42,9.9691
1969,8,3,1,52,3.7404
1969,8,3,2,72,3.8053
1969,8,3,3,54,3.3499
1969,8,3,4,56,6.2220
1969,8,3,5,55,5.7175
1969,9,1,1,78,-1.4183
1969,9,1,2,73,-3.9077
1969,9,1,3,17,-3.4326
1969,9,1,4,57,-4.4680
1969,9,1,5,58,-1.4708
1969,9,2,1,31,-1.0805
1969,9,2,2,35,0.8555
1969,9,2,3,19,0.3326
1969,9,2,4,28,-2.4875
1969,9,2,5,42,0.3340
1969,9,3,1,52,-1.9277
1969,9,3,2,72,-1.8171
1969,9,3,3,54,-5.4012
1969,9,3,4,56,-2.8367
1969,9,3,5,54,-2.6267
1969,10,1,1,78,8.8992
1969,10,1,2,73,11.3550
1969,10,1,3,17,5.9628
1969,10,1,4,57,8.2559
1969,10,1,5,58,11.9320
1969,10,2,1,31,6.5533
1969,10,2,2,35,7.7600
1969,10,2,3,19,5.7615
1969,10,2,4,28,6.2016
1969,10,2,5,41,10.4561
1969,10,3,1,52,4.6757
1969,10,3,2,72,4.7230
1969,10,3,3,54,4.4013
1969,10,3,4,56,4.7660
1969,10,3,5,54,3.6099
1969,11,1,1,78,-5.6454
1969,11,1,2,73,-5.0780
1969,11,1,3,17,-5.2846
1969,11,1,4,57,-5.0072
1969,11,1,5,58,-9.1823
1969,11,2,1,31,-4.6648
1969,11,2,2,35,-5.2493
1969,11,2,3,19,-4.9491
1969,11,2,4,28,-4.9093
1969,11,2,5,40,-4.4152
1969,11,3,1,52,-2.5789
1969,11,3,2,72,-4.2200
1969,11,3,3,54,-1.4299
1969,11,3,4,56,-4.5442
1969,11,3,5,55,-3.2248
1969,12,1,1,78,-7.1074
1969,12,1,2,73,-4.4885
1969,12,1,3,17,-4.7231
1969,12,1,4,57,-7.9981
1969,12,1,5,58,-7.1156
1969,12,2,1,31,-2.3872
1969,12,2,2,35,-2.3423
1969,12,2,3,19,-5.5102
1969,12,2,4,28,-5.2208
1969,12,2,5,40,-6.7147
1969,12,3,1,52,-3.0638
1969,12,3,2,72,-3.0980
1969,12,3,3,54,-3.4226
1969,12,3,4,56,1.4393
1969,12,3,5,55,-3.4022
1970,1,1,1,78,-3.7494
1970,1,1,2,73,-0.3449
1970,1,1,3,17,-2.6681
1970,1,1,4,57,-0.9511
1970,1,1,5,58,-4.4443
1970,1,2,1,31,-2.7910
1970,1,2,2,35,-5.6581
1970,1,2,3,19,-1.8543
1970,1,2,4,28,-5.9632
1970,1,2,5,41,-7.0508
1970,1,3,1,52,-8.8760
1970,1,3,2,72,-5.9489
1970,1,3,3,54,-6.5569
1970,1,3,4,56,-9.2576
1970,1,3,5,55,-11.4437
1970,2,1,1,78,2.3457
1970,2,1,2,73,1.0232
1970,2,1,3,17,2.7763
1970,2,1,4,57,3.3625
1970,2,1,5,58,3.4597
1970,2,2,1,31,6.2475
1970,2,2,2,35,3.6483
1970,2,2,3,19,3.0694
1970,2,2,4,28,5.6252
1970,2,2,5,41,5.0604
1970,2,3,1,52,6.4460
1970,2,3,2,72,7.2119
1970,2,3,3,54,7.7525
1970,2,3,4,56,6.1334
1970,2,3,5,55,5.7513
1970,3,1,1,78,-3.8565
1970,3,1,2,73,-4.6495
1970,3,1,3,17,0.3530
1970,3,1,4,57,-1.7077
1970,3,1,5,58,-2.3929
1970,3,2,1,31,-1.7255
1970,3,2,2,35,-1.8179
1970,3,2,3,19,1.3040
1970,3,2,4,28,-2.4178
1970,3,2,5,42,-3.6484
1970,3,3,1,52,-0.8562
1970,3,3,2,72,3.0445
1970,3,3,3,54,-0.0673
1970,3,3,4,56,-1.2107
1970,3,3,5,55,-1.2339
1970,4,1,1,78,-20.4503
1970,4,1,2,73,-17.0442
1970,4,1,3,17,-9.4443
1970,4,1,4,57,-18.3223
1970,4,1,5,57,-19.8204
1970,4,2,1,31,-13.9839
1970,4,2,2,35,-12.7316
1970,4,2,3,19,-14.9572
1970,4,2,4,28,-14.2599
1970,4,2,5,42,-18.8846
1970,4,3,1,52,-9.7012
1970,4,3,2,72,-9.0332
1970,4,3,3,54,-6.7039
1970,4,3,4,56,-9.2314
1970,4,3,5,55,-11.8650
1970,5,1,1,78,-7.1242
1970,5,1,2,73,-11.0755
1970,5,1,3,17,-6.3990
1970,5,1,4,57,-11.1721
1970,5,1,5,57,-9.7197
1970,5,2,1,31,-9.3758
1970,5,2,2,35,-9.4692
1970,5,2,3,19,-13.7241
1970,5,2,4,28,-8.6872
1970,5,2,5,41,-10.7106
1970,5,3,1,52,-6.5292
1970,5,3,2,72,-5.0005
1970,5,3,3,54,-2.7814
1970,5,3,4,56,-6.3016
1970,5,3,5,55,-8.4616
1970,6,1,1,76,-9.4128
1970,6,1,2,73,-8.7713
1970,6,1,3,17,-5.5861
1970,6,1,4,57,-6.8713
1970,6,1,5,57,-7.5007
1970,6,2,1,31,-6.3578
1970,6,2,2,35,-7.0206
1970,6,2,3,19,-3.2391
1970,6,2,4,28,-9.4203
1970,6,2,5,41,-9.2342
1970,6,3,1,52,-3.8307
1970,6,3,2,72,-3.7963
1970,6,3,3,54,-5.4971
1970,6,3,4,56,-3.3103
1970,6,3,5,55,-4.6122
1970,7,1,1,101,5.2599
1970,7,1,2,57,3.1641
1970,7,1,3,36,7.0801
1970,7,1,4,67,3.7697
1970,7,1,5,88,4.7683
1970,7,2,1,36,11.2885
1970,7,2,2,32,8.0021
1970,7,2,3,25,8.0533
1970,7,2,4,30,8.8417
1970,7,2,5,46,6.6917
1970,7,3,1,41,6.2252
1970,7,3,2,63,9.5189
1970,7,3,3,66,9.1680
1970,7,3,4,59,9.5372
1970,7,3,5,56,8.7392
1970,8,1,1,101,6.1804
1970,8,1,2,57,7.4950
1970,8,1,3,36,5.2529
1970,8,1,4,67,7.9117
1970,8,1,5,87,7.1965
1970,8,2,1,36,4.1946
1970,8,2,2,32,8.4570
1970,8,2,3,25,5.7016
1970,8,2,4,30,8.4606
1970,8,2,5,46,4.7869
1970,8,3,1,41,7.7931
1970,8,3,2,63,2.3161
1970,8,3,3,66,6.5786
1970,8,3,4,59,4.8023
1970,8,3,5,56,3.0273
1970,9,1,1,100,16.5440
1970,9,1,2,57,9.5389
1970,9,1,3,36,8.4807
1970,9,1,4,67,16.8899
1970,9,1,5,86,19.1246
1970,9,2,1,36,11.5627
1970,9,2,2,32,8.5615
1970,9,2,3,25,9.0932
1970,9,2,4,30,14.2830
1970,9,2,5,46,15.2522
1970,9,3,1,41,6.5563
1970,9,3,2,63,2.5373
1970,9,3,3,66,-0.3913
1970,9,3,4,59,3.0783
1970,9,3,5,56,6.4627
1970,10,1,1,100,-6.7121
1970,10,1,2,57,-6.5715
1970,10,1,3,36,-4.6347
1970,10,1,4,67,-10.9871
1970,10,1,5,86,-7.3386
1970,10,2,1,35,-5.0775
1970,10,2,2,32,-4.4794
1970,10,2,3,25,-4.3391
1970,10,2,4,30,-6.7506
1970,10,2,5,46,-5.8613
1970,10,3,1,41,-2.3432
1970,10,3,2,63,-2.7243
1970,10,3,3,66,-0.6597
1970,10,3,4,59,-1.5133
1970,10,3,5,56,-0.9759
1970,11,1,1,98,-0.1328
1970,11,1,2,57,-1.7544
1970,11,1,3,36,-1.7629
1970,11,1,4,67,-0.8590
1970,11,1,5,86,-3.9057
1970,11,2,1,35,2.2699
1970,11,2,2,32,2.7352
1970,11,2,3,25,5.2992
1970,11,2,4,30,0.3233
1970,11,2,5,46,0.2901
1970,11,3,1,41,2.7240
1970,11,3,2,63,6.4890
1970,11,3,3,66,6.0309
1970,11,3,4,59,5.0770
1970,11,3,5,56,3.4669
1970,12,1,1,97,9.4871
1970,12,1,2,57,10.6898
1970,12,1,3,36,13.1526
1970,12,1,4,67,9.2396
1970,12,1,5,86,3.9614
1970,12,2,1,35,6.5350
1970,12,2,2,32,10.0753
1970,12,2,3,25,9.8758
1970,12,2,4,30,9.3440
1970,12,2,5,46,7.9860
1970,12,3,1,41,5.2004
1970,12,3,2,63,5.9169
1970,12,3,3,66,5.7292
1970,12,3,4,59,6.5802
1970,12,3,5,56,4.9800
1971,1,1,1,96,16.5345
1971,1,1,2,57,11.3207
1971,1,1,3,36,11.5266
1971,1,1,4,67,14.5969
1971,1,1,5,85,15.4125
1971,1,2,1,35,12.8636
1971,1,2,2,32,9.2545
1971,1,2,3,25,10.8247
1971,1,2,4,29,11.3263
1971,1,2,5,46,11.8603
1971,1,3,1,41,5.1982
1971,1,3,2,63,6.7759
1971,1,3,3,66,3.3951
1971,1,3,4,59,4.8058
1971,1,3,5,56,7.4510
1971,2,1,1,96,3.7883
1971,2,1,2,56,8.7210
