year,month,rank_ME,rank_ACI,nstocks,ret_vw
1967,12,2,1,39,3.6554
1967,12,2,2,24,5.4960
1967,12,2,3,35,5.5170
1967,12,2,4,26,4.8156
1967,12,2,5,27,4.7353
1967,12,3,1,54,6.0520
1967,12,3,2,83,2.4909
1967,12,3,3,83,2.0737
1967,12,3,4,82,3.3150
1967,12,3,5,79,-0.3951
1968,1,1,1,48,0.1897
1968,1,1,2,27,1.5571
1968,1,1,3,20,-1.8381
1968,1,1,4,22,4.6369
1968,1,1,5,34,0.9086
1968,1,2,1,39,1.3402
1968,1,2,2,24,-1.2850
1968,1,2,3,35,-1.5096
1968,1,2,4,26,3.1591
1968,1,2,5,27,-1.9194
1968,1,3,1,54,-4.6180
1968,1,3,2,83,-4.1259
1968,1,3,3,83,-3.2754
1968,1,3,4,82,-5.3661
1968,1,3,5,79,-6.4988
1968,2,1,1,48,-3.9337
1968,2,1,2,27,-3.5612
1968,2,1,3,20,-1.6831
1968,2,1,4,22,-6.5810
1968,2,1,5,34,-2.8010
1968,2,2,1,39,-3.1686
1968,2,2,2,24,-3.5801
1968,2,2,3,34,-5.4483
1968,2,2,4,26,-4.7049
1968,2,2,5,27,-2.1773
1968,2,3,1,54,-4.6813
1968,2,3,2,83,-3.2743
1968,2,3,3,83,-2.5416
1968,2,3,4,82,-2.8310
1968,2,3,5,78,-3.2696
1968,3,1,1,48,-0.1813
1968,3,1,2,27,0.0318
1968,3,1,3,20,-0.0043
1968,3,1,4,22,-1.5372
1968,3,1,5,34,2.6745
1968,3,2,1,39,1.1574
1968,3,2,2,24,-2.8451
1968,3,2,3,34,-1.4793
1968,3,2,4,26,-3.2682
1968,3,2,5,27,-2.8220
1968,3,3,1,54,0.3174
1968,3,3,2,83,-0.4515
1968,3,3,3,83,1.7384
1968,3,3,4,82,2.8001
1968,3,3,5,78,-0.3730
1968,4,1,1,48,16.0593
1968,4,1,2,27,12.0140
1968,4,1,3,20,13.1707
1968,4,1,4,22,15.9863
1968,4,1,5,34,13.6722
1968,4,2,1,39,10.7069
1968,4,2,2,24,10.3982
1968,4,2,3,34,16.1261
1968,4,2,4,26,13.8647
1968,4,2,5,27,10.9490
1968,4,3,1,54,11.2272
1968,4,3,2,83,6.8530
1968,4,3,3,83,8.6250
1968,4,3,4,82,10.0247
1968,4,3,5,78,11.6579
1968,5,1,1,48,9.0794
1968,5,1,2,27,10.2724
1968,5,1,3,20,7.7675
1968,5,1,4,22,10.5628
1968,5,1,5,34,8.0265
1968,5,2,1,39,5.8791
1968,5,2,2,24,8.0551
1968,5,2,3,34,6.7373
1968,5,2,4,26,5.7733
1968,5,2,5,26,6.4204
1968,5,3,1,54,3.1814
1968,5,3,2,83,2.3365
1968,5,3,3,83,0.3519
1968,5,3,4,82,2.9664
1968,5,3,5,78,-0.7007
1968,6,1,1,48,1.8053
1968,6,1,2,27,0.6883
