year,month,rank_ME,rank_IAq_12,nstocks,ret_vw
1973,1,1,1,61,-4.7087
1973,1,1,2,18,-2.2087
1973,1,1,3,13,-1.8075
1973,1,1,4,12,-1.8583
1973,1,1,5,23,-3.4222
1973,1,2,1,16,-4.3438
1973,1,2,2,19,-8.5562
1973,1,2,3,14,-5.1633
1973,1,2,4,11,-6.7245
1973,1,2,5,9,-6.9924
1973,1,3,1,18,-3.5537
1973,1,3,2,20,-6.6608
1973,1,3,3,25,-4.4646
1973,1,3,4,30,-3.7525
1973,1,3,5,30,-4.5641
1973,2,1,1,83,-8.5305
1973,2,1,2,28,-7.1562
1973,2,1,3,17,-11.0269
1973,2,1,4,19,-11.3736
1973,2,1,5,39,-13.6267
1973,2,2,1,28,-7.2996
1973,2,2,2,25,-5.9097
1973,2,2,3,18,-2.9458
1973,2,2,4,16,-4.9071
1973,2,2,5,16,-9.5794
1973,2,3,1,24,-4.8174
1973,2,3,2,31,-2.8039
1973,2,3,3,42,-1.5680
1973,2,3,4,37,-2.5593
1973,2,3,5,44,-7.8438
1973,3,1,1,97,-1.1909
1973,3,1,2,36,-1.5489
1973,3,1,3,23,-3.3048
1973,3,1,4,21,-4.1821
1973,3,1,5,46,-5.2270
1973,3,2,1,32,-2.9699
1973,3,2,2,29,-2.8082
1973,3,2,3,19,-2.0757
1973,3,2,4,16,-5.2869
1973,3,2,5,21,-2.5124
1973,3,3,1,28,-0.9469
1973,3,3,2,40,-1.7712
1973,3,3,3,43,-2.5542
1973,3,3,4,42,-3.8423
1973,3,3,5,48,-3.5677
1973,4,1,1,111,-8.8723
1973,4,1,2,41,-8.2061
1973,4,1,3,24,-8.1039
1973,4,1,4,25,-7.5413
1973,4,1,5,55,-11.2331
1973,4,2,1,32,-3.3981
1973,4,2,2,31,-5.5122
1973,4,2,3,19,-10.9301
1973,4,2,4,17,-4.6976
1973,4,2,5,24,-10.0369
1973,4,3,1,30,-1.7344
1973,4,3,2,42,-4.1264
1973,4,3,3,45,-3.2021
1973,4,3,4,43,-0.5247
1973,4,3,5,54,-6.3465
1973,5,1,1,240,-8.9422
1973,5,1,2,95,-9.8328
1973,5,1,3,86,-8.3446
1973,5,1,4,73,-8.5671
1973,5,1,5,152,-15.6010
1973,5,2,1,76,-6.1445
1973,5,2,2,80,-6.7419
1973,5,2,3,68,-4.6280
1973,5,2,4,48,-6.3206
1973,5,2,5,85,-9.8789
1973,5,3,1,91,-2.2748
1973,5,3,2,124,-1.2104
1973,5,3,3,136,-0.0051
1973,5,3,4,135,0.1539
1973,5,3,5,142,-3.2082
1973,6,1,1,251,-2.1982
1973,6,1,2,105,-2.8458
1973,6,1,3,93,-2.4011
1973,6,1,4,88,-4.2797
1973,6,1,5,174,-6.9274
1973,6,2,1,80,-1.4936
1973,6,2,2,87,-1.8382
1973,6,2,3,71,-4.5392
1973,6,2,4,55,-5.2328
1973,6,2,5,91,-7.1633
1973,6,3,1,94,-2.4748
1973,6,3,2,132,-1.7610
1973,6,3,3,143,-2.2722
1973,6,3,4,144,-0.6633
1973,6,3,5,149,-3.4778
1973,7,1,1,258,12.4152
1973,7,1,2,110,11.9758
1973,7,1,3,94,11.6558
1973,7,1,4,95,12.0301
1973,7,1,5,177,19.4931
1973,7,2,1,81,6.9877
1973,7,2,2,89,7.9044
1973,7,2,3,71,8.8881
1973,7,2,4,58,5.5453
1973,7,2,5,99,14.0604
1973,7,3,1,97,5.3738
1973,7,3,2,133,3.5859
1973,7,3,3,145,2.5671
1973,7,3,4,148,1.1673
1973,7,3,5,156,7.9625
1973,8,1,1,280,-4.8958
1973,8,1,2,119,-3.9203
1973,8,1,3,106,-6.7689
1973,8,1,4,98,-6.6218
1973,8,1,5,187,-8.8431
1973,8,2,1,91,-3.2395
1973,8,2,2,90,-4.1256
1973,8,2,3,75,-4.1029
1973,8,2,4,65,-3.9369
1973,8,2,5,104,-3.1544
1973,8,3,1,101,-0.8622
1973,8,3,2,144,-2.2746
1973,8,3,3,162,-2.3940
1973,8,3,4,151,-2.5462
1973,8,3,5,163,-4.3687
1973,9,1,1,291,9.2616
1973,9,1,2,124,7.2999
1973,9,1,3,112,7.8223
1973,9,1,4,104,7.1295
1973,9,1,5,197,11.1561
1973,9,2,1,94,9.8858
1973,9,2,2,92,7.8683
1973,9,2,3,76,10.0629
1973,9,2,4,68,10.1311
1973,9,2,5,105,11.3219
1973,9,3,1,101,7.3391
1973,9,3,2,148,8.3579
1973,9,3,3,162,6.8210
1973,9,3,4,152,4.2473
1973,9,3,5,168,6.7316
1973,10,1,1,303,2.8035
1973,10,1,2,127,-0.0535
1973,10,1,3,115,-0.3567
1973,10,1,4,106,-1.7255
1973,10,1,5,206,-1.1464
1973,10,2,1,97,-0.4501
1973,10,2,2,94,-0.0567
1973,10,2,3,78,0.2540
1973,10,2,4,69,-0.6052
1973,10,2,5,109,-3.9843
1973,10,3,1,102,-1.0222
1973,10,3,2,150,-1.5412
1973,10,3,3,163,-1.9009
1973,10,3,4,154,-2.6531
1973,10,3,5,172,-2.4537
1973,11,1,1,319,-18.2191
1973,11,1,2,136,-18.3331
1973,11,1,3,123,-20.4572
1973,11,1,4,120,-20.0232
1973,11,1,5,218,-23.9564
1973,11,2,1,105,-14.9087
1973,11,2,2,101,-12.7570
1973,11,2,3,82,-16.4050
1973,11,2,4,74,-16.8006
1973,11,2,5,118,-23.6925
1973,11,3,1,105,-11.3744
1973,11,3,2,154,-11.9802
1973,11,3,3,173,-11.7679
1973,11,3,4,163,-13.2098
1973,11,3,5,177,-15.8637
1973,12,1,1,323,-3.8483
1973,12,1,2,144,-1.5740
1973,12,1,3,128,-2.6698
