year,month,rank_ME,rank_IG2,nstocks,ret_vw
1967,12,2,1,44,5.2453
1967,12,2,2,40,5.2818
1967,12,2,3,22,4.6923
1967,12,2,4,32,4.5100
1967,12,2,5,41,5.8053
1967,12,3,1,70,5.1463
1967,12,3,2,81,2.6385
1967,12,3,3,93,2.7240
1967,12,3,4,89,2.1446
1967,12,3,5,80,1.2493
1968,1,1,1,67,4.9709
1968,1,1,2,28,-0.4367
1968,1,1,3,36,2.9741
1968,1,1,4,27,-4.5979
1968,1,1,5,53,0.4452
1968,1,2,1,44,1.5533
1968,1,2,2,40,1.0418
1968,1,2,3,22,0.5072
1968,1,2,4,32,0.6937
1968,1,2,5,41,-2.2477
1968,1,3,1,70,-4.2174
1968,1,3,2,81,-3.0394
1968,1,3,3,93,-3.8579
1968,1,3,4,89,-6.5660
1968,1,3,5,80,-7.2352
1968,2,1,1,67,-5.0476
1968,2,1,2,28,-3.6658
1968,2,1,3,36,-5.0256
1968,2,1,4,27,-4.9829
1968,2,1,5,52,-4.9770
1968,2,2,1,44,-3.5160
1968,2,2,2,38,-3.5596
1968,2,2,3,22,-5.1245
1968,2,2,4,32,-3.5894
1968,2,2,5,41,-4.3415
1968,2,3,1,70,-3.7333
1968,2,3,2,81,-2.5138
1968,2,3,3,93,-3.6123
1968,2,3,4,89,-2.8713
1968,2,3,5,79,-3.8900
1968,3,1,1,68,-1.1458
1968,3,1,2,28,-0.5895
1968,3,1,3,36,0.3516
1968,3,1,4,27,0.4462
1968,3,1,5,52,1.3427
1968,3,2,1,44,0.7148
1968,3,2,2,38,-0.5453
1968,3,2,3,22,1.6684
1968,3,2,4,32,-2.6423
1968,3,2,5,41,-3.6228
1968,3,3,1,70,0.9826
1968,3,3,2,81,0.1999
1968,3,3,3,93,0.6647
1968,3,3,4,89,3.5405
1968,3,3,5,79,0.8257
1968,4,1,1,68,17.9032
1968,4,1,2,28,14.4806
1968,4,1,3,35,13.2273
1968,4,1,4,27,18.3851
1968,4,1,5,52,14.5174
1968,4,2,1,44,12.9140
1968,4,2,2,38,13.5916
1968,4,2,3,22,14.0219
1968,4,2,4,32,13.0699
1968,4,2,5,41,13.6319
1968,4,3,1,70,10.7417
1968,4,3,2,81,6.0730
1968,4,3,3,93,10.1622
1968,4,3,4,89,10.9063
1968,4,3,5,79,11.3658
1968,5,1,1,68,9.2486
1968,5,1,2,28,7.9184
1968,5,1,3,35,6.7862
1968,5,1,4,27,10.4609
1968,5,1,5,52,8.9797
1968,5,2,1,44,7.0646
1968,5,2,2,38,5.1343
1968,5,2,3,22,8.5871
1968,5,2,4,32,5.1683
1968,5,2,5,40,8.4103
1968,5,3,1,70,2.9369
1968,5,3,2,81,0.4077
1968,5,3,3,92,1.6009
1968,5,3,4,89,3.5085
1968,5,3,5,79,0.9270
1968,6,1,1,68,1.2569
1968,6,1,2,28,1.5234
1968,6,1,3,35,2.2209
1968,6,1,4,27,2.4335
1968,6,1,5,52,-0.9837
1968,6,2,1,44,1.5921
1968,6,2,2,38,-0.0121
1968,6,2,3,22,-0.4423
1968,6,2,4,32,2.1148
1968,6,2,5,40,0.5606
1968,6,3,1,70,-0.7189
1968,6,3,2,81,1.3169
1968,6,3,3,92,0.6268
1968,6,3,4,89,-0.4740
1968,6,3,5,79,0.2427
1968,7,1,1,77,-0.0556
1968,7,1,2,53,-2.9507
1968,7,1,3,33,-4.1037
1968,7,1,4,44,-4.0649
1968,7,1,5,61,-3.4805
1968,7,2,1,46,-1.8610
1968,7,2,2,46,-4.1423
1968,7,2,3,38,-4.7641
