year,month,rank_ME,rank_dNCO,nstocks,ret_vw
1967,12,2,1,64,6.2535
1967,12,2,2,43,8.2677
1967,12,2,3,51,5.6300
1967,12,2,4,32,3.6125
1967,12,2,5,49,8.4129
1967,12,3,1,56,4.1685
1967,12,3,2,103,2.6730
1967,12,3,3,110,2.5539
1967,12,3,4,123,2.9168
1967,12,3,5,107,1.9772
1968,1,1,1,158,2.1725
1968,1,1,2,60,2.3106
1968,1,1,3,55,1.8169
1968,1,1,4,47,2.1676
1968,1,1,5,72,4.4753
1968,1,2,1,64,0.3554
1968,1,2,2,43,0.0188
1968,1,2,3,51,0.8594
1968,1,2,4,32,-0.1281
1968,1,2,5,49,-1.5120
1968,1,3,1,56,-2.8613
1968,1,3,2,103,-1.9265
1968,1,3,3,110,-5.2291
1968,1,3,4,123,-3.6517
1968,1,3,5,107,-6.3080
1968,2,1,1,158,-5.8094
1968,2,1,2,60,-4.9395
1968,2,1,3,55,-6.7160
1968,2,1,4,47,-6.3364
1968,2,1,5,72,-5.8827
1968,2,2,1,64,-4.7181
1968,2,2,2,42,-4.0800
1968,2,2,3,50,-1.8674
1968,2,2,4,32,-3.2648
1968,2,2,5,49,-7.1789
1968,2,3,1,56,-4.0202
1968,2,3,2,103,-2.4057
1968,2,3,3,110,-2.0485
1968,2,3,4,123,-3.3904
1968,2,3,5,106,-3.3213
1968,3,1,1,159,-1.0960
1968,3,1,2,60,-1.8147
1968,3,1,3,55,-0.1127
1968,3,1,4,47,-2.4227
1968,3,1,5,72,-0.5235
1968,3,2,1,64,-0.7818
1968,3,2,2,42,-1.5352
1968,3,2,3,50,-2.0988
1968,3,2,4,32,-1.9627
1968,3,2,5,49,-1.1395
1968,3,3,1,56,0.5043
1968,3,3,2,103,-0.0024
1968,3,3,3,110,-0.3350
1968,3,3,4,123,0.2406
1968,3,3,5,106,2.5276
1968,4,1,1,159,15.2641
1968,4,1,2,60,15.6192
1968,4,1,3,55,17.5337
1968,4,1,4,47,15.9948
1968,4,1,5,72,20.3325
1968,4,2,1,64,13.4909
1968,4,2,2,42,14.9620
1968,4,2,3,50,7.5519
1968,4,2,4,32,13.4048
1968,4,2,5,49,14.7879
1968,4,3,1,56,9.4757
1968,4,3,2,103,6.9791
1968,4,3,3,110,8.2841
1968,4,3,4,123,7.3362
1968,4,3,5,106,11.4373
1968,5,1,1,159,10.1009
1968,5,1,2,60,10.1246
1968,5,1,3,55,12.6725
1968,5,1,4,47,10.5156
1968,5,1,5,72,12.0343
1968,5,2,1,64,6.3839
1968,5,2,2,42,6.8744
1968,5,2,3,49,8.0756
1968,5,2,4,32,8.2070
1968,5,2,5,49,8.0462
1968,5,3,1,56,2.5572
1968,5,3,2,103,0.8062
1968,5,3,3,110,0.0614
1968,5,3,4,123,1.4796
1968,5,3,5,106,3.2186
1968,6,1,1,159,1.0930
1968,6,1,2,60,-1.4702
1968,6,1,3,55,0.8936
1968,6,1,4,47,-0.6783
1968,6,1,5,72,1.4959
1968,6,2,1,64,0.0375
1968,6,2,2,42,0.3463
1968,6,2,3,49,1.9722
1968,6,2,4,32,-1.2381
1968,6,2,5,49,0.9106
1968,6,3,1,56,-0.0545
1968,6,3,2,103,1.8046
1968,6,3,3,110,1.7620
1968,6,3,4,123,1.3602
1968,6,3,5,106,0.0877
1968,7,1,1,231,-2.2026
1968,7,1,2,119,-3.2830
1968,7,1,3,51,-3.7401
1968,7,1,4,63,-5.0848
1968,7,1,5,85,-4.8455
1968,7,2,1,66,-2.2907
1968,7,2,2,53,-1.5796
1968,7,2,3,55,-2.8998
1968,7,2,4,41,-3.2972
1968,7,2,5,63,-6.3985
1968,7,3,1,62,-2.1478
1968,7,3,2,94,-4.2744
1968,7,3,3,109,1.3478
1968,7,3,4,127,-2.4445
1968,7,3,5,111,-4.7308
1968,8,1,1,230,6.2318
1968,8,1,2,119,4.2615
1968,8,1,3,51,4.7915
1968,8,1,4,63,3.2540
1968,8,1,5,85,2.7287
1968,8,2,1,65,4.8959
1968,8,2,2,53,3.1631
1968,8,2,3,55,3.2143
1968,8,2,4,41,1.7666
1968,8,2,5,63,4.8153
1968,8,3,1,61,1.3030
