year,month,rank_ME,rank_CEI,nstocks,ret_vw
1967,12,2,1,56,4.0746
1967,12,2,2,50,8.2281
1967,12,2,3,44,5.9177
1967,12,2,4,42,5.1350
1967,12,2,5,39,7.8425
1967,12,3,1,70,4.3841
1967,12,3,2,95,3.4079
1967,12,3,3,115,3.1294
1967,12,3,4,96,1.4108
1967,12,3,5,103,2.8618
1968,1,1,1,51,3.3670
1968,1,1,2,30,1.2450
1968,1,1,3,16,5.6225
1968,1,1,4,32,0.6291
1968,1,1,5,33,3.2664
1968,1,2,1,56,0.2175
1968,1,2,2,50,-1.0268
1968,1,2,3,44,2.5669
1968,1,2,4,41,-0.5806
1968,1,2,5,39,1.6341
1968,1,3,1,70,-2.6584
1968,1,3,2,93,-0.5405
1968,1,3,3,115,-2.9681
1968,1,3,4,96,-4.3698
1968,1,3,5,103,-9.1062
1968,2,1,1,50,-1.9058
1968,2,1,2,30,-3.1222
1968,2,1,3,14,-5.5139
1968,2,1,4,31,-5.2276
1968,2,1,5,33,-9.7480
1968,2,2,1,55,-4.2718
1968,2,2,2,48,-2.5629
1968,2,2,3,42,-1.8479
1968,2,2,4,39,-6.0017
1968,2,2,5,39,-4.4854
1968,2,3,1,69,-2.6318
1968,2,3,2,93,-1.6665
1968,2,3,3,115,-3.2786
1968,2,3,4,95,-2.0608
1968,2,3,5,103,-5.2506
1968,3,1,1,50,-0.5923
1968,3,1,2,30,0.3988
1968,3,1,3,14,6.4516
1968,3,1,4,31,1.7585
1968,3,1,5,32,-3.8397
1968,3,2,1,54,-1.0851
1968,3,2,2,47,-0.3398
1968,3,2,3,42,-2.7110
1968,3,2,4,38,-3.0819
1968,3,2,5,39,-3.5630
1968,3,3,1,69,-0.7359
1968,3,3,2,93,-0.0432
1968,3,3,3,114,-1.2234
1968,3,3,4,95,2.1587
1968,3,3,5,103,1.5730
1968,4,1,1,50,13.8419
1968,4,1,2,30,11.6842
1968,4,1,3,13,9.2508
1968,4,1,4,30,13.1803
1968,4,1,5,32,15.5603
1968,4,2,1,54,10.1356
1968,4,2,2,47,10.7522
1968,4,2,3,42,11.7298
1968,4,2,4,38,14.7049
1968,4,2,5,39,13.4912
1968,4,3,1,69,8.6087
1968,4,3,2,93,5.6208
1968,4,3,3,114,6.5425
1968,4,3,4,95,9.0424
1968,4,3,5,103,11.9562
1968,5,1,1,50,11.8671
1968,5,1,2,30,7.5516
1968,5,1,3,13,9.5473
1968,5,1,4,29,11.6381
1968,5,1,5,31,12.0948
1968,5,2,1,53,6.1908
1968,5,2,2,47,5.6274
1968,5,2,3,42,5.8646
1968,5,2,4,37,7.4651
1968,5,2,5,39,6.8179
1968,5,3,1,69,0.5553
1968,5,3,2,91,0.2733
1968,5,3,3,112,1.8668
1968,5,3,4,95,1.9436
1968,5,3,5,103,3.1993
1968,6,1,1,50,1.5136
1968,6,1,2,30,1.2312
1968,6,1,3,13,2.9653
1968,6,1,4,29,1.4245
1968,6,1,5,30,0.5863
1968,6,2,1,51,2.0108
1968,6,2,2,46,2.4717
1968,6,2,3,42,0.5430
1968,6,2,4,36,0.8480
1968,6,2,5,39,-1.7476
1968,6,3,1,69,1.5839
1968,6,3,2,91,2.7412
1968,6,3,3,112,2.0203
1968,6,3,4,95,0.5128
1968,6,3,5,103,-0.6663
1968,7,1,1,98,-1.7090
1968,7,1,2,83,-3.0201
1968,7,1,3,77,-2.5757
1968,7,1,4,237,-4.1786
1968,7,1,5,62,-3.7203
1968,7,2,1,62,0.1301
1968,7,2,2,49,-1.1547
1968,7,2,3,56,-3.1886
1968,7,2,4,66,-4.2393
1968,7,2,5,55,-6.8509
1968,7,3,1,79,0.8454
1968,7,3,2,101,0.0628
1968,7,3,3,116,-1.1890
1968,7,3,4,92,-4.0441
1968,7,3,5,121,-4.5288
1968,8,1,1,96,3.7503
1968,8,1,2,82,3.2611
1968,8,1,3,75,5.0124
1968,8,1,4,234,3.4524
1968,8,1,5,62,2.7510
1968,8,2,1,62,3.2883
1968,8,2,2,49,2.9274
1968,8,2,3,54,5.4501
1968,8,2,4,66,3.1299
1968,8,2,5,54,5.2210
1968,8,3,1,79,2.0354
1968,8,3,2,101,1.3248
1968,8,3,3,114,1.6830
1968,8,3,4,91,0.2872
1968,8,3,5,120,1.9209
1968,9,1,1,95,5.0903
1968,9,1,2,82,5.6882
1968,9,1,3,75,6.8902
1968,9,1,4,234,9.6263
1968,9,1,5,62,6.6083
1968,9,2,1,62,5.0966
1968,9,2,2,48,5.5866
1968,9,2,3,53,8.0703
1968,9,2,4,66,6.3525
1968,9,2,5,54,8.3582
1968,9,3,1,79,4.6832
1968,9,3,2,101,4.1252
1968,9,3,3,114,3.9995
1968,9,3,4,91,1.8229
1968,9,3,5,120,4.7991
1968,10,1,1,95,2.5926
1968,10,1,2,80,0.8709
1968,10,1,3,74,0.5091
1968,10,1,4,232,-1.2835
1968,10,1,5,62,3.1549
1968,10,2,1,61,2.4283
1968,10,2,2,48,2.2663
1968,10,2,3,53,1.2435
1968,10,2,4,66,-1.0955
1968,10,2,5,54,0.9893
1968,10,3,1,78,3.4050
1968,10,3,2,100,1.9015
1968,10,3,3,112,1.4274
1968,10,3,4,91,-1.9917
1968,10,3,5,120,0.4191
1968,11,1,1,94,5.0422
1968,11,1,2,80,5.9873
1968,11,1,3,74,8.3580
1968,11,1,4,231,7.7577
1968,11,1,5,61,8.3790
1968,11,2,1,60,7.8519
1968,11,2,2,48,5.7849
1968,11,2,3,52,7.4156
1968,11,2,4,66,8.7925
1968,11,2,5,54,9.0317
1968,11,3,1,77,3.1580
1968,11,3,2,100,6.3212
1968,11,3,3,111,5.2854
1968,11,3,4,91,6.1597
1968,11,3,5,120,6.5658
1968,12,1,1,94,1.3126
1968,12,1,2,81,-0.4595
1968,12,1,3,73,4.1210
1968,12,1,4,230,5.1459
1968,12,1,5,61,2.0928
1968,12,2,1,60,-0.1742
1968,12,2,2,46,-1.0143
1968,12,2,3,52,-0.5803
1968,12,2,4,66,-0.7303
1968,12,2,5,54,-0.7944
1968,12,3,1,77,-2.6973
1968,12,3,2,100,-1.4475
1968,12,3,3,110,-5.3760
1968,12,3,4,91,-4.2513
1968,12,3,5,120,-3.9418
1969,1,1,1,92,-0.2209
1969,1,1,2,81,-1.3998
1969,1,1,3,73,0.2464
1969,1,1,4,226,-0.0776
1969,1,1,5,61,-2.4134
1969,1,2,1,58,-0.4743
1969,1,2,2,46,-0.8323
1969,1,2,3,50,0.2096
1969,1,2,4,66,-1.7266
1969,1,2,5,53,-2.2472
1969,1,3,1,76,0.4047
1969,1,3,2,100,0.6069
1969,1,3,3,110,0.0205
1969,1,3,4,91,-2.1923
1969,1,3,5,120,-2.7400
1969,2,1,1,90,-6.9005
1969,2,1,2,81,-8.0152
1969,2,1,3,73,-11.3623
1969,2,1,4,224,-13.7169
1969,2,1,5,59,-12.1644
1969,2,2,1,57,-5.6562
1969,2,2,2,45,-7.1701
1969,2,2,3,50,-7.4908
1969,2,2,4,66,-9.2084
1969,2,2,5,52,-10.3330
1969,2,3,1,76,-3.8525
1969,2,3,2,100,-5.8137
1969,2,3,3,110,-3.6247
1969,2,3,4,91,-4.2533
1969,2,3,5,120,-6.0084
1969,3,1,1,90,1.4054
1969,3,1,2,81,1.6234
1969,3,1,3,72,3.1800
1969,3,1,4,221,3.3761
1969,3,1,5,59,2.9475
1969,3,2,1,57,0.2631
1969,3,2,2,44,1.7209
1969,3,2,3,50,4.6103
1969,3,2,4,66,3.1617
1969,3,2,5,51,3.4367
1969,3,3,1,76,3.2919
1969,3,3,2,100,3.5206
1969,3,3,3,110,2.9340
1969,3,3,4,91,4.3349
1969,3,3,5,120,2.4618
1969,4,1,1,90,-1.0676
1969,4,1,2,81,-1.3675
1969,4,1,3,71,-0.6863
1969,4,1,4,217,-0.9252
1969,4,1,5,58,-1.6063
1969,4,2,1,56,-1.0997
1969,4,2,2,44,1.4275
1969,4,2,3,50,2.4006
1969,4,2,4,65,1.2113
1969,4,2,5,52,3.0013
1969,4,3,1,75,-0.2920
1969,4,3,2,99,0.8075
1969,4,3,3,109,3.7630
1969,4,3,4,91,2.5433
1969,4,3,5,120,2.0017
1969,5,1,1,90,0.2250
1969,5,1,2,80,0.4404
1969,5,1,3,71,-0.2236
1969,5,1,4,217,3.3135
1969,5,1,5,59,2.5440
1969,5,2,1,56,0.1048
1969,5,2,2,44,-0.7162
1969,5,2,3,50,5.4259
1969,5,2,4,65,0.9656
1969,5,2,5,53,-1.1706
1969,5,3,1,75,0.4654
1969,5,3,2,98,0.4761
1969,5,3,3,108,0.7963
1969,5,3,4,91,-0.4312
1969,5,3,5,120,0.7201
1969,6,1,1,90,-9.6475
1969,6,1,2,79,-11.0562
1969,6,1,3,72,-15.9469
1969,6,1,4,215,-15.0975
1969,6,1,5,59,-16.5299
1969,6,2,1,56,-10.1648
1969,6,2,2,44,-8.6847
1969,6,2,3,50,-9.6132
1969,6,2,4,66,-11.7611
1969,6,2,5,53,-13.1516
1969,6,3,1,72,-7.0881
1969,6,3,2,99,-7.9008
1969,6,3,3,108,-5.5637
1969,6,3,4,91,-2.3183
1969,6,3,5,118,-6.4562
1969,7,1,1,87,-9.9183
1969,7,1,2,90,-10.5591
1969,7,1,3,108,-11.0564
1969,7,1,4,210,-12.9123
1969,7,1,5,71,-12.2804
1969,7,2,1,61,-5.8011
1969,7,2,2,50,-7.8812
1969,7,2,3,39,-10.4110
1969,7,2,4,77,-9.3685
1969,7,2,5,56,-11.3957
1969,7,3,1,90,-6.0314
1969,7,3,2,107,-6.6056
1969,7,3,3,124,-4.7469
1969,7,3,4,98,-5.3858
1969,7,3,5,105,-8.8937
1969,8,1,1,87,3.2106
1969,8,1,2,90,2.9023
1969,8,1,3,108,5.7759
1969,8,1,4,209,3.6571
