year,month,rank_ME,rank_IVC,nstocks,ret_vw
1967,12,2,1,52,7.1817
1967,12,2,2,44,6.4514
1967,12,2,3,36,5.0368
1967,12,2,4,40,5.4698
1967,12,2,5,67,7.0717
1967,12,3,1,70,1.6781
1967,12,3,2,91,3.3673
1967,12,3,3,103,3.1285
1967,12,3,4,87,1.6692
1967,12,3,5,84,0.9832
1968,1,1,1,120,2.9864
1968,1,1,2,56,2.7804
1968,1,1,3,55,1.8335
1968,1,1,4,76,4.0877
1968,1,1,5,88,1.5377
1968,1,2,1,52,1.4677
1968,1,2,2,44,1.6881
1968,1,2,3,36,-0.1627
1968,1,2,4,40,0.1671
1968,1,2,5,67,-4.7630
1968,1,3,1,70,-0.3208
1968,1,3,2,91,-3.2738
1968,1,3,3,103,-5.8155
1968,1,3,4,87,-7.1350
1968,1,3,5,84,-9.8967
1968,2,1,1,119,-5.9037
1968,2,1,2,56,-2.6794
1968,2,1,3,55,-4.7381
1968,2,1,4,76,-8.0971
1968,2,1,5,88,-7.1836
1968,2,2,1,50,-1.7132
1968,2,2,2,44,-2.8883
1968,2,2,3,36,-7.0054
1968,2,2,4,40,-4.1628
1968,2,2,5,67,-7.7701
1968,2,3,1,70,-1.8928
1968,2,3,2,91,-2.7345
1968,2,3,3,102,-3.3567
1968,2,3,4,87,-3.8773
1968,2,3,5,84,-4.8356
1968,3,1,1,120,-1.8174
1968,3,1,2,56,-0.7732
1968,3,1,3,55,1.3868
1968,3,1,4,76,0.1016
1968,3,1,5,88,-2.4849
1968,3,2,1,50,-0.8849
1968,3,2,2,44,-0.7725
1968,3,2,3,36,0.1065
1968,3,2,4,40,-3.1689
1968,3,2,5,67,-2.0866
1968,3,3,1,70,-0.0497
1968,3,3,2,91,1.0904
1968,3,3,3,102,1.4898
1968,3,3,4,87,1.5918
1968,3,3,5,84,2.6600
1968,4,1,1,119,18.7049
1968,4,1,2,56,13.0007
1968,4,1,3,55,19.3786
1968,4,1,4,76,17.0721
1968,4,1,5,88,16.4978
1968,4,2,1,50,12.2642
1968,4,2,2,44,13.4923
1968,4,2,3,36,14.8967
1968,4,2,4,40,13.3842
1968,4,2,5,67,15.2654
1968,4,3,1,70,4.8195
1968,4,3,2,91,7.3333
1968,4,3,3,102,10.9997
1968,4,3,4,87,13.1037
1968,4,3,5,84,12.8695
1968,5,1,1,119,13.8993
1968,5,1,2,56,10.5061
1968,5,1,3,55,11.2802
1968,5,1,4,76,8.5927
1968,5,1,5,88,10.7670
1968,5,2,1,50,8.3282
1968,5,2,2,44,5.6820
1968,5,2,3,36,7.3160
1968,5,2,4,39,7.4166
1968,5,2,5,67,8.8531
1968,5,3,1,69,0.5025
1968,5,3,2,91,2.1036
1968,5,3,3,102,1.6399
1968,5,3,4,87,1.9917
1968,5,3,5,84,2.3908
1968,6,1,1,119,-0.3048
1968,6,1,2,56,1.3089
1968,6,1,3,55,2.6153
1968,6,1,4,76,0.7228
1968,6,1,5,88,-0.7287
1968,6,2,1,50,2.0766
1968,6,2,2,44,0.3007
1968,6,2,3,36,1.2162
1968,6,2,4,39,0.8480
1968,6,2,5,67,-2.9340
1968,6,3,1,69,3.0292
1968,6,3,2,91,0.3057
1968,6,3,3,102,0.3130
1968,6,3,4,87,-0.1663
1968,6,3,5,84,-1.8170
1968,7,1,1,189,-2.5819
1968,7,1,2,90,-0.4399
1968,7,1,3,68,-4.9912
1968,7,1,4,87,-2.2219
1968,7,1,5,138,-5.8900
1968,7,2,1,56,-3.4271
1968,7,2,2,48,-1.7679
1968,7,2,3,49,-4.5279
1968,7,2,4,49,-3.7790
1968,7,2,5,70,-7.1928
1968,7,3,1,59,-1.7089
1968,7,3,2,99,-0.4293
1968,7,3,3,98,-2.5817
1968,7,3,4,103,-3.7918
1968,7,3,5,82,-6.4194
1968,8,1,1,189,5.8194
1968,8,1,2,89,3.8108
1968,8,1,3,68,5.8863
1968,8,1,4,87,4.3364
1968,8,1,5,138,2.9608
1968,8,2,1,56,5.6575
1968,8,2,2,48,6.6045
1968,8,2,3,48,3.0618
1968,8,2,4,49,3.6220
1968,8,2,5,70,3.0693
1968,8,3,1,58,2.7164
1968,8,3,2,99,1.0166
1968,8,3,3,98,1.6241
1968,8,3,4,103,1.9577
1968,8,3,5,82,2.1481
1968,9,1,1,189,9.5812
1968,9,1,2,89,6.2246
1968,9,1,3,68,6.8117
1968,9,1,4,87,6.1021
1968,9,1,5,138,7.0770
1968,9,2,1,55,6.4644
1968,9,2,2,48,9.0184
1968,9,2,3,48,6.2442
1968,9,2,4,49,7.9890
1968,9,2,5,70,6.4066
1968,9,3,1,58,5.5618
1968,9,3,2,99,3.8072
1968,9,3,3,98,3.8050
1968,9,3,4,103,5.4270
1968,9,3,5,82,3.7195
1968,10,1,1,187,0.4052
1968,10,1,2,89,1.6224
1968,10,1,3,68,2.1820
1968,10,1,4,87,-0.2262
1968,10,1,5,138,-1.4185
1968,10,2,1,55,1.6587
1968,10,2,2,48,1.6056
1968,10,2,3,48,-0.0740
1968,10,2,4,49,0.1076
1968,10,2,5,70,1.2054
1968,10,3,1,57,3.1298
1968,10,3,2,99,0.5274
1968,10,3,3,98,1.2428
1968,10,3,4,103,0.9738
1968,10,3,5,82,-1.4994
1968,11,1,1,187,7.4808
1968,11,1,2,89,7.1945
1968,11,1,3,67,5.2382
1968,11,1,4,87,7.3581
1968,11,1,5,138,7.1558
1968,11,2,1,56,8.2380
1968,11,2,2,48,8.6750
1968,11,2,3,48,7.6870
1968,11,2,4,49,7.7354
1968,11,2,5,70,8.2470
1968,11,3,1,57,4.5330
1968,11,3,2,99,4.7632
1968,11,3,3,98,5.5180
1968,11,3,4,103,5.2755
1968,11,3,5,82,6.9523
1968,12,1,1,189,2.8557
1968,12,1,2,89,1.7099
1968,12,1,3,67,2.9466
1968,12,1,4,87,-1.3262
1968,12,1,5,138,2.2445
1968,12,2,1,56,-1.5795
1968,12,2,2,48,0.8208
1968,12,2,3,48,-0.3604
1968,12,2,4,49,-1.7234
1968,12,2,5,70,-2.0713
1968,12,3,1,57,-2.9594
1968,12,3,2,99,-4.7388
1968,12,3,3,98,-3.6839
1968,12,3,4,103,-3.1810
1968,12,3,5,82,-4.5251
1969,1,1,1,189,-1.3679
1969,1,1,2,89,-0.8279
1969,1,1,3,67,-0.8632
1969,1,1,4,87,-2.4432
1969,1,1,5,138,-0.6365
1969,1,2,1,56,-2.0050
1969,1,2,2,48,-1.2372
1969,1,2,3,48,0.1014
1969,1,2,4,49,-2.1950
1969,1,2,5,70,-1.9152
1969,1,3,1,57,-0.5423
1969,1,3,2,99,-1.5325
1969,1,3,3,98,-0.1122
1969,1,3,4,102,-1.7577
1969,1,3,5,82,-3.0184
1969,2,1,1,187,-10.9002
1969,2,1,2,89,-10.0592
1969,2,1,3,67,-8.8552
1969,2,1,4,86,-8.5476
1969,2,1,5,138,-10.5197
1969,2,2,1,56,-8.1531
1969,2,2,2,48,-8.3705
1969,2,2,3,48,-8.9953
1969,2,2,4,49,-6.9274
1969,2,2,5,70,-9.2278
1969,2,3,1,57,-5.4220
1969,2,3,2,99,-3.3469
1969,2,3,3,98,-4.5019
1969,2,3,4,102,-5.9877
1969,2,3,5,82,-5.5470
1969,3,1,1,187,3.5576
1969,3,1,2,89,0.4075
1969,3,1,3,67,4.0052
1969,3,1,4,86,2.2014
1969,3,1,5,138,2.4144
1969,3,2,1,56,2.4249
1969,3,2,2,48,6.9836
1969,3,2,3,47,1.7650
1969,3,2,4,49,0.9751
1969,3,2,5,70,2.7927
1969,3,3,1,57,3.8522
1969,3,3,2,99,3.7834
1969,3,3,3,98,4.5344
1969,3,3,4,102,2.9737
1969,3,3,5,82,1.7517
1969,4,1,1,187,-1.0975
1969,4,1,2,89,-2.2970
1969,4,1,3,66,0.1458
1969,4,1,4,85,1.8884
1969,4,1,5,138,-1.5136
1969,4,2,1,56,1.8425
1969,4,2,2,47,5.3706
1969,4,2,3,47,0.6647
1969,4,2,4,49,-0.7376
1969,4,2,5,70,0.9082
1969,4,3,1,57,1.4626
1969,4,3,2,99,2.8093
1969,4,3,3,98,1.5855
1969,4,3,4,101,2.3965
1969,4,3,5,81,3.2052
1969,5,1,1,188,2.8095
1969,5,1,2,89,1.1756
1969,5,1,3,66,-0.0728
1969,5,1,4,85,-0.0634
1969,5,1,5,138,-0.1816
1969,5,2,1,56,-0.3638
1969,5,2,2,47,3.0831
1969,5,2,3,48,-0.9062
1969,5,2,4,49,-0.1708
1969,5,2,5,70,-0.2803
1969,5,3,1,57,-2.3613
1969,5,3,2,99,0.9391
1969,5,3,3,97,1.1683
1969,5,3,4,101,0.9420
1969,5,3,5,81,-1.6963
1969,6,1,1,188,-14.9978
1969,6,1,2,89,-12.7490
1969,6,1,3,67,-12.4371
1969,6,1,4,85,-13.2081
1969,6,1,5,138,-14.1160
1969,6,2,1,56,-11.4496
1969,6,2,2,48,-11.2960
1969,6,2,3,48,-11.2887
1969,6,2,4,49,-8.1045
1969,6,2,5,70,-12.2274
1969,6,3,1,56,-7.4967
1969,6,3,2,99,-4.1340
1969,6,3,3,97,-6.5532
1969,6,3,4,101,-6.9583
1969,6,3,5,82,-5.0412
1969,7,1,1,190,-10.8324
1969,7,1,2,59,-11.2884
1969,7,1,3,83,-10.0296
1969,7,1,4,115,-10.4768
1969,7,1,5,178,-13.6357
1969,7,2,1,61,-8.9553
1969,7,2,2,40,-6.2279
1969,7,2,3,46,-8.2679
1969,7,2,4,62,-9.7333
1969,7,2,5,83,-12.4029
1969,7,3,1,79,-7.4581
1969,7,3,2,116,-6.1691
1969,7,3,3,102,-5.2308
1969,7,3,4,91,-5.2615
1969,7,3,5,68,-8.5163
1969,8,1,1,189,2.4453
1969,8,1,2,59,6.5239
1969,8,1,3,83,2.1002
1969,8,1,4,115,4.7119
1969,8,1,5,178,4.7904
1969,8,2,1,61,5.0515
1969,8,2,2,40,7.3508
1969,8,2,3,46,7.5099
1969,8,2,4,62,4.3313
1969,8,2,5,83,8.3039
1969,8,3,1,79,5.0222
1969,8,3,2,116,4.8958
1969,8,3,3,102,4.8099
1969,8,3,4,91,6.0494
1969,8,3,5,68,8.8170
1969,9,1,1,190,-1.8559
1969,9,1,2,59,-2.7011
1969,9,1,3,83,-3.5806
1969,9,1,4,115,-3.7181
1969,9,1,5,178,-3.8717
1969,9,2,1,60,3.0126
1969,9,2,2,39,0.9474
1969,9,2,3,46,-1.1544
1969,9,2,4,61,-1.2566
1969,9,2,5,83,-1.7394
1969,9,3,1,79,-1.0138
1969,9,3,2,116,-3.9328
1969,9,3,3,102,-0.0239
1969,9,3,4,91,-1.4849
1969,9,3,5,67,-2.6816
1969,10,1,1,190,9.7420
1969,10,1,2,59,10.9242
1969,10,1,3,83,10.3292
1969,10,1,4,114,9.9866
1969,10,1,5,178,11.9748
1969,10,2,1,59,9.3856
1969,10,2,2,39,7.4374
1969,10,2,3,46,7.7994
