year,month,rank_ME,rank_POA,nstocks,ret_vw
1967,12,2,1,45,9.1875
1967,12,2,2,39,6.3001
1967,12,2,3,36,5.5441
1967,12,2,4,46,5.8354
1967,12,2,5,41,7.2761
1967,12,3,1,70,2.6920
1967,12,3,2,86,2.8494
1967,12,3,3,95,4.3174
1967,12,3,4,87,0.7128
1967,12,3,5,71,0.3881
1968,1,1,1,101,3.7426
1968,1,1,2,42,3.2228
1968,1,1,3,35,1.6621
1968,1,1,4,55,5.3649
1968,1,1,5,105,-0.2644
1968,1,2,1,45,0.8054
1968,1,2,2,39,0.4742
1968,1,2,3,36,-1.9846
1968,1,2,4,46,-0.5909
1968,1,2,5,41,-1.3773
1968,1,3,1,70,-2.1107
1968,1,3,2,86,-4.0511
1968,1,3,3,95,-6.7738
1968,1,3,4,87,-7.2829
1968,1,3,5,71,-8.5379
1968,2,1,1,101,-4.5856
1968,2,1,2,42,-6.8853
1968,2,1,3,35,-1.5225
1968,2,1,4,55,-6.9835
1968,2,1,5,105,-8.2645
1968,2,2,1,45,-4.7963
1968,2,2,2,38,-2.9637
1968,2,2,3,36,-2.8264
1968,2,2,4,46,-4.2376
1968,2,2,5,41,-7.2997
1968,2,3,1,70,-2.8726
1968,2,3,2,86,-1.8400
1968,2,3,3,94,-4.1003
1968,2,3,4,87,-4.6690
1968,2,3,5,71,-4.8641
1968,3,1,1,102,-1.5357
1968,3,1,2,42,-0.8801
1968,3,1,3,35,0.6943
1968,3,1,4,55,-0.0732
1968,3,1,5,105,-1.4849
1968,3,2,1,45,-1.2056
1968,3,2,2,38,-1.5212
1968,3,2,3,36,-1.7395
1968,3,2,4,46,-1.6529
1968,3,2,5,41,-1.9786
1968,3,3,1,70,1.1415
1968,3,3,2,86,0.4270
1968,3,3,3,94,3.3810
1968,3,3,4,87,0.1432
1968,3,3,5,71,1.9096
1968,4,1,1,102,18.8886
1968,4,1,2,42,14.7684
1968,4,1,3,35,15.4401
1968,4,1,4,55,15.1750
1968,4,1,5,105,19.8153
1968,4,2,1,45,13.5317
1968,4,2,2,38,13.6280
1968,4,2,3,36,13.0200
1968,4,2,4,46,11.4639
1968,4,2,5,41,17.2247
1968,4,3,1,70,6.2873
1968,4,3,2,86,7.7703
1968,4,3,3,94,11.5181
1968,4,3,4,87,13.0243
1968,4,3,5,71,13.4933
1968,5,1,1,102,13.2726
1968,5,1,2,42,7.3881
1968,5,1,3,35,8.8406
1968,5,1,4,55,11.6968
1968,5,1,5,105,11.0776
1968,5,2,1,45,7.8549
1968,5,2,2,38,7.5574
1968,5,2,3,36,7.5587
1968,5,2,4,45,6.6347
1968,5,2,5,41,7.5782
1968,5,3,1,70,2.5692
1968,5,3,2,86,0.7585
1968,5,3,3,94,3.1688
1968,5,3,4,87,0.9503
1968,5,3,5,71,2.3793
1968,6,1,1,102,-0.4391
1968,6,1,2,42,0.6532
1968,6,1,3,35,2.8513
1968,6,1,4,55,1.3811
1968,6,1,5,105,0.2288
1968,6,2,1,45,0.0151
1968,6,2,2,38,1.0869
1968,6,2,3,36,0.6799
1968,6,2,4,45,0.9848
1968,6,2,5,41,-2.3139
1968,6,3,1,70,1.1693
1968,6,3,2,86,0.5747
1968,6,3,3,94,0.9336
1968,6,3,4,87,-0.8142
1968,6,3,5,71,-1.2744
1968,7,1,1,147,-1.2886
1968,7,1,2,69,-4.1651
