year,month,rank_ME,rank_dBE,nstocks,ret_vw
1967,12,2,1,27,8.8399
1967,12,2,2,25,4.2432
1967,12,2,3,28,5.3905
1967,12,2,4,19,4.5793
1967,12,2,5,28,10.3743
1967,12,3,1,51,1.5718
1967,12,3,2,73,1.5201
1967,12,3,3,66,3.9412
1967,12,3,4,83,2.9286
1967,12,3,5,74,2.1657
1968,1,1,1,57,4.7060
1968,1,1,2,25,0.7720
1968,1,1,3,25,5.3103
1968,1,1,4,34,1.7501
1968,1,1,5,36,3.6098
1968,1,2,1,27,4.3365
1968,1,2,2,25,1.5020
1968,1,2,3,28,0.8719
1968,1,2,4,19,-2.9883
1968,1,2,5,28,-1.2119
1968,1,3,1,51,0.3545
1968,1,3,2,73,-0.4973
1968,1,3,3,66,-4.3356
1968,1,3,4,83,-5.6950
1968,1,3,5,74,-8.3045
1968,2,1,1,57,-4.5680
1968,2,1,2,25,-3.9157
1968,2,1,3,25,-4.4577
1968,2,1,4,34,-8.0526
1968,2,1,5,36,-10.9241
1968,2,2,1,27,-3.5944
1968,2,2,2,25,-0.1071
1968,2,2,3,27,-3.7924
1968,2,2,4,19,-6.9742
1968,2,2,5,28,-4.0851
1968,2,3,1,51,-2.0177
1968,2,3,2,73,-1.7272
1968,2,3,3,66,-2.1637
1968,2,3,4,83,-3.7368
1968,2,3,5,73,-3.0335
1968,3,1,1,57,-3.4354
1968,3,1,2,25,0.2696
1968,3,1,3,25,-1.7092
1968,3,1,4,34,-0.8069
1968,3,1,5,37,-1.5406
1968,3,2,1,27,-3.1520
1968,3,2,2,25,-2.2653
1968,3,2,3,27,0.0842
1968,3,2,4,19,-0.3460
1968,3,2,5,28,-2.0649
1968,3,3,1,51,-2.4964
1968,3,3,2,73,-0.7763
1968,3,3,3,66,-0.9579
1968,3,3,4,83,0.1883
1968,3,3,5,73,3.3263
1968,4,1,1,57,17.3452
1968,4,1,2,25,16.5300
1968,4,1,3,25,11.5977
1968,4,1,4,34,22.9017
1968,4,1,5,37,18.4093
1968,4,2,1,27,8.5450
1968,4,2,2,25,10.7980
1968,4,2,3,27,9.9955
1968,4,2,4,19,18.4793
1968,4,2,5,28,16.7203
1968,4,3,1,51,4.7210
1968,4,3,2,73,4.3199
1968,4,3,3,66,9.8165
1968,4,3,4,83,9.7778
1968,4,3,5,73,10.9549
1968,5,1,1,57,11.0139
1968,5,1,2,25,9.9107
1968,5,1,3,25,8.7008
1968,5,1,4,34,11.6160
1968,5,1,5,37,11.2020
1968,5,2,1,27,6.0815
1968,5,2,2,25,5.7837
1968,5,2,3,27,5.1501
1968,5,2,4,19,9.2218
1968,5,2,5,28,11.6431
1968,5,3,1,51,1.5596
1968,5,3,2,73,-1.5860
1968,5,3,3,66,0.3733
1968,5,3,4,83,1.6555
1968,5,3,5,73,5.0371
1968,6,1,1,57,-0.2818
1968,6,1,2,25,5.9000
1968,6,1,3,25,3.3863
1968,6,1,4,34,2.3504
1968,6,1,5,37,-1.3113
1968,6,2,1,27,1.8574
1968,6,2,2,25,3.3387
1968,6,2,3,27,1.9479
1968,6,2,4,19,0.9939
1968,6,2,5,28,0.0157
1968,6,3,1,51,5.2036
1968,6,3,2,73,3.0808
1968,6,3,3,66,0.6017
1968,6,3,4,83,0.2659
1968,6,3,5,73,-0.9968
1968,7,1,1,111,0.8354
1968,7,1,2,64,-5.0045
1968,7,1,3,75,-4.5106
1968,7,1,4,88,-4.0383
1968,7,1,5,73,-4.7749
1968,7,2,1,49,0.2803
1968,7,2,2,37,-1.3268
1968,7,2,3,45,-1.8643
1968,7,2,4,47,-3.0554
1968,7,2,5,56,-8.0046
1968,7,3,1,66,-0.4007
1968,7,3,2,95,-0.5029
1968,7,3,3,93,-0.0137
1968,7,3,4,100,-1.8307
1968,7,3,5,110,-5.4765
1968,8,1,1,111,5.9295
1968,8,1,2,64,4.2575
1968,8,1,3,75,2.1606
1968,8,1,4,88,4.7302
1968,8,1,5,73,4.3145
1968,8,2,1,49,4.4649
1968,8,2,2,37,2.4456
1968,8,2,3,45,4.6291
1968,8,2,4,47,3.9238
1968,8,2,5,56,2.7061
1968,8,3,1,65,2.0120
1968,8,3,2,95,1.1339
1968,8,3,3,93,1.3638
1968,8,3,4,100,2.0587
1968,8,3,5,110,0.8346
1968,9,1,1,111,6.6381
1968,9,1,2,64,6.9301
1968,9,1,3,75,7.8242
1968,9,1,4,88,7.1992
1968,9,1,5,73,7.2419
1968,9,2,1,49,4.5538
1968,9,2,2,37,3.7525
1968,9,2,3,45,7.9737
1968,9,2,4,46,8.4753
1968,9,2,5,56,5.8793
1968,9,3,1,65,4.5925
1968,9,3,2,95,3.8224
1968,9,3,3,93,5.3623
1968,9,3,4,100,3.7077
1968,9,3,5,110,1.9135
1968,10,1,1,111,-0.4741
1968,10,1,2,64,2.2314
1968,10,1,3,75,1.1505
1968,10,1,4,88,1.1871
1968,10,1,5,73,-2.3543
1968,10,2,1,49,-0.7832
1968,10,2,2,37,4.2163
1968,10,2,3,45,1.7881
1968,10,2,4,46,1.0896
1968,10,2,5,56,-0.2124
1968,10,3,1,65,1.6189
1968,10,3,2,95,3.2492
1968,10,3,3,93,1.7920
1968,10,3,4,100,1.6942
1968,10,3,5,110,-3.0823
1968,11,1,1,111,6.1572
1968,11,1,2,64,6.3868
1968,11,1,3,75,7.8338
1968,11,1,4,88,7.2090
1968,11,1,5,73,9.4366
1968,11,2,1,49,8.0006
1968,11,2,2,37,8.0285
1968,11,2,3,45,9.4977
1968,11,2,4,47,6.3692
1968,11,2,5,56,9.1243
1968,11,3,1,65,5.3519
1968,11,3,2,95,5.9141
1968,11,3,3,93,3.6288
1968,11,3,4,100,6.1612
1968,11,3,5,110,6.7841
1968,12,1,1,111,4.7659
1968,12,1,2,64,0.4221
1968,12,1,3,75,1.1558
1968,12,1,4,88,1.6398
1968,12,1,5,73,0.9786
1968,12,2,1,49,-2.8024
1968,12,2,2,37,-0.3991
1968,12,2,3,45,-0.3494
1968,12,2,4,47,-1.1892
1968,12,2,5,56,-1.3388
1968,12,3,1,65,-2.1635
1968,12,3,2,95,-4.1978
1968,12,3,3,93,-4.8400
1968,12,3,4,100,-2.9588
1968,12,3,5,110,-4.6492
1969,1,1,1,111,-0.6199
1969,1,1,2,64,-1.9813
1969,1,1,3,75,-2.9565
1969,1,1,4,88,0.3678
1969,1,1,5,73,-1.7349
1969,1,2,1,49,0.5824
1969,1,2,2,37,-0.1959
1969,1,2,3,45,-0.7207
1969,1,2,4,47,-2.3792
1969,1,2,5,56,-1.5255
1969,1,3,1,65,1.0337
1969,1,3,2,95,1.0097
1969,1,3,3,93,-0.4087
1969,1,3,4,100,-1.2378
1969,1,3,5,110,-2.7649
1969,2,1,1,110,-10.4871
1969,2,1,2,64,-10.3436
1969,2,1,3,75,-9.1870
1969,2,1,4,88,-10.2836
1969,2,1,5,73,-10.6500
1969,2,2,1,49,-7.2544
1969,2,2,2,37,-6.7402
1969,2,2,3,45,-7.7862
1969,2,2,4,47,-7.4225
1969,2,2,5,56,-10.7494
1969,2,3,1,65,-5.3011
1969,2,3,2,95,-4.9493
1969,2,3,3,93,-3.6227
1969,2,3,4,100,-4.9580
