year,month,rank_ME,rank_NXF,nstocks,ret_vw
1973,6,1,1,87,-5.0323
1973,6,1,2,94,-4.2530
1973,6,1,3,128,-3.3491
1973,6,1,4,106,-4.8590
1973,6,1,5,123,-3.5506
1973,6,2,1,48,-3.6673
1973,6,2,2,56,-3.9730
1973,6,2,3,49,-3.3302
1973,6,2,4,55,-3.6384
1973,6,2,5,66,-4.2138
1973,6,3,1,88,0.0026
1973,6,3,2,89,-0.4714
1973,6,3,3,85,-1.5810
1973,6,3,4,88,-0.3527
1973,6,3,5,78,-2.2157
1973,7,1,1,125,12.5221
1973,7,1,2,118,14.3358
1973,7,1,3,153,14.2614
1973,7,1,4,159,18.1426
1973,7,1,5,197,18.7777
1973,7,2,1,58,11.4434
1973,7,2,2,60,8.9463
1973,7,2,3,69,12.0483
1973,7,2,4,71,14.1656
1973,7,2,5,77,17.7655
1973,7,3,1,101,4.8781
1973,7,3,2,103,5.3020
1973,7,3,3,97,3.9744
1973,7,3,4,97,5.4435
1973,7,3,5,82,10.3922
1973,8,1,1,125,-4.4861
1973,8,1,2,117,-7.3574
1973,8,1,3,153,-5.5900
1973,8,1,4,158,-6.5688
1973,8,1,5,197,-7.7981
1973,8,2,1,58,-4.2727
1973,8,2,2,60,-3.2610
1973,8,2,3,69,-3.5894
1973,8,2,4,71,-1.5447
1973,8,2,5,77,-5.8498
1973,8,3,1,101,-3.6223
1973,8,3,2,103,-1.9627
1973,8,3,3,97,-4.4043
1973,8,3,4,97,-2.3807
1973,8,3,5,82,-2.3185
1973,9,1,1,124,8.0533
1973,9,1,2,116,7.3427
1973,9,1,3,153,9.7316
1973,9,1,4,158,9.0788
1973,9,1,5,195,11.5878
1973,9,2,1,58,10.9080
1973,9,2,2,60,11.2110
1973,9,2,3,69,12.5092
1973,9,2,4,71,13.5414
1973,9,2,5,77,10.5545
1973,9,3,1,101,3.5592
1973,9,3,2,103,7.0568
1973,9,3,3,97,-0.0187
1973,9,3,4,97,9.1424
1973,9,3,5,82,7.6255
1973,10,1,1,124,-0.9195
1973,10,1,2,117,2.2322
1973,10,1,3,153,1.3607
1973,10,1,4,158,0.3167
1973,10,1,5,196,-1.2609
1973,10,2,1,58,0.2243
1973,10,2,2,60,1.3458
1973,10,2,3,69,0.9282
1973,10,2,4,71,1.3046
1973,10,2,5,77,-2.7908
1973,10,3,1,101,-0.8657
1973,10,3,2,103,0.4949
1973,10,3,3,97,2.0777
1973,10,3,4,97,-0.7061
1973,10,3,5,81,-0.7342
1973,11,1,1,124,-17.8054
1973,11,1,2,117,-17.1727
1973,11,1,3,153,-20.7530
1973,11,1,4,158,-21.2412
1973,11,1,5,196,-23.1922
1973,11,2,1,58,-19.7376
1973,11,2,2,60,-18.0419
1973,11,2,3,69,-18.5488
1973,11,2,4,71,-23.0794
1973,11,2,5,77,-23.5445
1973,11,3,1,101,-12.2551
1973,11,3,2,103,-13.6952
1973,11,3,3,97,-10.1906
1973,11,3,4,97,-10.2690
1973,11,3,5,81,-14.2107
1973,12,1,1,123,-4.8732
1973,12,1,2,117,-4.1975
1973,12,1,3,153,-1.8009
1973,12,1,4,158,-4.8549
1973,12,1,5,195,-5.5382
1973,12,2,1,58,-2.5481
1973,12,2,2,60,-4.9264
1973,12,2,3,69,0.0285
1973,12,2,4,71,-0.1493
1973,12,2,5,77,-0.4249
1973,12,3,1,101,-1.1087
1973,12,3,2,103,4.4052
