year,month,rank_ME,rank_NDF,nstocks,ret_vw
1973,6,1,1,145,-3.7621
1973,6,1,2,110,-3.8689
1973,6,1,3,97,-4.9149
1973,6,1,4,57,-4.3272
1973,6,1,5,124,-4.3324
1973,6,2,1,57,-3.5584
1973,6,2,2,54,-3.6703
1973,6,2,3,49,-2.3414
1973,6,2,4,52,-2.9639
1973,6,2,5,60,-4.3426
1973,6,3,1,76,-5.2138
1973,6,3,2,85,-0.7162
1973,6,3,3,99,-0.2663
1973,6,3,4,94,0.3610
1973,6,3,5,79,-1.9881
1973,7,1,1,218,16.4136
1973,7,1,2,127,12.9566
1973,7,1,3,126,16.8415
1973,7,1,4,102,17.9638
1973,7,1,5,178,17.0030
1973,7,2,1,75,11.5064
1973,7,2,2,64,12.0995
1973,7,2,3,64,13.2379
1973,7,2,4,54,13.3862
1973,7,2,5,74,15.9274
1973,7,3,1,79,12.3601
1973,7,3,2,98,6.3269
1973,7,3,3,112,3.0812
1973,7,3,4,112,4.2938
1973,7,3,5,89,5.0635
1973,8,1,1,217,-5.8939
1973,8,1,2,127,-5.5272
1973,8,1,3,125,-6.5088
1973,8,1,4,102,-6.5426
1973,8,1,5,178,-7.5489
1973,8,2,1,75,-3.9505
1973,8,2,2,64,-3.9928
1973,8,2,3,64,-0.5774
1973,8,2,4,54,-5.2313
1973,8,2,5,74,-5.4489
1973,8,3,1,79,-2.2299
1973,8,3,2,98,-3.2555
1973,8,3,3,112,-3.8077
1973,8,3,4,112,-3.2723
1973,8,3,5,89,-2.5647
1973,9,1,1,215,9.3747
1973,9,1,2,127,9.6247
1973,9,1,3,125,9.2074
1973,9,1,4,102,9.0035
1973,9,1,5,176,11.1064
1973,9,2,1,75,13.9807
1973,9,2,2,64,10.8454
1973,9,2,3,64,10.6396
1973,9,2,4,54,12.9625
1973,9,2,5,74,11.4026
1973,9,3,1,79,8.7341
1973,9,3,2,98,6.2581
1973,9,3,3,112,5.0893
1973,9,3,4,112,0.9879
1973,9,3,5,89,7.6677
1973,10,1,1,216,0.7642
1973,10,1,2,127,1.7335
1973,10,1,3,125,0.1699
1973,10,1,4,102,0.0086
1973,10,1,5,177,-1.4481
1973,10,2,1,75,0.9345
1973,10,2,2,64,2.0509
1973,10,2,3,64,0.8339
1973,10,2,4,54,-2.7597
1973,10,2,5,74,-1.6891
1973,10,3,1,78,0.7209
1973,10,3,2,98,0.0604
1973,10,3,3,112,0.3112
1973,10,3,4,112,1.8968
1973,10,3,5,89,-1.9613
1973,11,1,1,216,-19.8283
1973,11,1,2,127,-20.0904
1973,11,1,3,125,-20.3490
1973,11,1,4,102,-21.7351
1973,11,1,5,177,-22.5953
1973,11,2,1,75,-20.4129
1973,11,2,2,64,-18.9007
1973,11,2,3,64,-20.8460
1973,11,2,4,54,-20.6619
1973,11,2,5,74,-21.3660
1973,11,3,1,78,-14.3628
1973,11,3,2,98,-14.2552
1973,11,3,3,112,-11.3764
1973,11,3,4,112,-10.7435
1973,11,3,5,89,-8.1182
1973,12,1,1,215,-5.3523
1973,12,1,2,127,-1.9011
1973,12,1,3,125,-3.3243
1973,12,1,4,102,-4.9584
1973,12,1,5,176,-5.5943
1973,12,2,1,75,-1.8578
1973,12,2,2,64,-2.7430
1973,12,2,3,64,0.6090
