year,month,rank_ME,rank_dNCA,nstocks,ret_vw
1967,12,2,1,74,6.8163
1967,12,2,2,48,5.3960
1967,12,2,3,50,6.4867
1967,12,2,4,34,3.0111
1967,12,2,5,57,8.1481
1967,12,3,1,52,4.1612
1967,12,3,2,108,2.6186
1967,12,3,3,117,2.4682
1967,12,3,4,129,2.8997
1967,12,3,5,112,2.2029
1968,1,1,1,172,2.3025
1968,1,1,2,65,1.8082
1968,1,1,3,53,2.7147
1968,1,1,4,56,4.8292
1968,1,1,5,70,4.5577
1968,1,2,1,74,-1.3616
1968,1,2,2,48,2.0491
1968,1,2,3,50,-0.0810
1968,1,2,4,34,0.0323
1968,1,2,5,57,-2.0335
1968,1,3,1,52,-3.0959
1968,1,3,2,108,-1.8286
1968,1,3,3,117,-4.1111
1968,1,3,4,129,-3.7076
1968,1,3,5,112,-7.2546
1968,2,1,1,171,-5.6325
1968,2,1,2,65,-5.9359
1968,2,1,3,53,-6.3765
1968,2,1,4,56,-6.1736
1968,2,1,5,69,-7.0474
1968,2,2,1,74,-6.1929
1968,2,2,2,47,-1.9439
1968,2,2,3,49,-2.5142
1968,2,2,4,34,-2.8905
1968,2,2,5,57,-7.3368
1968,2,3,1,52,-4.6353
1968,2,3,2,108,-1.7247
1968,2,3,3,117,-2.5118
1968,2,3,4,129,-3.1387
1968,2,3,5,111,-3.9523
1968,3,1,1,172,-1.0285
1968,3,1,2,65,-1.2664
1968,3,1,3,53,-0.1458
1968,3,1,4,56,-1.3038
1968,3,1,5,69,-0.7476
1968,3,2,1,74,-0.9525
1968,3,2,2,47,-1.8646
1968,3,2,3,49,-1.8581
1968,3,2,4,34,-1.7973
1968,3,2,5,57,-1.0164
1968,3,3,1,52,1.1161
1968,3,3,2,108,0.6545
1968,3,3,3,117,-0.1509
1968,3,3,4,129,0.1723
1968,3,3,5,111,2.4525
1968,4,1,1,171,15.4655
1968,4,1,2,65,16.0648
1968,4,1,3,53,17.3996
1968,4,1,4,56,16.9241
1968,4,1,5,69,19.9579
1968,4,2,1,74,14.7662
1968,4,2,2,47,13.1218
1968,4,2,3,49,7.3684
1968,4,2,4,34,14.3853
1968,4,2,5,57,14.2269
1968,4,3,1,52,8.7858
1968,4,3,2,108,8.1471
1968,4,3,3,117,8.3257
1968,4,3,4,129,6.9950
1968,4,3,5,111,11.5215
1968,5,1,1,171,10.7329
1968,5,1,2,65,8.9384
1968,5,1,3,53,13.8700
1968,5,1,4,56,9.4156
1968,5,1,5,69,13.1131
1968,5,2,1,74,7.3699
1968,5,2,2,47,5.9939
1968,5,2,3,49,7.7299
1968,5,2,4,34,7.4754
1968,5,2,5,57,7.3972
1968,5,3,1,52,2.2123
1968,5,3,2,108,1.0063
1968,5,3,3,117,0.2894
1968,5,3,4,128,1.6408
1968,5,3,5,111,3.2989
1968,6,1,1,171,0.9125
1968,6,1,2,65,-0.8799
1968,6,1,3,53,1.0294
1968,6,1,4,56,-0.8230
1968,6,1,5,69,0.8726
1968,6,2,1,74,-0.2553
1968,6,2,2,47,0.6860
1968,6,2,3,48,1.9079
1968,6,2,4,34,-1.1013
1968,6,2,5,57,0.9463
1968,6,3,1,52,-0.1834
1968,6,3,2,108,1.7879
1968,6,3,3,117,0.9580
1968,6,3,4,128,1.8204
1968,6,3,5,111,-0.0707
1968,7,1,1,251,-2.1238
1968,7,1,2,127,-3.4180
1968,7,1,3,61,-3.7802
1968,7,1,4,64,-4.2662
1968,7,1,5,97,-4.8291
1968,7,2,1,69,-3.3169
1968,7,2,2,68,-1.4914
1968,7,2,3,55,-3.3759
1968,7,2,4,44,-4.4147
1968,7,2,5,68,-6.4282
1968,7,3,1,62,-2.3380
1968,7,3,2,93,-4.1884
1968,7,3,3,114,0.7951
1968,7,3,4,128,-2.3850
1968,7,3,5,119,-3.8330
1968,8,1,1,251,6.4285
1968,8,1,2,127,2.8795
1968,8,1,3,61,5.8683
1968,8,1,4,64,2.5057
1968,8,1,5,97,2.6791
1968,8,2,1,68,4.6628
1968,8,2,2,68,2.7821
1968,8,2,3,55,3.9023
1968,8,2,4,44,3.2437
1968,8,2,5,68,4.5294
1968,8,3,1,61,2.3350
1968,8,3,2,93,0.7507
1968,8,3,3,114,1.2085
1968,8,3,4,128,0.9777
1968,8,3,5,119,2.4464
1968,9,1,1,250,7.4228
1968,9,1,2,127,6.0079
1968,9,1,3,61,8.2854
1968,9,1,4,64,6.9383
1968,9,1,5,97,8.7130
1968,9,2,1,68,7.8030
1968,9,2,2,68,6.1450
1968,9,2,3,55,5.9475
1968,9,2,4,44,5.0951
1968,9,2,5,68,7.3093
1968,9,3,1,61,5.1654
1968,9,3,2,93,6.6618
1968,9,3,3,114,2.5164
1968,9,3,4,128,3.0214
1968,9,3,5,119,4.3931
1968,10,1,1,250,-0.3314
1968,10,1,2,127,1.4085
1968,10,1,3,61,1.5079
1968,10,1,4,64,1.2742
1968,10,1,5,97,0.2803
1968,10,2,1,68,-0.3783
