year,month,rank_ME,rank_dNCO,nstocks,ret_vw
1967,12,2,1,64,6.2601
1967,12,2,2,43,8.2714
1967,12,2,3,51,5.6450
1967,12,2,4,32,3.6215
1967,12,2,5,49,8.4148
1967,12,3,1,56,4.1707
1967,12,3,2,103,2.6754
1967,12,3,3,110,2.5519
1967,12,3,4,123,2.9166
1967,12,3,5,107,1.9781
1968,1,1,1,159,2.6036
1968,1,1,2,60,2.3117
1968,1,1,3,55,1.8092
1968,1,1,4,47,2.1673
1968,1,1,5,73,5.0095
1968,1,2,1,64,0.3499
1968,1,2,2,43,0.0160
1968,1,2,3,51,0.8531
1968,1,2,4,32,-0.1262
1968,1,2,5,49,-1.5125
1968,1,3,1,56,-2.8662
1968,1,3,2,103,-1.9281
1968,1,3,3,110,-5.2341
1968,1,3,4,123,-3.6532
1968,1,3,5,107,-6.3083
1968,2,1,1,158,-5.8119
1968,2,1,2,60,-4.9426
1968,2,1,3,55,-6.7187
1968,2,1,4,47,-6.3396
1968,2,1,5,73,-6.5570
1968,2,2,1,64,-4.7239
1968,2,2,2,42,-4.0813
1968,2,2,3,50,-1.8728
1968,2,2,4,32,-3.2647
1968,2,2,5,49,-7.1814
1968,2,3,1,56,-4.0338
1968,2,3,2,103,-2.4147
1968,2,3,3,110,-2.0546
1968,2,3,4,123,-3.4001
1968,2,3,5,106,-3.3255
1968,3,1,1,159,-1.0959
1968,3,1,2,60,-1.8125
1968,3,1,3,55,-0.1109
1968,3,1,4,47,-2.4234
1968,3,1,5,73,-0.1473
1968,3,2,1,64,-0.7820
1968,3,2,2,42,-1.5300
1968,3,2,3,50,-2.0987
1968,3,2,4,32,-1.9596
1968,3,2,5,49,-1.1371
1968,3,3,1,56,0.5036
1968,3,3,2,103,-0.0033
1968,3,3,3,110,-0.3342
1968,3,3,4,123,0.2409
1968,3,3,5,106,2.5276
1968,4,1,1,159,15.2736
1968,4,1,2,60,15.6292
1968,4,1,3,55,17.5392
1968,4,1,4,47,16.0061
1968,4,1,5,73,20.4997
1968,4,2,1,64,13.5010
1968,4,2,2,42,14.9802
1968,4,2,3,50,7.5533
1968,4,2,4,32,13.4106
1968,4,2,5,49,14.7946
1968,4,3,1,56,9.4814
