year,month,rank_ME,rank_dLNO,nstocks,ret_vw
1967,12,2,1,56,8.4181
1967,12,2,2,50,5.0401
1967,12,2,3,39,4.6896
1967,12,2,4,39,5.5885
1967,12,2,5,52,8.0216
1967,12,3,1,48,2.4089
1967,12,3,2,85,2.9742
1967,12,3,3,93,1.6553
1967,12,3,4,99,2.9449
1967,12,3,5,99,2.9403
1968,1,1,1,157,3.7210
1968,1,1,2,62,0.9339
1968,1,1,3,58,2.4398
1968,1,1,4,60,2.6261
1968,1,1,5,59,5.3741
1968,1,2,1,56,0.7431
1968,1,2,2,50,-4.3462
1968,1,2,3,39,2.3032
1968,1,2,4,39,-1.0923
1968,1,2,5,52,-2.2339
1968,1,3,1,48,0.0183
1968,1,3,2,85,-5.6537
1968,1,3,3,93,-3.9660
1968,1,3,4,99,-4.3535
1968,1,3,5,99,-6.4839
1968,2,1,1,156,-6.3737
1968,2,1,2,62,-5.8311
1968,2,1,3,58,-6.0645
1968,2,1,4,60,-4.0231
1968,2,1,5,58,-7.7946
1968,2,2,1,56,-6.8984
1968,2,2,2,49,-3.9865
1968,2,2,3,39,-1.4211
1968,2,2,4,39,-2.9785
1968,2,2,5,52,-7.5565
1968,2,3,1,48,-2.5408
1968,2,3,2,85,-2.5040
1968,2,3,3,93,-3.0754
1968,2,3,4,99,-2.7225
1968,2,3,5,98,-3.6141
1968,3,1,1,157,-1.2827
1968,3,1,2,62,0.8857
1968,3,1,3,58,-2.5424
1968,3,1,4,60,0.9636
1968,3,1,5,58,-1.2922
1968,3,2,1,56,-0.3176
1968,3,2,2,49,-1.5785
1968,3,2,3,39,-1.4073
1968,3,2,4,39,-1.5169
1968,3,2,5,52,-1.6685
1968,3,3,1,48,1.4854
1968,3,3,2,85,0.8160
1968,3,3,3,93,0.5937
1968,3,3,4,99,1.5964
1968,3,3,5,98,1.6550
1968,4,1,1,156,15.6343
1968,4,1,2,62,15.4102
1968,4,1,3,58,17.0030
1968,4,1,4,60,19.1116
1968,4,1,5,58,20.2792
1968,4,2,1,56,15.0245
1968,4,2,2,49,14.5025
1968,4,2,3,39,7.9030
1968,4,2,4,39,14.6279
1968,4,2,5,52,15.3856
1968,4,3,1,48,10.6800
1968,4,3,2,85,11.6518
1968,4,3,3,93,7.9405
1968,4,3,4,99,7.3614
1968,4,3,5,98,10.5544
1968,5,1,1,156,10.6002
1968,5,1,2,62,8.2004
1968,5,1,3,58,12.0604
1968,5,1,4,60,8.6365
1968,5,1,5,58,14.6391
1968,5,2,1,56,8.2203
1968,5,2,2,49,6.3054
1968,5,2,3,39,7.8441
1968,5,2,4,39,9.0566
1968,5,2,5,52,7.1969
1968,5,3,1,48,1.9332
1968,5,3,2,85,2.2568
1968,5,3,3,93,-0.0729
1968,5,3,4,99,1.3843
1968,5,3,5,98,3.6809
1968,6,1,1,156,0.6032
1968,6,1,2,62,0.7127
1968,6,1,3,58,-1.4194
1968,6,1,4,60,0.4419
1968,6,1,5,58,1.2102
1968,6,2,1,56,-0.4287
1968,6,2,2,49,0.3301
1968,6,2,3,38,0.2370
1968,6,2,4,39,0.3084
1968,6,2,5,52,0.1364
1968,6,3,1,48,1.4563
1968,6,3,2,85,0.1287
1968,6,3,3,93,1.0157
1968,6,3,4,99,0.2561
1968,6,3,5,98,-0.2209
1968,7,1,1,228,-1.6809
1968,7,1,2,116,-3.3646
1968,7,1,3,75,-5.3396
1968,7,1,4,71,-4.1260
1968,7,1,5,87,-4.8558
1968,7,2,1,59,-3.8529
1968,7,2,2,53,-0.9134
1968,7,2,3,57,-4.2604
1968,7,2,4,43,-6.8683
1968,7,2,5,61,-5.9419
1968,7,3,1,49,-2.8426
1968,7,3,2,92,-4.4528
1968,7,3,3,86,-2.8572
1968,7,3,4,106,1.2458
1968,7,3,5,103,-4.2573
1968,8,1,1,228,5.8344
1968,8,1,2,116,5.2283
1968,8,1,3,75,3.9752
1968,8,1,4,71,3.3018
1968,8,1,5,87,2.9183
1968,8,2,1,59,4.0185
1968,8,2,2,52,4.3270
1968,8,2,3,57,4.2695
1968,8,2,4,43,3.9764
1968,8,2,5,61,5.4699
1968,8,3,1,48,2.7193
1968,8,3,2,92,0.3362
1968,8,3,3,86,2.1447
1968,8,3,4,106,1.7102
1968,8,3,5,103,1.5386
1968,9,1,1,227,7.3675
1968,9,1,2,116,6.5414
1968,9,1,3,75,7.8338
1968,9,1,4,71,5.8079
1968,9,1,5,87,9.6510
1968,9,2,1,59,6.4286
1968,9,2,2,52,8.5784
1968,9,2,3,57,6.2542
1968,9,2,4,43,7.7094
1968,9,2,5,61,6.9697
1968,9,3,1,48,4.4360
1968,9,3,2,92,6.6911
1968,9,3,3,86,5.6163
1968,9,3,4,106,3.7752
1968,9,3,5,103,2.4466
1968,10,1,1,227,-0.2952
1968,10,1,2,116,1.8228
1968,10,1,3,75,0.6286
1968,10,1,4,71,1.0970
1968,10,1,5,87,0.4749
1968,10,2,1,59,0.4411
1968,10,2,2,52,-0.8022
1968,10,2,3,57,1.7637
1968,10,2,4,42,3.5209
1968,10,2,5,61,0.5317
1968,10,3,1,48,1.0195
1968,10,3,2,92,2.2821
1968,10,3,3,86,0.0918
1968,10,3,4,105,2.7801
1968,10,3,5,103,-2.4354
1968,11,1,1,226,7.1384
1968,11,1,2,115,7.9522
1968,11,1,3,75,7.7293
1968,11,1,4,71,5.5585
1968,11,1,5,87,6.0470
1968,11,2,1,59,8.1655
1968,11,2,2,52,8.9026
1968,11,2,3,57,6.5773
1968,11,2,4,43,6.8393
1968,11,2,5,61,9.9338
1968,11,3,1,48,4.8405
1968,11,3,2,92,1.5270
1968,11,3,3,86,6.2758
1968,11,3,4,105,5.4270
1968,11,3,5,103,7.0567
1968,12,1,1,226,2.7677
1968,12,1,2,116,3.0720
1968,12,1,3,75,-1.2911
1968,12,1,4,71,2.6860
1968,12,1,5,87,0.7295
1968,12,2,1,59,0.6880
1968,12,2,2,52,0.4664
1968,12,2,3,57,-2.2293
1968,12,2,4,43,-2.2773
1968,12,2,5,61,-2.9150
1968,12,3,1,48,-0.9964
1968,12,3,2,92,-2.9641
1968,12,3,3,86,-3.5189
1968,12,3,4,105,-4.8342
1968,12,3,5,103,-4.4703
1969,1,1,1,226,-1.4127
1969,1,1,2,116,-0.1108
1969,1,1,3,75,-1.2971
1969,1,1,4,71,-0.6489
1969,1,1,5,87,-2.4007
1969,1,2,1,59,-1.1505
1969,1,2,2,52,-2.0239
1969,1,2,3,57,-2.2874
1969,1,2,4,43,-1.0803
1969,1,2,5,61,-0.9333
1969,1,3,1,47,-1.5320
1969,1,3,2,92,-0.1832
1969,1,3,3,86,-1.1087
1969,1,3,4,105,-0.6642
1969,1,3,5,103,-2.3372
1969,2,1,1,225,-10.6399
1969,2,1,2,116,-9.4733
1969,2,1,3,74,-10.2436
1969,2,1,4,71,-8.5609
1969,2,1,5,87,-10.5025
1969,2,2,1,59,-7.9972
1969,2,2,2,52,-8.2187
1969,2,2,3,57,-7.5391
1969,2,2,4,43,-7.7325
1969,2,2,5,61,-10.1267
1969,2,3,1,47,-5.1706
1969,2,3,2,92,-4.1191
1969,2,3,3,86,-4.2828
1969,2,3,4,105,-4.5916
1969,2,3,5,103,-4.4813
1969,3,1,1,225,2.8492
1969,3,1,2,116,3.3888
1969,3,1,3,74,1.9489
1969,3,1,4,70,1.8690
1969,3,1,5,87,2.1530
1969,3,2,1,59,3.8128
1969,3,2,2,52,2.5268
1969,3,2,3,57,3.2456
1969,3,2,4,43,3.1860
1969,3,2,5,61,2.5938
1969,3,3,1,47,0.8714
1969,3,3,2,92,3.8251
1969,3,3,3,86,3.6940
1969,3,3,4,105,4.2316
1969,3,3,5,103,3.4955
1969,4,1,1,225,-0.3449
1969,4,1,2,116,0.0369
1969,4,1,3,74,-2.0719
1969,4,1,4,70,0.3183
1969,4,1,5,87,-1.5323
1969,4,2,1,59,3.5045
1969,4,2,2,52,0.3560
1969,4,2,3,57,1.9502
1969,4,2,4,43,2.6281
1969,4,2,5,60,0.3899
1969,4,3,1,47,1.3203
1969,4,3,2,92,1.8800
1969,4,3,3,86,2.0319
1969,4,3,4,105,2.5460
1969,4,3,5,103,2.6325
1969,5,1,1,224,1.5941
1969,5,1,2,116,0.3490
1969,5,1,3,74,-1.2981
1969,5,1,4,70,1.4864
1969,5,1,5,87,1.4435
1969,5,2,1,59,1.9114
1969,5,2,2,51,0.0511
1969,5,2,3,57,0.2037
1969,5,2,4,43,1.1190
1969,5,2,5,61,-1.4602
1969,5,3,1,47,-1.5216
1969,5,3,2,92,1.2692
1969,5,3,3,86,-0.0999
1969,5,3,4,103,0.9839
1969,5,3,5,103,-0.5069
1969,6,1,1,224,-14.0274
1969,6,1,2,116,-13.9279
1969,6,1,3,74,-12.1954
1969,6,1,4,71,-12.9284
1969,6,1,5,87,-14.3498
1969,6,2,1,59,-10.7470
1969,6,2,2,52,-9.6650
1969,6,2,3,57,-10.3201
1969,6,2,4,43,-12.5704
1969,6,2,5,61,-11.3677
1969,6,3,1,47,-9.3434
1969,6,3,2,92,-6.0383
1969,6,3,3,86,-6.2872
1969,6,3,4,103,-6.9032
1969,6,3,5,103,-2.5831
1969,7,1,1,214,-11.8338
1969,7,1,2,120,-11.1058
1969,7,1,3,84,-8.5507
1969,7,1,4,88,-12.7787
1969,7,1,5,125,-11.8982
1969,7,2,1,54,-8.3904
1969,7,2,2,55,-9.1840
1969,7,2,3,48,-7.8604
1969,7,2,4,55,-9.5789
1969,7,2,5,81,-11.6239
1969,7,3,1,65,-6.2243
1969,7,3,2,93,-6.9874
1969,7,3,3,106,-6.1494
1969,7,3,4,106,-5.4833
1969,7,3,5,86,-6.5155
1969,8,1,1,213,2.8720
1969,8,1,2,120,3.5147
1969,8,1,3,84,4.0550
1969,8,1,4,88,4.5263
1969,8,1,5,124,4.9154
1969,8,2,1,54,8.2033
1969,8,2,2,55,5.7451
1969,8,2,3,48,4.0598
1969,8,2,4,55,4.4323
1969,8,2,5,81,9.0332
1969,8,3,1,65,6.6264
1969,8,3,2,93,3.8996
1969,8,3,3,106,7.7905
1969,8,3,4,106,4.4353
1969,8,3,5,86,5.7178
1969,9,1,1,213,-2.0593
1969,9,1,2,120,-3.8360
1969,9,1,3,84,-1.5745
1969,9,1,4,88,-4.5777
1969,9,1,5,125,-3.3027
1969,9,2,1,54,1.8596
1969,9,2,2,54,-1.0934
1969,9,2,3,47,1.2816
1969,9,2,4,55,-0.6164
1969,9,2,5,81,-1.1480
1969,9,3,1,65,-0.5568
1969,9,3,2,93,-0.5906
1969,9,3,3,106,-2.9014
1969,9,3,4,106,-3.6729
1969,9,3,5,86,-2.5952
1969,10,1,1,213,9.4066
1969,10,1,2,120,10.1654
1969,10,1,3,84,7.6735
1969,10,1,4,88,9.9903
1969,10,1,5,125,13.1133
1969,10,2,1,54,6.3495
1969,10,2,2,54,9.9290
1969,10,2,3,47,5.8051
1969,10,2,4,54,9.1072
1969,10,2,5,81,9.2382
1969,10,3,1,64,5.1304
1969,10,3,2,93,5.1013
1969,10,3,3,106,6.5007
1969,10,3,4,106,3.8723
1969,10,3,5,86,4.1137
1969,11,1,1,213,-6.9316
1969,11,1,2,120,-5.4603
1969,11,1,3,84,-5.4860
1969,11,1,4,87,-7.3232
1969,11,1,5,125,-7.7666
1969,11,2,1,54,-3.7041
1969,11,2,2,54,-4.6471
1969,11,2,3,46,-3.9087
1969,11,2,4,55,-4.2992
1969,11,2,5,81,-6.1523
1969,11,3,1,65,-2.4120
1969,11,3,2,93,-3.3069
1969,11,3,3,106,-2.7879
1969,11,3,4,106,-2.8409
1969,11,3,5,86,-1.9735
1969,12,1,1,213,-9.1334
1969,12,1,2,120,-7.2963
1969,12,1,3,84,-5.0462
1969,12,1,4,88,-8.0998
1969,12,1,5,125,-7.4157
1969,12,2,1,54,-5.0874
1969,12,2,2,54,-3.6853
1969,12,2,3,46,-2.8736
1969,12,2,4,55,-4.9336
1969,12,2,5,80,-5.5378
1969,12,3,1,65,0.2189
1969,12,3,2,93,-2.6994
1969,12,3,3,106,-1.4918
1969,12,3,4,106,-1.9769
1969,12,3,5,86,-0.7175
1970,1,1,1,213,-0.2226
1970,1,1,2,120,-3.9645
1970,1,1,3,84,-1.0040
1970,1,1,4,88,-4.3562
1970,1,1,5,125,-6.0544
1970,1,2,1,54,-5.9162
1970,1,2,2,54,-4.8091
1970,1,2,3,46,-7.4142
1970,1,2,4,55,-4.1964
1970,1,2,5,81,-8.4697
1970,1,3,1,65,-7.4544
1970,1,3,2,93,-7.5673
1970,1,3,3,106,-8.8525
1970,1,3,4,106,-6.7753
1970,1,3,5,86,-10.1291
1970,2,1,1,213,3.6905
1970,2,1,2,119,2.2899
1970,2,1,3,84,2.1502
1970,2,1,4,88,4.3231
1970,2,1,5,125,2.1130
1970,2,2,1,54,4.6522
1970,2,2,2,54,4.9948
1970,2,2,3,45,5.3687
1970,2,2,4,55,5.8838
1970,2,2,5,81,3.8005
1970,2,3,1,64,5.6766
1970,2,3,2,93,7.3149
1970,2,3,3,106,7.2180
1970,2,3,4,106,5.3885
1970,2,3,5,86,3.6044
1970,3,1,1,213,-1.1768
1970,3,1,2,119,-4.3275
1970,3,1,3,84,-4.0307
1970,3,1,4,88,-3.3574
1970,3,1,5,125,-4.8921
1970,3,2,1,54,-1.8014
1970,3,2,2,54,-0.0567
1970,3,2,3,47,-0.9681
1970,3,2,4,55,-3.1837
1970,3,2,5,80,-4.6171
1970,3,3,1,65,-0.7072
1970,3,3,2,93,2.6206
1970,3,3,3,106,-2.0005
1970,3,3,4,106,0.1214
1970,3,3,5,86,-1.1227
1970,4,1,1,213,-16.8237
1970,4,1,2,119,-15.8674
1970,4,1,3,83,-15.8170
1970,4,1,4,88,-16.9068
1970,4,1,5,125,-22.3115
1970,4,2,1,54,-14.9939
1970,4,2,2,54,-12.9431
1970,4,2,3,47,-11.8840
1970,4,2,4,55,-16.5078
1970,4,2,5,81,-19.7891
1970,4,3,1,65,-10.3148
1970,4,3,2,93,-8.8235
1970,4,3,3,106,-9.3637
1970,4,3,4,106,-8.0816
1970,4,3,5,86,-11.1117
1970,5,1,1,213,-8.5845
1970,5,1,2,119,-10.8573
1970,5,1,3,83,-6.9334
1970,5,1,4,87,-11.1657
1970,5,1,5,124,-8.5239
1970,5,2,1,54,-7.6672
1970,5,2,2,54,-9.3906
1970,5,2,3,47,-9.9716
1970,5,2,4,55,-12.1985
1970,5,2,5,81,-12.1689
1970,5,3,1,65,-6.9249
1970,5,3,2,93,-7.1608
1970,5,3,3,106,-6.0727
1970,5,3,4,106,-4.0685
1970,5,3,5,86,-5.8042
1970,6,1,1,211,-6.2683
1970,6,1,2,119,-9.3499
1970,6,1,3,83,-9.4695
1970,6,1,4,87,-8.4292
1970,6,1,5,123,-10.8173
1970,6,2,1,54,-7.2306
1970,6,2,2,54,-5.2020
1970,6,2,3,47,-8.8368
1970,6,2,4,54,-6.7962
1970,6,2,5,80,-7.5729
1970,6,3,1,65,-3.0415
1970,6,3,2,93,-4.3808
1970,6,3,3,106,-5.5380
1970,6,3,4,106,-4.5379
1970,6,3,5,86,-6.6863
1970,7,1,1,243,3.6786
1970,7,1,2,107,6.9154
1970,7,1,3,89,7.9122
1970,7,1,4,95,4.7502
1970,7,1,5,178,3.8540
1970,7,2,1,64,6.0703
1970,7,2,2,66,6.0697
1970,7,2,3,60,10.2193
1970,7,2,4,53,10.8388
1970,7,2,5,80,6.7922
1970,7,3,1,64,9.0448
1970,7,3,2,78,6.4028
1970,7,3,3,95,8.8699
1970,7,3,4,117,7.5583
1970,7,3,5,93,4.7697
1970,8,1,1,242,5.6979
1970,8,1,2,107,4.7549
1970,8,1,3,89,5.7254
1970,8,1,4,95,8.0386
1970,8,1,5,177,7.6367
1970,8,2,1,64,8.5053
1970,8,2,2,66,5.2123
1970,8,2,3,60,7.4141
1970,8,2,4,53,8.7408
1970,8,2,5,80,6.2607
1970,8,3,1,64,2.5385
1970,8,3,2,78,4.9217
1970,8,3,3,95,4.8925
1970,8,3,4,117,5.4648
1970,8,3,5,93,5.3098
1970,9,1,1,240,16.0536
1970,9,1,2,106,14.6319
1970,9,1,3,89,12.8829
1970,9,1,4,95,13.3870
1970,9,1,5,177,17.1177
1970,9,2,1,64,10.5328
1970,9,2,2,65,11.1300
1970,9,2,3,60,9.0738
1970,9,2,4,53,12.6213
1970,9,2,5,80,14.1319
1970,9,3,1,64,6.6074
1970,9,3,2,78,6.5351
1970,9,3,3,95,2.7767
1970,9,3,4,116,1.5316
1970,9,3,5,93,7.6608
1970,10,1,1,241,-7.5636
1970,10,1,2,106,-8.6259
1970,10,1,3,89,-7.0258
1970,10,1,4,95,-8.2013
1970,10,1,5,177,-8.3410
1970,10,2,1,64,-5.3724
1970,10,2,2,65,-5.8665
1970,10,2,3,60,-4.3850
1970,10,2,4,53,-5.3668
1970,10,2,5,79,-6.3052
1970,10,3,1,64,-1.9848
1970,10,3,2,78,-1.4120
1970,10,3,3,95,0.5636
1970,10,3,4,116,-1.6869
1970,10,3,5,93,-0.6363
1970,11,1,1,240,-0.8353
1970,11,1,2,106,-1.7050
1970,11,1,3,89,-1.0206
1970,11,1,4,95,-2.4955
1970,11,1,5,176,-1.6351
1970,11,2,1,64,0.6053
1970,11,2,2,65,2.5053
1970,11,2,3,59,4.0774
1970,11,2,4,53,4.2138
1970,11,2,5,79,2.2108
1970,11,3,1,64,6.1160
1970,11,3,2,78,5.3615
1970,11,3,3,95,4.7080
1970,11,3,4,116,5.8130
1970,11,3,5,93,3.8920
1970,12,1,1,238,8.2424
1970,12,1,2,106,13.1097
1970,12,1,3,89,11.5383
1970,12,1,4,95,8.3606
1970,12,1,5,175,9.1062
1970,12,2,1,64,10.1487
1970,12,2,2,65,9.9727
1970,12,2,3,59,9.3766
1970,12,2,4,53,6.0209
1970,12,2,5,79,8.8695
1970,12,3,1,64,4.4215
1970,12,3,2,77,8.1109
1970,12,3,3,95,4.7354
1970,12,3,4,116,6.6408
1970,12,3,5,93,4.1291
1971,1,1,1,238,16.1385
1971,1,1,2,106,11.5707
1971,1,1,3,89,16.0179
1971,1,1,4,94,15.6035
1971,1,1,5,174,14.8288
1971,1,2,1,62,12.9906
1971,1,2,2,65,10.9500
1971,1,2,3,59,12.6720
1971,1,2,4,53,10.3679
1971,1,2,5,79,8.5201
1971,1,3,1,64,6.3180
1971,1,3,2,77,6.7647
1971,1,3,3,95,1.7785
1971,1,3,4,116,4.4583
1971,1,3,5,93,4.9607
