year,month,rank_ME,rank_dWC,nstocks,ret_vw
1967,12,2,1,57,9.8467
1967,12,2,2,49,5.4024
1967,12,2,3,43,4.7053
1967,12,2,4,47,4.5129
1967,12,2,5,50,8.0594
1967,12,3,1,71,2.0625
1967,12,3,2,97,3.7464
1967,12,3,3,94,3.0389
1967,12,3,4,91,2.3186
1967,12,3,5,87,-0.0200
1968,1,1,1,123,5.4777
1968,1,1,2,48,2.3661
1968,1,1,3,52,3.3221
1968,1,1,4,82,2.6464
1968,1,1,5,103,0.8432
1968,1,2,1,57,-2.4694
1968,1,2,2,49,2.1922
1968,1,2,3,43,1.1693
1968,1,2,4,47,-0.7738
1968,1,2,5,50,-3.2724
1968,1,3,1,71,0.1663
1968,1,3,2,97,-3.6263
1968,1,3,3,94,-5.0459
1968,1,3,4,91,-8.7407
1968,1,3,5,87,-9.1423
1968,2,1,1,122,-6.0824
1968,2,1,2,48,-6.0445
1968,2,1,3,51,-4.1449
1968,2,1,4,82,-5.3236
1968,2,1,5,103,-8.0817
1968,2,2,1,56,-5.6579
1968,2,2,2,49,-1.5481
1968,2,2,3,42,-4.2262
1968,2,2,4,47,-5.1810
1968,2,2,5,50,-7.8429
1968,2,3,1,71,-1.7882
1968,2,3,2,97,-2.5435
1968,2,3,3,94,-3.4591
1968,2,3,4,90,-4.7817
1968,2,3,5,87,-3.9586
1968,3,1,1,123,-1.5480
1968,3,1,2,48,-0.7899
1968,3,1,3,51,-0.7462
1968,3,1,4,82,0.4198
1968,3,1,5,103,-1.1469
1968,3,2,1,56,-1.7825
1968,3,2,2,49,-0.8645
1968,3,2,3,42,0.4827
1968,3,2,4,47,-2.2157
1968,3,2,5,50,-1.8762
1968,3,3,1,71,0.3925
1968,3,3,2,97,0.8957
1968,3,3,3,94,2.0206
1968,3,3,4,90,1.4610
1968,3,3,5,87,1.2988
1968,4,1,1,123,17.1929
1968,4,1,2,47,19.1631
1968,4,1,3,51,14.7504
1968,4,1,4,82,13.9399
1968,4,1,5,103,20.2036
1968,4,2,1,56,13.9972
1968,4,2,2,49,11.6025
1968,4,2,3,42,14.2420
1968,4,2,4,47,12.8109
1968,4,2,5,50,17.0299
1968,4,3,1,71,5.8835
1968,4,3,2,97,6.4402
1968,4,3,3,94,10.6854
1968,4,3,4,90,12.8022
1968,4,3,5,87,13.6824
1968,5,1,1,123,14.6143
1968,5,1,2,47,7.1592
1968,5,1,3,51,8.9759
1968,5,1,4,82,11.6516
1968,5,1,5,103,10.3699
1968,5,2,1,56,9.3090
1968,5,2,2,49,5.3739
1968,5,2,3,42,7.5815
1968,5,2,4,47,8.0990
1968,5,2,5,50,7.2245
1968,5,3,1,70,0.4996
1968,5,3,2,97,1.3222
1968,5,3,3,94,2.5030
1968,5,3,4,90,2.2225
1968,5,3,5,87,2.3939
1968,6,1,1,123,-1.2766
1968,6,1,2,47,1.4962
1968,6,1,3,51,3.3937
1968,6,1,4,82,1.8950
1968,6,1,5,103,-1.0536
1968,6,2,1,56,-1.1277
1968,6,2,2,49,1.4937
1968,6,2,3,42,3.5127
1968,6,2,4,46,-2.3177
1968,6,2,5,50,-1.3838
1968,6,3,1,70,2.3086
1968,6,3,2,97,0.3808
1968,6,3,3,94,0.2570
1968,6,3,4,90,-0.0484
1968,6,3,5,87,-1.6388
1968,7,1,1,217,-1.5174
1968,7,1,2,74,-4.6859
1968,7,1,3,78,-3.1400
1968,7,1,4,107,-3.2448
1968,7,1,5,116,-5.7816
1968,7,2,1,63,-3.1840
1968,7,2,2,45,-1.7465
1968,7,2,3,50,-3.4635
1968,7,2,4,57,-2.6278
1968,7,2,5,63,-9.2728
1968,7,3,1,70,-1.1069
1968,7,3,2,101,-0.6678
1968,7,3,3,96,-1.8433
1968,7,3,4,85,-4.5344
1968,7,3,5,94,-6.3866
1968,8,1,1,217,5.1561
1968,8,1,2,74,5.2358
1968,8,1,3,78,4.2178
1968,8,1,4,107,4.2225
1968,8,1,5,116,3.8156
1968,8,2,1,63,3.5406
1968,8,2,2,44,6.4567
1968,8,2,3,50,4.6957
1968,8,2,4,57,5.4121
1968,8,2,5,63,2.7901
1968,8,3,1,69,1.7164
1968,8,3,2,101,1.5189
1968,8,3,3,96,1.7171
1968,8,3,4,85,1.0490
1968,8,3,5,94,1.9885
1968,9,1,1,216,8.1495
1968,9,1,2,74,9.6079
1968,9,1,3,78,5.7218
1968,9,1,4,107,6.4894
1968,9,1,5,116,7.3044
1968,9,2,1,63,7.9082
1968,9,2,2,44,5.0098
1968,9,2,3,50,7.6811
1968,9,2,4,57,7.5057
1968,9,2,5,63,7.2812
1968,9,3,1,69,5.9676
