year,month,rank_ME,rank_IVG,nstocks,ret_vw
1967,12,2,1,53,7.7764
1967,12,2,2,44,4.0052
1967,12,2,3,37,7.1747
1967,12,2,4,35,5.9655
1967,12,2,5,69,6.8779
1967,12,3,1,64,3.0651
1967,12,3,2,87,3.7820
1967,12,3,3,89,2.6225
1967,12,3,4,107,1.8729
1967,12,3,5,88,1.5760
1968,1,1,1,127,4.4419
1968,1,1,2,70,3.3704
1968,1,1,3,57,1.7450
1968,1,1,4,59,2.6941
1968,1,1,5,83,1.5297
1968,1,2,1,53,1.8880
1968,1,2,2,44,0.2699
1968,1,2,3,37,1.0234
1968,1,2,4,35,-2.0528
1968,1,2,5,69,-3.6416
1968,1,3,1,64,-3.0688
1968,1,3,2,87,-2.4583
1968,1,3,3,89,-1.9086
1968,1,3,4,107,-7.4102
1968,1,3,5,88,-8.6783
1968,2,1,1,125,-5.7812
1968,2,1,2,70,-3.5143
1968,2,1,3,57,-6.8968
1968,2,1,4,59,-7.5486
1968,2,1,5,83,-7.2908
1968,2,2,1,51,-2.1878
1968,2,2,2,44,-3.9424
1968,2,2,3,37,-4.8144
1968,2,2,4,35,-4.0292
1968,2,2,5,69,-7.6984
1968,2,3,1,64,-1.7722
1968,2,3,2,87,-2.9569
1968,2,3,3,88,-3.0404
1968,2,3,4,107,-2.7587
1968,2,3,5,88,-5.5864
1968,3,1,1,126,-1.6179
1968,3,1,2,70,0.5803
1968,3,1,3,57,-0.9430
1968,3,1,4,59,1.2272
1968,3,1,5,83,-3.0234
1968,3,2,1,51,-1.8940
1968,3,2,2,44,-0.4377
1968,3,2,3,37,-1.1807
1968,3,2,4,35,-2.7400
1968,3,2,5,69,-1.3442
1968,3,3,1,64,0.3549
1968,3,3,2,87,1.8151
1968,3,3,3,88,-0.8066
1968,3,3,4,107,3.0544
1968,3,3,5,88,1.3654
1968,4,1,1,125,17.1856
1968,4,1,2,70,14.3271
1968,4,1,3,57,17.1739
1968,4,1,4,59,21.0821
1968,4,1,5,83,16.4790
1968,4,2,1,51,11.8374
1968,4,2,2,44,12.6846
1968,4,2,3,37,14.7873
1968,4,2,4,35,13.1848
1968,4,2,5,69,16.0343
1968,4,3,1,64,7.9620
1968,4,3,2,87,6.5718
1968,4,3,3,88,7.7078
1968,4,3,4,107,11.0207
1968,4,3,5,88,13.0595
1968,5,1,1,125,14.1979
1968,5,1,2,70,9.1796
1968,5,1,3,57,8.4906
1968,5,1,4,59,11.1939
1968,5,1,5,83,11.1626
1968,5,2,1,51,6.9414
1968,5,2,2,44,6.3743
1968,5,2,3,37,6.8981
1968,5,2,4,35,7.9722
1968,5,2,5,69,8.6313
1968,5,3,1,63,1.4824
1968,5,3,2,87,-0.0372
1968,5,3,3,88,0.9156
1968,5,3,4,107,3.7121
1968,5,3,5,88,1.9676
1968,6,1,1,125,-0.7244
1968,6,1,2,70,2.1030
1968,6,1,3,57,1.7979
1968,6,1,4,59,0.0296
1968,6,1,5,83,-0.3302
1968,6,2,1,51,1.2999
1968,6,2,2,44,0.5195
1968,6,2,3,36,1.5782
1968,6,2,4,35,0.9541
1968,6,2,5,69,-2.5399
1968,6,3,1,63,1.4841
1968,6,3,2,87,0.5655
1968,6,3,3,88,1.0397
