year,month,rank_ME,rank_IVC,nstocks,ret_vw
1967,12,2,1,52,7.1908
1967,12,2,2,44,6.4580
1967,12,2,3,36,5.0342
1967,12,2,4,40,5.4781
1967,12,2,5,67,7.0786
1967,12,3,1,70,1.6789
1967,12,3,2,91,3.3681
1967,12,3,3,103,3.1292
1967,12,3,4,87,1.6633
1967,12,3,5,84,0.9832
1968,1,1,1,121,3.5227
1968,1,1,2,57,3.5820
1968,1,1,3,55,1.8290
1968,1,1,4,76,4.0866
1968,1,1,5,88,1.5409
1968,1,2,1,52,1.4641
1968,1,2,2,44,1.6915
1968,1,2,3,36,-0.1671
1968,1,2,4,40,0.1655
1968,1,2,5,67,-4.7675
1968,1,3,1,70,-0.3221
1968,1,3,2,91,-3.2746
1968,1,3,3,103,-5.8165
1968,1,3,4,87,-7.1384
1968,1,3,5,84,-9.8995
1968,2,1,1,119,-5.9060
1968,2,1,2,57,-3.7651
1968,2,1,3,55,-4.7419
1968,2,1,4,76,-8.1017
1968,2,1,5,88,-7.1907
1968,2,2,1,50,-1.7114
1968,2,2,2,44,-2.9010
1968,2,2,3,36,-7.0067
1968,2,2,4,40,-4.1680
1968,2,2,5,67,-7.7739
1968,2,3,1,70,-1.9015
1968,2,3,2,91,-2.7428
1968,2,3,3,102,-3.3669
1968,2,3,4,87,-3.8805
1968,2,3,5,84,-4.8391
1968,3,1,1,120,-1.8153
1968,3,1,2,57,-0.2498
1968,3,1,3,55,1.3889
1968,3,1,4,76,0.0996
1968,3,1,5,88,-2.4835
1968,3,2,1,50,-0.8810
1968,3,2,2,44,-0.7694
1968,3,2,3,36,0.1079
1968,3,2,4,40,-3.1721
1968,3,2,5,67,-2.0821
1968,3,3,1,70,-0.0492
1968,3,3,2,91,1.0914
1968,3,3,3,102,1.4902
1968,3,3,4,87,1.5911
1968,3,3,5,84,2.6637
1968,4,1,1,119,18.7164
1968,4,1,2,57,13.4997
1968,4,1,3,55,19.3851
1968,4,1,4,76,17.0794
1968,4,1,5,88,16.5094
1968,4,2,1,50,12.2759
1968,4,2,2,44,13.5055
1968,4,2,3,36,14.9029
1968,4,2,4,40,13.3868
1968,4,2,5,67,15.2770
1968,4,3,1,70,4.8197
1968,4,3,2,91,7.3359
1968,4,3,3,102,11.0017
1968,4,3,4,87,13.1084
1968,4,3,5,84,12.8728
1968,5,1,1,119,13.9048
1968,5,1,2,57,10.8064
1968,5,1,3,55,11.2883
1968,5,1,4,76,8.6059
1968,5,1,5,88,10.7749
1968,5,2,1,50,8.3340
1968,5,2,2,44,5.6824
1968,5,2,3,36,7.3216
1968,5,2,4,40,7.1526
1968,5,2,5,67,8.8589
1968,5,3,1,69,0.5001
1968,5,3,2,91,2.0971
1968,5,3,3,102,1.6408
1968,5,3,4,87,1.9935
1968,5,3,5,84,2.3905
1968,6,1,1,119,-0.3069
1968,6,1,2,57,0.4907
1968,6,1,3,55,2.6103
1968,6,1,4,76,0.7168
1968,6,1,5,88,-0.7336
1968,6,2,1,50,2.0724
1968,6,2,2,44,0.2961
1968,6,2,3,36,1.2041
1968,6,2,4,39,0.8472
1968,6,2,5,67,-2.9385
1968,6,3,1,69,3.0264
1968,6,3,2,91,0.3051
1968,6,3,3,102,0.3104
1968,6,3,4,87,-0.1672
1968,6,3,5,84,-1.8200
1968,7,1,1,189,-2.5856
1968,7,1,2,90,-0.4399
1968,7,1,3,68,-4.9987
1968,7,1,4,87,-2.2246
1968,7,1,5,138,-5.8941
1968,7,2,1,56,-3.4294
1968,7,2,2,48,-1.7711
