year,month,rank_ME,rank_CEI,nstocks,ret_vw
1967,12,2,1,58,3.9480
1967,12,2,2,51,8.7875
1967,12,2,3,46,5.9548
1967,12,2,4,43,5.0640
1967,12,2,5,40,7.7382
1967,12,3,1,69,3.9035
1967,12,3,2,98,3.8419
1967,12,3,3,116,2.4365
1967,12,3,4,100,1.6559
1967,12,3,5,103,2.9653
1968,1,1,1,55,2.8816
1968,1,1,2,30,1.8901
1968,1,1,3,16,5.9427
1968,1,1,4,31,1.2091
1968,1,1,5,38,2.8404
1968,1,2,1,58,0.2632
1968,1,2,2,51,-1.3799
1968,1,2,3,46,2.3579
1968,1,2,4,42,-0.1344
1968,1,2,5,40,1.2960
1968,1,3,1,69,-2.2216
1968,1,3,2,96,-1.0061
1968,1,3,3,116,-3.1121
1968,1,3,4,100,-4.4118
1968,1,3,5,103,-8.9325
1968,2,1,1,54,-2.0309
1968,2,1,2,30,-3.2581
1968,2,1,3,14,-4.9614
1968,2,1,4,30,-5.1535
1968,2,1,5,38,-9.2842
1968,2,2,1,57,-4.1798
1968,2,2,2,49,-2.6552
1968,2,2,3,44,-2.2374
1968,2,2,4,40,-5.6153
1968,2,2,5,40,-4.3335
1968,2,3,1,68,-2.5828
1968,2,3,2,96,-1.7889
1968,2,3,3,116,-3.0584
1968,2,3,4,99,-2.2277
1968,2,3,5,103,-5.3727
1968,3,1,1,54,-0.6826
1968,3,1,2,30,0.7623
1968,3,1,3,14,6.4255
1968,3,1,4,30,1.7038
1968,3,1,5,37,-4.1173
1968,3,2,1,56,-1.1751
1968,3,2,2,48,-0.3396
1968,3,2,3,44,-2.8566
1968,3,2,4,39,-2.3730
1968,3,2,5,40,-3.4185
1968,3,3,1,68,-0.7127
1968,3,3,2,96,-0.0644
1968,3,3,3,115,-1.0576
1968,3,3,4,99,1.9732
1968,3,3,5,103,1.8411
1968,4,1,1,54,13.8046
1968,4,1,2,30,11.6777
1968,4,1,3,13,7.7131
1968,4,1,4,29,13.0492
1968,4,1,5,37,15.0697
1968,4,2,1,56,9.9657
1968,4,2,2,48,11.3707
1968,4,2,3,44,11.8847
1968,4,2,4,39,14.4866
1968,4,2,5,40,13.2912
1968,4,3,1,68,8.7708
1968,4,3,2,96,5.5682
1968,4,3,3,115,6.8913
1968,4,3,4,99,8.8965
1968,4,3,5,103,11.9434
1968,5,1,1,54,11.4912
1968,5,1,2,30,7.2368
1968,5,1,3,13,11.9872
1968,5,1,4,29,11.3304
1968,5,1,5,35,11.9359
1968,5,2,1,56,6.0171
1968,5,2,2,48,5.5343
1968,5,2,3,44,5.7669
1968,5,2,4,38,7.8141
1968,5,2,5,40,6.5652
1968,5,3,1,68,0.6564
1968,5,3,2,94,0.1455
1968,5,3,3,113,1.4663
1968,5,3,4,99,1.9652
1968,5,3,5,103,3.4993
1968,6,1,1,54,1.4995
1968,6,1,2,30,1.1453
1968,6,1,3,13,2.6731
1968,6,1,4,29,1.5969
1968,6,1,5,34,1.0350
1968,6,2,1,53,1.9183
1968,6,2,2,47,2.5712
1968,6,2,3,44,0.4882
1968,6,2,4,37,1.4270
1968,6,2,5,40,-1.7468
1968,6,3,1,68,1.6660
1968,6,3,2,94,2.7756
1968,6,3,3,113,1.9354
1968,6,3,4,99,0.3889
1968,6,3,5,103,-0.5151
1968,7,1,1,112,-2.0125
1968,7,1,2,89,-3.2631
1968,7,1,3,85,-2.3683
1968,7,1,4,257,-4.2359
1968,7,1,5,65,-3.7182
1968,7,2,1,65,0.0036
1968,7,2,2,50,-0.8828
1968,7,2,3,58,-3.3989
1968,7,2,4,70,-4.3061
1968,7,2,5,58,-6.6829
1968,7,3,1,81,0.8131
1968,7,3,2,103,0.0484
1968,7,3,3,116,-1.1852
1968,7,3,4,95,-4.1052
1968,7,3,5,121,-4.5257
1968,8,1,1,110,3.9975
1968,8,1,2,88,3.1985
1968,8,1,3,83,5.0603
1968,8,1,4,255,3.8166
1968,8,1,5,65,3.0603
1968,8,2,1,65,2.5172
1968,8,2,2,50,3.1867
1968,8,2,3,56,5.2622
1968,8,2,4,70,3.0955
1968,8,2,5,57,5.3866
1968,8,3,1,81,2.1373
1968,8,3,2,103,1.1570
1968,8,3,3,114,1.7562
1968,8,3,4,94,0.2926
1968,8,3,5,120,1.9195
1968,9,1,1,109,5.3613
1968,9,1,2,88,5.4776
1968,9,1,3,83,6.9744
1968,9,1,4,254,9.4026
1968,9,1,5,65,6.2380
1968,9,2,1,65,5.1329
1968,9,2,2,49,5.3082
1968,9,2,3,56,7.5578
1968,9,2,4,70,6.5723
1968,9,2,5,57,8.3594
1968,9,3,1,81,4.7124
1968,9,3,2,103,3.9648
1968,9,3,3,114,4.0304
1968,9,3,4,94,1.9428
1968,9,3,5,120,4.8575
1968,10,1,1,109,1.9919
1968,10,1,2,87,0.7565
1968,10,1,3,83,1.3123
1968,10,1,4,253,-0.9593
1968,10,1,5,65,2.9848
1968,10,2,1,64,2.9190
1968,10,2,2,49,2.2548
1968,10,2,3,54,1.1799
1968,10,2,4,70,-1.4453
1968,10,2,5,57,1.3587
1968,10,3,1,80,3.4234
1968,10,3,2,102,1.8525
1968,10,3,3,112,1.4001
1968,10,3,4,94,-2.1494
1968,10,3,5,120,0.3873
1968,11,1,1,109,4.8820
1968,11,1,2,86,6.1878
1968,11,1,3,82,8.0251
1968,11,1,4,250,7.5661
1968,11,1,5,64,8.3934
1968,11,2,1,63,7.4041
1968,11,2,2,49,5.6904
1968,11,2,3,53,7.2389
1968,11,2,4,70,8.9491
1968,11,2,5,57,9.4486
1968,11,3,1,79,3.2461
1968,11,3,2,102,6.2154
1968,11,3,3,111,5.3376
1968,11,3,4,94,6.2462
1968,11,3,5,120,6.6591
1968,12,1,1,108,1.0176
1968,12,1,2,87,-0.3985
1968,12,1,3,81,4.7099
1968,12,1,4,250,5.5628
1968,12,1,5,64,2.2155
1968,12,2,1,63,-0.2745
1968,12,2,2,47,-0.8248
1968,12,2,3,53,-0.3437
1968,12,2,4,70,-1.1043
1968,12,2,5,57,-1.0480
1968,12,3,1,79,-2.6337
1968,12,3,2,102,-1.8761
1968,12,3,3,110,-5.2270
1968,12,3,4,94,-4.3494
1968,12,3,5,120,-3.9505
1969,1,1,1,106,-0.5452
1969,1,1,2,87,-0.2556
1969,1,1,3,81,0.2495
1969,1,1,4,245,-0.2314
1969,1,1,5,64,-2.1771
1969,1,2,1,61,-0.3220
1969,1,2,2,47,-1.3942
1969,1,2,3,51,0.2376
1969,1,2,4,70,-1.5536
1969,1,2,5,57,-2.8316
1969,1,3,1,78,0.4345
1969,1,3,2,102,0.5364
1969,1,3,3,110,0.0413
1969,1,3,4,94,-2.2064
1969,1,3,5,120,-2.7534
1969,2,1,1,104,-6.1633
1969,2,1,2,87,-8.1007
1969,2,1,3,80,-11.0096
1969,2,1,4,243,-13.7729
1969,2,1,5,63,-12.0182
1969,2,2,1,59,-5.8060
1969,2,2,2,46,-7.0415
1969,2,2,3,51,-7.1478
1969,2,2,4,70,-9.4235
1969,2,2,5,55,-9.9944
1969,2,3,1,78,-3.9015
1969,2,3,2,102,-5.7124
1969,2,3,3,110,-3.6949
1969,2,3,4,94,-4.3162
1969,2,3,5,120,-6.0191
1969,3,1,1,104,0.8643
1969,3,1,2,87,2.1180
1969,3,1,3,79,4.0146
1969,3,1,4,241,3.3064
1969,3,1,5,62,1.9727
1969,3,2,1,59,0.1090
1969,3,2,2,45,1.8956
1969,3,2,3,51,4.7037
1969,3,2,4,70,2.9426
1969,3,2,5,54,2.9530
1969,3,3,1,78,3.3097
1969,3,3,2,102,3.2652
1969,3,3,3,110,3.0136
1969,3,3,4,94,4.1996
1969,3,3,5,120,2.4456
1969,4,1,1,104,-1.7932
1969,4,1,2,87,-0.5475
1969,4,1,3,79,0.7386
1969,4,1,4,237,-1.4636
1969,4,1,5,61,-1.5869
1969,4,2,1,58,-1.0708
1969,4,2,2,45,1.2052
1969,4,2,3,51,2.4944
1969,4,2,4,70,1.1633
1969,4,2,5,54,2.8662
1969,4,3,1,77,-0.4141
1969,4,3,2,102,0.7697
1969,4,3,3,110,3.8220
1969,4,3,4,94,2.7373
1969,4,3,5,120,1.9670
1969,5,1,1,104,0.6201
1969,5,1,2,86,0.7060
1969,5,1,3,78,1.9029
1969,5,1,4,235,3.1768
1969,5,1,5,62,2.7823
1969,5,2,1,58,0.4707
1969,5,2,2,45,-0.4969
1969,5,2,3,51,5.2702
1969,5,2,4,69,0.6752
1969,5,2,5,55,-0.6087
1969,5,3,1,77,0.3529
1969,5,3,2,101,0.5488
1969,5,3,3,108,0.8318
1969,5,3,4,94,-0.5812
1969,5,3,5,120,0.6569
1969,6,1,1,104,-9.1074
1969,6,1,2,85,-11.2840
1969,6,1,3,79,-15.8169
1969,6,1,4,233,-15.2447
1969,6,1,5,62,-16.2633
1969,6,2,1,58,-10.3307
1969,6,2,2,45,-8.7198
1969,6,2,3,51,-9.2827
1969,6,2,4,70,-11.9133
1969,6,2,5,55,-13.3674
1969,6,3,1,74,-7.0678
1969,6,3,2,101,-7.8382
1969,6,3,3,108,-5.6068
1969,6,3,4,94,-2.2960
1969,6,3,5,119,-6.4924
1969,7,1,1,94,-9.8585
1969,7,1,2,97,-10.6496
1969,7,1,3,108,-10.5685
1969,7,1,4,227,-13.1116
1969,7,1,5,73,-12.4884
1969,7,2,1,66,-5.6497
1969,7,2,2,48,-8.0117
1969,7,2,3,42,-9.9004
1969,7,2,4,77,-9.8463
1969,7,2,5,57,-11.2265
1969,7,3,1,89,-6.1611
1969,7,3,2,112,-6.4681
1969,7,3,3,123,-4.6606
1969,7,3,4,100,-5.4579
1969,7,3,5,107,-8.9134
1969,8,1,1,94,3.4867
1969,8,1,2,97,2.5477
1969,8,1,3,108,5.4777
1969,8,1,4,224,4.2354
1969,8,1,5,73,3.8407
1969,8,2,1,65,3.4220
1969,8,2,2,47,4.2033
1969,8,2,3,42,5.1105
1969,8,2,4,77,6.0016
1969,8,2,5,57,8.7408
1969,8,3,1,89,2.1499
1969,8,3,2,112,4.0441
1969,8,3,3,123,4.1719
1969,8,3,4,100,6.6422
1969,8,3,5,107,7.0383
1969,9,1,1,94,-1.3874
1969,9,1,2,97,-1.6064
1969,9,1,3,108,-2.8406
1969,9,1,4,225,-4.3567
1969,9,1,5,72,-3.7591
1969,9,2,1,65,-0.7120
1969,9,2,2,47,-1.0339
1969,9,2,3,39,-0.1054
1969,9,2,4,76,-0.6297
1969,9,2,5,57,-2.3931
1969,9,3,1,88,-2.2202
1969,9,3,2,112,-6.0488
1969,9,3,3,123,-2.3337
1969,9,3,4,100,-0.0741
1969,9,3,5,107,-3.6438
1969,10,1,1,92,5.4734
1969,10,1,2,97,8.0648
1969,10,1,3,108,9.0445
1969,10,1,4,224,11.6464
1969,10,1,5,72,12.2422
1969,10,2,1,63,5.6820
1969,10,2,2,47,5.5712
1969,10,2,3,39,5.7819
1969,10,2,4,76,7.8602
1969,10,2,5,57,9.5814
1969,10,3,1,88,3.1333
1969,10,3,2,112,4.0734
1969,10,3,3,122,5.6162
1969,10,3,4,99,5.5429
1969,10,3,5,107,4.9949
1969,11,1,1,91,-5.5968
1969,11,1,2,97,-4.0100
1969,11,1,3,108,-6.9604
1969,11,1,4,224,-8.1903
1969,11,1,5,72,-8.9944
1969,11,2,1,64,-3.0252
1969,11,2,2,47,-4.6849
1969,11,2,3,39,-3.1224
1969,11,2,4,76,-6.0919
1969,11,2,5,57,-6.4393
1969,11,3,1,88,-4.3635
1969,11,3,2,112,-3.7491
1969,11,3,3,123,-2.3321
1969,11,3,4,99,-1.9438
1969,11,3,5,107,-3.4570
1969,12,1,1,92,-5.9992
1969,12,1,2,96,-6.7427
1969,12,1,3,107,-7.8733
1969,12,1,4,224,-8.7770
1969,12,1,5,71,-9.5155
1969,12,2,1,64,-5.6544
1969,12,2,2,47,-5.1273
1969,12,2,3,38,-4.4744
1969,12,2,4,76,-5.5947
1969,12,2,5,57,-6.9995
1969,12,3,1,88,-2.2326
1969,12,3,2,112,-1.9905
1969,12,3,3,123,-1.1047
1969,12,3,4,99,-0.6375
1969,12,3,5,107,-2.9662
1970,1,1,1,92,-1.7477
1970,1,1,2,96,-0.3599
1970,1,1,3,105,-2.1477
1970,1,1,4,223,-3.7694
1970,1,1,5,71,-3.2712
1970,1,2,1,62,-2.7660
1970,1,2,2,46,-3.2450
1970,1,2,3,37,-4.2862
1970,1,2,4,76,-5.2100
1970,1,2,5,57,-7.7341
1970,1,3,1,88,-6.4582
1970,1,3,2,112,-8.7701
1970,1,3,3,123,-5.6497
1970,1,3,4,99,-8.8031
1970,1,3,5,107,-10.8042
1970,2,1,1,92,3.2657
1970,2,1,2,95,3.6166
1970,2,1,3,105,2.1903
1970,2,1,4,223,2.0974
1970,2,1,5,71,2.1644
1970,2,2,1,62,5.9342
1970,2,2,2,46,3.3726
1970,2,2,3,37,2.8782
1970,2,2,4,75,5.1076
1970,2,2,5,57,4.6564
1970,2,3,1,88,6.1569
1970,2,3,2,112,7.3612
1970,2,3,3,123,6.8073
1970,2,3,4,99,2.9546
1970,2,3,5,106,6.4878
1970,3,1,1,91,-0.5942
1970,3,1,2,95,-1.3269
1970,3,1,3,105,-2.3157
1970,3,1,4,223,-3.6846
1970,3,1,5,71,-4.5228
1970,3,2,1,62,1.3771
1970,3,2,2,46,0.6082
1970,3,2,3,37,3.0643
1970,3,2,4,75,-2.1301
1970,3,2,5,57,-4.6039
1970,3,3,1,88,3.5831
1970,3,3,2,111,0.7541
1970,3,3,3,123,0.3727
1970,3,3,4,99,-1.3244
1970,3,3,5,107,-3.9024
1970,4,1,1,91,-9.7148
1970,4,1,2,95,-14.3206
1970,4,1,3,105,-16.6342
1970,4,1,4,222,-22.6867
1970,4,1,5,70,-19.1515
1970,4,2,1,62,-9.5715
1970,4,2,2,46,-10.2410
1970,4,2,3,38,-13.3364
1970,4,2,4,76,-15.8673
1970,4,2,5,57,-20.1333
1970,4,3,1,86,-5.8660
1970,4,3,2,111,-8.1375
1970,4,3,3,123,-8.3835
1970,4,3,4,99,-11.7360
1970,4,3,5,107,-14.0044
1970,5,1,1,91,-8.1239
1970,5,1,2,95,-8.6987
1970,5,1,3,105,-11.0504
1970,5,1,4,220,-9.1006
1970,5,1,5,70,-10.1130
1970,5,2,1,62,-6.4113
1970,5,2,2,46,-9.7934
1970,5,2,3,38,-7.7559
1970,5,2,4,76,-10.7340
1970,5,2,5,57,-11.6805
1970,5,3,1,86,-2.2828
1970,5,3,2,111,-2.4761
1970,5,3,3,123,-6.2635
1970,5,3,4,99,-8.2821
1970,5,3,5,107,-9.0236
1970,6,1,1,91,-4.6845
1970,6,1,2,94,-5.3059
1970,6,1,3,105,-8.4396
1970,6,1,4,218,-11.6710
1970,6,1,5,70,-11.9545
1970,6,2,1,62,-3.7298
1970,6,2,2,46,-6.0058
1970,6,2,3,38,-3.8432
1970,6,2,4,75,-7.9564
1970,6,2,5,55,-9.8675
1970,6,3,1,86,-4.3054
1970,6,3,2,111,-2.8805
1970,6,3,3,123,-3.5992
1970,6,3,4,99,-8.8749
1970,6,3,5,107,-6.1494
1970,7,1,1,86,2.9979
1970,7,1,2,92,5.6944
1970,7,1,3,119,7.3656
1970,7,1,4,239,4.9008
1970,7,1,5,82,3.5884
1970,7,2,1,53,5.9789
1970,7,2,2,56,9.4385
1970,7,2,3,46,9.5959
1970,7,2,4,75,8.4083
1970,7,2,5,73,6.3697
1970,7,3,1,114,8.4979
1970,7,3,2,115,10.6644
1970,7,3,3,123,6.0177
1970,7,3,4,95,4.3788
1970,7,3,5,89,6.7144
1970,8,1,1,85,4.7652
1970,8,1,2,92,5.4373
1970,8,1,3,119,8.3011
1970,8,1,4,235,6.2045
1970,8,1,5,82,7.5766
1970,8,2,1,53,5.6617
1970,8,2,2,56,4.9217
1970,8,2,3,46,6.6125
1970,8,2,4,75,8.4875
1970,8,2,5,72,9.4380
1970,8,3,1,114,6.1354
1970,8,3,2,115,4.0699
1970,8,3,3,123,3.8610
1970,8,3,4,95,6.3821
1970,8,3,5,88,5.3683
1970,9,1,1,85,7.5194
1970,9,1,2,92,11.5915
1970,9,1,3,119,12.0965
1970,9,1,4,232,17.0728
