year,month,rank_ME,rank_POA,nstocks,ret_vw
1967,12,2,1,45,9.1912
1967,12,2,2,39,6.3128
1967,12,2,3,36,5.5510
1967,12,2,4,46,5.8355
1967,12,2,5,41,7.2851
1967,12,3,1,70,2.6930
1967,12,3,2,86,2.8502
1967,12,3,3,95,4.3192
1967,12,3,4,87,0.7043
1967,12,3,5,71,0.3902
1968,1,1,1,103,4.8456
1968,1,1,2,42,3.2253
1968,1,1,3,35,1.6749
1968,1,1,4,55,5.3655
1968,1,1,5,105,-0.2690
1968,1,2,1,45,0.8049
1968,1,2,2,39,0.4733
1968,1,2,3,36,-1.9883
1968,1,2,4,46,-0.5937
1968,1,2,5,41,-1.3829
1968,1,3,1,70,-2.1117
1968,1,3,2,86,-4.0526
1968,1,3,3,95,-6.7754
1968,1,3,4,87,-7.2854
1968,1,3,5,71,-8.5386
1968,2,1,1,102,-5.1999
1968,2,1,2,42,-6.8886
1968,2,1,3,35,-1.5239
1968,2,1,4,55,-6.9877
1968,2,1,5,105,-8.2712
1968,2,2,1,45,-4.7967
1968,2,2,2,38,-2.9653
1968,2,2,3,36,-2.8274
1968,2,2,4,46,-4.2473
1968,2,2,5,41,-7.3024
1968,2,3,1,70,-2.8793
1968,2,3,2,86,-1.8489
1968,2,3,3,94,-4.1056
1968,2,3,4,87,-4.6774
1968,2,3,5,71,-4.8692
1968,3,1,1,103,-1.2020
1968,3,1,2,42,-0.8646
1968,3,1,3,35,0.6978
1968,3,1,4,55,-0.0702
1968,3,1,5,105,-1.4869
1968,3,2,1,45,-1.2075
1968,3,2,2,38,-1.5169
1968,3,2,3,36,-1.7390
1968,3,2,4,46,-1.6514
1968,3,2,5,41,-1.9692
1968,3,3,1,70,1.1421
1968,3,3,2,86,0.4282
1968,3,3,3,94,3.3810
1968,3,3,4,87,0.1417
1968,3,3,5,71,1.9143
1968,4,1,1,103,19.0678
1968,4,1,2,42,14.7766
1968,4,1,3,35,15.4499
1968,4,1,4,55,15.1869
1968,4,1,5,105,19.8246
1968,4,2,1,45,13.5364
1968,4,2,2,38,13.6407
1968,4,2,3,36,13.0360
1968,4,2,4,46,11.4650
1968,4,2,5,41,17.2448
1968,4,3,1,70,6.2877
1968,4,3,2,86,7.7716
1968,4,3,3,94,11.5217
1968,4,3,4,87,13.0294
1968,4,3,5,71,13.4993
1968,5,1,1,103,13.3882
1968,5,1,2,42,7.4016
1968,5,1,3,35,8.8409
1968,5,1,4,55,11.7147
1968,5,1,5,105,11.0840
1968,5,2,1,45,7.8638
1968,5,2,2,38,7.5606
1968,5,2,3,36,7.5576
1968,5,2,4,46,6.4426
1968,5,2,5,41,7.5812
1968,5,3,1,70,2.5697
1968,5,3,2,86,0.7495
1968,5,3,3,94,3.1702
1968,5,3,4,87,0.9532
1968,5,3,5,71,2.3799
1968,6,1,1,103,-0.8680
1968,6,1,2,42,0.6472
1968,6,1,3,35,2.8438
1968,6,1,4,55,1.3740
1968,6,1,5,105,0.2271
1968,6,2,1,45,0.0104
1968,6,2,2,38,1.0849
1968,6,2,3,36,0.6735
1968,6,2,4,45,0.9811
1968,6,2,5,41,-2.3227
1968,6,3,1,70,1.1694
1968,6,3,2,86,0.5734
1968,6,3,3,94,0.9291
1968,6,3,4,87,-0.8174
1968,6,3,5,71,-1.2746
1968,7,1,1,147,-1.2904
1968,7,1,2,69,-4.1692
1968,7,1,3,74,-3.2964
1968,7,1,4,65,-2.7984
1968,7,1,5,113,-5.9801
1968,7,2,1,47,-1.0921
1968,7,2,2,37,-2.1994
1968,7,2,3,49,-1.9270
1968,7,2,4,46,-3.1322
1968,7,2,5,58,-8.3808
1968,7,3,1,67,-2.0999
1968,7,3,2,102,1.4187
1968,7,3,3,89,-3.2119
1968,7,3,4,85,-5.5465
1968,7,3,5,78,-7.7828
1968,8,1,1,147,5.4543
1968,8,1,2,69,5.8227
1968,8,1,3,74,3.9341
1968,8,1,4,65,3.5874
1968,8,1,5,113,4.1025
1968,8,2,1,47,4.3050
1968,8,2,2,37,6.0933
1968,8,2,3,49,5.6166
1968,8,2,4,46,5.2712
1968,8,2,5,58,2.0814
1968,8,3,1,66,0.6149
1968,8,3,2,102,2.2058
1968,8,3,3,89,2.1261
1968,8,3,4,85,1.6803
1968,8,3,5,78,0.6206
1968,9,1,1,147,8.6291
1968,9,1,2,69,9.0105
1968,9,1,3,74,6.7467
1968,9,1,4,65,3.9262
1968,9,1,5,113,6.7888
1968,9,2,1,47,8.3670
1968,9,2,2,37,6.5128
1968,9,2,3,49,7.1439
1968,9,2,4,46,6.2016
1968,9,2,5,58,8.3397
1968,9,3,1,66,3.3501
1968,9,3,2,102,5.3593
1968,9,3,3,89,3.1363
1968,9,3,4,85,4.3236
1968,9,3,5,78,4.4691
1968,10,1,1,147,0.1917
1968,10,1,2,69,1.5885
1968,10,1,3,74,-0.7209
1968,10,1,4,65,1.4311
1968,10,1,5,113,-0.8181
1968,10,2,1,47,-0.1703
1968,10,2,2,36,2.7296
1968,10,2,3,49,1.4114
1968,10,2,4,46,0.2346
1968,10,2,5,58,0.5531
1968,10,3,1,66,-1.1511
1968,10,3,2,102,2.9743
1968,10,3,3,89,1.6939
1968,10,3,4,85,-0.7753
1968,10,3,5,78,-0.0823
1968,11,1,1,147,7.6380
1968,11,1,2,69,6.6278
1968,11,1,3,74,6.6986
1968,11,1,4,65,8.7142
1968,11,1,5,113,6.5711
1968,11,2,1,47,8.0808
1968,11,2,2,37,7.1286
1968,11,2,3,49,7.5918
1968,11,2,4,46,9.3717
1968,11,2,5,58,8.9027
1968,11,3,1,66,6.5467
1968,11,3,2,102,3.9854
1968,11,3,3,89,6.1305
1968,11,3,4,85,4.2357
1968,11,3,5,78,8.3435
1968,12,1,1,147,2.3776
1968,12,1,2,69,5.5521
1968,12,1,3,74,2.9075
1968,12,1,4,65,-1.4209
1968,12,1,5,113,0.9686
1968,12,2,1,47,-1.1226
1968,12,2,2,37,-0.3376
1968,12,2,3,49,-0.3960
1968,12,2,4,46,-0.2557
1968,12,2,5,58,-2.3159
1968,12,3,1,66,-5.2749
1968,12,3,2,102,-3.5334
1968,12,3,3,89,-3.8369
1968,12,3,4,85,-3.9063
1968,12,3,5,78,-3.6401
