year,month,rank_ME,rank_IAq_6,nstocks,ret_vw
1973,1,1,1,61,-4.7191
1973,1,1,2,18,-2.2124
1973,1,1,3,13,-1.8109
1973,1,1,4,12,-1.8613
1973,1,1,5,23,-3.4252
1973,1,2,1,16,-4.3436
1973,1,2,2,19,-8.5661
1973,1,2,3,14,-5.1720
1973,1,2,4,11,-6.7311
1973,1,2,5,9,-6.9999
1973,1,3,1,18,-3.5683
1973,1,3,2,20,-6.6676
1973,1,3,3,25,-4.4797
1973,1,3,4,30,-3.7616
1973,1,3,5,30,-4.5649
1973,2,1,1,83,-8.5350
1973,2,1,2,28,-7.1624
1973,2,1,3,17,-11.0318
1973,2,1,4,19,-11.3828
1973,2,1,5,39,-13.6267
1973,2,2,1,28,-7.3075
1973,2,2,2,25,-5.9207
1973,2,2,3,18,-2.9651
1973,2,2,4,16,-4.9177
1973,2,2,5,16,-9.5837
1973,2,3,1,24,-4.8265
1973,2,3,2,31,-2.8076
1973,2,3,3,42,-1.5696
1973,2,3,4,37,-2.5710
1973,2,3,5,44,-7.8491
1973,3,1,1,97,-1.1941
1973,3,1,2,36,-1.5549
1973,3,1,3,23,-3.3136
1973,3,1,4,21,-4.1845
1973,3,1,5,46,-5.2270
1973,3,2,1,32,-2.9738
1973,3,2,2,29,-2.8018
1973,3,2,3,19,-2.0649
1973,3,2,4,16,-5.2986
1973,3,2,5,21,-2.5138
1973,3,3,1,28,-0.9566
1973,3,3,2,40,-1.7743
1973,3,3,3,43,-2.5602
1973,3,3,4,42,-3.8530
1973,3,3,5,48,-3.5719
1973,4,1,1,111,-8.8796
1973,4,1,2,41,-8.2127
1973,4,1,3,24,-8.1075
1973,4,1,4,25,-7.5413
1973,4,1,5,55,-11.2384
1973,4,2,1,32,-3.4079
1973,4,2,2,31,-5.5172
1973,4,2,3,19,-10.9428
1973,4,2,4,17,-4.7090
1973,4,2,5,24,-10.0489
1973,4,3,1,30,-1.7326
1973,4,3,2,42,-4.1346
1973,4,3,3,45,-3.2067
1973,4,3,4,43,-0.5264
1973,4,3,5,54,-6.3467
1973,5,1,1,240,-8.9470
1973,5,1,2,95,-9.8578
1973,5,1,3,86,-8.3538
1973,5,1,4,73,-8.5752
1973,5,1,5,152,-15.6081
1973,5,2,1,76,-6.1669
1973,5,2,2,80,-6.7650
1973,5,2,3,68,-4.6495
1973,5,2,4,48,-6.3280
1973,5,2,5,85,-9.8961
1973,5,3,1,91,-2.2871
1973,5,3,2,124,-1.2195
1973,5,3,3,136,-0.0117
1973,5,3,4,135,0.1498
1973,5,3,5,142,-3.2157
1973,6,1,1,251,-2.2036
1973,6,1,2,105,-2.8511
1973,6,1,3,93,-2.4017
1973,6,1,4,88,-4.2825
1973,6,1,5,174,-6.9296
1973,6,2,1,80,-1.4965
1973,6,2,2,87,-1.8405
1973,6,2,3,71,-4.5438
1973,6,2,4,55,-5.2431
1973,6,2,5,91,-7.1684
1973,6,3,1,94,-2.4733
1973,6,3,2,132,-1.7668
1973,6,3,3,143,-2.2841
1973,6,3,4,144,-0.6690
1973,6,3,5,150,-3.5354
1973,7,1,1,225,11.4923
1973,7,1,2,97,11.8267
1973,7,1,3,86,12.5962
1973,7,1,4,88,11.1886
1973,7,1,5,161,19.4401
1973,7,2,1,70,6.7316
1973,7,2,2,82,8.1344
1973,7,2,3,60,8.6768
1973,7,2,4,51,5.3836
1973,7,2,5,94,14.8344
1973,7,3,1,86,5.7590
1973,7,3,2,123,3.8831
1973,7,3,3,137,2.9511
1973,7,3,4,140,0.8485
1973,7,3,5,142,7.5506
1973,8,1,1,234,-4.5790
1973,8,1,2,100,-4.4069
1973,8,1,3,96,-6.8726
1973,8,1,4,89,-6.1552
1973,8,1,5,165,-9.2836
1973,8,2,1,78,-3.5748
1973,8,2,2,77,-4.6641
1973,8,2,3,63,-3.8723
1973,8,2,4,56,-4.4884
1973,8,2,5,96,-3.1933
1973,8,3,1,87,-0.5591
1973,8,3,2,129,-1.8806
1973,8,3,3,151,-2.6237
1973,8,3,4,141,-2.0551
1973,8,3,5,145,-4.2445
1973,9,1,1,230,9.5709
1973,9,1,2,103,7.0899
1973,9,1,3,99,6.1425
1973,9,1,4,92,6.8965
1973,9,1,5,174,12.0699
1973,9,2,1,80,10.2484
1973,9,2,2,75,9.1346
1973,9,2,3,62,10.2377
1973,9,2,4,59,9.9628
1973,9,2,5,92,11.8840
1973,9,3,1,85,6.9930
1973,9,3,2,131,8.0279
1973,9,3,3,152,6.8525
1973,9,3,4,139,2.7658
1973,9,3,5,143,6.0867
1973,10,1,1,220,2.6341
1973,10,1,2,93,-0.9029
1973,10,1,3,97,-0.7370
1973,10,1,4,87,-1.0953
1973,10,1,5,165,-1.0963
1973,10,2,1,73,-0.6050
1973,10,2,2,70,-0.0826
1973,10,2,3,61,0.3247
1973,10,2,4,56,0.6173
1973,10,2,5,91,-3.1553
1973,10,3,1,76,-1.8155
1973,10,3,2,125,-0.5813
1973,10,3,3,140,-1.9589
1973,10,3,4,137,-1.7097
1973,10,3,5,133,-2.3862
1973,11,1,1,241,-17.8874
1973,11,1,2,96,-18.7420
1973,11,1,3,97,-19.1499
1973,11,1,4,97,-19.2125
1973,11,1,5,172,-25.7608
1973,11,2,1,80,-14.2506
1973,11,2,2,75,-12.3357
1973,11,2,3,62,-14.3044
1973,11,2,4,58,-18.7230
1973,11,2,5,92,-25.7004
1973,11,3,1,80,-10.7919
1973,11,3,2,125,-11.0892
1973,11,3,3,146,-11.7324
1973,11,3,4,141,-13.7930
1973,11,3,5,140,-13.5586
1973,12,1,1,237,-6.3081
1973,12,1,2,102,-1.4013
1973,12,1,3,97,-7.1402
1973,12,1,4,96,-4.9921
1973,12,1,5,171,-8.4297
1973,12,2,1,84,-0.6071
1973,12,2,2,75,-3.0058
1973,12,2,3,63,0.2022
1973,12,2,4,56,-3.7840
1973,12,2,5,88,-0.3104
1973,12,3,1,80,3.1452
1973,12,3,2,125,2.9192
1973,12,3,3,145,2.0025
1973,12,3,4,140,1.5601
1973,12,3,5,139,0.9039
1974,1,1,1,118,21.0461
1974,1,1,2,47,12.9713
1974,1,1,3,35,17.1417
1974,1,1,4,50,10.6708
1974,1,1,5,85,16.8503
1974,1,2,1,43,11.0203
1974,1,2,2,30,9.0526
1974,1,2,3,21,7.7615
1974,1,2,4,27,9.2017
1974,1,2,5,39,8.0015
1974,1,3,1,18,8.4976
1974,1,3,2,46,3.7414
1974,1,3,3,55,3.7346
1974,1,3,4,46,3.6082
1974,1,3,5,55,0.2901
1974,2,1,1,119,-1.2040
1974,2,1,2,48,0.0833
1974,2,1,3,35,-2.9199
1974,2,1,4,55,-1.2528
1974,2,1,5,97,-2.7856
1974,2,2,1,44,1.9130
1974,2,2,2,34,-1.0385
1974,2,2,3,26,-0.6824
1974,2,2,4,34,-1.5234
1974,2,2,5,43,-3.7316
1974,2,3,1,26,2.2403
1974,2,3,2,50,0.7625
1974,2,3,3,58,-0.0567
1974,2,3,4,50,1.4727
1974,2,3,5,62,0.3982
1974,3,1,1,125,1.9655
1974,3,1,2,47,-1.7109
1974,3,1,3,39,-1.1768
1974,3,1,4,55,0.9782
1974,3,1,5,107,1.6339
1974,3,2,1,47,-3.2439
1974,3,2,2,32,-1.9274
1974,3,2,3,25,-3.6263
1974,3,2,4,36,-0.1200
1974,3,2,5,42,2.1022
1974,3,3,1,26,-1.8136
1974,3,3,2,56,-2.9762
1974,3,3,3,61,-2.1929
1974,3,3,4,54,-3.7243
1974,3,3,5,59,-2.8107
1974,4,1,1,117,-4.7593
1974,4,1,2,49,-4.8151
1974,4,1,3,37,-8.4426
1974,4,1,4,61,-8.0054
1974,4,1,5,99,-6.0083
1974,4,2,1,42,-4.9778
1974,4,2,2,31,-7.7345
1974,4,2,3,24,-6.5177
1974,4,2,4,32,-6.9840
1974,4,2,5,42,-5.4945
1974,4,3,1,26,-5.9726
1974,4,3,2,49,-8.6386
1974,4,3,3,56,-9.2217
1974,4,3,4,53,-8.8665
1974,4,3,5,58,-6.3788
1974,5,1,1,259,-9.1834
1974,5,1,2,129,-7.6294
1974,5,1,3,85,-6.2028
1974,5,1,4,122,-7.5962
1974,5,1,5,201,-8.2511
1974,5,2,1,92,-8.5226
1974,5,2,2,91,-6.5059
1974,5,2,3,65,-7.0873
1974,5,2,4,88,-5.6056
1974,5,2,5,129,-9.1545
1974,5,3,1,99,-5.3291
1974,5,3,2,118,-3.5869
1974,5,3,3,159,-3.1157
1974,5,3,4,157,-3.6794
1974,5,3,5,172,-3.0798
1974,6,1,1,275,-2.9643
1974,6,1,2,135,-0.8311
1974,6,1,3,93,-2.8463
1974,6,1,4,126,-2.4433
1974,6,1,5,209,-2.7618
