year,month,rank_ME,rank_NOA,nstocks,ret_vw
1967,12,2,1,29,6.6809
1967,12,2,2,45,8.5712
1967,12,2,3,37,8.0418
1967,12,2,4,38,4.7380
1967,12,2,5,39,8.0557
1967,12,3,1,86,2.0291
1967,12,3,2,72,3.1871
1967,12,3,3,70,2.3062
1967,12,3,4,76,4.2365
1967,12,3,5,81,1.8622
1968,1,1,1,82,4.6288
1968,1,1,2,49,0.5360
1968,1,1,3,58,3.4867
1968,1,1,4,42,2.1607
1968,1,1,5,50,3.1575
1968,1,2,1,29,2.5361
1968,1,2,2,45,-0.8883
1968,1,2,3,37,-2.7609
1968,1,2,4,38,1.2618
1968,1,2,5,39,-0.8422
1968,1,3,1,86,-7.0024
1968,1,3,2,72,-2.4917
1968,1,3,3,70,-4.0414
1968,1,3,4,76,-6.0162
1968,1,3,5,81,-3.7379
1968,2,1,1,81,-4.4215
1968,2,1,2,49,-5.4742
1968,2,1,3,58,-4.8158
1968,2,1,4,42,-7.3930
1968,2,1,5,50,-8.2808
1968,2,2,1,29,-3.9425
1968,2,2,2,45,-4.8447
1968,2,2,3,36,-4.5701
1968,2,2,4,38,-2.8406
1968,2,2,5,39,-5.2732
1968,2,3,1,86,-2.8660
1968,2,3,2,72,-2.9954
1968,2,3,3,70,-2.8363
1968,2,3,4,76,-3.0944
1968,2,3,5,80,-3.5838
1968,3,1,1,82,-2.1582
1968,3,1,2,49,0.1141
1968,3,1,3,58,-1.4574
1968,3,1,4,42,-1.7051
1968,3,1,5,50,-2.0893
1968,3,2,1,29,-0.3074
1968,3,2,2,45,-2.1257
1968,3,2,3,36,0.3421
1968,3,2,4,38,-1.0676
1968,3,2,5,39,-3.6855
1968,3,3,1,86,2.2187
1968,3,3,2,72,0.1437
1968,3,3,3,70,0.9842
1968,3,3,4,76,2.1266
1968,3,3,5,80,0.0017
1968,4,1,1,82,14.5767
1968,4,1,2,49,20.2474
1968,4,1,3,58,14.9359
