year,month,rank_ME,rank_DAC,nstocks,ret_vw
1967,12,2,1,54,9.4143
1967,12,2,2,39,5.8414
1967,12,2,3,30,4.3909
1967,12,2,4,36,4.7047
1967,12,2,5,35,7.7195
1967,12,3,1,60,2.5109
1967,12,3,2,88,1.8605
1967,12,3,3,90,4.9697
1967,12,3,4,75,2.8667
1967,12,3,5,80,0.3872
1968,1,1,1,95,2.7011
1968,1,1,2,43,5.9949
1968,1,1,3,42,5.6329
1968,1,1,4,52,1.8019
1968,1,1,5,74,0.5098
1968,1,2,1,54,-2.7313
1968,1,2,2,39,1.8731
1968,1,2,3,30,0.5307
1968,1,2,4,36,2.6008
1968,1,2,5,35,-3.3080
1968,1,3,1,60,-6.6937
1968,1,3,2,88,-4.3994
1968,1,3,3,90,-3.8363
1968,1,3,4,75,-2.7782
1968,1,3,5,80,-7.3666
1968,2,1,1,95,-6.4630
1968,2,1,2,43,-6.0308
1968,2,1,3,41,-6.2230
1968,2,1,4,52,-3.8310
1968,2,1,5,74,-5.9735
1968,2,2,1,54,-5.4730
1968,2,2,2,38,-4.5978
1968,2,2,3,30,-4.1715
1968,2,2,4,36,-1.8348
1968,2,2,5,35,-3.8827
1968,2,3,1,59,-2.8207
1968,2,3,2,88,-2.6738
1968,2,3,3,90,-3.3174
1968,2,3,4,75,-3.2987
1968,2,3,5,80,-4.8193
1968,3,1,1,95,-0.9412
1968,3,1,2,43,-1.0022
1968,3,1,3,42,-1.0081
1968,3,1,4,52,0.4382
1968,3,1,5,74,-1.4258
1968,3,2,1,54,-2.6868
1968,3,2,2,38,-1.4353
1968,3,2,3,30,-1.7331
1968,3,2,4,36,-1.0500
1968,3,2,5,35,-1.7777
1968,3,3,1,59,4.4192
1968,3,3,2,88,0.2792
1968,3,3,3,90,-1.1732
1968,3,3,4,75,0.6634
1968,3,3,5,80,1.4198
1968,4,1,1,95,18.2947
1968,4,1,2,43,17.7500
1968,4,1,3,42,19.7490
1968,4,1,4,52,11.2899
1968,4,1,5,74,19.2529
1968,4,2,1,54,15.3400
1968,4,2,2,38,14.1266
1968,4,2,3,30,10.3280
1968,4,2,4,36,10.0169
1968,4,2,5,35,17.3828
1968,4,3,1,59,10.4756
1968,4,3,2,88,7.9882
1968,4,3,3,90,8.6391
1968,4,3,4,75,7.6615
1968,4,3,5,80,13.7720
1968,5,1,1,95,13.7752
1968,5,1,2,43,11.2787
1968,5,1,3,42,7.0676
1968,5,1,4,52,9.0109
1968,5,1,5,74,10.0777
1968,5,2,1,54,10.2117
1968,5,2,2,38,6.9231
1968,5,2,3,30,5.6361
1968,5,2,4,36,3.7054
1968,5,2,5,35,7.7459
1968,5,3,1,59,4.2274
1968,5,3,2,88,0.3611
1968,5,3,3,90,2.5883
1968,5,3,4,75,0.2298
1968,5,3,5,80,2.2942
1968,6,1,1,95,0.7983
1968,6,1,2,43,0.3527
1968,6,1,3,42,0.8852
1968,6,1,4,52,1.8464
1968,6,1,5,74,-1.1988
1968,6,2,1,54,-1.6209
1968,6,2,2,38,1.2985
1968,6,2,3,30,1.3069
1968,6,2,4,35,1.5715
1968,6,2,5,35,-1.3076
1968,6,3,1,59,-1.1613
1968,6,3,2,88,1.3870
1968,6,3,3,90,0.5301
1968,6,3,4,75,1.9011
1968,6,3,5,80,-1.1780
1968,7,1,1,128,-4.3673
1968,7,1,2,86,-1.8292
1968,7,1,3,60,-0.7194
1968,7,1,4,70,-5.9086
1968,7,1,5,99,-3.3337
1968,7,2,1,54,-3.8243
1968,7,2,2,35,-0.7052
1968,7,2,3,34,-1.6251
1968,7,2,4,51,-3.1164
1968,7,2,5,52,-7.1863
1968,7,3,1,69,-3.9133
1968,7,3,2,86,-3.0238
1968,7,3,3,96,1.4280
1968,7,3,4,75,-1.3564
1968,7,3,5,81,-7.3058
1968,8,1,1,128,3.1669
1968,8,1,2,86,6.3776
1968,8,1,3,60,8.0062
1968,8,1,4,70,3.8037
1968,8,1,5,99,2.7424
1968,8,2,1,54,5.2862
1968,8,2,2,35,7.2800
1968,8,2,3,34,4.2065
1968,8,2,4,51,4.4811
1968,8,2,5,52,2.6746
1968,8,3,1,69,0.9655
1968,8,3,2,86,2.4685
1968,8,3,3,95,1.5486
1968,8,3,4,75,2.4099
1968,8,3,5,81,1.3532
1968,9,1,1,128,8.5071
1968,9,1,2,86,6.0193
1968,9,1,3,60,8.2000
1968,9,1,4,70,6.5213
1968,9,1,5,99,6.9906
1968,9,2,1,54,6.4356
1968,9,2,2,35,10.0365
1968,9,2,3,34,6.5998
1968,9,2,4,51,6.2180
1968,9,2,5,52,7.7057
1968,9,3,1,69,3.2644
1968,9,3,2,86,5.4063
1968,9,3,3,95,3.2852
1968,9,3,4,75,5.7264
1968,9,3,5,81,4.6051
1968,10,1,1,128,0.0252
1968,10,1,2,86,-0.4090
1968,10,1,3,60,-0.6368
1968,10,1,4,70,-0.4943
1968,10,1,5,99,0.7254
1968,10,2,1,53,1.2693
1968,10,2,2,35,1.0430
1968,10,2,3,34,1.5960
1968,10,2,4,51,1.5965
1968,10,2,5,52,0.1834
1968,10,3,1,69,-0.4849
1968,10,3,2,86,2.3162
1968,10,3,3,95,2.0195
1968,10,3,4,75,0.1512
1968,10,3,5,81,0.2546
1968,11,1,1,128,8.8878
1968,11,1,2,86,7.0804
1968,11,1,3,60,6.2183
1968,11,1,4,70,6.2691
1968,11,1,5,99,6.8307
1968,11,2,1,54,6.8365
1968,11,2,2,35,7.6538
1968,11,2,3,34,7.7835
1968,11,2,4,51,10.6322
1968,11,2,5,52,8.2898
1968,11,3,1,69,4.3360
1968,11,3,2,86,6.0255
1968,11,3,3,95,5.4103
1968,11,3,4,75,4.9566
1968,11,3,5,81,7.9314
1968,12,1,1,128,2.9616
1968,12,1,2,86,2.7756
1968,12,1,3,60,0.6480
1968,12,1,4,70,1.8886
1968,12,1,5,99,0.9779
1968,12,2,1,54,-0.9654
1968,12,2,2,35,-0.2667
1968,12,2,3,34,-1.4221
1968,12,2,4,51,-0.1587
1968,12,2,5,52,-2.8100
1968,12,3,1,69,-5.1725
1968,12,3,2,86,-3.5292
1968,12,3,3,95,-3.5171
1968,12,3,4,75,-4.6514
1968,12,3,5,81,-2.7125
1969,1,1,1,128,-1.2600
1969,1,1,2,86,-3.1233
1969,1,1,3,60,-1.9372
1969,1,1,4,70,0.0903
1969,1,1,5,99,-0.2215
1969,1,2,1,54,-2.0367
1969,1,2,2,35,-4.2967
1969,1,2,3,34,-1.1311
1969,1,2,4,51,0.4787
1969,1,2,5,52,-1.5350
1969,1,3,1,69,-2.6014
1969,1,3,2,86,-1.0133
1969,1,3,3,95,0.1516
1969,1,3,4,75,-0.5133
1969,1,3,5,81,-2.2814
1969,2,1,1,127,-10.2461
1969,2,1,2,86,-8.7978
1969,2,1,3,60,-10.2745
1969,2,1,4,70,-11.6802
1969,2,1,5,99,-10.0082
1969,2,2,1,54,-6.9441
1969,2,2,2,35,-8.4249
1969,2,2,3,34,-9.1751
1969,2,2,4,51,-9.0119
1969,2,2,5,52,-8.8491
1969,2,3,1,69,-2.9071
1969,2,3,2,86,-5.2375
1969,2,3,3,95,-4.7192
1969,2,3,4,75,-4.1876
1969,2,3,5,81,-7.3975
1969,3,1,1,127,3.0044
1969,3,1,2,86,4.5476
1969,3,1,3,60,2.4212
1969,3,1,4,70,1.0617
1969,3,1,5,99,3.6101
1969,3,2,1,54,4.3070
1969,3,2,2,35,5.2794
1969,3,2,3,34,5.9031
1969,3,2,4,51,0.6581
1969,3,2,5,52,1.9384
1969,3,3,1,69,4.8616
1969,3,3,2,86,3.5908
1969,3,3,3,95,3.2025
1969,3,3,4,75,4.7548
1969,3,3,5,81,1.6286
1969,4,1,1,127,-0.5594
1969,4,1,2,86,-0.8803
1969,4,1,3,60,-0.0870
1969,4,1,4,70,0.5828
1969,4,1,5,99,-0.1999
1969,4,2,1,54,1.7906
1969,4,2,2,35,2.6196
1969,4,2,3,34,3.7897
1969,4,2,4,50,2.3823
1969,4,2,5,52,-0.1330
1969,4,3,1,69,2.3739
1969,4,3,2,86,1.5394
1969,4,3,3,95,2.8596
1969,4,3,4,75,2.6032
1969,4,3,5,81,2.8025
1969,5,1,1,126,-0.3870
1969,5,1,2,86,2.1309
1969,5,1,3,60,3.4488
1969,5,1,4,69,-1.0642
1969,5,1,5,99,1.4938
1969,5,2,1,54,-0.1764
1969,5,2,2,35,0.9005
1969,5,2,3,33,2.0949
1969,5,2,4,51,0.0942
1969,5,2,5,52,-0.8282
1969,5,3,1,68,-0.2889
1969,5,3,2,86,0.7568
1969,5,3,3,95,1.3535
1969,5,3,4,75,1.0232
1969,5,3,5,80,-1.6923
1969,6,1,1,127,-13.3985
1969,6,1,2,86,-12.0066
1969,6,1,3,60,-14.6699
1969,6,1,4,69,-12.8330
1969,6,1,5,99,-14.4696
1969,6,2,1,54,-9.8323
1969,6,2,2,35,-11.0400
1969,6,2,3,34,-9.3894
1969,6,2,4,51,-10.3507
1969,6,2,5,52,-11.9389
1969,6,3,1,68,-1.9291
1969,6,3,2,85,-7.0637
1969,6,3,3,95,-6.6027
1969,6,3,4,75,-7.5913
1969,6,3,5,81,-6.5032
1969,7,1,1,146,-10.3453
1969,7,1,2,59,-9.8167
1969,7,1,3,65,-10.5444
1969,7,1,4,83,-11.6192
1969,7,1,5,140,-12.7521
1969,7,2,1,46,-8.6436
1969,7,2,2,46,-10.2973
1969,7,2,3,36,-7.0541
1969,7,2,4,61,-9.2389
1969,7,2,5,67,-11.4794
1969,7,3,1,86,-5.2416
1969,7,3,2,97,-5.7494
1969,7,3,3,101,-6.6640
1969,7,3,4,79,-7.0100
1969,7,3,5,65,-7.9246
1969,8,1,1,146,3.7025
1969,8,1,2,58,4.1809
1969,8,1,3,65,4.9642
1969,8,1,4,83,4.2945
1969,8,1,5,140,3.4402
1969,8,2,1,46,5.7960
1969,8,2,2,46,6.7224
1969,8,2,3,36,5.0035
1969,8,2,4,61,7.3832
1969,8,2,5,67,7.3293
1969,8,3,1,86,4.9265
1969,8,3,2,97,4.7416
1969,8,3,3,101,6.2982
1969,8,3,4,79,4.9741
1969,8,3,5,65,6.7273
1969,9,1,1,146,-3.5555
1969,9,1,2,59,-3.9078
1969,9,1,3,65,-2.5982
1969,9,1,4,83,-2.7652
1969,9,1,5,140,-4.2900
1969,9,2,1,46,1.2303
1969,9,2,2,46,2.1186
1969,9,2,3,36,0.5803
1969,9,2,4,61,-2.4385
1969,9,2,5,67,-0.7645
1969,9,3,1,86,-0.2251
1969,9,3,2,97,-2.1030
1969,9,3,3,101,-4.2514
1969,9,3,4,79,-4.3004
1969,9,3,5,65,-2.3680
1969,10,1,1,146,12.7427
1969,10,1,2,59,10.4700
1969,10,1,3,65,9.0482
1969,10,1,4,83,10.6728
1969,10,1,5,140,10.0513
