year,month,rank_ME,rank_IG2,nstocks,ret_vw
1967,12,2,1,44,5.2593
1967,12,2,2,40,5.2802
1967,12,2,3,22,4.6963
1967,12,2,4,32,4.5234
1967,12,2,5,41,5.8080
1967,12,3,1,70,5.1478
1967,12,3,2,81,2.6393
1967,12,3,3,93,2.7258
1967,12,3,4,89,2.1441
1967,12,3,5,80,1.2419
1968,1,1,1,68,5.7853
1968,1,1,2,28,-0.4397
1968,1,1,3,36,2.9700
1968,1,1,4,27,-4.6006
1968,1,1,5,53,0.4425
1968,1,2,1,44,1.5515
1968,1,2,2,40,1.0386
1968,1,2,3,22,0.5025
1968,1,2,4,32,0.6899
1968,1,2,5,41,-2.2488
1968,1,3,1,70,-4.2205
1968,1,3,2,81,-3.0388
1968,1,3,3,93,-3.8595
1968,1,3,4,89,-6.5703
1968,1,3,5,80,-7.2351
1968,2,1,1,67,-5.0505
1968,2,1,2,28,-3.6683
1968,2,1,3,36,-5.0316
1968,2,1,4,27,-4.9914
1968,2,1,5,52,-4.9816
1968,2,2,1,44,-3.5244
1968,2,2,2,38,-3.5583
1968,2,2,3,22,-5.1257
1968,2,2,4,32,-3.5943
1968,2,2,5,41,-4.3494
1968,2,3,1,70,-3.7386
1968,2,3,2,81,-2.5258
1968,2,3,3,93,-3.6203
1968,2,3,4,89,-2.8748
1968,2,3,5,79,-3.8944
1968,3,1,1,68,-1.1495
1968,3,1,2,28,-0.5709
1968,3,1,3,36,0.3576
1968,3,1,4,27,0.4518
1968,3,1,5,52,1.3469
1968,3,2,1,44,0.7311
1968,3,2,2,38,-0.5390
1968,3,2,3,22,1.6742
1968,3,2,4,32,-2.6473
1968,3,2,5,41,-3.6251
1968,3,3,1,70,0.9841
1968,3,3,2,81,0.1999
1968,3,3,3,93,0.6654
1968,3,3,4,89,3.5418
1968,3,3,5,79,0.8270
1968,4,1,1,68,17.9079
1968,4,1,2,28,14.5106
1968,4,1,3,35,13.2331
1968,4,1,4,27,18.3910
1968,4,1,5,52,14.5313
1968,4,2,1,44,12.9237
1968,4,2,2,38,13.6089
1968,4,2,3,22,14.0236
1968,4,2,4,32,13.0749
1968,4,2,5,41,13.6370
1968,4,3,1,70,10.7430
1968,4,3,2,81,6.0736
1968,4,3,3,93,10.1648
1968,4,3,4,89,10.9116
1968,4,3,5,79,11.3681
1968,5,1,1,68,9.2608
1968,5,1,2,28,7.9187
1968,5,1,3,35,6.7934
1968,5,1,4,27,10.4677
1968,5,1,5,52,8.9927
1968,5,2,1,44,7.0661
1968,5,2,2,38,5.1435
1968,5,2,3,22,8.5927
1968,5,2,4,32,5.1661
1968,5,2,5,41,8.1626
1968,5,3,1,70,2.9350
1968,5,3,2,81,0.3964
1968,5,3,3,92,1.6018
1968,5,3,4,89,3.5133
1968,5,3,5,79,0.9292
1968,6,1,1,68,1.2506
1968,6,1,2,28,1.5146
1968,6,1,3,35,2.2129
1968,6,1,4,27,2.4327
1968,6,1,5,52,-0.9830
1968,6,2,1,44,1.5879
1968,6,2,2,38,-0.0206
1968,6,2,3,22,-0.4502
1968,6,2,4,32,2.1037
1968,6,2,5,40,0.5577
1968,6,3,1,70,-0.7207
1968,6,3,2,81,1.3173
1968,6,3,3,92,0.6246
1968,6,3,4,89,-0.4771
1968,6,3,5,79,0.2384
1968,7,1,1,77,-0.0608
1968,7,1,2,53,-2.9553
1968,7,1,3,33,-4.1047
1968,7,1,4,44,-4.0723
1968,7,1,5,61,-3.4839
1968,7,2,1,46,-1.8645
1968,7,2,2,46,-4.1462
1968,7,2,3,38,-4.6753
1968,7,2,4,38,-5.8891
1968,7,2,5,37,-4.9612
1968,7,3,1,57,-1.8134
1968,7,3,2,77,-0.8667
1968,7,3,3,100,-2.7808
1968,7,3,4,93,-0.8895
1968,7,3,5,88,-5.7028
1968,8,1,1,77,5.2284
1968,8,1,2,53,4.0684
1968,8,1,3,33,6.2890
1968,8,1,4,44,3.9083
1968,8,1,5,61,2.3917
1968,8,2,1,45,5.2435
1968,8,2,2,46,3.6161
1968,8,2,3,38,2.5231
1968,8,2,4,38,5.3306
1968,8,2,5,37,5.6404
1968,8,3,1,57,1.9060
1968,8,3,2,77,2.0914
1968,8,3,3,99,1.1680
1968,8,3,4,93,1.9497
1968,8,3,5,88,1.2736
1968,9,1,1,77,5.4372
1968,9,1,2,53,6.4107
1968,9,1,3,33,9.3605
1968,9,1,4,44,6.8913
1968,9,1,5,61,7.4883
1968,9,2,1,45,6.7395
1968,9,2,2,46,7.6789
1968,9,2,3,38,6.1470
1968,9,2,4,38,6.4114
1968,9,2,5,37,6.7893
1968,9,3,1,57,5.6534
1968,9,3,2,77,4.9415
1968,9,3,3,99,3.2125
1968,9,3,4,93,3.7358
1968,9,3,5,88,5.2840
1968,10,1,1,77,-0.3159
