year,month,rank_ME,rank_dCOA,nstocks,ret_vw
1967,12,2,1,56,7.2477
1967,12,2,2,45,6.6857
1967,12,2,3,38,7.3109
1967,12,2,4,47,4.3946
1967,12,2,5,60,7.3819
1967,12,3,1,65,1.3323
1967,12,3,2,98,3.9875
1967,12,3,3,95,3.2634
1967,12,3,4,92,1.5081
1967,12,3,5,90,0.8426
1968,1,1,1,132,4.4528
1968,1,1,2,50,5.6867
1968,1,1,3,56,1.5070
1968,1,1,4,65,4.1233
1968,1,1,5,105,0.4868
1968,1,2,1,56,2.1152
1968,1,2,2,45,1.6990
1968,1,2,3,38,0.4320
1968,1,2,4,47,-2.6425
1968,1,2,5,60,-4.2799
1968,1,3,1,65,1.1351
1968,1,3,2,98,-3.1268
1968,1,3,3,95,-5.3456
1968,1,3,4,92,-6.6649
1968,1,3,5,90,-10.4025
1968,2,1,1,131,-6.3486
1968,2,1,2,50,-0.6086
1968,2,1,3,55,-4.7681
1968,2,1,4,65,-7.4392
1968,2,1,5,105,-8.6614
1968,2,2,1,54,-2.8845
1968,2,2,2,45,-0.8228
1968,2,2,3,38,-6.5867
1968,2,2,4,47,-5.8704
1968,2,2,5,60,-8.0972
1968,2,3,1,65,-1.6328
1968,2,3,2,98,-2.7826
1968,2,3,3,95,-3.4596
1968,2,3,4,91,-3.1452
1968,2,3,5,90,-5.0131
1968,3,1,1,132,-0.8009
1968,3,1,2,50,0.1500
1968,3,1,3,55,1.0263
1968,3,1,4,65,-0.3004
1968,3,1,5,105,-2.7577
1968,3,2,1,54,-1.9907
1968,3,2,2,45,-0.5129
1968,3,2,3,38,-1.5742
1968,3,2,4,47,-0.1890
1968,3,2,5,60,-1.9745
1968,3,3,1,65,-0.4979
1968,3,3,2,98,0.3395
1968,3,3,3,95,2.4759
1968,3,3,4,91,0.9618
1968,3,3,5,90,3.2790
1968,4,1,1,131,17.2926
1968,4,1,2,50,13.7886
1968,4,1,3,55,16.8489
