year,month,rank_ME,rank_dPIA,nstocks,ret_vw
1967,12,2,1,65,6.0472
1967,12,2,2,43,5.6824
1967,12,2,3,37,5.2940
1967,12,2,4,33,6.9622
1967,12,2,5,66,7.8472
1967,12,3,1,47,4.7916
1967,12,3,2,98,2.1110
1967,12,3,3,99,3.5253
1967,12,3,4,102,2.3708
1967,12,3,5,94,2.2716
1968,1,1,1,139,2.7576
1968,1,1,2,67,3.7604
1968,1,1,3,62,3.1907
1968,1,1,4,67,2.3454
1968,1,1,5,68,3.0410
1968,1,2,1,65,3.1712
1968,1,2,2,43,0.1037
1968,1,2,3,37,-1.2986
1968,1,2,4,33,-2.3945
1968,1,2,5,66,-4.1453
1968,1,3,1,47,-0.7235
1968,1,3,2,98,-0.9084
1968,1,3,3,99,-6.0854
1968,1,3,4,102,-6.3084
1968,1,3,5,94,-7.6183
1968,2,1,1,138,-6.2245
1968,2,1,2,67,-5.7081
1968,2,1,3,62,-7.1496
1968,2,1,4,66,-7.6093
1968,2,1,5,68,-4.5690
1968,2,2,1,63,-3.4065
1968,2,2,2,43,-6.0640
1968,2,2,3,37,-0.7390
1968,2,2,4,33,-5.8127
1968,2,2,5,66,-7.1295
1968,2,3,1,47,-3.3656
1968,2,3,2,98,-2.1962
1968,2,3,3,99,-3.5089
1968,2,3,4,102,-3.3311
1968,2,3,5,93,-3.8386
1968,3,1,1,139,-1.5048
1968,3,1,2,67,0.9161
1968,3,1,3,62,-0.4075
1968,3,1,4,66,-0.2978
1968,3,1,5,68,-2.2696
1968,3,2,1,63,-0.2768
1968,3,2,2,43,-1.5310
1968,3,2,3,37,-1.7266
1968,3,2,4,33,-1.9590
1968,3,2,5,66,-1.5020
1968,3,3,1,47,0.6869
1968,3,3,2,98,0.6308
1968,3,3,3,99,0.4760
1968,3,3,4,102,1.4710
1968,3,3,5,93,2.5014
1968,4,1,1,138,17.5709
1968,4,1,2,67,13.1784
1968,4,1,3,62,18.2741
1968,4,1,4,66,18.2863
1968,4,1,5,68,18.4788
1968,4,2,1,63,13.7558
1968,4,2,2,43,11.5107
1968,4,2,3,37,12.3811
1968,4,2,4,33,14.1422
1968,4,2,5,66,16.4337
1968,4,3,1,47,8.8923
1968,4,3,2,98,6.4782
1968,4,3,3,99,8.9312
1968,4,3,4,102,11.3929
1968,4,3,5,93,11.0903
1968,5,1,1,138,13.2575
1968,5,1,2,67,8.9463
1968,5,1,3,62,9.1229
1968,5,1,4,66,10.0254
1968,5,1,5,68,13.3077
1968,5,2,1,63,6.9754
1968,5,2,2,43,6.8170
1968,5,2,3,37,6.8616
1968,5,2,4,33,7.9700
1968,5,2,5,66,8.9795
1968,5,3,1,47,3.1059
1968,5,3,2,98,-0.0274
1968,5,3,3,99,3.2023
1968,5,3,4,101,0.3252
1968,5,3,5,93,4.0536
1968,6,1,1,138,-0.8704
1968,6,1,2,67,2.3229
1968,6,1,3,62,1.4249
1968,6,1,4,66,0.9620
1968,6,1,5,68,-1.1575
1968,6,2,1,63,1.9982
1968,6,2,2,43,-1.0865
1968,6,2,3,36,0.5753
1968,6,2,4,33,-0.0138
1968,6,2,5,66,-1.6058
1968,6,3,1,47,1.4720
1968,6,3,2,98,1.2949
1968,6,3,3,99,1.4471
1968,6,3,4,101,0.2000
1968,6,3,5,93,-1.3389
1968,7,1,1,228,-1.8128
1968,7,1,2,101,-3.3575
1968,7,1,3,80,-3.8933
1968,7,1,4,88,-4.9947
1968,7,1,5,90,-4.5507
1968,7,2,1,58,-2.6544
1968,7,2,2,55,-1.2437
1968,7,2,3,45,-3.4800
1968,7,2,4,61,-6.1012
1968,7,2,5,58,-7.4047
1968,7,3,1,47,-2.7377
1968,7,3,2,96,-2.6662
1968,7,3,3,106,0.4921
1968,7,3,4,93,-2.6179
1968,7,3,5,104,-5.5791
1968,8,1,1,228,5.8513
1968,8,1,2,101,5.6385
1968,8,1,3,80,5.8664
1968,8,1,4,88,2.4049
1968,8,1,5,90,2.1384
1968,8,2,1,58,5.6767
1968,8,2,2,54,5.1978
1968,8,2,3,45,2.7742
1968,8,2,4,61,4.5782
1968,8,2,5,58,3.8692
1968,8,3,1,46,1.7369
1968,8,3,2,96,1.4712
1968,8,3,3,106,1.6710
1968,8,3,4,93,0.7264
1968,8,3,5,104,2.7136
1968,9,1,1,227,7.9646
1968,9,1,2,101,6.9382
1968,9,1,3,80,5.9124
1968,9,1,4,88,8.9544
1968,9,1,5,90,7.0113
1968,9,2,1,58,6.1423
1968,9,2,2,54,7.6420
1968,9,2,3,45,7.6568
1968,9,2,4,61,7.7521
1968,9,2,5,58,6.5635
1968,9,3,1,46,6.1093
1968,9,3,2,96,6.4249
1968,9,3,3,106,3.4047
