year,month,rank_ME,rank_PDA,nstocks,ret_vw
1967,12,2,1,58,8.4632
1967,12,2,2,35,8.1873
1967,12,2,3,27,3.6062
1967,12,2,4,37,3.7991
1967,12,2,5,37,8.0465
1967,12,3,1,50,2.3991
1967,12,3,2,96,2.0292
1967,12,3,3,96,4.1827
1967,12,3,4,79,2.3198
1967,12,3,5,72,1.5108
1968,1,1,1,106,4.1561
1968,1,1,2,34,0.0214
1968,1,1,3,36,6.9719
1968,1,1,4,44,0.5664
1968,1,1,5,86,1.8134
1968,1,2,1,58,-0.7905
1968,1,2,2,35,-1.5242
1968,1,2,3,27,-0.0650
1968,1,2,4,37,1.2340
1968,1,2,5,37,-1.0720
1968,1,3,1,50,-5.6419
1968,1,3,2,96,-4.6350
1968,1,3,3,96,-5.1192
1968,1,3,4,79,-2.4264
1968,1,3,5,72,-7.9336
1968,2,1,1,106,-6.6087
1968,2,1,2,34,-4.5065
1968,2,1,3,35,-7.4505
1968,2,1,4,44,-2.0275
1968,2,1,5,86,-6.7360
1968,2,2,1,58,-4.6024
1968,2,2,2,34,-6.3886
1968,2,2,3,27,-3.8481
1968,2,2,4,37,-2.4071
1968,2,2,5,37,-3.2708
1968,2,3,1,50,-2.6920
1968,2,3,2,95,-2.7567
1968,2,3,3,96,-3.4324
1968,2,3,4,79,-3.3639
1968,2,3,5,72,-4.3461
1968,3,1,1,106,-0.9008
1968,3,1,2,34,-1.0616
1968,3,1,3,36,-1.0027
1968,3,1,4,44,0.1018
1968,3,1,5,86,-1.2394
1968,3,2,1,58,-2.0566
1968,3,2,2,34,-2.2740
1968,3,2,3,27,-1.8534
1968,3,2,4,37,-3.3184
1968,3,2,5,37,0.2915
1968,3,3,1,50,3.5278
1968,3,3,2,95,0.8398
1968,3,3,3,96,-0.4437
1968,3,3,4,79,1.0347
1968,3,3,5,72,1.1323
1968,4,1,1,106,18.2330
1968,4,1,2,34,18.1944
1968,4,1,3,36,18.2534
1968,4,1,4,44,13.1838
1968,4,1,5,86,18.7977
1968,4,2,1,58,15.0198
1968,4,2,2,34,15.5562
1968,4,2,3,27,9.6212
1968,4,2,4,37,9.6696
1968,4,2,5,37,16.1589
1968,4,3,1,50,10.3924
1968,4,3,2,95,7.7665
1968,4,3,3,96,9.7282
1968,4,3,4,79,7.7381
1968,4,3,5,72,13.2603
1968,5,1,1,106,12.6870
1968,5,1,2,34,12.2296
1968,5,1,3,36,7.5284
1968,5,1,4,44,7.9746
1968,5,1,5,86,10.8185
1968,5,2,1,58,9.6171
1968,5,2,2,34,8.1269
1968,5,2,3,27,5.6500
1968,5,2,4,37,2.7297
1968,5,2,5,37,7.7875
1968,5,3,1,50,3.4832
1968,5,3,2,95,0.8798
1968,5,3,3,96,2.6170
1968,5,3,4,79,0.1804
1968,5,3,5,72,2.7318
1968,6,1,1,106,0.7258
1968,6,1,2,34,-0.1038
1968,6,1,3,36,1.9879
1968,6,1,4,44,-0.0188
1968,6,1,5,86,-0.3485
1968,6,2,1,58,-0.2467
1968,6,2,2,34,-1.1631
1968,6,2,3,27,0.9557
1968,6,2,4,36,0.9813
1968,6,2,5,37,-0.1744
1968,6,3,1,50,-0.4246
1968,6,3,2,95,0.8128
1968,6,3,3,96,0.5953
1968,6,3,4,79,1.6542
1968,6,3,5,72,-1.2937
1968,7,1,1,146,-3.5023
1968,7,1,2,71,-2.8778
1968,7,1,3,54,-2.6020
1968,7,1,4,60,-3.8427
1968,7,1,5,112,-3.7569
1968,7,2,1,45,-2.8304
