year,month,rank_ME,rank_IA,nstocks,ret_vw
1967,12,2,1,58,5.2338
1967,12,2,2,53,7.0072
1967,12,2,3,48,3.2936
1967,12,2,4,38,8.0854
1967,12,2,5,67,8.0371
1967,12,3,1,75,2.9682
1967,12,3,2,109,2.9243
1967,12,3,3,110,1.8367
1967,12,3,4,118,3.0340
1967,12,3,5,106,2.5092
1968,1,1,1,139,2.7447
1968,1,1,2,58,3.2440
1968,1,1,3,52,5.6589
1968,1,1,4,73,2.6883
1968,1,1,5,94,2.1005
1968,1,2,1,58,4.0741
1968,1,2,2,53,1.3600
1968,1,2,3,48,-1.1423
1968,1,2,4,38,-3.6830
1968,1,2,5,67,-3.2390
1968,1,3,1,75,-2.5222
1968,1,3,2,109,0.1227
1968,1,3,3,110,-4.3931
1968,1,3,4,118,-5.2146
1968,1,3,5,106,-8.8296
1968,2,1,1,139,-4.5665
1968,2,1,2,58,-6.2630
1968,2,1,3,51,-4.1085
1968,2,1,4,72,-6.4019
1968,2,1,5,94,-8.8439
1968,2,2,1,56,-2.3108
1968,2,2,2,53,-4.2105
1968,2,2,3,48,-3.2100
1968,2,2,4,38,-6.2362
1968,2,2,5,67,-6.6576
1968,2,3,1,75,-1.5209
1968,2,3,2,109,-2.4978
1968,2,3,3,110,-2.8865
1968,2,3,4,118,-3.7103
1968,2,3,5,105,-3.8648
1968,3,1,1,139,-1.2099
1968,3,1,2,58,0.4930
1968,3,1,3,52,-1.5033
1968,3,1,4,72,-0.7251
1968,3,1,5,94,-1.2526
1968,3,2,1,56,-0.8871
1968,3,2,2,53,-0.5709
1968,3,2,3,48,-1.2975
1968,3,2,4,38,-2.4425
1968,3,2,5,67,-1.9104
1968,3,3,1,75,-1.3979
1968,3,3,2,109,-0.4315
1968,3,3,3,110,0.8503
1968,3,3,4,118,0.3305
1968,3,3,5,105,3.8016
1968,4,1,1,138,15.6046
1968,4,1,2,58,15.8280
1968,4,1,3,52,16.6396
1968,4,1,4,72,17.0458
1968,4,1,5,94,19.0249
1968,4,2,1,56,11.7341
1968,4,2,2,53,11.2185
1968,4,2,3,48,11.3168
1968,4,2,4,38,14.8540
1968,4,2,5,67,15.7984
1968,4,3,1,75,7.8729
1968,4,3,2,109,4.7350
1968,4,3,3,110,7.9693
1968,4,3,4,118,11.0405
1968,4,3,5,105,11.4783
