year,month,rank_ME,rank_EP,nstocks,ret_vw
1967,12,2,1,51,13.4369
1967,12,2,2,42,4.8755
1967,12,2,3,57,3.8264
1967,12,2,4,84,5.2442
1967,12,2,5,69,5.5162
1967,12,3,1,159,1.8185
1967,12,3,2,140,2.3140
1967,12,3,3,112,3.6578
1967,12,3,4,69,6.8198
1967,12,3,5,53,2.7898
1968,1,1,1,104,1.3854
1968,1,1,2,63,2.2784
1968,1,1,3,75,4.1552
1968,1,1,4,116,0.6559
1968,1,1,5,206,3.7848
1968,1,2,1,51,-6.8804
1968,1,2,2,42,-0.8495
1968,1,2,3,57,0.2131
1968,1,2,4,84,1.4167
1968,1,2,5,69,0.6274
1968,1,3,1,159,-7.4512
1968,1,3,2,140,-1.5707
1968,1,3,3,112,-2.9111
1968,1,3,4,69,-2.8683
1968,1,3,5,53,-2.1397
1968,2,1,1,104,-9.4013
1968,2,1,2,63,-9.0438
1968,2,1,3,75,-6.4914
1968,2,1,4,116,-6.2023
1968,2,1,5,204,-5.3171
1968,2,2,1,51,-6.5695
1968,2,2,2,42,-6.5829
1968,2,2,3,57,-3.6785
1968,2,2,4,83,-4.0091
1968,2,2,5,68,-4.0290
1968,2,3,1,159,-3.3107
1968,2,3,2,139,-2.6569
1968,2,3,3,112,-2.3033
1968,2,3,4,69,-4.2271
1968,2,3,5,53,-3.7662
1968,3,1,1,104,-0.7164
1968,3,1,2,63,-2.4948
1968,3,1,3,75,-0.9708
1968,3,1,4,116,-0.0797
1968,3,1,5,205,-0.3668
1968,3,2,1,51,-2.8224
1968,3,2,2,42,-0.0694
1968,3,2,3,57,-2.2168
1968,3,2,4,83,-0.4301
1968,3,2,5,68,-1.1018
1968,3,3,1,159,2.8468
1968,3,3,2,139,-1.3196
1968,3,3,3,112,-0.4611
1968,3,3,4,69,0.2370
1968,3,3,5,53,1.4255
1968,4,1,1,104,21.9995
1968,4,1,2,63,14.9651
1968,4,1,3,75,16.7498
1968,4,1,4,116,15.5837
1968,4,1,5,204,17.2388
1968,4,2,1,51,16.9906
1968,4,2,2,42,16.4244
1968,4,2,3,57,11.7418
1968,4,2,4,83,12.4370
1968,4,2,5,68,11.3563
1968,4,3,1,159,11.0499
1968,4,3,2,139,6.0339
1968,4,3,3,112,6.7729
1968,4,3,4,69,8.8620
1968,4,3,5,53,11.3621
1968,5,1,1,104,12.0505
1968,5,1,2,63,7.9366
1968,5,1,3,75,13.7463
1968,5,1,4,116,10.5701
1968,5,1,5,204,11.6847
1968,5,2,1,51,9.6686
1968,5,2,2,42,10.4315
1968,5,2,3,57,4.5272
1968,5,2,4,83,7.0776
1968,5,2,5,68,7.6624
1968,5,3,1,159,2.8823
1968,5,3,2,138,0.5709
1968,5,3,3,112,0.0902
1968,5,3,4,69,2.5339
1968,5,3,5,53,3.1750
1968,6,1,1,104,0.3104
1968,6,1,2,63,1.8734
1968,6,1,3,75,1.1143
1968,6,1,4,116,0.0419
1968,6,1,5,204,0.4462
1968,6,2,1,51,-3.1724
1968,6,2,2,42,0.5571
1968,6,2,3,57,1.2555
1968,6,2,4,82,-0.1874
1968,6,2,5,68,1.5282
1968,6,3,1,159,-0.4490
1968,6,3,2,138,2.3216
1968,6,3,3,112,2.2981
1968,6,3,4,69,3.2136
1968,6,3,5,53,-1.9985
1968,7,1,1,183,-4.8412
1968,7,1,2,91,-4.2200
1968,7,1,3,97,-3.4639
1968,7,1,4,73,-4.1185
1968,7,1,5,144,-2.1135
1968,7,2,1,89,-5.6254
1968,7,2,2,58,-5.8153
1968,7,2,3,50,-2.4387
1968,7,2,4,62,-2.2336
1968,7,2,5,69,-1.8265
1968,7,3,1,128,-5.4934
1968,7,3,2,113,-3.2884
1968,7,3,3,113,-1.2551
1968,7,3,4,102,2.2635
1968,7,3,5,74,1.0748
1968,8,1,1,183,5.4663
1968,8,1,2,91,4.8151
1968,8,1,3,97,3.1786
1968,8,1,4,73,4.9094
1968,8,1,5,144,4.0714
1968,8,2,1,89,3.2477
1968,8,2,2,58,3.0555
1968,8,2,3,50,3.9687
1968,8,2,4,61,3.4229
1968,8,2,5,69,4.8052
1968,8,3,1,127,0.7074
1968,8,3,2,113,2.5704
1968,8,3,3,113,1.6864
1968,8,3,4,102,1.6002
1968,8,3,5,74,0.4294
1968,9,1,1,183,8.2250
1968,9,1,2,91,7.7441
1968,9,1,3,97,8.2932
1968,9,1,4,73,5.2991
1968,9,1,5,144,6.7147
1968,9,2,1,89,9.1899
1968,9,2,2,58,6.9452
1968,9,2,3,50,6.3019
1968,9,2,4,61,6.1556
1968,9,2,5,69,4.5382
1968,9,3,1,127,2.4683
1968,9,3,2,113,4.6413
1968,9,3,3,113,5.1038
1968,9,3,4,102,3.3304
1968,9,3,5,74,6.3630
1968,10,1,1,183,-1.7092
1968,10,1,2,91,1.3195
1968,10,1,3,97,1.4616
1968,10,1,4,73,2.7622
1968,10,1,5,144,0.9106
1968,10,2,1,89,-1.5440
1968,10,2,2,58,0.6795
1968,10,2,3,50,-0.6184
1968,10,2,4,60,5.3766
1968,10,2,5,69,2.1488
1968,10,3,1,127,-2.0574
1968,10,3,2,113,0.5359
1968,10,3,3,113,2.9892
1968,10,3,4,102,2.7010
1968,10,3,5,73,1.1937
1968,11,1,1,183,6.9056
1968,11,1,2,91,8.9740
1968,11,1,3,96,8.7498
1968,11,1,4,73,5.7095
1968,11,1,5,144,6.1672
1968,11,2,1,89,9.6234
1968,11,2,2,58,8.2090
1968,11,2,3,50,8.0900
1968,11,2,4,61,6.0609
1968,11,2,5,69,7.6530
1968,11,3,1,127,6.3816
1968,11,3,2,113,5.4775
1968,11,3,3,113,3.8586
1968,11,3,4,102,5.3779
1968,11,3,5,73,7.4606
1968,12,1,1,183,2.3793
1968,12,1,2,91,1.9154
1968,12,1,3,97,-0.3340
1968,12,1,4,73,0.0163
1968,12,1,5,144,1.5009
1968,12,2,1,89,-1.3665
1968,12,2,2,58,-1.7022
1968,12,2,3,50,-0.2451
1968,12,2,4,61,-1.7422
1968,12,2,5,69,-1.3047
1968,12,3,1,127,-5.1910
1968,12,3,2,113,-4.3357
1968,12,3,3,113,-3.4561
1968,12,3,4,102,-4.0278
1968,12,3,5,73,-0.5388
1969,1,1,1,183,-2.0926
1969,1,1,2,91,-2.0692
1969,1,1,3,97,-2.6896
1969,1,1,4,73,-0.5241
1969,1,1,5,144,-1.5022
1969,1,2,1,89,-1.8886
1969,1,2,2,58,-1.0914
1969,1,2,3,50,-2.2378
1969,1,2,4,61,-1.6213
1969,1,2,5,69,0.6417
1969,1,3,1,127,-2.2701
1969,1,3,2,113,-0.6651
1969,1,3,3,113,-0.2880
1969,1,3,4,102,0.2048
1969,1,3,5,72,-0.2780
1969,2,1,1,183,-12.3221
1969,2,1,2,90,-9.7453
1969,2,1,3,97,-9.7279
1969,2,1,4,73,-7.5223
1969,2,1,5,144,-7.6958
1969,2,2,1,89,-10.2118
1969,2,2,2,58,-8.9062
1969,2,2,3,50,-7.5026
1969,2,2,4,61,-6.2866
1969,2,2,5,69,-6.3115
1969,2,3,1,127,-3.9400
1969,2,3,2,113,-5.4897
1969,2,3,3,113,-4.6236
1969,2,3,4,102,-3.7945
1969,2,3,5,72,-7.3436
1969,3,1,1,182,2.2117
1969,3,1,2,90,4.6628
