year,month,rank_ME,rank_DP,nstocks,ret_vw
1967,12,2,1,68,8.3727
1967,12,2,2,79,7.5353
1967,12,2,3,66,4.4666
1967,12,2,4,63,5.6415
1967,12,2,5,64,4.0574
1967,12,3,1,145,2.2388
1967,12,3,2,109,2.8207
1967,12,3,3,110,2.9667
1967,12,3,4,100,3.5547
1967,12,3,5,90,2.2441
1968,1,1,1,109,-0.6627
1968,1,1,2,98,2.3757
1968,1,1,3,79,4.7798
1968,1,1,4,73,1.8024
1968,1,1,5,125,7.2036
1968,1,2,1,68,-4.1555
1968,1,2,2,78,-1.7494
1968,1,2,3,66,-0.6375
1968,1,2,4,63,2.0976
1968,1,2,5,65,4.4313
1968,1,3,1,143,-8.4401
1968,1,3,2,109,-4.1620
1968,1,3,3,110,-1.8437
1968,1,3,4,99,-1.0240
1968,1,3,5,90,-0.3564
1968,2,1,1,105,-8.6026
1968,2,1,2,98,-5.4831
1968,2,1,3,76,-6.1285
1968,2,1,4,73,-1.2276
1968,2,1,5,122,-2.0034
1968,2,2,1,68,-7.2146
1968,2,2,2,78,-4.2466
1968,2,2,3,61,-2.5867
1968,2,2,4,60,-1.1330
1968,2,2,5,64,-0.9737
1968,2,3,1,143,-3.9351
1968,2,3,2,109,-3.8327
1968,2,3,3,109,-2.3490
1968,2,3,4,99,-1.9933
1968,2,3,5,89,-1.4968
1968,3,1,1,106,-0.7015
1968,3,1,2,98,-0.3045
1968,3,1,3,77,-0.9245
1968,3,1,4,73,0.1836
1968,3,1,5,124,-0.8544
1968,3,2,1,68,-2.0304
1968,3,2,2,77,-2.1651
1968,3,2,3,59,0.1723
1968,3,2,4,60,-0.9303
1968,3,2,5,64,-0.9813
1968,3,3,1,142,3.7079
1968,3,3,2,109,2.3165
1968,3,3,3,109,-1.8789
1968,3,3,4,98,-0.9833
1968,3,3,5,89,-0.7091
1968,4,1,1,105,20.4419
1968,4,1,2,97,18.7666
1968,4,1,3,76,13.0226
1968,4,1,4,73,13.2807
1968,4,1,5,124,12.5810
1968,4,2,1,68,18.4603
1968,4,2,2,77,14.0845
1968,4,2,3,59,10.6610
1968,4,2,4,60,9.0755
1968,4,2,5,64,9.1581
1968,4,3,1,142,12.0822
1968,4,3,2,109,10.4943
1968,4,3,3,109,5.3549
1968,4,3,4,98,6.4383
1968,4,3,5,89,6.1074
1968,5,1,1,105,8.6928
1968,5,1,2,97,16.1951
1968,5,1,3,76,8.2387
1968,5,1,4,72,8.8398
1968,5,1,5,123,8.9825
1968,5,2,1,68,9.7088
1968,5,2,2,77,7.5100
1968,5,2,3,59,5.5878
1968,5,2,4,59,5.3171
1968,5,2,5,64,3.6122
1968,5,3,1,142,4.1781
1968,5,3,2,106,1.1214
1968,5,3,3,109,0.3569
1968,5,3,4,97,1.0306
1968,5,3,5,89,0.2399
1968,6,1,1,104,0.2633
1968,6,1,2,96,-0.6968
1968,6,1,3,76,2.1394
1968,6,1,4,72,1.9641
1968,6,1,5,123,2.2834
1968,6,2,1,68,-1.4929
1968,6,2,2,77,0.4914
1968,6,2,3,58,1.7505
1968,6,2,4,56,1.6034
1968,6,2,5,63,3.3118
1968,6,3,1,142,-0.8298
1968,6,3,2,106,0.2235
1968,6,3,3,109,2.7477
1968,6,3,4,97,3.6333
1968,6,3,5,89,2.0151
1968,7,1,1,139,-3.9319
1968,7,1,2,115,-2.7991
1968,7,1,3,95,-4.7624
1968,7,1,4,81,-2.7387
1968,7,1,5,61,0.6868
1968,7,2,1,87,-5.0565
1968,7,2,2,67,-5.6934
1968,7,2,3,68,-1.5606
1968,7,2,4,57,-0.6503
1968,7,2,5,60,-0.0752
1968,7,3,1,124,-5.5106
1968,7,3,2,111,-3.7447
1968,7,3,3,93,-1.9745
1968,7,3,4,107,0.2869
1968,7,3,5,113,1.2430
1968,8,1,1,137,5.8870
1968,8,1,2,113,4.8837
1968,8,1,3,93,4.4703
1968,8,1,4,80,3.9056
1968,8,1,5,61,1.6528
1968,8,2,1,84,4.9771
1968,8,2,2,66,3.9422
1968,8,2,3,67,5.0356
1968,8,2,4,57,3.8684
1968,8,2,5,60,1.2382
1968,8,3,1,122,1.4448
1968,8,3,2,109,1.1244
1968,8,3,3,93,1.7911
1968,8,3,4,107,1.9096
1968,8,3,5,113,1.2943
1968,9,1,1,137,6.1189
1968,9,1,2,113,7.8611
1968,9,1,3,91,3.9161
1968,9,1,4,80,5.4222
1968,9,1,5,61,4.8106
1968,9,2,1,84,7.7514
1968,9,2,2,66,6.1989
1968,9,2,3,66,5.9940
1968,9,2,4,57,7.4244
1968,9,2,5,60,4.2578
1968,9,3,1,122,1.8039
1968,9,3,2,109,5.4589
1968,9,3,3,93,4.7664
1968,9,3,4,107,5.1971
1968,9,3,5,113,3.3520
1968,10,1,1,136,-0.3057
1968,10,1,2,113,1.4541
1968,10,1,3,90,2.9170
1968,10,1,4,79,1.9908
1968,10,1,5,61,3.4940
1968,10,2,1,83,0.1551
1968,10,2,2,66,2.5716
1968,10,2,3,65,1.9851
1968,10,2,4,56,1.9935
1968,10,2,5,60,2.9640
1968,10,3,1,121,-2.7788
1968,10,3,2,107,-0.2402
1968,10,3,3,93,2.0627
1968,10,3,4,106,2.3727
1968,10,3,5,113,3.4789
1968,11,1,1,135,8.4541
1968,11,1,2,110,7.3174
1968,11,1,3,89,5.9709
1968,11,1,4,78,5.2092
