year,month,rank_ME,rank_CPq_6,nstocks,ret_vw
1967,12,2,1,72,11.2122
1967,12,2,2,64,5.7675
1967,12,2,3,70,3.8974
1967,12,2,4,72,4.3187
1967,12,2,5,105,4.1977
1967,12,3,1,158,1.6864
1967,12,3,2,165,3.4603
1967,12,3,3,174,2.9632
1967,12,3,4,175,3.8868
1967,12,3,5,115,4.1753
1968,1,1,1,71,1.4838
1968,1,1,2,60,5.1056
1968,1,1,3,53,1.9773
1968,1,1,4,60,4.5696
1968,1,1,5,123,5.3349
1968,1,2,1,49,-4.1731
1968,1,2,2,44,-0.5108
1968,1,2,3,42,1.2999
1968,1,2,4,46,1.4425
1968,1,2,5,62,2.3160
1968,1,3,1,101,-8.1005
1968,1,3,2,115,-4.0662
1968,1,3,3,118,-2.4040
1968,1,3,4,115,-2.3252
1968,1,3,5,84,-2.6293
1968,2,1,1,75,-6.4130
1968,2,1,2,62,-6.5002
1968,2,1,3,54,-6.7211
1968,2,1,4,62,-4.2268
1968,2,1,5,124,-3.5838
1968,2,2,1,57,-2.8215
1968,2,2,2,54,-5.8575
1968,2,2,3,46,-3.0629
1968,2,2,4,52,-2.5269
1968,2,2,5,68,-1.7961
1968,2,3,1,116,-3.5862
1968,2,3,2,135,-3.7439
1968,2,3,3,129,-2.0068
1968,2,3,4,127,-2.7852
1968,2,3,5,86,-4.6357
1968,3,1,1,75,-1.1571
1968,3,1,2,63,-1.5612
1968,3,1,3,52,-2.4130
1968,3,1,4,62,-2.2361
1968,3,1,5,131,0.7571
1968,3,2,1,61,-2.8937
1968,3,2,2,50,-0.6151
1968,3,2,3,48,-2.9700
1968,3,2,4,58,-1.0742
1968,3,2,5,71,-2.2967
1968,3,3,1,114,0.5109
1968,3,3,2,134,-1.2035
1968,3,3,3,128,-0.1882
1968,3,3,4,124,-1.6703
1968,3,3,5,90,-0.5773
1968,4,1,1,68,15.5440
1968,4,1,2,58,17.8735
1968,4,1,3,53,15.1043
1968,4,1,4,62,12.2579
1968,4,1,5,126,15.7599
1968,4,2,1,60,14.4535
1968,4,2,2,43,11.3362
1968,4,2,3,41,9.9595
1968,4,2,4,58,11.1207
1968,4,2,5,63,12.4678
1968,4,3,1,109,10.6246
1968,4,3,2,126,6.9570
1968,4,3,3,121,5.6377
1968,4,3,4,115,5.8167
1968,4,3,5,78,8.3576
1968,5,1,1,119,11.0470
1968,5,1,2,92,10.6430
1968,5,1,3,95,9.1471
1968,5,1,4,122,9.3647
1968,5,1,5,208,10.2866
1968,5,2,1,83,6.3911
1968,5,2,2,63,4.2688
1968,5,2,3,70,4.5621
1968,5,2,4,99,4.4254
1968,5,2,5,107,6.9666
1968,5,3,1,157,1.1375
1968,5,3,2,167,2.5936
1968,5,3,3,156,-0.8020
1968,5,3,4,154,0.5988
1968,5,3,5,113,3.8493
1968,6,1,1,126,2.1649
1968,6,1,2,111,0.1819
1968,6,1,3,106,1.7383
1968,6,1,4,136,1.6702
1968,6,1,5,217,3.0797
1968,6,2,1,93,2.2276
1968,6,2,2,64,2.1510
1968,6,2,3,78,4.7603
1968,6,2,4,104,2.2771
1968,6,2,5,113,0.4141
1968,6,3,1,161,0.0926
1968,6,3,2,180,1.2748
1968,6,3,3,163,2.4039
1968,6,3,4,158,2.7137
1968,6,3,5,116,0.2366
1968,7,1,1,122,-3.7528
1968,7,1,2,105,-2.4848
1968,7,1,3,112,-3.0898
1968,7,1,4,135,-3.3396
1968,7,1,5,190,-3.4007
1968,7,2,1,83,-3.9147
1968,7,2,2,70,-3.5226
1968,7,2,3,75,-2.9906
1968,7,2,4,97,-3.0784
1968,7,2,5,105,-1.6722
1968,7,3,1,151,-4.3580
1968,7,3,2,165,-1.5979
1968,7,3,3,166,2.1982
1968,7,3,4,147,0.9704
1968,7,3,5,101,-1.7519
1968,8,1,1,129,2.9770
1968,8,1,2,107,3.9822
1968,8,1,3,112,6.2994
1968,8,1,4,138,4.8441
1968,8,1,5,195,5.4561
1968,8,2,1,88,2.8288
1968,8,2,2,74,2.2866
1968,8,2,3,85,1.5269
1968,8,2,4,98,3.5265
1968,8,2,5,115,4.1580
1968,8,3,1,157,2.1489
1968,8,3,2,172,0.9840
1968,8,3,3,168,1.5284
1968,8,3,4,164,1.0050
1968,8,3,5,116,1.2585
1968,9,1,1,133,6.8775
1968,9,1,2,107,6.5715
1968,9,1,3,109,6.9526
1968,9,1,4,134,4.8130
