year,month,rank_ME,rank_OP,nstocks,ret_vw
1973,7,3,1,116,6.1689
1973,7,3,2,96,5.8722
1973,7,3,3,81,5.2567
1973,7,3,4,79,2.3047
1973,7,3,5,73,1.4732
1973,8,1,1,98,-7.1553
1973,8,1,2,82,-6.9544
1973,8,1,3,84,-8.9530
1973,8,1,4,66,-6.0194
1973,8,1,5,86,-4.3617
1973,8,2,1,50,-2.2235
1973,8,2,2,52,-4.1792
1973,8,2,3,48,-4.9463
1973,8,2,4,57,-4.0634
1973,8,2,5,56,-3.6584
1973,8,3,1,116,-2.9967
1973,8,3,2,96,-4.2752
1973,8,3,3,81,-1.6362
1973,8,3,4,79,-3.3856
1973,8,3,5,73,-3.1933
1973,9,1,1,98,10.2594
1973,9,1,2,82,11.7626
1973,9,1,3,84,10.2759
1973,9,1,4,67,6.9702
1973,9,1,5,85,5.9016
1973,9,2,1,50,9.9318
1973,9,2,2,52,11.4657
1973,9,2,3,48,12.4371
1973,9,2,4,57,11.3415
1973,9,2,5,56,8.5193
1973,9,3,1,116,2.4176
1973,9,3,2,96,-0.5829
1973,9,3,3,81,10.6751
1973,9,3,4,79,8.1348
1973,9,3,5,73,8.8599
1973,10,1,1,98,-0.5526
1973,10,1,2,82,0.0083
1973,10,1,3,84,-3.5022
1973,10,1,4,67,-1.6928
1973,10,1,5,86,1.3234
1973,10,2,1,50,-0.0660
1973,10,2,2,52,-1.8710
1973,10,2,3,48,2.6302
1973,10,2,4,57,0.6988
1973,10,2,5,56,-0.6140
1973,10,3,1,116,-0.5879
1973,10,3,2,96,2.0662
1973,10,3,3,81,3.2324
1973,10,3,4,79,2.0652
1973,10,3,5,73,-4.3481
1973,11,1,1,98,-23.9819
1973,11,1,2,82,-18.9084
1973,11,1,3,84,-18.2369
1973,11,1,4,67,-18.6777
1973,11,1,5,86,-15.7629
1973,11,2,1,50,-22.5475
1973,11,2,2,52,-21.7887
1973,11,2,3,48,-21.4657
1973,11,2,4,57,-16.8880
1973,11,2,5,56,-12.5433
1973,11,3,1,116,-12.9160
1973,11,3,2,96,-9.0300
1973,11,3,3,81,-13.0837
