year,month,rank_ME,rank_EMq_1,nstocks,ret_vw
1976,1,1,1,149,24.1739
1976,1,1,2,81,26.9220
1976,1,1,3,42,23.9364
1976,1,1,4,34,23.5653
1976,1,1,5,58,18.5028
1976,1,2,1,51,21.0014
1976,1,2,2,47,21.7630
1976,1,2,3,40,20.3960
1976,1,2,4,30,15.4218
1976,1,2,5,33,22.1596
1976,1,3,1,44,14.2575
1976,1,3,2,47,8.6184
1976,1,3,3,60,16.3173
1976,1,3,4,60,14.0104
1976,1,3,5,66,15.6357
1976,2,1,1,122,14.6548
1976,2,1,2,70,15.6019
1976,2,1,3,46,8.9259
1976,2,1,4,39,14.6979
1976,2,1,5,48,15.9801
1976,2,2,1,59,7.5904
1976,2,2,2,39,9.4254
1976,2,2,3,37,7.5408
1976,2,2,4,36,7.5962
1976,2,2,5,25,2.6574
1976,2,3,1,46,-1.5995
1976,2,3,2,47,-1.0570
1976,2,3,3,55,0.6670
1976,2,3,4,66,2.3263
1976,2,3,5,68,0.9645
1976,3,1,1,134,2.1097
1976,3,1,2,68,0.2593
1976,3,1,3,52,2.7504
1976,3,1,4,46,1.8725
1976,3,1,5,45,4.0398
1976,3,2,1,54,0.9014
1976,3,2,2,42,1.9934
1976,3,2,3,33,1.6285
1976,3,2,4,36,0.8783
1976,3,2,5,25,3.5424
1976,3,3,1,52,6.2013
1976,3,3,2,46,3.5136
1976,3,3,3,56,4.4213
1976,3,3,4,59,-1.3978
1976,3,3,5,70,2.5290
1976,4,1,1,148,-2.2672
1976,4,1,2,65,-3.8046
1976,4,1,3,56,1.0640
1976,4,1,4,39,-2.5627
1976,4,1,5,41,-2.7814
1976,4,2,1,58,-0.8450
1976,4,2,2,42,-1.8696
1976,4,2,3,30,-1.3888
1976,4,2,4,35,0.0140
1976,4,2,5,29,-0.2432
1976,4,3,1,41,1.7666
1976,4,3,2,47,-0.9985
1976,4,3,3,55,0.9468
1976,4,3,4,63,0.0559
1976,4,3,5,69,-1.5321
1976,5,1,1,210,-2.8785
1976,5,1,2,141,-0.6799
1976,5,1,3,119,-2.2421
1976,5,1,4,77,-1.9154
1976,5,1,5,102,-2.1910
1976,5,2,1,98,-0.5282
