year,month,rank_ME,rank_OCP,nstocks,ret_vw
1973,6,1,2,84,-2.8138
1973,6,1,3,86,-2.9312
1973,6,1,4,87,-5.4865
1973,6,1,5,147,-3.2510
1973,6,2,1,54,-4.4976
1973,6,2,2,54,-4.3543
1973,6,2,3,48,-1.7209
1973,6,2,4,54,-3.4789
1973,6,2,5,43,-3.1870
1973,6,3,1,110,-0.4106
1973,6,3,2,84,0.4585
1973,6,3,3,84,-1.5875
1973,6,3,4,79,-0.6512
1973,6,3,5,63,-1.5948
1973,7,1,1,85,20.8843
1973,7,1,2,127,15.5516
1973,7,1,3,115,13.2014
1973,7,1,4,141,14.1757
1973,7,1,5,178,14.3625
1973,7,2,1,50,18.0635
1973,7,2,2,67,14.7193
1973,7,2,3,64,10.1567
1973,7,2,4,62,11.7552
1973,7,2,5,63,9.9670
1973,7,3,1,139,6.8783
1973,7,3,2,102,4.4502
1973,7,3,3,88,5.0360
1973,7,3,4,85,1.6659
1973,7,3,5,70,2.2399
1973,8,1,1,85,-8.9878
1973,8,1,2,127,-7.1021
1973,8,1,3,114,-5.8183
1973,8,1,4,141,-6.0492
1973,8,1,5,177,-4.8381
1973,8,2,1,50,-2.0680
1973,8,2,2,67,-2.8082
1973,8,2,3,64,-5.2299
1973,8,2,4,62,-4.6022
1973,8,2,5,63,-4.5139
1973,8,3,1,139,-4.1665
1973,8,3,2,102,-2.2363
1973,8,3,3,88,-2.5391
1973,8,3,4,85,-3.8795
1973,8,3,5,70,-2.6232
1973,9,1,1,85,11.8925
1973,9,1,2,127,11.1067
1973,9,1,3,115,7.5495
1973,9,1,4,140,8.7352
1973,9,1,5,175,7.2663
1973,9,2,1,50,11.3893
1973,9,2,2,67,11.9400
1973,9,2,3,64,11.9304
1973,9,2,4,62,11.9826
1973,9,2,5,63,12.0502
1973,9,3,1,139,2.5535
1973,9,3,2,102,-1.3465
1973,9,3,3,88,8.8321
1973,9,3,4,85,8.8368
1973,9,3,5,70,10.6841
1973,10,1,1,85,-1.4408
1973,10,1,2,127,-0.1165
1973,10,1,3,115,0.3082
1973,10,1,4,141,1.0035
1973,10,1,5,176,0.8969
1973,10,2,1,50,-1.8142
1973,10,2,2,67,0.8067
1973,10,2,3,64,0.4273
1973,10,2,4,62,1.9220
1973,10,2,5,63,0.0536
1973,10,3,1,138,-0.6571
1973,10,3,2,102,2.8595
1973,10,3,3,88,-0.2677
1973,10,3,4,85,1.4275
1973,10,3,5,70,-0.9366
1973,11,1,1,85,-25.4950
1973,11,1,2,127,-19.5203
1973,11,1,3,115,-16.3669
1973,11,1,4,141,-19.0028
1973,11,1,5,176,-19.9160
1973,11,2,1,50,-20.5668
1973,11,2,2,67,-23.5533
1973,11,2,3,64,-19.5899
1973,11,2,4,62,-19.1568
1973,11,2,5,63,-16.0522
1973,11,3,1,138,-11.2290
1973,11,3,2,102,-10.7216
1973,11,3,3,88,-15.6063
1973,11,3,4,85,-10.3263
1973,11,3,5,70,-8.6988
1973,12,1,1,85,-3.1833
1973,12,1,2,127,-6.6966
1973,12,1,3,115,-3.1963
1973,12,1,4,141,-2.8918
1973,12,1,5,175,-3.3926
1973,12,2,1,50,-1.2478
1973,12,2,2,67,-0.9955
1973,12,2,3,64,-2.0747
1973,12,2,4,62,0.1408
1973,12,2,5,63,-1.1670
1973,12,3,1,139,-1.6940
1973,12,3,2,102,-1.9524
1973,12,3,3,88,3.7039
1973,12,3,4,85,6.8061
1973,12,3,5,70,7.1190
1974,1,1,1,85,19.0192
1974,1,1,2,127,14.9049
1974,1,1,3,115,15.2919
1974,1,1,4,141,14.5963
1974,1,1,5,175,20.2668
1974,1,2,1,50,6.2657
1974,1,2,2,67,8.5381
