year,month,rank_ME,rank_CP,nstocks,ret_vw
1967,12,2,1,51,12.0588
1967,12,2,2,53,4.5948
1967,12,2,3,57,5.8385
1967,12,2,4,70,4.7250
1967,12,2,5,71,5.3853
1967,12,3,1,161,1.4420
1967,12,3,2,132,3.4269
1967,12,3,3,115,2.7342
1967,12,3,4,75,5.1767
1967,12,3,5,51,4.3420
1968,1,1,1,89,0.5518
1968,1,1,2,79,2.8912
1968,1,1,3,91,2.3967
1968,1,1,4,115,4.0034
1968,1,1,5,203,3.1264
1968,1,2,1,51,-7.6081
1968,1,2,2,53,-0.0898
1968,1,2,3,57,-0.0352
1968,1,2,4,70,0.8552
1968,1,2,5,71,1.4028
1968,1,3,1,161,-7.0238
1968,1,3,2,132,-4.4688
1968,1,3,3,115,-1.5296
1968,1,3,4,75,-2.3402
1968,1,3,5,51,-2.7194
1968,2,1,1,89,-9.1879
1968,2,1,2,79,-8.7783
1968,2,1,3,91,-7.8045
1968,2,1,4,114,-5.5322
1968,2,1,5,202,-5.0141
1968,2,2,1,51,-5.4529
1968,2,2,2,53,-5.6143
1968,2,2,3,56,-5.4636
1968,2,2,4,69,-5.1386
1968,2,2,5,71,-2.4461
1968,2,3,1,160,-3.2398
1968,2,3,2,132,-3.1408
1968,2,3,3,115,-2.5965
1968,2,3,4,75,-2.8311
1968,2,3,5,51,-3.4589
1968,3,1,1,89,-1.7934
1968,3,1,2,79,-1.3941
1968,3,1,3,91,-2.0818
1968,3,1,4,114,1.7484
1968,3,1,5,203,-0.9020
1968,3,2,1,51,-3.1612
1968,3,2,2,53,0.8003
1968,3,2,3,56,-2.6916
1968,3,2,4,69,-0.9766
1968,3,2,5,71,-0.8147
1968,3,3,1,160,3.2553
1968,3,3,2,132,-1.4599
1968,3,3,3,115,-0.2002
1968,3,3,4,75,-2.0787
1968,3,3,5,51,1.1544
1968,4,1,1,89,19.9722
1968,4,1,2,79,17.8866
1968,4,1,3,91,15.8159
1968,4,1,4,114,15.7585
1968,4,1,5,202,17.6694
1968,4,2,1,51,18.0641
1968,4,2,2,53,13.6230
1968,4,2,3,56,11.1157
1968,4,2,4,69,13.8447
1968,4,2,5,71,11.1031
1968,4,3,1,160,11.3311
1968,4,3,2,132,8.0349
1968,4,3,3,115,5.1376
1968,4,3,4,75,7.8797
1968,4,3,5,51,10.7031
1968,5,1,1,89,9.6162
1968,5,1,2,79,10.7248
1968,5,1,3,91,10.4928
1968,5,1,4,114,11.6236
1968,5,1,5,202,12.4256
1968,5,2,1,51,10.8411
1968,5,2,2,53,8.8515
1968,5,2,3,56,7.3735
1968,5,2,4,69,5.7262
1968,5,2,5,71,6.5360
1968,5,3,1,160,3.2203
1968,5,3,2,131,0.9673
1968,5,3,3,115,-0.2697
1968,5,3,4,75,1.6479
1968,5,3,5,51,2.7377
1968,6,1,1,89,-0.8605
1968,6,1,2,79,4.1517
1968,6,1,3,91,0.5957
1968,6,1,4,114,-0.0364
1968,6,1,5,202,0.2774
1968,6,2,1,51,-2.9865
1968,6,2,2,53,-0.5128
1968,6,2,3,55,0.0357
1968,6,2,4,69,2.4361
1968,6,2,5,71,0.4797
1968,6,3,1,160,-0.4747
1968,6,3,2,131,1.6744
1968,6,3,3,115,2.6288
1968,6,3,4,75,2.9424
1968,6,3,5,51,-0.7156
1968,7,1,1,181,-5.5168
1968,7,1,2,121,-2.8169
1968,7,1,3,106,-4.2462
1968,7,1,4,79,-1.6897
1968,7,1,5,138,-2.2067
1968,7,2,1,90,-6.7564
1968,7,2,2,61,-5.6069
1968,7,2,3,57,-2.4110
1968,7,2,4,58,-2.1508
1968,7,2,5,67,-0.4262
1968,7,3,1,134,-5.8567
1968,7,3,2,117,-3.2533
1968,7,3,3,100,-1.3914
1968,7,3,4,104,1.9760
1968,7,3,5,74,1.8551
1968,8,1,1,181,4.6655
1968,8,1,2,121,4.9225
1968,8,1,3,106,3.5476
1968,8,1,4,79,4.3222
1968,8,1,5,138,4.5337
1968,8,2,1,90,3.4269
1968,8,2,2,61,3.5514
1968,8,2,3,56,2.4662
1968,8,2,4,58,4.6556
1968,8,2,5,67,4.5771
1968,8,3,1,134,0.7171
1968,8,3,2,116,1.8838
1968,8,3,3,100,1.2753
1968,8,3,4,104,2.4971
1968,8,3,5,74,1.0298
1968,9,1,1,181,6.8608
1968,9,1,2,121,8.4359
1968,9,1,3,106,6.6363
1968,9,1,4,79,8.0788
1968,9,1,5,138,7.3619
1968,9,2,1,90,8.7538
1968,9,2,2,61,6.4278
1968,9,2,3,56,7.3590
1968,9,2,4,58,5.3103
1968,9,2,5,67,5.0993
1968,9,3,1,134,2.4274
1968,9,3,2,116,4.1256
1968,9,3,3,100,5.1121
1968,9,3,4,104,3.0422
1968,9,3,5,74,6.0690
1968,10,1,1,181,-0.3360
1968,10,1,2,121,0.1478
1968,10,1,3,106,1.1873
1968,10,1,4,79,0.8909
1968,10,1,5,138,1.6575
1968,10,2,1,90,-1.3247
1968,10,2,2,61,0.4571
1968,10,2,3,56,2.3687
1968,10,2,4,57,3.3578
1968,10,2,5,67,1.0371
1968,10,3,1,134,-2.4889
1968,10,3,2,116,1.3282
1968,10,3,3,100,2.6587
1968,10,3,4,104,2.2907
1968,10,3,5,73,2.3809
1968,11,1,1,180,7.8315
1968,11,1,2,121,6.7816
1968,11,1,3,105,8.9224
1968,11,1,4,79,6.7474
1968,11,1,5,138,5.7665
1968,11,2,1,90,9.0224
1968,11,2,2,61,8.0420
1968,11,2,3,56,8.0283
1968,11,2,4,58,7.4053
1968,11,2,5,67,7.1480
1968,11,3,1,134,6.9582
1968,11,3,2,116,5.2753
1968,11,3,3,100,3.0118
1968,11,3,4,104,5.0587
1968,11,3,5,73,6.9725
1968,12,1,1,180,4.7520
1968,12,1,2,121,-0.4872
1968,12,1,3,106,-0.7505
1968,12,1,4,79,1.6149
1968,12,1,5,138,1.3581
1968,12,2,1,90,-1.1632
1968,12,2,2,61,-0.5600
1968,12,2,3,56,-0.5346
1968,12,2,4,58,-2.5215
1968,12,2,5,67,-1.7010
1968,12,3,1,134,-5.2504
1968,12,3,2,116,-3.7920
1968,12,3,3,100,-3.3744
1968,12,3,4,104,-3.1968
1968,12,3,5,73,-3.5926
1969,1,1,1,180,-1.1080
1969,1,1,2,121,-2.0465
1969,1,1,3,106,-1.9448
1969,1,1,4,79,-0.1169
1969,1,1,5,138,-1.4434
1969,1,2,1,90,-2.1460
1969,1,2,2,61,-2.6850
1969,1,2,3,56,-0.3229
1969,1,2,4,58,-0.0907
1969,1,2,5,67,-0.5298
1969,1,3,1,134,-2.2700
1969,1,3,2,116,-1.0208
1969,1,3,3,99,0.1672
1969,1,3,4,104,-0.2318
1969,1,3,5,73,0.0081
1969,2,1,1,180,-12.1707
1969,2,1,2,121,-10.3064
1969,2,1,3,106,-8.9613
1969,2,1,4,79,-8.3753
1969,2,1,5,137,-8.4456
1969,2,2,1,90,-9.4400
1969,2,2,2,61,-8.7451
1969,2,2,3,56,-8.2725
1969,2,2,4,58,-6.8804
1969,2,2,5,67,-6.4517
1969,2,3,1,134,-3.9729
1969,2,3,2,116,-5.4058
1969,2,3,3,99,-4.1453
1969,2,3,4,104,-4.6315
1969,2,3,5,73,-5.5609
1969,3,1,1,180,4.3032
1969,3,1,2,121,1.5953
1969,3,1,3,106,0.6739
1969,3,1,4,78,3.2715
1969,3,1,5,137,2.2171
1969,3,2,1,90,3.4489
1969,3,2,2,61,2.1740
1969,3,2,3,56,3.2032
1969,3,2,4,58,2.7992
1969,3,2,5,67,2.2932
1969,3,3,1,134,4.3012
1969,3,3,2,116,1.8666
1969,3,3,3,99,3.4028
1969,3,3,4,104,3.6845
1969,3,3,5,73,2.4778
1969,4,1,1,180,0.3163
1969,4,1,2,121,-0.9637
1969,4,1,3,106,0.4089
1969,4,1,4,78,-0.1226
1969,4,1,5,137,-1.5753
1969,4,2,1,89,2.1464
1969,4,2,2,61,1.1281
1969,4,2,3,56,2.3281
1969,4,2,4,58,1.2486
1969,4,2,5,67,0.4887
1969,4,3,1,134,4.0939
1969,4,3,2,116,2.0909
1969,4,3,3,99,0.5880
1969,4,3,4,104,-0.2556
1969,4,3,5,73,3.5978
1969,5,1,1,180,3.1601
1969,5,1,2,121,-0.4045
1969,5,1,3,106,0.6104
1969,5,1,4,78,1.0078
1969,5,1,5,136,-0.5398
1969,5,2,1,90,0.5186
1969,5,2,2,60,-1.0457
1969,5,2,3,56,1.0728
1969,5,2,4,58,1.7512
1969,5,2,5,67,-0.6704
1969,5,3,1,134,-0.3582
1969,5,3,2,116,-1.3150
1969,5,3,3,98,0.3363
1969,5,3,4,103,1.0862
1969,5,3,5,73,2.4079
1969,6,1,1,180,-16.5416
1969,6,1,2,121,-12.2921
1969,6,1,3,106,-12.5559
1969,6,1,4,79,-11.8909
1969,6,1,5,136,-12.1737
1969,6,2,1,90,-12.0350
1969,6,2,2,61,-10.6048
1969,6,2,3,56,-11.0232
1969,6,2,4,58,-9.4327
1969,6,2,5,67,-9.4118
1969,6,3,1,134,-1.6722
1969,6,3,2,115,-6.6350
1969,6,3,3,99,-7.1382
1969,6,3,4,103,-8.1731
1969,6,3,5,72,-7.5139
1969,7,1,1,273,-13.0152
1969,7,1,2,148,-11.1457
1969,7,1,3,109,-12.2382
1969,7,1,4,87,-8.7367
1969,7,1,5,92,-8.3248
1969,7,2,1,113,-10.4599
1969,7,2,2,64,-10.6649
1969,7,2,3,64,-7.1921
1969,7,2,4,58,-6.8698
1969,7,2,5,64,-7.4082
1969,7,3,1,122,-4.3106
1969,7,3,2,110,-4.9692
1969,7,3,3,102,-7.1226
1969,7,3,4,114,-7.1401
1969,7,3,5,107,-6.4366
1969,8,1,1,273,4.8517
1969,8,1,2,148,5.3430
1969,8,1,3,109,4.2563
1969,8,1,4,87,1.7610
1969,8,1,5,92,3.7008
1969,8,2,1,113,8.2434
1969,8,2,2,64,6.0466
1969,8,2,3,64,4.8453
1969,8,2,4,58,3.5770
1969,8,2,5,64,4.0067
1969,8,3,1,122,7.5537
1969,8,3,2,110,5.8102
1969,8,3,3,102,3.4562
1969,8,3,4,114,3.5578
1969,8,3,5,107,2.5677
1969,9,1,1,273,-3.2581
1969,9,1,2,148,-3.4124
1969,9,1,3,109,-4.1990
1969,9,1,4,87,-1.2420
1969,9,1,5,92,-3.1467
1969,9,2,1,113,1.3997
1969,9,2,2,62,-2.1396
1969,9,2,3,64,-0.4081
1969,9,2,4,58,-1.8301
1969,9,2,5,64,-1.2566
1969,9,3,1,122,0.1834
1969,9,3,2,110,-0.8780
1969,9,3,3,102,-3.5499
1969,9,3,4,114,-3.7987
1969,9,3,5,107,-5.4887
1969,10,1,1,273,14.3352
1969,10,1,2,148,9.8267
1969,10,1,3,109,7.7741
1969,10,1,4,87,7.2637
1969,10,1,5,92,7.0671
1969,10,2,1,113,10.8050
1969,10,2,2,62,8.2301
1969,10,2,3,64,7.4246
1969,10,2,4,58,4.7806
1969,10,2,5,63,6.5526
1969,10,3,1,121,6.2569
1969,10,3,2,110,6.7842
1969,10,3,3,102,6.1769
1969,10,3,4,114,3.5339
1969,10,3,5,107,3.2110
1969,11,1,1,273,-8.0214
1969,11,1,2,148,-6.3747
1969,11,1,3,108,-6.7201
1969,11,1,4,87,-5.9357
1969,11,1,5,92,-6.7112
1969,11,2,1,112,-4.3613
1969,11,2,2,62,-3.8027
1969,11,2,3,64,-4.6791
1969,11,2,4,58,-5.2021
1969,11,2,5,64,-5.2640
1969,11,3,1,122,-1.3621
1969,11,3,2,110,-2.6972
1969,11,3,3,102,-3.2349
1969,11,3,4,114,-4.5928
1969,11,3,5,107,-3.2559
1969,12,1,1,273,-7.8159
1969,12,1,2,148,-7.6772
1969,12,1,3,109,-8.9316
1969,12,1,4,87,-5.9008
1969,12,1,5,92,-7.3171
1969,12,2,1,111,-3.5914
1969,12,2,2,62,-4.4390
1969,12,2,3,64,-4.5101
1969,12,2,4,58,-5.2529
1969,12,2,5,64,-5.7375
1969,12,3,1,122,1.5236
1969,12,3,2,110,-1.8618
1969,12,3,3,102,-1.7254
1969,12,3,4,114,-1.8736
1969,12,3,5,107,-5.0804
1970,1,1,1,273,-4.6502
1970,1,1,2,148,-3.8559
1970,1,1,3,109,-3.3078
1970,1,1,4,87,-2.4820
1970,1,1,5,92,-1.7952
1970,1,2,1,112,-6.3040
1970,1,2,2,62,-7.5883
1970,1,2,3,64,-6.9307
1970,1,2,4,58,-4.1244
1970,1,2,5,64,-2.1222
1970,1,3,1,122,-8.2248
1970,1,3,2,110,-6.9157
1970,1,3,3,102,-7.6922
1970,1,3,4,114,-8.8504
1970,1,3,5,107,-6.7323
1970,2,1,1,273,3.6086
1970,2,1,2,147,3.7955
1970,2,1,3,109,0.7288
1970,2,1,4,87,1.4623
1970,2,1,5,92,4.3185
1970,2,2,1,110,3.0183
1970,2,2,2,62,3.7545
1970,2,2,3,64,4.9277
1970,2,2,4,58,4.5417
1970,2,2,5,64,6.2433
1970,2,3,1,121,3.5142
1970,2,3,2,110,5.2974
1970,2,3,3,102,5.8759
1970,2,3,4,114,6.9069
1970,2,3,5,107,8.8469
