year,month,rank_ME,rank_Rev_12,nstocks,ret_vw
1967,12,2,1,128,7.5602
1967,12,2,2,147,5.0481
1967,12,2,3,152,6.5620
1967,12,2,4,158,6.3370
1967,12,2,5,125,6.2424
1967,12,3,1,161,2.7334
1967,12,3,2,262,4.2821
1967,12,3,3,279,2.7895
1967,12,3,4,248,1.7557
1967,12,3,5,192,1.8936
1968,1,1,1,323,4.6409
1968,1,1,2,237,4.3660
1968,1,1,3,245,3.7913
1968,1,1,4,218,1.9548
1968,1,1,5,156,0.4743
1968,1,2,1,134,2.7253
1968,1,2,2,153,1.2686
1968,1,2,3,153,1.3136
1968,1,2,4,161,-1.9080
1968,1,2,5,133,-1.9971
1968,1,3,1,157,-0.8535
1968,1,3,2,261,-2.7383
1968,1,3,3,271,-3.3265
1968,1,3,4,246,-3.6862
1968,1,3,5,192,-8.9817
1968,2,1,1,326,-7.3658
1968,2,1,2,243,-3.7551
1968,2,1,3,258,-5.4989
1968,2,1,4,234,-6.3147
1968,2,1,5,162,-5.4734
1968,2,2,1,128,-4.3225
1968,2,2,2,150,-2.9725
1968,2,2,3,150,-3.3608
1968,2,2,4,154,-4.6109
1968,2,2,5,139,-5.8947
1968,2,3,1,153,-2.1949
1968,2,3,2,255,-2.4002
1968,2,3,3,266,-2.2667
1968,2,3,4,236,-3.3935
1968,2,3,5,184,-4.2825
1968,3,1,1,327,-0.6117
1968,3,1,2,258,-1.1410
1968,3,1,3,279,-1.5837
1968,3,1,4,252,-0.8651
1968,3,1,5,167,-0.5301
1968,3,2,1,128,-0.8893
1968,3,2,2,153,-1.6236
1968,3,2,3,149,-2.7832
1968,3,2,4,157,-2.3001
1968,3,2,5,141,-1.4343
1968,3,3,1,154,-1.2675
1968,3,3,2,248,-1.0167
1968,3,3,3,262,0.4163
1968,3,3,4,234,1.9031
1968,3,3,5,184,2.5569
1968,4,1,1,326,16.1810
1968,4,1,2,271,13.8416
1968,4,1,3,291,14.1982
1968,4,1,4,257,12.6377
1968,4,1,5,181,14.4446
1968,4,2,1,126,12.2918
1968,4,2,2,152,10.0044
1968,4,2,3,159,12.0283
1968,4,2,4,160,12.8865
1968,4,2,5,141,15.5520
1968,4,3,1,153,5.1232
1968,4,3,2,253,6.9358
1968,4,3,3,265,8.4020
1968,4,3,4,234,9.8927
1968,4,3,5,189,11.3951
1968,5,1,1,333,12.4100
1968,5,1,2,290,12.1389
1968,5,1,3,305,12.0158
1968,5,1,4,268,10.9943
1968,5,1,5,185,9.0346
1968,5,2,1,127,6.7970
1968,5,2,2,153,5.8611
1968,5,2,3,163,6.9199
1968,5,2,4,164,6.2275
1968,5,2,5,146,7.1187
1968,5,3,1,158,0.4380
1968,5,3,2,249,1.0995
1968,5,3,3,262,1.3167
1968,5,3,4,233,2.2935
1968,5,3,5,189,3.5964
1968,6,1,1,340,0.2673
1968,6,1,2,307,1.0548
1968,6,1,3,326,1.4596
1968,6,1,4,277,0.7597
1968,6,1,5,196,-1.2482
1968,6,2,1,126,0.3229
1968,6,2,2,151,2.3257
1968,6,2,3,164,0.7205
1968,6,2,4,160,-0.4094
1968,6,2,5,144,1.2787
1968,6,3,1,158,2.9482
1968,6,3,2,247,2.4537
1968,6,3,3,259,1.0600
1968,6,3,4,237,0.5178
1968,6,3,5,189,-0.9640
1968,7,1,1,334,-1.4312
1968,7,1,2,318,-2.8023
1968,7,1,3,338,-3.2852
1968,7,1,4,299,-4.1162
1968,7,1,5,203,-4.7294
1968,7,2,1,125,-1.7294
1968,7,2,2,147,-1.0354
1968,7,2,3,169,-2.6723
1968,7,2,4,166,-3.3876
1968,7,2,5,146,-6.9465
1968,7,3,1,155,-0.0392
1968,7,3,2,251,-0.1484
1968,7,3,3,251,-1.0570
1968,7,3,4,239,-2.8893
1968,7,3,5,189,-5.6032
1968,8,1,1,327,4.8927
1968,8,1,2,317,5.1772
1968,8,1,3,351,4.1484
1968,8,1,4,303,3.0210
1968,8,1,5,201,2.2897
1968,8,2,1,124,1.9683
1968,8,2,2,152,3.0907
1968,8,2,3,171,4.8648
1968,8,2,4,165,4.7234
1968,8,2,5,151,3.6042
1968,8,3,1,157,1.7136
1968,8,3,2,257,1.4077
1968,8,3,3,254,1.4763
1968,8,3,4,244,1.5022
1968,8,3,5,184,1.2372
1968,9,1,1,318,7.6937
1968,9,1,2,323,6.0664
1968,9,1,3,358,6.1377
1968,9,1,4,314,6.3713
1968,9,1,5,216,8.6353
1968,9,2,1,121,6.6130
1968,9,2,2,153,4.5758
1968,9,2,3,167,6.8040
1968,9,2,4,166,7.6639
1968,9,2,5,153,6.9709
1968,9,3,1,159,3.6869
1968,9,3,2,253,3.8302
1968,9,3,3,253,4.7177
1968,9,3,4,242,3.2229
1968,9,3,5,183,3.6739
1968,10,1,1,313,0.2635
1968,10,1,2,328,0.7402
1968,10,1,3,359,0.5883
1968,10,1,4,322,1.5105
1968,10,1,5,226,-0.1425
1968,10,2,1,122,0.5131
1968,10,2,2,153,1.7671
1968,10,2,3,168,0.7361
1968,10,2,4,171,1.9722
1968,10,2,5,154,0.4524
1968,10,3,1,161,2.5005
1968,10,3,2,255,2.4747
1968,10,3,3,254,1.8540
1968,10,3,4,239,-1.8508
1968,10,3,5,182,-0.8648
1968,11,1,1,297,6.6368
1968,11,1,2,322,6.9683
1968,11,1,3,373,6.5905
1968,11,1,4,342,6.0173
1968,11,1,5,235,8.6969
1968,11,2,1,118,8.1264
1968,11,2,2,145,7.9188
1968,11,2,3,164,8.2270
1968,11,2,4,171,7.5326
1968,11,2,5,156,7.3952
1968,11,3,1,166,5.2861
1968,11,3,2,250,3.9547
1968,11,3,3,251,4.6959
1968,11,3,4,234,7.3286
1968,11,3,5,173,6.8866
1968,12,1,1,288,3.6056
1968,12,1,2,311,2.2135
1968,12,1,3,366,2.1507
1968,12,1,4,343,3.2454
1968,12,1,5,240,3.4093
1968,12,2,1,111,-2.1606
1968,12,2,2,138,-0.6354
1968,12,2,3,157,0.3640
1968,12,2,4,167,-0.1879
1968,12,2,5,160,-1.2673
1968,12,3,1,164,-4.4926
1968,12,3,2,244,-3.4992
1968,12,3,3,237,-2.8223
1968,12,3,4,230,-4.2355
1968,12,3,5,172,-4.5959
1969,1,1,1,272,-0.6643
1969,1,1,2,308,-1.0999
1969,1,1,3,359,-0.9387
1969,1,1,4,339,-0.1585
1969,1,1,5,258,-0.1954
1969,1,2,1,104,-0.4714
1969,1,2,2,133,0.1663
1969,1,2,3,156,-2.0949
1969,1,2,4,166,-0.9344
1969,1,2,5,159,-2.2147
1969,1,3,1,168,0.7998
1969,1,3,2,243,0.4508
1969,1,3,3,232,-0.9558
1969,1,3,4,221,-2.8580
1969,1,3,5,176,-1.8241
1969,2,1,1,252,-11.1237
1969,2,1,2,298,-9.2240
1969,2,1,3,357,-9.4746
