year,month,rank_ME,rank_VHP,nstocks,ret_vw
1967,12,1,5,72,9.4684
1967,12,2,1,13,15.7512
1967,12,2,2,9,1.7483
1967,12,2,3,28,5.2640
1967,12,2,4,31,5.9952
1967,12,2,5,42,4.9827
1967,12,3,1,88,1.5599
1967,12,3,2,88,1.8575
1967,12,3,3,70,4.2708
1967,12,3,4,59,4.3912
1967,12,3,5,41,2.5627
1968,1,1,1,16,5.1464
1968,1,1,2,13,2.5314
1968,1,1,3,22,1.0638
1968,1,1,4,33,-0.0306
1968,1,1,5,72,5.2526
1968,1,2,1,13,-2.0151
1968,1,2,2,9,3.9286
1968,1,2,3,28,0.3220
1968,1,2,4,31,0.3656
1968,1,2,5,42,1.2579
1968,1,3,1,88,-6.6838
1968,1,3,2,88,-1.5124
1968,1,3,3,70,-3.2321
1968,1,3,4,59,-3.9785
1968,1,3,5,41,-4.1208
1968,2,1,1,16,-9.0371
1968,2,1,2,13,-6.1193
1968,2,1,3,22,-8.1228
1968,2,1,4,33,-5.0952
1968,2,1,5,71,-7.0253
1968,2,2,1,13,1.1238
1968,2,2,2,9,-2.9768
1968,2,2,3,28,-2.3653
1968,2,2,4,31,-4.4783
1968,2,2,5,41,-3.9322
1968,2,3,1,88,-2.8924
1968,2,3,2,87,-2.0110
1968,2,3,3,70,-1.5558
1968,2,3,4,59,-3.1159
1968,2,3,5,41,-4.7435
1968,3,1,1,16,-4.3392
1968,3,1,2,13,-4.8205
1968,3,1,3,22,-0.6031
1968,3,1,4,33,-1.6195
1968,3,1,5,72,-0.7940
1968,3,2,1,13,-7.4604
1968,3,2,2,9,-0.6469
1968,3,2,3,28,-1.7109
1968,3,2,4,31,-1.6073
1968,3,2,5,41,-0.5629
1968,3,3,1,88,2.2338
1968,3,3,2,87,-1.0013
1968,3,3,3,70,-1.2196
1968,3,3,4,59,-1.0707
1968,3,3,5,41,-0.7577
1968,4,1,1,16,24.9434
1968,4,1,2,13,9.7978
1968,4,1,3,22,12.2094
1968,4,1,4,33,19.2650
1968,4,1,5,72,18.2301
1968,4,2,1,13,10.3251
1968,4,2,2,9,8.7117
1968,4,2,3,28,14.7878
1968,4,2,4,31,13.0329
1968,4,2,5,41,11.5485
1968,4,3,1,88,10.4285
1968,4,3,2,87,5.4138
1968,4,3,3,70,5.6565
1968,4,3,4,59,9.7290
1968,4,3,5,41,11.2489
1968,5,1,1,16,18.0242
1968,5,1,2,13,10.3043
1968,5,1,3,22,10.0925
1968,5,1,4,33,7.9404
1968,5,1,5,72,11.7184
1968,5,2,1,13,9.7226
1968,5,2,2,9,7.7099
1968,5,2,3,28,5.2737
1968,5,2,4,31,7.6888
1968,5,2,5,41,7.4313
1968,5,3,1,88,2.5977
1968,5,3,2,87,-0.1359
1968,5,3,3,70,1.1117
1968,5,3,4,59,0.6861
1968,5,3,5,41,3.5459
1968,6,1,1,16,-5.9030
1968,6,1,2,13,6.7702
1968,6,1,3,22,3.1406
1968,6,1,4,33,3.2302
1968,6,1,5,72,1.2845
1968,6,2,1,13,-1.3229
1968,6,2,2,9,4.5459
1968,6,2,3,28,4.7582
1968,6,2,4,31,-0.6071
1968,6,2,5,41,1.5490
1968,6,3,1,88,-0.0978
1968,6,3,2,87,2.7492
1968,6,3,3,70,1.4384
1968,6,3,4,59,1.6613
1968,6,3,5,41,-0.7053
1968,7,1,1,110,-4.5236
1968,7,1,2,54,-4.7327
1968,7,1,3,51,-2.8304
1968,7,1,4,34,-3.4532
1968,7,1,5,103,-3.0209
1968,7,2,1,43,-7.4564
1968,7,2,2,40,-3.2604
1968,7,2,3,37,-3.2790
1968,7,2,4,45,-1.1786
1968,7,2,5,55,-2.0173
1968,7,3,1,112,-5.2098
1968,7,3,2,101,-2.5984
1968,7,3,3,98,-1.3495
1968,7,3,4,85,3.0626
1968,7,3,5,62,-0.3654
1968,8,1,1,110,4.1960
1968,8,1,2,54,3.5290
1968,8,1,3,51,4.7826
1968,8,1,4,34,4.8553
1968,8,1,5,103,4.4145
1968,8,2,1,43,2.1957
1968,8,2,2,40,2.6719
1968,8,2,3,37,3.3345
1968,8,2,4,45,4.0934
1968,8,2,5,55,4.1820
1968,8,3,1,111,1.0009
1968,8,3,2,101,2.5993
1968,8,3,3,98,1.5911
1968,8,3,4,85,1.2207
1968,8,3,5,62,0.9858
1968,9,1,1,110,9.6356
1968,9,1,2,54,7.8289
1968,9,1,3,51,5.2025
1968,9,1,4,34,6.2564
1968,9,1,5,103,5.8995
1968,9,2,1,43,7.4936
1968,9,2,2,40,7.4652
1968,9,2,3,37,7.6083
1968,9,2,4,45,4.1231
1968,9,2,5,55,5.5350
1968,9,3,1,111,2.3836
1968,9,3,2,101,4.0282
1968,9,3,3,98,5.2083
1968,9,3,4,85,3.1982
1968,9,3,5,62,6.8484
1968,10,1,1,110,-2.5734
1968,10,1,2,54,2.5199
1968,10,1,3,51,2.3130
1968,10,1,4,34,0.3988
1968,10,1,5,103,1.8092
1968,10,2,1,43,-2.6208
1968,10,2,2,40,0.7761
1968,10,2,3,37,-0.4435
1968,10,2,4,44,4.4868
1968,10,2,5,55,2.6574
1968,10,3,1,111,-2.0425
1968,10,3,2,101,0.5324
1968,10,3,3,98,2.9659
1968,10,3,4,85,2.4154
1968,10,3,5,62,2.8559
1968,11,1,1,110,7.6711
1968,11,1,2,54,8.8097
1968,11,1,3,51,7.9710
1968,11,1,4,34,5.6605
1968,11,1,5,103,8.0938
1968,11,2,1,43,8.3884
1968,11,2,2,40,9.2635
1968,11,2,3,37,8.3084
1968,11,2,4,45,7.1108
1968,11,2,5,55,8.4194
1968,11,3,1,111,6.3154
1968,11,3,2,101,6.3885
1968,11,3,3,98,3.2288
1968,11,3,4,85,5.8543
1968,11,3,5,62,6.3508
1968,12,1,1,110,2.5481
1968,12,1,2,54,0.2562
1968,12,1,3,51,0.1753
1968,12,1,4,34,-1.3991
1968,12,1,5,103,2.5733
1968,12,2,1,43,0.7158
1968,12,2,2,40,-1.7647
1968,12,2,3,37,0.3363
1968,12,2,4,45,-2.5195
1968,12,2,5,55,-1.4369
1968,12,3,1,111,-5.2238
1968,12,3,2,101,-4.7405
1968,12,3,3,98,-2.9156
1968,12,3,4,85,-4.1249
1968,12,3,5,62,-0.8989
1969,1,1,1,110,-1.2057
1969,1,1,2,54,1.1128
1969,1,1,3,51,-2.3619
1969,1,1,4,34,-1.5844
1969,1,1,5,103,-2.4923
1969,1,2,1,43,-2.7214
1969,1,2,2,40,-1.4573
1969,1,2,3,37,-1.0953
1969,1,2,4,45,-0.5761
1969,1,2,5,55,0.2954
1969,1,3,1,111,-1.7828
1969,1,3,2,101,-0.6028
1969,1,3,3,98,-0.2860
1969,1,3,4,85,0.1768
1969,1,3,5,62,-0.3778
1969,2,1,1,110,-13.0538
1969,2,1,2,54,-11.9399
1969,2,1,3,51,-7.6895
1969,2,1,4,34,-7.1360
1969,2,1,5,103,-7.7245
1969,2,2,1,43,-10.9000
1969,2,2,2,40,-8.5367
1969,2,2,3,37,-9.4555
1969,2,2,4,45,-5.7341
1969,2,2,5,55,-7.0174
1969,2,3,1,111,-3.9557
