year,month,rank_ME,rank_Dur,nstocks,ret_vw
1967,12,2,1,42,5.6070
1967,12,2,2,27,5.2781
1967,12,2,3,28,7.5939
1967,12,2,4,16,8.8176
1967,12,2,5,12,9.8207
1967,12,3,1,32,3.3388
1967,12,3,2,56,5.8352
1967,12,3,3,72,2.6695
1967,12,3,4,90,3.4173
1967,12,3,5,93,1.3920
1968,1,1,1,67,3.3270
1968,1,1,2,47,3.8225
1968,1,1,3,20,6.9179
1968,1,1,4,13,2.5946
1968,1,1,5,18,3.1897
1968,1,2,1,42,1.4237
1968,1,2,2,27,1.1797
1968,1,2,3,28,2.5340
1968,1,2,4,16,-3.1050
1968,1,2,5,12,-3.3796
1968,1,3,1,32,-2.1798
1968,1,3,2,56,-1.3082
1968,1,3,3,72,-1.9989
1968,1,3,4,90,-5.3657
1968,1,3,5,93,-6.5044
1968,2,1,1,66,-5.5581
1968,2,1,2,47,-5.4131
1968,2,1,3,20,-8.5087
1968,2,1,4,13,-8.8456
1968,2,1,5,18,-8.6139
1968,2,2,1,41,-3.4396
1968,2,2,2,27,-5.1535
1968,2,2,3,28,-4.0884
1968,2,2,4,16,-2.6292
1968,2,2,5,12,0.2091
1968,2,3,1,32,-4.0630
1968,2,3,2,56,-4.1861
1968,2,3,3,72,-1.7641
1968,2,3,4,89,-2.8666
1968,2,3,5,93,-2.6397
1968,3,1,1,67,-2.8154
1968,3,1,2,47,0.5527
1968,3,1,3,20,-1.4623
1968,3,1,4,13,-5.6087
1968,3,1,5,18,-3.0176
1968,3,2,1,41,-0.7191
1968,3,2,2,27,-1.4757
1968,3,2,3,28,-1.9586
1968,3,2,4,16,-4.6664
1968,3,2,5,12,-0.1848
1968,3,3,1,32,-2.1595
1968,3,3,2,56,0.5328
1968,3,3,3,72,-0.8763
1968,3,3,4,89,-2.4454
1968,3,3,5,93,2.4769
1968,4,1,1,67,16.0366
1968,4,1,2,47,20.4780
1968,4,1,3,20,8.6694
1968,4,1,4,13,18.4340
1968,4,1,5,18,24.5165
1968,4,2,1,41,12.3509
1968,4,2,2,27,14.2706
1968,4,2,3,28,10.7644
1968,4,2,4,16,15.1782
1968,4,2,5,12,11.6307
1968,4,3,1,32,12.5747
1968,4,3,2,56,8.5224
1968,4,3,3,72,5.3605
1968,4,3,4,89,6.5884
1968,4,3,5,93,10.7014
1968,5,1,1,67,8.8332
1968,5,1,2,47,13.0960
1968,5,1,3,20,16.3216
1968,5,1,4,13,5.7649
1968,5,1,5,18,9.3189
1968,5,2,1,41,6.9847
1968,5,2,2,27,4.7468
1968,5,2,3,28,9.3615
1968,5,2,4,16,9.0580
1968,5,2,5,12,10.7322
1968,5,3,1,32,2.6614
1968,5,3,2,56,2.5671
1968,5,3,3,72,-0.9969
1968,5,3,4,89,2.4619
1968,5,3,5,93,2.5143
1968,6,1,1,67,2.1755
1968,6,1,2,47,2.3470
1968,6,1,3,20,-1.3449
1968,6,1,4,13,2.3729
1968,6,1,5,18,-2.3508
1968,6,2,1,41,0.8424
1968,6,2,2,27,3.0477
1968,6,2,3,28,-0.8417
1968,6,2,4,16,0.5134
1968,6,2,5,12,6.0205
1968,6,3,1,32,-1.4601
1968,6,3,2,56,2.8903
1968,6,3,3,72,2.3554
1968,6,3,4,89,1.7011
1968,6,3,5,93,-0.2366
1968,7,1,1,109,-1.0269
1968,7,1,2,59,-0.7435
1968,7,1,3,73,-4.5083
1968,7,1,4,66,-4.9325
1968,7,1,5,88,-5.2965
1968,7,2,1,62,0.1389
1968,7,2,2,45,0.3479
1968,7,2,3,31,-1.5948
1968,7,2,4,50,-4.9963
1968,7,2,5,43,-9.8117
1968,7,3,1,52,2.4878
1968,7,3,2,83,1.9487
1968,7,3,3,103,-0.0563
1968,7,3,4,102,-1.9131
1968,7,3,5,120,-5.5054
1968,8,1,1,109,4.9295
1968,8,1,2,59,5.3087
1968,8,1,3,73,4.1951
1968,8,1,4,66,4.7982
1968,8,1,5,88,2.9536
1968,8,2,1,62,6.6600
1968,8,2,2,45,2.4743
1968,8,2,3,31,2.4246
1968,8,2,4,50,2.9949
1968,8,2,5,43,1.7744
1968,8,3,1,51,2.0726
1968,8,3,2,83,1.9519
1968,8,3,3,103,1.5824
1968,8,3,4,102,1.2425
1968,8,3,5,120,0.9447
1968,9,1,1,109,7.1507
1968,9,1,2,59,5.8739
1968,9,1,3,73,5.5840
1968,9,1,4,66,11.0546
1968,9,1,5,88,6.3278
1968,9,2,1,62,5.9960
1968,9,2,2,45,4.8334
1968,9,2,3,31,5.7937
1968,9,2,4,50,7.2498
1968,9,2,5,43,7.1638
1968,9,3,1,51,8.0399
1968,9,3,2,83,3.5521
1968,9,3,3,103,4.7108
1968,9,3,4,102,4.9185
1968,9,3,5,120,2.0776
1968,10,1,1,109,1.7860
1968,10,1,2,59,0.5422
1968,10,1,3,73,0.6380
1968,10,1,4,66,0.6799
1968,10,1,5,88,-3.1831
1968,10,2,1,62,1.2400
1968,10,2,2,45,3.4815
1968,10,2,3,30,1.4431
1968,10,2,4,50,-0.2238
1968,10,2,5,43,-0.3365
1968,10,3,1,51,1.4914
1968,10,3,2,83,3.3301
1968,10,3,3,103,1.3891
1968,10,3,4,102,2.3845
1968,10,3,5,120,-1.8614
1968,11,1,1,109,6.4394
1968,11,1,2,59,7.4605
1968,11,1,3,73,7.8214
1968,11,1,4,66,8.1931
1968,11,1,5,88,6.7703
1968,11,2,1,62,6.9124
1968,11,2,2,45,9.5210
1968,11,2,3,31,7.3056
1968,11,2,4,50,10.2365
1968,11,2,5,43,7.3039
1968,11,3,1,51,6.6183
1968,11,3,2,83,6.0168
1968,11,3,3,103,5.4673
1968,11,3,4,102,3.2235
1968,11,3,5,120,6.2635
1968,12,1,1,109,1.1460
1968,12,1,2,59,1.4475
1968,12,1,3,73,0.7789
1968,12,1,4,66,0.7971
1968,12,1,5,88,4.1997
1968,12,2,1,62,-1.1521
1968,12,2,2,45,-1.4776
1968,12,2,3,31,-2.0837
1968,12,2,4,50,-1.1402
1968,12,2,5,43,-0.5333
