year,month,rank_ME,rank_SP,nstocks,ret_vw
1967,12,2,1,47,11.5603
1967,12,2,2,47,1.7791
1967,12,2,3,68,5.3028
1967,12,2,4,71,6.3010
1967,12,2,5,71,6.9100
1967,12,3,1,165,2.1542
1967,12,3,2,146,2.0466
1967,12,3,3,104,4.7840
1967,12,3,4,78,4.7452
1967,12,3,5,42,3.5456
1968,1,1,1,52,4.2752
1968,1,1,2,47,0.0607
1968,1,1,3,96,1.4771
1968,1,1,4,133,1.8835
1968,1,1,5,284,4.8640
1968,1,2,1,47,-4.3340
1968,1,2,2,47,-0.4305
1968,1,2,3,68,-1.2357
1968,1,2,4,71,-1.3362
1968,1,2,5,71,2.4293
1968,1,3,1,165,-4.3098
1968,1,3,2,146,-3.9383
1968,1,3,3,104,-5.8945
1968,1,3,4,78,-4.3505
1968,1,3,5,42,-3.2118
1968,2,1,1,52,-7.8615
1968,2,1,2,47,-10.0066
1968,2,1,3,96,-7.7134
1968,2,1,4,132,-6.5447
1968,2,1,5,283,-5.8063
1968,2,2,1,47,-4.5326
1968,2,2,2,47,-3.5602
1968,2,2,3,67,-5.7459
1968,2,2,4,70,-3.8604
1968,2,2,5,71,-5.4827
1968,2,3,1,165,-2.9959
1968,2,3,2,145,-2.4611
1968,2,3,3,104,-4.2160
1968,2,3,4,78,-4.2128
1968,2,3,5,42,-2.1423
1968,3,1,1,52,-0.5756
1968,3,1,2,47,-2.8308
1968,3,1,3,96,-1.5480
1968,3,1,4,133,-0.8414
1968,3,1,5,283,-0.2251
1968,3,2,1,47,-2.4169
1968,3,2,2,47,-1.3831
1968,3,2,3,67,-2.3432
1968,3,2,4,70,-1.7190
1968,3,2,5,71,0.8586
1968,3,3,1,165,1.0369
1968,3,3,2,145,0.7091
1968,3,3,3,104,0.7431
1968,3,3,4,78,-0.9148
1968,3,3,5,42,1.5316
1968,4,1,1,52,13.7593
1968,4,1,2,47,19.7145
1968,4,1,3,96,20.4056
1968,4,1,4,133,16.2606
1968,4,1,5,282,17.7785
1968,4,2,1,47,14.0399
1968,4,2,2,47,12.0146
1968,4,2,3,67,14.7987
1968,4,2,4,70,13.9883
1968,4,2,5,71,11.8092
1968,4,3,1,165,7.5802
1968,4,3,2,145,7.8532
1968,4,3,3,104,11.8481
1968,4,3,4,78,10.9537
1968,4,3,5,42,13.3711
1968,5,1,1,52,11.1002
1968,5,1,2,47,9.7332
1968,5,1,3,96,9.7146
1968,5,1,4,133,10.9127
1968,5,1,5,281,12.9913
1968,5,2,1,47,9.3487
1968,5,2,2,47,7.3532
1968,5,2,3,67,6.8334
1968,5,2,4,70,6.3786
1968,5,2,5,71,8.5784
1968,5,3,1,164,2.3592
1968,5,3,2,145,0.0156
1968,5,3,3,104,2.4871
1968,5,3,4,78,3.8183
1968,5,3,5,42,1.9771
1968,6,1,1,52,4.5278
1968,6,1,2,47,0.6850
1968,6,1,3,96,0.4543
1968,6,1,4,133,-1.0062
1968,6,1,5,281,0.7670
1968,6,2,1,47,-1.9658
1968,6,2,2,47,0.8332
1968,6,2,3,66,1.8681
1968,6,2,4,70,0.4152
1968,6,2,5,71,-0.8928
1968,6,3,1,164,1.4416
1968,6,3,2,145,1.1132
1968,6,3,3,104,0.7376
1968,6,3,4,78,0.1619
1968,6,3,5,42,-2.2791
1968,7,1,1,91,-4.8833
1968,7,1,2,91,-4.3101
1968,7,1,3,108,-4.5667
1968,7,1,4,128,-1.9286
1968,7,1,5,247,-2.7648
1968,7,2,1,63,-6.0646
1968,7,2,2,72,-4.4375
1968,7,2,3,68,-3.4319
1968,7,2,4,63,-1.3031
1968,7,2,5,72,-3.3152
1968,7,3,1,167,-2.9918
1968,7,3,2,116,-2.1063
1968,7,3,3,107,-0.0603
1968,7,3,4,93,-2.2343
1968,7,3,5,48,-2.4389
1968,8,1,1,91,5.7063
1968,8,1,2,91,2.3226
1968,8,1,3,108,3.4814
1968,8,1,4,128,4.1915
1968,8,1,5,247,5.7551
1968,8,2,1,63,1.0223
1968,8,2,2,72,2.0768
1968,8,2,3,67,4.9402
1968,8,2,4,63,4.7097
1968,8,2,5,72,5.6694
1968,8,3,1,167,0.7586
1968,8,3,2,116,2.2730
1968,8,3,3,107,1.2494
1968,8,3,4,92,2.0281
1968,8,3,5,48,2.3019
1968,9,1,1,90,10.3345
1968,9,1,2,91,5.8345
1968,9,1,3,108,6.6839
1968,9,1,4,128,5.9118
1968,9,1,5,247,8.2165
1968,9,2,1,63,6.6981
1968,9,2,2,72,4.8478
1968,9,2,3,67,7.8993
1968,9,2,4,63,7.0402
1968,9,2,5,72,7.1699
1968,9,3,1,167,1.8712
1968,9,3,2,116,4.5531
1968,9,3,3,107,4.9033
1968,9,3,4,92,7.1595
1968,9,3,5,48,6.9777
1968,10,1,1,90,-1.8152
1968,10,1,2,91,0.1572
1968,10,1,3,108,2.4204
1968,10,1,4,128,-0.5935
1968,10,1,5,247,1.3777
1968,10,2,1,63,-0.3535
1968,10,2,2,72,0.5444
1968,10,2,3,66,-0.2977
1968,10,2,4,63,3.0425
1968,10,2,5,72,1.5284
1968,10,3,1,167,-1.0687
1968,10,3,2,116,1.5456
1968,10,3,3,107,2.7633
1968,10,3,4,92,1.8584
1968,10,3,5,47,1.1074
1968,11,1,1,90,8.2205
1968,11,1,2,90,6.7139
1968,11,1,3,107,5.5345
1968,11,1,4,128,7.0218
1968,11,1,5,247,7.5999
1968,11,2,1,63,8.6550
1968,11,2,2,72,7.6548
1968,11,2,3,67,8.8733
1968,11,2,4,63,7.7266
1968,11,2,5,72,7.1571
1968,11,3,1,167,6.8216
1968,11,3,2,116,5.5059
1968,11,3,3,107,4.0018
1968,11,3,4,92,5.6239
1968,11,3,5,47,2.8184
1968,12,1,1,90,5.6418
1968,12,1,2,90,1.8329
1968,12,1,3,108,0.2946
1968,12,1,4,128,0.5263
1968,12,1,5,247,2.1910
1968,12,2,1,63,-0.3130
1968,12,2,2,72,-2.5764
1968,12,2,3,67,-0.5230
1968,12,2,4,63,-2.2045
1968,12,2,5,72,-1.3091
1968,12,3,1,167,-4.8437
1968,12,3,2,116,-3.4892
1968,12,3,3,107,-3.6976
1968,12,3,4,92,-2.5948
1968,12,3,5,47,-3.9310
1969,1,1,1,90,-1.5660
1969,1,1,2,90,-1.3471
1969,1,1,3,108,-3.2931
1969,1,1,4,128,0.2815
1969,1,1,5,247,-1.1351
1969,1,2,1,63,0.2206
1969,1,2,2,72,-0.6649
1969,1,2,3,67,-1.8947
1969,1,2,4,63,-2.1141
1969,1,2,5,72,-1.7870
1969,1,3,1,167,-0.7731
1969,1,3,2,116,-0.1510
1969,1,3,3,106,-1.6962
1969,1,3,4,92,-0.1680
1969,1,3,5,47,-2.3349
1969,2,1,1,90,-12.1269
1969,2,1,2,89,-10.5215
1969,2,1,3,108,-9.0749
1969,2,1,4,128,-9.2763
1969,2,1,5,246,-9.6985
1969,2,2,1,63,-10.1004
1969,2,2,2,72,-8.2906
1969,2,2,3,67,-7.4805
1969,2,2,4,63,-7.3566
1969,2,2,5,72,-7.3285
1969,2,3,1,167,-3.8921
1969,2,3,2,116,-5.2626
1969,2,3,3,106,-4.2404
1969,2,3,4,92,-6.5254
1969,2,3,5,47,-5.4230
1969,3,1,1,90,3.5499
1969,3,1,2,89,2.2580
1969,3,1,3,108,0.2907
1969,3,1,4,128,2.2407
1969,3,1,5,245,3.6070
1969,3,2,1,63,4.3331
1969,3,2,2,72,-0.8501
1969,3,2,3,67,3.5269
1969,3,2,4,63,3.3113
1969,3,2,5,72,3.5792
1969,3,3,1,167,2.5408
1969,3,3,2,116,4.4884
1969,3,3,3,106,3.5756
1969,3,3,4,92,4.1366
1969,3,3,5,47,1.8959
1969,4,1,1,90,0.6471
1969,4,1,2,89,0.8836
1969,4,1,3,108,-2.8697
1969,4,1,4,128,0.5681
1969,4,1,5,245,-0.4386
1969,4,2,1,62,1.9705
1969,4,2,2,72,2.8472
1969,4,2,3,67,2.3495
1969,4,2,4,63,-0.3208
1969,4,2,5,72,0.5821
1969,4,3,1,167,3.5421
1969,4,3,2,116,1.9427
1969,4,3,3,106,0.8428
1969,4,3,4,92,0.8502
1969,4,3,5,47,1.5662
1969,5,1,1,90,5.1562
1969,5,1,2,89,-0.1819
1969,5,1,3,108,0.0983
1969,5,1,4,128,-0.3211
1969,5,1,5,244,0.8794
1969,5,2,1,63,2.5959
1969,5,2,2,72,-0.7208
1969,5,2,3,66,-0.0900
1969,5,2,4,63,0.2358
1969,5,2,5,72,-0.4015
1969,5,3,1,167,-0.0808
1969,5,3,2,116,0.3309
1969,5,3,3,105,1.5579
1969,5,3,4,91,0.5547
1969,5,3,5,47,-2.2559
1969,6,1,1,90,-16.6167
1969,6,1,2,89,-12.4225
1969,6,1,3,108,-12.4595
1969,6,1,4,128,-14.0923
1969,6,1,5,245,-12.8240
1969,6,2,1,63,-11.3775
1969,6,2,2,72,-9.9575
1969,6,2,3,67,-10.4003
1969,6,2,4,63,-10.1580
1969,6,2,5,72,-11.3639
1969,6,3,1,166,-3.1294
1969,6,3,2,116,-7.0680
1969,6,3,3,106,-7.2763
1969,6,3,4,91,-8.2334
1969,6,3,5,46,-7.2828
1969,7,1,1,113,-12.6964
1969,7,1,2,115,-11.5921
1969,7,1,3,161,-10.5356
1969,7,1,4,156,-12.5770
1969,7,1,5,206,-10.4983
1969,7,2,1,83,-9.1564
1969,7,2,2,75,-7.6412
1969,7,2,3,77,-9.1772
1969,7,2,4,60,-8.7894
1969,7,2,5,72,-9.0298
1969,7,3,1,170,-4.0928
1969,7,3,2,111,-6.5859
1969,7,3,3,113,-6.9804
1969,7,3,4,98,-7.1346
1969,7,3,5,64,-9.9651
1969,8,1,1,113,3.9660
1969,8,1,2,115,5.9772
1969,8,1,3,161,4.9450
1969,8,1,4,155,3.7230
1969,8,1,5,205,3.2506
1969,8,2,1,83,6.4444
1969,8,2,2,75,6.3104
1969,8,2,3,77,4.6120
1969,8,2,4,60,4.9646
1969,8,2,5,72,5.6851
1969,8,3,1,170,5.0102
1969,8,3,2,111,5.1489
1969,8,3,3,113,4.5739
1969,8,3,4,98,3.6898
1969,8,3,5,64,4.8780
1969,9,1,1,113,-2.2635
1969,9,1,2,115,-1.6690
1969,9,1,3,161,-3.9791
1969,9,1,4,155,-3.6787
1969,9,1,5,206,-3.4449
1969,9,2,1,83,1.4277
1969,9,2,2,75,-1.8433
1969,9,2,3,75,0.1177
1969,9,2,4,60,-1.1088
1969,9,2,5,72,-1.6614
1969,9,3,1,170,-2.1104
1969,9,3,2,111,-3.0914
1969,9,3,3,113,-2.7987
1969,9,3,4,98,-1.8512
1969,9,3,5,64,-3.7738
1969,10,1,1,113,12.3204
1969,10,1,2,115,12.7258
1969,10,1,3,161,11.1612
1969,10,1,4,155,8.9873
1969,10,1,5,206,8.6827
1969,10,2,1,83,9.3167
1969,10,2,2,74,8.4117
1969,10,2,3,75,8.1438
1969,10,2,4,60,9.1334
1969,10,2,5,72,4.8835
1969,10,3,1,170,5.4488
1969,10,3,2,111,4.8211
1969,10,3,3,112,3.1652
1969,10,3,4,98,7.5309
1969,10,3,5,64,6.5551
1969,11,1,1,113,-6.9729
1969,11,1,2,114,-6.5441
1969,11,1,3,161,-6.7838
1969,11,1,4,155,-7.5011
1969,11,1,5,206,-7.0783
1969,11,2,1,83,-3.8249
1969,11,2,2,75,-3.0630
1969,11,2,3,74,-5.7603
1969,11,2,4,60,-5.0297
1969,11,2,5,72,-5.9108
1969,11,3,1,170,-1.2031
1969,11,3,2,111,-4.1353
1969,11,3,3,113,-4.1770
1969,11,3,4,98,-3.3003
1969,11,3,5,64,-5.7589
1969,12,1,1,113,-7.1809
1969,12,1,2,115,-7.7192
1969,12,1,3,161,-5.7058
1969,12,1,4,155,-8.2795
1969,12,1,5,206,-9.1727
1969,12,2,1,82,-4.8850
1969,12,2,2,75,-2.3214
