year,month,rank_ME,rank_BMJ,nstocks,ret_vw
1967,12,2,1,61,12.3098
1967,12,2,2,61,5.2584
1967,12,2,3,42,5.2704
1967,12,2,4,53,4.3795
1967,12,2,5,59,5.7445
1967,12,3,1,146,1.7263
1967,12,3,2,113,3.0530
1967,12,3,3,112,3.9523
1967,12,3,4,94,2.8483
1967,12,3,5,52,3.1598
1968,1,1,1,115,0.0193
1968,1,1,2,93,5.2883
1968,1,1,3,98,2.5662
1968,1,1,4,87,2.5353
1968,1,1,5,174,4.7487
1968,1,2,1,61,-5.0950
1968,1,2,2,61,-1.7309
1968,1,2,3,42,-1.3091
1968,1,2,4,53,2.6914
1968,1,2,5,59,3.7466
1968,1,3,1,146,-7.8825
1968,1,3,2,113,-3.8336
1968,1,3,3,112,-3.5436
1968,1,3,4,94,-0.3625
1968,1,3,5,52,0.0374
1968,2,1,1,115,-10.1640
1968,2,1,2,93,-7.3417
1968,2,1,3,97,-6.8095
1968,2,1,4,87,-4.9499
1968,2,1,5,174,-4.5453
1968,2,2,1,61,-8.2170
1968,2,2,2,61,-7.4287
1968,2,2,3,42,-2.5396
1968,2,2,4,51,-1.0847
1968,2,2,5,59,-2.2152
1968,2,3,1,145,-3.1348
1968,2,3,2,113,-4.3016
1968,2,3,3,112,-1.6693
1968,2,3,4,94,-2.2010
1968,2,3,5,52,-3.2524
1968,3,1,1,115,-0.7042
1968,3,1,2,93,-0.8958
1968,3,1,3,98,-0.7666
1968,3,1,4,87,-2.4700
1968,3,1,5,174,-0.4973
1968,3,2,1,61,-0.2414
1968,3,2,2,61,-0.8465
1968,3,2,3,42,-2.6438
1968,3,2,4,51,-2.1315
1968,3,2,5,59,-0.5890
1968,3,3,1,145,3.4312
1968,3,3,2,113,-0.6237
1968,3,3,3,112,-1.8368
1968,3,3,4,94,-0.4552
1968,3,3,5,52,-0.7209
1968,4,1,1,115,21.1830
1968,4,1,2,93,20.4250
1968,4,1,3,98,15.1658
1968,4,1,4,87,15.2606
1968,4,1,5,174,15.8570
1968,4,2,1,61,18.1619
1968,4,2,2,61,14.9830
1968,4,2,3,42,12.1561
1968,4,2,4,51,8.2313
1968,4,2,5,59,11.3125
1968,4,3,1,145,11.9088
1968,4,3,2,113,8.5328
1968,4,3,3,112,6.7231
1968,4,3,4,94,3.7991
1968,4,3,5,52,9.7220
1968,5,1,1,115,11.4574
1968,5,1,2,93,11.7901
1968,5,1,3,98,13.6834
1968,5,1,4,87,10.1991
1968,5,1,5,173,9.2966
1968,5,2,1,61,11.6065
1968,5,2,2,61,9.0875
1968,5,2,3,42,6.7907
1968,5,2,4,51,4.9084
1968,5,2,5,59,4.6641
1968,5,3,1,145,3.1388
1968,5,3,2,113,1.6473
1968,5,3,3,112,0.6802
1968,5,3,4,94,-0.8633
1968,5,3,5,52,2.4126
1968,6,1,1,115,-0.4708
