year,month,rank_ME,rank_NOP,nstocks,ret_vw
1973,6,1,1,116,-3.5851
1973,6,1,2,99,-6.8973
1973,6,1,3,70,-3.0804
1973,6,1,4,54,-3.7254
1973,6,1,5,93,-2.3820
1973,6,2,1,65,-5.0923
1973,6,2,2,57,-4.0950
1973,6,2,3,48,-4.4720
1973,6,2,4,47,-3.1051
1973,6,2,5,49,-2.1738
1973,6,3,1,87,-4.3328
1973,6,3,2,99,0.2833
1973,6,3,3,92,0.0124
1973,6,3,4,92,-2.5197
1973,6,3,5,63,-0.7750
1973,7,1,1,208,22.1674
1973,7,1,2,123,18.2216
1973,7,1,3,91,12.9426
1973,7,1,4,90,11.4780
1973,7,1,5,107,9.7864
1973,7,2,1,75,15.9805
1973,7,2,2,59,16.6502
1973,7,2,3,52,15.1263
1973,7,2,4,65,9.2748
1973,7,2,5,67,6.1051
1973,7,3,1,92,10.6021
1973,7,3,2,120,4.2776
1973,7,3,3,102,7.8758
1973,7,3,4,88,4.8018
1973,7,3,5,82,1.3590
1973,8,1,1,207,-6.1959
1973,8,1,2,123,-8.0996
1973,8,1,3,91,-6.8941
1973,8,1,4,90,-7.6514
1973,8,1,5,106,-4.7404
1973,8,2,1,75,-3.3114
1973,8,2,2,59,-3.4184
1973,8,2,3,52,-3.4215
1973,8,2,4,65,-4.4531
1973,8,2,5,67,-4.1813
1973,8,3,1,92,-3.0143
1973,8,3,2,120,-3.6058
1973,8,3,3,102,-3.7097
1973,8,3,4,88,-1.0862
1973,8,3,5,82,-3.4530
1973,9,1,1,204,9.5266
1973,9,1,2,123,10.7590
1973,9,1,3,91,12.4543
1973,9,1,4,90,9.7942
1973,9,1,5,106,5.5863
1973,9,2,1,75,14.1596
1973,9,2,2,59,11.7456
1973,9,2,3,52,11.4327
1973,9,2,4,65,12.3579
1973,9,2,5,67,7.8118
1973,9,3,1,92,6.7675
1973,9,3,2,120,-0.9339
1973,9,3,3,102,5.9663
1973,9,3,4,88,10.2913
1973,9,3,5,82,8.5894
1973,10,1,1,205,0.0952
1973,10,1,2,123,-0.2169
1973,10,1,3,91,-0.1646
1973,10,1,4,90,-2.6377
1973,10,1,5,107,1.0068
1973,10,2,1,75,1.2049
1973,10,2,2,59,-1.5096
1973,10,2,3,52,0.4322
1973,10,2,4,65,0.0570
1973,10,2,5,67,-0.0484
1973,10,3,1,91,0.3114
1973,10,3,2,120,0.6066
1973,10,3,3,102,1.5896
1973,10,3,4,88,2.1730
1973,10,3,5,82,-3.2075
1973,11,1,1,205,-23.5115
1973,11,1,2,123,-22.6574
1973,11,1,3,91,-19.1973
1973,11,1,4,90,-18.8895
1973,11,1,5,107,-15.6527
1973,11,2,1,75,-23.8747
1973,11,2,2,59,-23.6955
1973,11,2,3,52,-21.6878
