year,month,rank_ME,rank_EM,nstocks,ret_vw
1967,12,2,1,57,3.8639
1967,12,2,2,66,5.7527
1967,12,2,3,38,5.6537
1967,12,2,4,33,5.7614
1967,12,2,5,44,12.7233
1967,12,3,1,54,3.3190
1967,12,3,2,53,4.4580
1967,12,3,3,100,3.8288
1967,12,3,4,102,2.0202
1967,12,3,5,112,1.6607
1968,1,1,1,134,2.6129
1968,1,1,2,106,0.7112
1968,1,1,3,59,5.5361
1968,1,1,4,64,4.7919
1968,1,1,5,95,2.8297
1968,1,2,1,57,1.2864
1968,1,2,2,66,-0.1378
1968,1,2,3,38,0.2226
1968,1,2,4,33,-2.1923
1968,1,2,5,44,-3.1934
1968,1,3,1,54,-3.6214
1968,1,3,2,53,-3.8376
1968,1,3,3,100,-1.7122
1968,1,3,4,102,-4.0286
1968,1,3,5,112,-7.6228
1968,2,1,1,134,-2.9752
1968,2,1,2,106,-5.6396
1968,2,1,3,58,-7.7137
1968,2,1,4,64,-9.6867
1968,2,1,5,95,-11.0780
1968,2,2,1,57,-2.8196
1968,2,2,2,65,-3.6091
1968,2,2,3,38,-8.1649
1968,2,2,4,33,-4.2730
1968,2,2,5,44,-6.7993
1968,2,3,1,54,-3.0108
1968,2,3,2,53,-2.6891
1968,2,3,3,100,-3.2476
1968,2,3,4,102,-3.2793
1968,2,3,5,111,-3.2522
1968,3,1,1,134,-0.0517
1968,3,1,2,106,-0.4078
1968,3,1,3,59,-2.0895
1968,3,1,4,64,-0.9983
1968,3,1,5,95,-1.5069
1968,3,2,1,57,-2.2368
1968,3,2,2,65,-1.2050
1968,3,2,3,38,1.5616
1968,3,2,4,33,-1.5608
1968,3,2,5,44,-1.6819
1968,3,3,1,54,0.1072
1968,3,3,2,53,-1.5944
1968,3,3,3,100,0.2364
1968,3,3,4,102,0.7309
1968,3,3,5,111,2.9866
1968,4,1,1,134,15.8105
1968,4,1,2,106,15.7476
1968,4,1,3,59,16.4280
1968,4,1,4,64,22.0426
1968,4,1,5,95,21.7608
1968,4,2,1,57,10.6349
1968,4,2,2,65,12.7378
1968,4,2,3,38,14.8757
1968,4,2,4,33,17.8621
1968,4,2,5,44,15.9724
1968,4,3,1,54,10.0082
1968,4,3,2,53,8.9845
1968,4,3,3,100,6.9091
1968,4,3,4,102,8.3181
1968,4,3,5,111,10.9437
1968,5,1,1,134,11.0067
1968,5,1,2,106,11.4308
1968,5,1,3,59,10.1794
1968,5,1,4,64,11.1249
1968,5,1,5,95,11.8165
1968,5,2,1,57,4.8494
1968,5,2,2,65,7.0350
1968,5,2,3,38,9.6184
1968,5,2,4,33,8.0668
1968,5,2,5,44,10.4195
1968,5,3,1,54,2.5165
1968,5,3,2,53,0.5575
1968,5,3,3,100,0.7019
1968,5,3,4,102,0.7795
1968,5,3,5,111,3.3042
1968,6,1,1,134,1.5969
1968,6,1,2,106,-0.8854
1968,6,1,3,59,0.1085
1968,6,1,4,64,0.5703
1968,6,1,5,95,2.5938
1968,6,2,1,56,3.2388
1968,6,2,2,65,-0.6829
1968,6,2,3,38,-1.1466
1968,6,2,4,33,1.3179
1968,6,2,5,44,-3.2813
1968,6,3,1,54,-0.6729
1968,6,3,2,53,1.1960
1968,6,3,3,100,2.3331
1968,6,3,4,102,1.0426
1968,6,3,5,111,-0.9116
1968,7,1,1,128,-2.5984
1968,7,1,2,88,-2.7846
1968,7,1,3,71,-1.8953
1968,7,1,4,81,-5.6141
1968,7,1,5,136,-4.8588
1968,7,2,1,62,-1.5050
1968,7,2,2,42,-2.5760
1968,7,2,3,44,-3.8989
1968,7,2,4,47,-4.9772
1968,7,2,5,74,-5.3778
1968,7,3,1,50,3.8406
1968,7,3,2,86,-0.0303
1968,7,3,3,94,-1.8694
1968,7,3,4,98,-2.5714
1968,7,3,5,107,-5.9904
1968,8,1,1,128,5.0088
1968,8,1,2,88,3.6841
1968,8,1,3,71,5.3455
1968,8,1,4,81,4.8061
1968,8,1,5,136,4.7858
1968,8,2,1,62,5.2707
1968,8,2,2,42,6.8318
1968,8,2,3,44,3.2870
1968,8,2,4,47,4.3589
1968,8,2,5,74,2.3589
1968,8,3,1,50,1.8836
1968,8,3,2,86,1.5122
1968,8,3,3,94,3.3855
1968,8,3,4,97,1.3905
1968,8,3,5,107,0.6620
1968,9,1,1,128,5.8573
1968,9,1,2,88,6.6169
1968,9,1,3,71,10.5250
1968,9,1,4,81,8.5139
1968,9,1,5,136,6.5956
1968,9,2,1,62,6.8060
1968,9,2,2,42,6.0442
1968,9,2,3,44,7.2501
1968,9,2,4,47,6.8701
1968,9,2,5,74,8.6910
1968,9,3,1,50,4.7742
1968,9,3,2,86,4.7772
1968,9,3,3,94,6.2364
1968,9,3,4,97,4.7351
1968,9,3,5,107,2.3998
1968,10,1,1,128,0.7487
1968,10,1,2,88,3.4701
1968,10,1,3,71,0.0577
1968,10,1,4,81,-0.3973
1968,10,1,5,136,-2.2037
1968,10,2,1,62,3.6077
1968,10,2,2,41,0.9525
1968,10,2,3,44,0.3230
1968,10,2,4,47,1.0799
1968,10,2,5,74,-1.0411
1968,10,3,1,50,2.3905
1968,10,3,2,86,3.4031
1968,10,3,3,94,2.0757
1968,10,3,4,97,1.3776
1968,10,3,5,107,-2.9164
1968,11,1,1,128,6.5476
1968,11,1,2,88,6.4088
1968,11,1,3,71,9.7550
1968,11,1,4,81,7.8522
1968,11,1,5,136,7.4520
1968,11,2,1,62,7.7908
1968,11,2,2,42,6.3868
1968,11,2,3,44,7.3584
1968,11,2,4,47,8.7138
1968,11,2,5,74,9.2780
1968,11,3,1,50,5.0922
1968,11,3,2,86,3.2446
1968,11,3,3,94,5.0988
1968,11,3,4,97,5.9168
1968,11,3,5,107,6.9643
1968,12,1,1,128,1.0567
1968,12,1,2,88,-0.0410
1968,12,1,3,71,-0.7490
1968,12,1,4,81,1.3494
1968,12,1,5,136,5.5099
1968,12,2,1,62,-1.6666
1968,12,2,2,42,-0.1707
1968,12,2,3,44,-0.6174
1968,12,2,4,47,-0.5559
1968,12,2,5,74,-0.9783
1968,12,3,1,50,-3.3122
1968,12,3,2,86,-3.4289
1968,12,3,3,94,-3.3204
1968,12,3,4,97,-4.5527
1968,12,3,5,107,-5.0052
1969,1,1,1,128,-2.2806
1969,1,1,2,88,-1.8852
1969,1,1,3,71,-1.8946
1969,1,1,4,81,-2.2630
1969,1,1,5,136,-0.9202
1969,1,2,1,62,-0.5618
1969,1,2,2,42,-2.5453
1969,1,2,3,44,-1.8879
1969,1,2,4,47,-1.7107
1969,1,2,5,74,-1.0741
1969,1,3,1,50,-0.0287
1969,1,3,2,86,-0.0716
1969,1,3,3,94,-1.6714
1969,1,3,4,97,-1.1294
1969,1,3,5,107,-2.3673
1969,2,1,1,128,-7.9317
1969,2,1,2,88,-7.7092
1969,2,1,3,71,-10.9016
1969,2,1,4,81,-11.5707
1969,2,1,5,136,-11.6784
1969,2,2,1,62,-6.7125
1969,2,2,2,42,-6.7813
1969,2,2,3,44,-8.8713
1969,2,2,4,47,-8.9272
1969,2,2,5,74,-10.9339
1969,2,3,1,50,-4.8354
1969,2,3,2,86,-4.4037
1969,2,3,3,94,-5.0666
1969,2,3,4,97,-4.7421
1969,2,3,5,107,-4.0758
1969,3,1,1,128,2.4234
1969,3,1,2,88,0.7397
1969,3,1,3,71,2.8163
1969,3,1,4,81,3.0152
