year,month,rank_ME,rank_CPq_1,nstocks,ret_vw
1967,1,1,1,21,19.5980
1967,1,1,2,9,10.5377
1967,1,1,3,17,12.1701
1967,1,1,4,34,21.1147
1967,1,1,5,71,19.7576
1967,1,2,1,10,8.2010
1967,1,2,2,14,11.3111
1967,1,2,3,21,16.9762
1967,1,2,4,22,17.3870
1967,1,2,5,38,18.4491
1967,1,3,1,77,5.0033
1967,1,3,2,72,4.6865
1967,1,3,3,53,10.0345
1967,1,3,4,52,9.1374
1967,1,3,5,25,16.9026
1967,2,1,1,25,2.5110
1967,2,1,2,10,1.5784
1967,2,1,3,11,2.0293
1967,2,1,4,29,2.5028
1967,2,1,5,52,1.5424
1967,2,2,1,11,1.8775
1967,2,2,2,15,-1.5729
1967,2,2,3,17,1.3930
1967,2,2,4,19,1.9920
1967,2,2,5,33,0.8640
1967,2,3,1,65,2.1062
1967,2,3,2,64,-1.4651
1967,2,3,3,60,-1.6636
1967,2,3,4,49,-0.9747
1967,2,3,5,26,-1.5003
1967,3,1,1,23,12.8990
1967,3,1,2,10,4.2017
1967,3,1,3,12,5.8551
1967,3,1,4,34,6.4900
1967,3,1,5,50,3.3549
1967,3,2,1,14,3.2819
1967,3,2,2,11,4.1026
1967,3,2,3,16,4.4162
1967,3,2,4,21,8.7084
1967,3,2,5,39,8.4849
1967,3,3,1,66,4.7177
1967,3,3,2,65,3.6110
1967,3,3,3,62,4.1677
1967,3,3,4,44,4.7858
1967,3,3,5,28,4.5243
1967,4,1,1,20,4.1679
1967,4,1,2,12,3.5429
1967,4,1,3,11,0.1986
1967,4,1,4,30,5.3898
1967,4,1,5,55,4.2340
1967,4,2,1,16,1.4848
1967,4,2,2,12,6.0942
1967,4,2,3,22,3.1763
1967,4,2,4,16,6.7136
1967,4,2,5,36,4.3009
1967,4,3,1,67,5.5259
1967,4,3,2,64,3.1992
1967,4,3,3,57,1.1123
1967,4,3,4,49,4.6466
1967,4,3,5,28,2.4989
1967,5,1,1,49,2.6685
1967,5,1,2,35,1.1515
1967,5,1,3,57,-0.9566
1967,5,1,4,81,-0.0539
1967,5,1,5,132,-0.2612
1967,5,2,1,31,-0.7112
1967,5,2,2,36,-4.2465
1967,5,2,3,43,-2.6917
1967,5,2,4,44,-2.3540
1967,5,2,5,54,-3.5633
1967,5,3,1,119,-5.0307
1967,5,3,2,100,-4.8665
1967,5,3,3,93,-4.2815
1967,5,3,4,81,-3.0911
1967,5,3,5,51,-2.7340
1967,6,1,1,52,12.3460
1967,6,1,2,34,9.1480
1967,6,1,3,65,8.6079
1967,6,1,4,82,9.5265
1967,6,1,5,123,9.3179
1967,6,2,1,36,8.9724
1967,6,2,2,33,5.3232
1967,6,2,3,41,7.7918
1967,6,2,4,44,6.6602
1967,6,2,5,60,6.3181
1967,6,3,1,118,1.6408
1967,6,3,2,107,0.6113
1967,6,3,3,95,3.4013
1967,6,3,4,78,1.4791
1967,6,3,5,46,3.2606
1967,7,1,1,63,9.1668
1967,7,1,2,36,6.0282
1967,7,1,3,57,11.8330
1967,7,1,4,80,9.6026
1967,7,1,5,116,9.8285
1967,7,2,1,39,3.0190
1967,7,2,2,34,6.2078
1967,7,2,3,38,7.5165
1967,7,2,4,39,8.4228
1967,7,2,5,59,8.5224
1967,7,3,1,117,2.8609
1967,7,3,2,103,3.8069
1967,7,3,3,96,8.8716
1967,7,3,4,82,6.1674
1967,7,3,5,47,6.8006
1967,8,1,1,30,-1.3851
1967,8,1,2,21,0.6549
1967,8,1,3,13,0.9781
1967,8,1,4,20,-0.9490
1967,8,1,5,46,1.5897
1967,8,2,1,15,-0.5020
1967,8,2,2,19,1.0600
1967,8,2,3,11,3.0262
1967,8,2,4,18,1.2671
1967,8,2,5,19,1.7282
1967,8,3,1,65,-1.2961
1967,8,3,2,48,-0.4968
1967,8,3,3,56,-1.8506
1967,8,3,4,51,-0.7940
1967,8,3,5,34,0.8822
1967,9,1,1,29,10.9322
1967,9,1,2,19,8.6358
1967,9,1,3,14,10.9396
1967,9,1,4,18,5.8950
1967,9,1,5,42,5.5236
1967,9,2,1,16,3.6523
1967,9,2,2,19,1.7449
1967,9,2,3,10,2.7663
1967,9,2,4,15,3.0684
1967,9,2,5,20,1.2465
1967,9,3,1,61,1.0356
1967,9,3,2,48,4.7695
1967,9,3,3,55,0.5282
1967,9,3,4,52,3.9796
1967,9,3,5,34,2.7504
1967,10,1,1,33,0.7561
1967,10,1,2,16,-2.1794
1967,10,1,3,14,-4.5490
1967,10,1,4,17,-3.7650
1967,10,1,5,41,-1.9541
1967,10,2,1,19,-1.2907
1967,10,2,2,15,-8.3186
1967,10,2,3,14,-6.4362
1967,10,2,4,17,-2.3369
1967,10,2,5,20,-3.2268
1967,10,3,1,57,-5.0695
1967,10,3,2,51,-5.2702
1967,10,3,3,51,-4.0729
1967,10,3,4,47,-4.1550
1967,10,3,5,39,-5.5817
1967,11,1,1,36,1.0396
1967,11,1,2,15,-0.2186
1967,11,1,3,23,-0.6150
1967,11,1,4,21,-0.6625
1967,11,1,5,56,-0.6208
1967,11,2,1,35,5.9378
1967,11,2,2,18,1.3881
1967,11,2,3,16,0.4212
1967,11,2,4,23,0.8394
1967,11,2,5,26,1.6326
1967,11,3,1,64,-0.0268
1967,11,3,2,58,0.3471
