year,month,rank_ME,rank_SPq_1,nstocks,ret_vw
1967,1,1,1,38,17.2142
1967,1,1,2,45,20.6476
1967,1,1,3,74,20.8082
1967,1,1,4,101,19.1026
1967,1,1,5,234,21.2529
1967,1,2,1,28,7.3414
1967,1,2,2,40,16.6589
1967,1,2,3,56,18.7178
1967,1,2,4,56,18.4431
1967,1,2,5,66,17.4664
1967,1,3,1,154,5.6000
1967,1,3,2,127,7.8630
1967,1,3,3,90,9.2980
1967,1,3,4,78,11.8400
1967,1,3,5,42,15.5563
1967,2,1,1,40,5.1106
1967,2,1,2,52,5.9438
1967,2,1,3,74,5.4295
1967,2,1,4,115,3.1880
1967,2,1,5,200,5.1894
1967,2,2,1,33,1.5547
1967,2,2,2,35,2.5582
1967,2,2,3,61,2.3898
1967,2,2,4,61,0.8792
1967,2,2,5,65,2.0595
1967,2,3,1,149,2.1640
1967,2,3,2,134,-1.0500
1967,2,3,3,87,1.1005
1967,2,3,4,74,0.7969
1967,2,3,5,42,1.6639
1967,3,1,1,44,12.2613
1967,3,1,2,57,6.4627
1967,3,1,3,81,8.3228
1967,3,1,4,125,8.1825
1967,3,1,5,197,4.3161
1967,3,2,1,34,4.8765
1967,3,2,2,42,4.2403
1967,3,2,3,53,7.3551
1967,3,2,4,64,8.3974
1967,3,2,5,64,5.9249
1967,3,3,1,150,3.8397
1967,3,3,2,125,4.6504
1967,3,3,3,95,5.0396
1967,3,3,4,72,5.1562
1967,3,3,5,45,6.6375
1967,4,1,1,40,5.2715
1967,4,1,2,62,4.6196
1967,4,1,3,76,5.0355
1967,4,1,4,132,3.2693
1967,4,1,5,204,5.7310
1967,4,2,1,37,4.8420
1967,4,2,2,46,3.0669
1967,4,2,3,55,5.8228
1967,4,2,4,62,4.9740
1967,4,2,5,60,2.6522
1967,4,3,1,151,3.3811
1967,4,3,2,125,5.1372
1967,4,3,3,94,4.5818
1967,4,3,4,72,3.8508
1967,4,3,5,46,3.8412
1967,5,1,1,54,1.9510
1967,5,1,2,59,0.0422
1967,5,1,3,77,1.1440
1967,5,1,4,131,-1.2446
1967,5,1,5,231,0.6664
1967,5,2,1,40,-1.9590
1967,5,2,2,52,-3.2910
1967,5,2,3,66,-1.3148
1967,5,2,4,58,-3.7046
1967,5,2,5,62,-0.2532
1967,5,3,1,160,-5.1028
1967,5,3,2,127,-5.0879
1967,5,3,3,96,-3.5069
1967,5,3,4,78,-1.5779
1967,5,3,5,59,-2.4872
1967,6,1,1,50,12.5696
1967,6,1,2,66,9.6109
1967,6,1,3,73,12.2858
1967,6,1,4,138,8.9559
1967,6,1,5,212,10.6156
1967,6,2,1,40,9.1158
1967,6,2,2,62,6.4442
1967,6,2,3,57,9.6537
1967,6,2,4,61,5.6485
1967,6,2,5,64,7.1903
1967,6,3,1,162,1.6650
1967,6,3,2,119,1.3275
1967,6,3,3,106,1.9517
1967,6,3,4,76,3.6381
1967,6,3,5,56,4.9869
1967,7,1,1,49,10.7842
1967,7,1,2,73,8.9163
1967,7,1,3,82,10.3153
1967,7,1,4,127,9.3399
1967,7,1,5,200,10.1000
1967,7,2,1,48,3.7115
1967,7,2,2,59,7.2916
1967,7,2,3,55,8.2332
1967,7,2,4,58,8.1155
1967,7,2,5,60,9.7222
1967,7,3,1,156,0.6838
1967,7,3,2,120,5.3681
1967,7,3,3,107,8.0718
1967,7,3,4,79,6.6903
1967,7,3,5,59,7.2661
1967,8,1,1,58,-2.2119
