year,month,rank_ME,rank_DTV_12,nstocks,ret_vw
1967,12,2,1,203,3.4752
1967,12,2,2,287,5.3645
1967,12,2,3,262,6.8743
1967,12,2,4,185,11.0045
1967,12,2,5,83,11.8173
1967,12,3,1,52,0.7637
1967,12,3,2,144,2.1155
1967,12,3,3,247,2.2227
1967,12,3,4,315,3.5178
1967,12,3,5,306,2.5722
1968,1,1,1,801,5.7902
1968,1,1,2,419,2.1405
1968,1,1,3,225,-2.0706
1968,1,1,4,73,-7.2248
1968,1,1,5,21,-10.2394
1968,1,2,1,207,1.6942
1968,1,2,2,289,0.9205
1968,1,2,3,261,-1.2417
1968,1,2,4,189,-3.7190
1968,1,2,5,85,-6.2982
1968,1,3,1,56,1.2386
1968,1,3,2,146,0.8435
1968,1,3,3,246,-0.1507
1968,1,3,4,309,-2.6191
1968,1,3,5,308,-5.4565
1968,2,1,1,781,-5.1730
1968,2,1,2,432,-7.1823
1968,2,1,3,229,-10.5978
1968,2,1,4,85,-12.2460
1968,2,1,5,23,-13.8982
1968,2,2,1,209,-2.0997
1968,2,2,2,281,-3.2947
1968,2,2,3,254,-5.2567
1968,2,2,4,188,-8.5525
1968,2,2,5,85,-12.4388
1968,2,3,1,56,-2.8474
1968,2,3,2,148,-1.6783
1968,2,3,3,246,-1.9787
1968,2,3,4,299,-3.2199
1968,2,3,5,305,-3.0989
1968,3,1,1,776,-1.7858
1968,3,1,2,430,-1.0180
1968,3,1,3,234,-0.0269
1968,3,1,4,88,-0.5803
1968,3,1,5,22,-1.9560
1968,3,2,1,209,-1.9070
1968,3,2,2,278,-0.6254
1968,3,2,3,251,-2.0526
1968,3,2,4,190,-1.0013
1968,3,2,5,94,0.4414
1968,3,3,1,56,1.4185
1968,3,3,2,150,-1.8371
1968,3,3,3,242,-1.0841
1968,3,3,4,295,-0.4557
1968,3,3,5,299,1.5269
1968,4,1,1,769,15.2404
1968,4,1,2,426,16.8570
1968,4,1,3,237,19.3561
1968,4,1,4,86,19.5447
1968,4,1,5,23,24.5840
1968,4,2,1,207,9.6846
1968,4,2,2,282,13.6902
1968,4,2,3,254,14.6777
1968,4,2,4,195,17.3140
1968,4,2,5,98,18.5441
1968,4,3,1,56,3.9649
1968,4,3,2,146,6.4037
1968,4,3,3,239,7.6320
1968,4,3,4,295,9.3268
1968,4,3,5,301,8.8900
1968,5,1,1,771,12.1329
1968,5,1,2,429,12.4555
1968,5,1,3,239,11.7627
1968,5,1,4,89,10.0544
1968,5,1,5,24,4.9240
1968,5,2,1,208,5.1263
1968,5,2,2,290,5.6537
