year,month,rank_ME,rank_ISq_1,nstocks,ret_vw
1968,1,2,1,76,-2.4609
1968,1,2,2,86,-0.1765
1968,1,2,3,101,-0.4196
1968,1,2,4,83,0.2749
1968,1,2,5,110,-1.3147
1968,1,3,1,134,-3.9302
1968,1,3,2,134,-5.1660
1968,1,3,3,117,-5.0284
1968,1,3,4,132,-2.7682
1968,1,3,5,88,-7.1820
1968,2,1,1,125,-3.1034
1968,2,1,2,124,-4.8358
1968,2,1,3,156,-6.0506
1968,2,1,4,218,-8.2367
1968,2,1,5,273,-7.4854
1968,2,2,1,80,-4.8155
1968,2,2,2,83,-4.9742
1968,2,2,3,94,-5.0523
1968,2,2,4,95,-5.0537
1968,2,2,5,104,-6.3440
1968,2,3,1,139,-4.1164
1968,2,3,2,124,-3.4422
1968,2,3,3,115,-1.6394
1968,2,3,4,116,-3.2226
1968,2,3,5,105,-2.7120
1968,3,1,1,164,-1.5609
1968,3,1,2,168,-0.6742
1968,3,1,3,183,-0.4523
1968,3,1,4,189,-1.6278
1968,3,1,5,210,-3.0541
1968,3,2,1,91,-1.1426
1968,3,2,2,88,-1.4287
1968,3,2,3,92,-1.6215
1968,3,2,4,86,-0.2947
1968,3,2,5,91,-0.0624
1968,3,3,1,120,2.6371
1968,3,3,2,130,-0.1762
1968,3,3,3,127,-0.4467
1968,3,3,4,122,-0.0331
1968,3,3,5,95,1.6771
1968,4,1,1,148,15.4394
1968,4,1,2,151,16.5739
1968,4,1,3,172,15.0155
1968,4,1,4,197,16.4724
1968,4,1,5,254,17.5882
1968,4,2,1,93,13.5223
1968,4,2,2,77,14.1846
1968,4,2,3,93,15.0409
1968,4,2,4,81,14.4307
1968,4,2,5,100,15.9008
1968,4,3,1,115,9.1476
1968,4,3,2,136,8.1859
1968,4,3,3,125,6.9671
1968,4,3,4,109,10.1032
1968,4,3,5,112,10.3183
1968,5,1,1,140,11.0309
1968,5,1,2,145,12.5801
1968,5,1,3,164,11.5322
1968,5,1,4,212,13.7038
1968,5,1,5,256,11.9901
1968,5,2,1,86,7.1329
1968,5,2,2,78,5.6857
1968,5,2,3,94,5.5078
1968,5,2,4,88,8.5864
1968,5,2,5,98,5.8883
1968,5,3,1,122,1.3582
1968,5,3,2,132,1.1717
1968,5,3,3,112,3.1240
1968,5,3,4,129,2.3783
1968,5,3,5,107,1.6011
1968,6,1,1,118,2.3373
1968,6,1,2,113,1.9989
1968,6,1,3,167,1.2199
1968,6,1,4,231,-0.4308
1968,6,1,5,297,0.1612
1968,6,2,1,76,1.7832
1968,6,2,2,75,0.7537
1968,6,2,3,84,1.5775
1968,6,2,4,108,0.3022
1968,6,2,5,103,-0.9803
1968,6,3,1,138,1.9023
1968,6,3,2,136,0.7612
1968,6,3,3,133,0.2351
1968,6,3,4,114,-0.1573
1968,6,3,5,78,2.5770
1968,7,1,1,149,-2.5391
1968,7,1,2,185,-2.7843
1968,7,1,3,168,-3.4436
1968,7,1,4,192,-4.8706
1968,7,1,5,217,-3.8801
1968,7,2,1,98,-1.1553
1968,7,2,2,85,-3.5243
1968,7,2,3,83,-4.6520
1968,7,2,4,90,-5.4427
1968,7,2,5,95,-2.9973
1968,7,3,1,113,-3.3531
1968,7,3,2,119,-2.0184
1968,7,3,3,122,-1.0953
1968,7,3,4,129,-3.6710
1968,7,3,5,113,-1.8245
1968,8,1,1,125,5.6328
1968,8,1,2,170,4.2663
1968,8,1,3,187,4.7047
1968,8,1,4,189,4.9365
1968,8,1,5,233,2.8342
1968,8,2,1,87,4.3493
1968,8,2,2,91,3.4204
1968,8,2,3,84,1.9630
1968,8,2,4,84,3.2716
1968,8,2,5,95,2.9373
1968,8,3,1,128,1.0798
1968,8,3,2,131,1.2620
1968,8,3,3,107,0.5592
1968,8,3,4,135,1.4036
1968,8,3,5,100,2.7638
1968,9,1,1,139,6.5313
1968,9,1,2,150,6.2820
1968,9,1,3,175,6.9350
1968,9,1,4,179,6.8694
1968,9,1,5,265,7.5784
1968,9,2,1,77,7.6183
1968,9,2,2,86,7.7044
1968,9,2,3,94,5.2332
1968,9,2,4,99,6.8405
1968,9,2,5,91,6.2721
1968,9,3,1,141,4.9928
1968,9,3,2,126,4.5625
1968,9,3,3,109,2.7653
1968,9,3,4,120,3.7087
1968,9,3,5,104,2.9348
1968,10,1,1,153,1.2033
1968,10,1,2,162,-0.1805
1968,10,1,3,187,-0.2628
1968,10,1,4,153,-0.4735
1968,10,1,5,247,-0.7551
1968,10,2,1,83,0.3881
1968,10,2,2,77,1.9592
1968,10,2,3,87,-0.0347
1968,10,2,4,93,0.1028
1968,10,2,5,108,2.0859
1968,10,3,1,127,1.8858
1968,10,3,2,125,2.1505
1968,10,3,3,119,-0.8215
1968,10,3,4,125,0.8820
1968,10,3,5,109,-0.1658
1968,11,1,1,158,7.5176
1968,11,1,2,153,6.9104
1968,11,1,3,185,6.0680
1968,11,1,4,197,8.5795
1968,11,1,5,221,6.5432
1968,11,2,1,82,9.0606
1968,11,2,2,76,8.4566
1968,11,2,3,99,7.6407
1968,11,2,4,99,8.2902
1968,11,2,5,87,7.5558
1968,11,3,1,131,5.6994
1968,11,3,2,130,6.6397
1968,11,3,3,123,4.3564
1968,11,3,4,114,6.2969
1968,11,3,5,102,5.3882
1968,12,1,1,141,1.6252
1968,12,1,2,159,2.5089
1968,12,1,3,167,2.0666
1968,12,1,4,190,0.8300
1968,12,1,5,252,2.8216
1968,12,2,1,96,0.0812
1968,12,2,2,76,-1.2440
1968,12,2,3,95,-1.0577
1968,12,2,4,88,-2.4925
1968,12,2,5,99,-0.6466
1968,12,3,1,123,-4.8050
1968,12,3,2,138,-3.2235
1968,12,3,3,118,-2.8541
1968,12,3,4,117,-4.0781
1968,12,3,5,101,-3.8923
1969,1,1,1,115,-0.6936
1969,1,1,2,155,0.1063
1969,1,1,3,155,-0.1183
1969,1,1,4,187,-1.1629
1969,1,1,5,299,-1.1432
1969,1,2,1,82,-0.7458
1969,1,2,2,94,-0.3927
1969,1,2,3,91,-1.3856
1969,1,2,4,96,-1.8532
1969,1,2,5,91,-0.0121
1969,1,3,1,132,-1.0774
1969,1,3,2,114,-0.5686
1969,1,3,3,117,-0.8203
1969,1,3,4,124,-0.8263
1969,1,3,5,113,-0.6012
1969,2,1,1,138,-8.4998
1969,2,1,2,142,-9.6411
1969,2,1,3,163,-9.4207
1969,2,1,4,196,-9.7925
1969,2,1,5,269,-11.2209
1969,2,2,1,81,-8.4023
1969,2,2,2,84,-9.3333
1969,2,2,3,96,-7.7571
1969,2,2,4,96,-8.0639
1969,2,2,5,97,-9.7396
1969,2,3,1,122,-3.0586
1969,2,3,2,124,-5.1539
1969,2,3,3,129,-5.4986
1969,2,3,4,107,-4.5672
1969,2,3,5,118,-5.7718
1969,3,1,1,155,2.6030
1969,3,1,2,159,3.5181
1969,3,1,3,177,1.0804
1969,3,1,4,189,1.1370
1969,3,1,5,243,2.0241
1969,3,2,1,85,3.1510
1969,3,2,2,102,1.9658
1969,3,2,3,78,0.7526
1969,3,2,4,79,2.4953
1969,3,2,5,106,3.0320
1969,3,3,1,119,4.0329
1969,3,3,2,117,3.8638
1969,3,3,3,125,3.5744
1969,3,3,4,130,2.8400
1969,3,3,5,106,2.5339
1969,4,1,1,168,-0.7693
1969,4,1,2,149,-1.3053
1969,4,1,3,163,-0.6832
1969,4,1,4,203,-1.6840
1969,4,1,5,251,-0.6949
1969,4,2,1,90,0.3733
1969,4,2,2,92,-0.0160
1969,4,2,3,75,-0.0518
1969,4,2,4,92,0.6763
1969,4,2,5,99,0.8197
1969,4,3,1,112,1.4496
1969,4,3,2,118,2.3972
1969,4,3,3,136,2.9750
1969,4,3,4,122,3.0757
1969,4,3,5,113,0.2551
1969,5,1,1,168,1.5329
1969,5,1,2,173,1.8557
1969,5,1,3,154,0.8450
1969,5,1,4,185,0.7801
1969,5,1,5,251,-0.1410
1969,5,2,1,86,0.4955
1969,5,2,2,90,-1.4504
1969,5,2,3,83,0.0618
1969,5,2,4,94,-0.3073
1969,5,2,5,105,-0.6560
1969,5,3,1,122,1.0636
1969,5,3,2,115,1.0995
1969,5,3,3,125,1.4724
1969,5,3,4,128,-0.6071
1969,5,3,5,115,-0.3974
1969,6,1,1,139,-11.1052
1969,6,1,2,172,-13.4464
1969,6,1,3,145,-12.3993
1969,6,1,4,188,-12.7774
1969,6,1,5,280,-14.4116
1969,6,2,1,94,-11.2149
1969,6,2,2,98,-11.0622
1969,6,2,3,81,-11.4985
1969,6,2,4,94,-11.6635
1969,6,2,5,96,-11.5279
1969,6,3,1,122,-5.5116
1969,6,3,2,127,-6.1769
1969,6,3,3,125,-6.8646
1969,6,3,4,111,-3.2674
1969,6,3,5,124,-7.4347
1969,7,1,1,183,-11.3413
1969,7,1,2,185,-12.3108
1969,7,1,3,188,-11.1822
1969,7,1,4,165,-11.9089
1969,7,1,5,222,-12.0784
1969,7,2,1,97,-7.9168
1969,7,2,2,82,-8.7676
1969,7,2,3,95,-9.3475
1969,7,2,4,87,-7.6950
1969,7,2,5,98,-10.2612
1969,7,3,1,117,-4.7745
1969,7,3,2,123,-5.8681
1969,7,3,3,125,-5.4855
1969,7,3,4,141,-7.2281
1969,7,3,5,101,-6.5762
1969,8,1,1,185,5.0226
1969,8,1,2,172,5.7256
1969,8,1,3,165,5.3190
1969,8,1,4,190,4.0062
1969,8,1,5,237,4.6681
1969,8,2,1,94,4.8159
1969,8,2,2,87,6.4140
1969,8,2,3,77,5.5266
1969,8,2,4,96,7.7908
1969,8,2,5,106,6.0753
1969,8,3,1,112,4.6340
1969,8,3,2,131,4.0272
1969,8,3,3,127,6.2160
1969,8,3,4,129,5.3437
1969,8,3,5,112,4.7072
1969,9,1,1,198,-2.4053
1969,9,1,2,154,-1.8005
