year,month,rank_ME,rank_ALMq_12,nstocks,ret_vw
1976,1,1,1,9,17.5990
1976,1,1,2,45,22.6261
1976,1,1,3,58,22.5694
1976,1,1,4,98,25.9463
1976,1,1,5,176,25.3039
1976,1,2,1,28,16.7874
1976,1,2,2,44,15.1574
1976,1,2,3,37,21.5835
1976,1,2,4,49,19.1068
1976,1,2,5,51,26.4268
1976,1,3,1,114,13.1728
1976,1,3,2,79,8.4847
1976,1,3,3,70,14.7293
1976,1,3,4,36,17.5071
1976,1,3,5,19,25.5086
1976,2,1,1,13,11.8610
1976,2,1,2,63,12.4661
1976,2,1,3,89,13.0103
1976,2,1,4,131,15.0719
1976,2,1,5,208,14.1750
1976,2,2,1,38,5.2186
1976,2,2,2,69,7.6040
1976,2,2,3,63,9.4615
1976,2,2,4,80,7.4295
1976,2,2,5,66,8.8906
1976,2,3,1,135,-0.2887
1976,2,3,2,109,0.2917
1976,2,3,3,94,1.0101
1976,2,3,4,51,1.3681
1976,2,3,5,30,7.0439
1976,3,1,1,16,1.6038
1976,3,1,2,70,-1.3121
1976,3,1,3,110,2.0790
1976,3,1,4,149,1.7901
1976,3,1,5,237,0.8054
1976,3,2,1,43,0.1087
1976,3,2,2,73,-0.2363
1976,3,2,3,71,2.3066
1976,3,2,4,93,2.5060
1976,3,2,5,75,2.4793
1976,3,3,1,137,2.2497
1976,3,3,2,114,3.6165
1976,3,3,3,101,3.5157
1976,3,3,4,60,5.2075
1976,3,3,5,34,4.3773
1976,4,1,1,18,0.7540
1976,4,1,2,71,-2.0942
1976,4,1,3,113,-3.1944
1976,4,1,4,153,-2.7129
1976,4,1,5,233,-0.9473
1976,4,2,1,46,-1.4791
1976,4,2,2,77,0.6717
1976,4,2,3,74,-0.6749
1976,4,2,4,96,-1.7989
1976,4,2,5,80,-0.8386
1976,4,3,1,139,-1.8847
1976,4,3,2,116,-0.4651
1976,4,3,3,103,1.2464
1976,4,3,4,66,2.3323
1976,4,3,5,35,0.6003
1976,5,1,1,30,0.1164
1976,5,1,2,96,-0.9335
1976,5,1,3,144,-2.3895
1976,5,1,4,205,-3.0459
1976,5,1,5,290,-3.4569
1976,5,2,1,53,1.4616
1976,5,2,2,89,0.6172
1976,5,2,3,102,-3.0266
1976,5,2,4,120,-1.5965
1976,5,2,5,95,-3.2119
1976,5,3,1,162,-1.1396
1976,5,3,2,140,1.8068
1976,5,3,3,118,0.5051
1976,5,3,4,88,-1.9061
1976,5,3,5,40,-2.3219
1976,6,1,1,32,3.7129
1976,6,1,2,103,4.9826
1976,6,1,3,152,3.8262
1976,6,1,4,220,4.6673
1976,6,1,5,307,2.7602
1976,6,2,1,55,2.2034
1976,6,2,2,99,4.1885
1976,6,2,3,110,5.4793
1976,6,2,4,126,4.3903
1976,6,2,5,98,4.9048
1976,6,3,1,166,4.9882
1976,6,3,2,142,3.4057
1976,6,3,3,122,4.7578
1976,6,3,4,92,7.1462
1976,6,3,5,43,3.7620
1976,7,1,1,31,-2.9992
1976,7,1,2,104,0.7478
1976,7,1,3,161,-0.4451
1976,7,1,4,226,0.6676
1976,7,1,5,315,-0.0763
1976,7,2,1,57,-2.4564
1976,7,2,2,101,-0.7016
1976,7,2,3,115,0.4568
1976,7,2,4,133,-0.9937
1976,7,2,5,101,1.0166
1976,7,3,1,167,-2.4694
1976,7,3,2,147,0.0170
1976,7,3,3,125,-0.8654
1976,7,3,4,94,-1.8464
1976,7,3,5,45,3.9930
1976,8,1,1,50,-4.3841
1976,8,1,2,135,-3.1589
1976,8,1,3,223,-3.3571
1976,8,1,4,306,-3.4699
1976,8,1,5,459,-2.8058
1976,8,2,1,83,-5.1320
1976,8,2,2,131,-2.4300
1976,8,2,3,150,-1.2049
1976,8,2,4,171,-1.9312
1976,8,2,5,143,-2.5253
1976,8,3,1,232,-0.3672
1976,8,3,2,187,0.5626
1976,8,3,3,170,-1.0979
1976,8,3,4,126,-1.4748
1976,8,3,5,56,-1.6943
1976,9,1,1,50,0.8994
1976,9,1,2,129,2.2203
1976,9,1,3,208,1.6982
1976,9,1,4,285,1.7250
1976,9,1,5,394,2.1157
1976,9,2,1,89,4.4095
1976,9,2,2,137,5.0025
1976,9,2,3,150,2.3349
1976,9,2,4,174,2.2988
1976,9,2,5,148,2.3880
1976,9,3,1,236,1.9716
1976,9,3,2,191,4.1561
1976,9,3,3,171,4.0162
1976,9,3,4,127,3.3566
1976,9,3,5,57,2.4524
1976,10,1,1,58,-3.7804
1976,10,1,2,156,-2.2969
1976,10,1,3,246,-3.6338
1976,10,1,4,354,-2.9994
1976,10,1,5,499,-2.2465
1976,10,2,1,96,-2.6689
1976,10,2,2,142,-3.7168
1976,10,2,3,166,-3.0692
1976,10,2,4,185,-1.2341
1976,10,2,5,152,-1.7557
1976,10,3,1,241,-2.2623
1976,10,3,2,196,-2.9208
1976,10,3,3,175,-2.2640
1976,10,3,4,130,-2.9531
1976,10,3,5,59,-5.2926
1976,11,1,1,75,10.7916
1976,11,1,2,203,1.8534
1976,11,1,3,306,3.2505
1976,11,1,4,430,1.6489
1976,11,1,5,564,2.8984
1976,11,2,1,105,4.4721
1976,11,2,2,158,5.0682
1976,11,2,3,188,4.8016
1976,11,2,4,215,4.4564
1976,11,2,5,167,5.2694
1976,11,3,1,254,-0.6128
1976,11,3,2,220,0.5781
1976,11,3,3,193,1.5911
1976,11,3,4,142,1.5593
1976,11,3,5,66,3.6767
1976,12,1,1,77,7.3649
1976,12,1,2,210,8.6613
1976,12,1,3,321,11.2767
1976,12,1,4,448,11.6720
1976,12,1,5,586,9.9902
1976,12,2,1,112,9.8897
1976,12,2,2,176,9.7960
1976,12,2,3,196,9.1364
1976,12,2,4,226,8.9240
1976,12,2,5,173,8.7436
1976,12,3,1,260,3.6966
1976,12,3,2,224,6.3740
1976,12,3,3,200,7.6365
1976,12,3,4,143,8.2011
1976,12,3,5,67,7.5456
1977,1,1,1,80,1.4371
1977,1,1,2,214,4.4641
1977,1,1,3,320,4.6777
1977,1,1,4,446,5.4569
1977,1,1,5,591,4.4479
1977,1,2,1,110,0.4363
1977,1,2,2,171,1.7643
1977,1,2,3,196,2.8906
1977,1,2,4,216,1.0974
1977,1,2,5,172,1.3405
1977,1,3,1,259,-7.3308
1977,1,3,2,221,-3.7505
1977,1,3,3,197,-1.0817
1977,1,3,4,140,-1.0465
1977,1,3,5,65,-0.1827
1977,2,1,1,87,-0.3826
1977,2,1,2,230,-1.8628
1977,2,1,3,343,-2.0580
1977,2,1,4,476,-1.0106
1977,2,1,5,599,-0.2343
1977,2,2,1,112,-2.2234
1977,2,2,2,180,-2.2936
1977,2,2,3,211,-1.3860
1977,2,2,4,223,0.4554
1977,2,2,5,181,0.7836
1977,2,3,1,275,-1.4810
1977,2,3,2,235,-2.0118
1977,2,3,3,206,-2.0398
1977,2,3,4,147,-2.3028
1977,2,3,5,65,-0.4004
1977,3,1,1,88,-1.2711
1977,3,1,2,239,-0.4378
1977,3,1,3,351,1.5441
1977,3,1,4,497,0.4305
1977,3,1,5,631,1.4120
1977,3,2,1,116,1.9873
1977,3,2,2,183,-0.7685
1977,3,2,3,215,0.1758
1977,3,2,4,234,-0.8326
1977,3,2,5,183,-0.8717
1977,3,3,1,275,-1.6019
1977,3,3,2,234,-1.2657
1977,3,3,3,208,-1.3108
1977,3,3,4,147,-0.0565
1977,3,3,5,65,-0.2253
1977,4,1,1,85,-0.9676
1977,4,1,2,237,0.7692
1977,4,1,3,339,1.0271
1977,4,1,4,490,1.5438
1977,4,1,5,631,1.7763
1977,4,2,1,115,-0.2508
1977,4,2,2,176,3.0147
1977,4,2,3,211,1.7132
1977,4,2,4,228,2.6455
1977,4,2,5,179,1.2403
1977,4,3,1,271,-2.5658
1977,4,3,2,231,2.1580
1977,4,3,3,198,2.2014
1977,4,3,4,143,2.1816
1977,4,3,5,63,2.7992
1977,5,1,1,98,-3.4340
1977,5,1,2,256,1.9116
1977,5,1,3,362,0.1188
1977,5,1,4,530,-0.5602
1977,5,1,5,646,0.4917
1977,5,2,1,126,-0.6666
1977,5,2,2,193,-0.5042
1977,5,2,3,227,0.7521
1977,5,2,4,238,-0.2167
1977,5,2,5,186,0.0307
1977,5,3,1,278,-2.4488
1977,5,3,2,245,-1.3678
1977,5,3,3,211,-0.7843
1977,5,3,4,150,-1.9515
1977,5,3,5,65,-1.6384
1977,6,1,1,101,9.1315
1977,6,1,2,269,8.0149
1977,6,1,3,367,8.2063
1977,6,1,4,535,7.3895
1977,6,1,5,658,7.4756
1977,6,2,1,130,8.1003
1977,6,2,2,194,9.4419
1977,6,2,3,228,8.2643
1977,6,2,4,241,5.6775
1977,6,2,5,186,7.7434
1977,6,3,1,279,6.5872
1977,6,3,2,244,3.6917
1977,6,3,3,213,3.9431
