year,month,rank_ME,rank_ADM,nstocks,ret_vw
1974,6,1,3,112,-3.4000
1974,6,1,4,87,-4.6883
1974,6,1,5,107,-1.2634
1974,6,2,1,43,-2.2861
1974,6,2,2,29,-5.7225
1974,6,2,3,36,0.0089
1974,6,2,4,28,-1.4982
1974,6,2,5,38,-2.7571
1974,6,3,1,86,-1.1356
1974,6,3,2,60,-0.5620
1974,6,3,3,58,-1.3823
1974,6,3,4,59,-3.1935
1974,6,3,5,30,-0.6503
1974,7,1,1,153,-5.9971
1974,7,1,2,192,-5.8238
1974,7,1,3,200,-5.6203
1974,7,1,4,161,-6.0983
1974,7,1,5,245,-6.2511
1974,7,2,1,80,-5.6233
1974,7,2,2,56,-7.5591
1974,7,2,3,59,-5.3282
1974,7,2,4,54,-5.7544
1974,7,2,5,42,-6.4344
1974,7,3,1,109,-11.3030
1974,7,3,2,76,-14.2657
1974,7,3,3,66,-7.3020
1974,7,3,4,60,-9.5635
1974,7,3,5,34,-8.5455
1974,8,1,1,152,-8.9716
1974,8,1,2,192,-8.2412
1974,8,1,3,199,-6.7342
1974,8,1,4,161,-7.4628
1974,8,1,5,242,-7.4373
1974,8,2,1,79,-10.2920
1974,8,2,2,56,-7.5351
1974,8,2,3,59,-9.9746
1974,8,2,4,54,-10.0090
1974,8,2,5,41,-8.8780
1974,8,3,1,109,-10.1856
1974,8,3,2,76,-11.2241
1974,8,3,3,66,-10.5784
1974,8,3,4,60,-8.8764
1974,8,3,5,34,-11.3959
1974,9,1,1,151,-11.9299
1974,9,1,2,190,-11.3249
1974,9,1,3,197,-9.5564
1974,9,1,4,160,-6.8280
1974,9,1,5,239,-7.2998
1974,9,2,1,79,-15.3707
1974,9,2,2,56,-9.0258
1974,9,2,3,58,-9.5623
1974,9,2,4,54,-7.0977
1974,9,2,5,41,-8.4143
1974,9,3,1,108,-16.1568
1974,9,3,2,76,-16.3750
1974,9,3,3,66,-10.1163
1974,9,3,4,60,-8.1228
1974,9,3,5,34,-12.6015
1974,10,1,1,151,12.2570
1974,10,1,2,189,8.1933
1974,10,1,3,198,11.8293
1974,10,1,4,159,5.9155
1974,10,1,5,233,4.8419
1974,10,2,1,78,15.0569
1974,10,2,2,55,9.7963
1974,10,2,3,58,9.0646
1974,10,2,4,54,5.9376
1974,10,2,5,40,5.6004
1974,10,3,1,108,19.1865
1974,10,3,2,76,19.0446
1974,10,3,3,65,17.5746
1974,10,3,4,60,11.4940
1974,10,3,5,34,23.1044
1974,11,1,1,149,-7.2447
1974,11,1,2,187,-4.2482
1974,11,1,3,197,-6.0872
1974,11,1,4,158,-7.7106
1974,11,1,5,236,-6.4397
1974,11,2,1,78,-4.9334
1974,11,2,2,55,-3.7666
1974,11,2,3,58,-7.1753
1974,11,2,4,54,-4.7442
1974,11,2,5,40,-8.6079
1974,11,3,1,108,-6.0156
1974,11,3,2,76,-4.8097
1974,11,3,3,65,-2.8106
1974,11,3,4,60,-2.9302
1974,11,3,5,34,-2.0087
1974,12,1,1,148,-8.7382
1974,12,1,2,187,-8.4493
1974,12,1,3,197,-7.6299
1974,12,1,4,157,-9.0514
1974,12,1,5,233,-9.0886
1974,12,2,1,78,-8.2893
1974,12,2,2,55,-7.5809
1974,12,2,3,58,-5.1596
1974,12,2,4,54,-7.4404
1974,12,2,5,40,-6.5947
1974,12,3,1,108,-4.9029
1974,12,3,2,76,-4.2860
1974,12,3,3,65,-0.2350
1974,12,3,4,60,0.3472
1974,12,3,5,34,-1.5193
1975,1,1,1,148,28.6343
1975,1,1,2,188,28.4567
1975,1,1,3,195,27.6368
1975,1,1,4,158,34.8446
1975,1,1,5,230,32.5349
1975,1,2,1,78,25.7503
1975,1,2,2,55,30.2118
1975,1,2,3,58,32.7686
1975,1,2,4,54,34.1727
1975,1,2,5,39,33.6378
1975,1,3,1,108,9.1871
1975,1,3,2,76,14.2423
1975,1,3,3,65,14.8400
1975,1,3,4,60,16.3435
1975,1,3,5,34,20.2360
1975,2,1,1,147,6.1991
1975,2,1,2,187,5.7650
1975,2,1,3,195,7.4316
1975,2,1,4,155,3.2772
1975,2,1,5,230,4.2614
1975,2,2,1,78,8.3877
1975,2,2,2,54,3.7187
1975,2,2,3,58,4.3554
1975,2,2,4,54,7.2609
1975,2,2,5,39,3.8245
1975,2,3,1,108,11.7719
1975,2,3,2,76,10.1947
1975,2,3,3,65,3.7919
1975,2,3,4,60,5.6662
1975,2,3,5,34,7.8259
1975,3,1,1,149,9.6767
1975,3,1,2,185,10.2981
1975,3,1,3,194,9.9769
1975,3,1,4,158,12.8438
1975,3,1,5,229,12.9206
1975,3,2,1,78,7.6145
1975,3,2,2,54,8.4781
1975,3,2,3,58,10.7612
1975,3,2,4,54,9.3784
1975,3,2,5,39,10.6537
1975,3,3,1,108,3.2218
1975,3,3,2,76,7.3267
1975,3,3,3,65,6.2926
1975,3,3,4,60,7.7730
1975,3,3,5,34,4.7634
1975,4,1,1,149,7.1128
1975,4,1,2,185,6.1364
1975,4,1,3,194,5.8922
1975,4,1,4,158,4.8999
1975,4,1,5,228,2.3817
1975,4,2,1,78,7.1744
1975,4,2,2,54,5.5910
1975,4,2,3,58,6.3973
1975,4,2,4,54,4.3015
1975,4,2,5,39,3.7648
1975,4,3,1,108,10.5151
1975,4,3,2,76,1.3734
1975,4,3,3,65,2.7513
1975,4,3,4,60,3.0036
1975,4,3,5,34,0.0600
1975,5,1,1,149,13.4884
1975,5,1,2,184,9.2823
1975,5,1,3,191,8.9110
1975,5,1,4,158,6.1329
1975,5,1,5,230,7.9938
1975,5,2,1,78,8.4143
1975,5,2,2,54,8.2197
1975,5,2,3,58,12.2841
1975,5,2,4,54,5.5212
1975,5,2,5,39,4.4794
1975,5,3,1,108,4.6109
1975,5,3,2,76,4.3608
1975,5,3,3,65,4.1351
1975,5,3,4,60,2.9665
1975,5,3,5,34,10.3974
1975,6,1,1,150,6.9562
1975,6,1,2,182,6.9490
1975,6,1,3,191,5.5838
1975,6,1,4,159,10.3209
1975,6,1,5,229,5.3191
1975,6,2,1,78,6.9798
1975,6,2,2,53,5.8232
1975,6,2,3,58,6.6888
1975,6,2,4,54,8.5949
1975,6,2,5,39,5.1553
1975,6,3,1,108,2.4413
1975,6,3,2,76,5.6458
1975,6,3,3,65,3.9793
1975,6,3,4,60,7.4045
1975,6,3,5,34,4.0130
1975,7,1,1,171,-1.9066
1975,7,1,2,189,-2.3583
1975,7,1,3,209,-0.0175
1975,7,1,4,204,-1.8207
1975,7,1,5,264,0.6534
1975,7,2,1,78,-5.5076
1975,7,2,2,54,-2.3561
1975,7,2,3,50,-3.3585
1975,7,2,4,53,-2.2556
1975,7,2,5,48,-3.9836
1975,7,3,1,96,-7.9915
